PRCP       002014 19070101 20100831 missing_value=99999.9 KIMBERLEY RES.STATION                     
19070101 19070131    89.3
19070201 19070228   239.9
19070301 19070331   110.6
19070401 19070430    37.3
19070501 19070531    10.7
19070601 19070630     0.0
19070701 19070731     0.0
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031     0.0
19071101 19071130    77.7
19071201 19071231   234.9
19080101 19080131    79.2
19080201 19080229   169.9
19080301 19080331    75.1
19080401 19080430     0.0
19080501 19080531     0.0
19080601 19080630     0.0
19080701 19080731     0.0
19080801 19080831     0.0
19080901 19080930     0.0
19081001 19081031     0.0
19081101 19081130   191.7
19081201 19081231    99.2
19090101 19090131   158.9
19090201 19090228   140.6
19090301 19090331    70.1
19090401 19090430     0.0
19090501 19090531     0.0
19090601 19090630     0.0
19090701 19090731     0.0
19090801 19090831     0.0
19090901 19090930     7.5
19091001 19091031    13.8
19091101 19091130   173.8
19091201 19091231   107.7
19100101 19100131   119.9
19100201 19100228   190.6
19100301 19100331   125.4
19100401 19100430   167.0
19100501 19100531     0.0
19100601 19100630     0.0
19100701 19100731     0.0
19100801 19100831    27.5
19100901 19100930     0.0
19101001 19101031    85.1
19101101 19101130   150.8
19101201 19101231   261.0
19110101 19110131   243.2
19110201 19110228   121.1
19110301 19110331     0.0
19110401 19110430     0.0
19110501 19110531     0.0
19110601 19110630     0.0
19110701 19110731     0.0
19110801 19110831     0.0
19110901 19110930     0.0
19111001 19111031    47.1
19111101 19111130    41.4
19111201 19111231   193.4
19120101 19120131    75.9
19120201 19120229   518.6
19120301 19120331   159.8
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630     0.0
19120701 19120731     0.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031    15.0
19121101 19121130    15.5
19121201 19121231    47.3
19130101 19130131   153.0
19130201 19130228   553.3
19130301 19130331   129.7
19130401 19130430     0.0
19130501 19130531     0.0
19130601 19130630     0.0
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     0.0
19131001 19131031     6.3
19131101 19131130    48.8
19131201 19131231   137.7
19140101 19140131   423.6
19140201 19140228    31.7
19140301 19140331    54.7
19140401 19140430     0.0
19140501 19140531    30.1
19140601 19140630     0.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     4.5
19141001 19141031    38.6
19141101 19141130    47.7
19141201 19141231   159.2
19150101 19150131   513.3
19150201 19150228    51.6
19150301 19150331    28.8
19150401 19150430    13.7
19150501 19150531     1.5
19150601 19150630     0.0
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930     5.5
19151001 19151031    18.7
19151101 19151130    27.0
19151201 19151231    39.5
19160101 19160131   170.7
19160201 19160229   297.5
19160301 19160331   259.6
19160401 19160430     0.0
19160501 19160531     0.0
19160601 19160630     0.0
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930     0.0
19161001 19161031    56.8
19161101 19161130   143.2
19161201 19161231   131.3
19170101 19170131   183.4
19170201 19170228    59.7
19170301 19170331   120.3
19170401 19170430    22.3
19170501 19170531    27.5
19170601 19170630     7.5
19170701 19170731     0.0
19170801 19170831     0.0
19170901 19170930     0.0
19171001 19171031    68.3
19171101 19171130    58.6
19171201 19171231   339.4
19180101 19180131   208.5
19180201 19180228   255.8
19180301 19180331    17.5
19180401 19180430     0.0
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     7.5
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130    71.3
19181201 19181231   141.8
19190101 19190131   203.9
19190201 19190228   194.1
19190301 19190331   353.2
19190401 19190430     0.0
19190501 19190531     7.5
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     0.0
19190901 19190930     0.0
19191001 19191031     4.5
19191101 19191130    89.4
19191201 19191231   189.7
19200101 19200131   197.9
19200201 19200229    28.0
19200301 19200331   111.5
19200401 19200430    17.1
19200501 19200531     0.0
19200601 19200630     0.0
19200701 19200731     7.5
19200801 19200831     0.0
19200901 19200930    32.5
19201001 19201031    71.4
19201101 19201130   166.2
19201201 19201231   137.8
19210101 19210131    44.6
19210201 19210228   311.3
19210301 19210331   178.5
19210401 19210430     0.0
19210501 19210531     3.7
19210601 19210630     0.0
19210701 19210731     0.0
19210801 19210831     0.0
19210901 19210930     0.0
19211001 19211031     0.0
19211101 19211130    83.6
19211201 19211231    35.4
19220101 19220131   104.5
19220201 19220228   154.2
19220301 19220331   283.2
19220401 19220430    10.0
19220501 19220531    36.3
19220601 19220630     0.0
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    71.3
19221101 19221130    42.6
19221201 19221231   333.2
19230101 19230131    86.4
19230201 19230228   113.1
19230301 19230331   111.4
19230401 19230430    87.8
19230501 19230531     6.5
19230601 19230630    25.7
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     5.2
19231101 19231130   151.4
19231201 19231231   165.2
19240101 19240131    82.5
19240201 19240229   111.9
19240301 19240331    58.2
19240401 19240430     0.0
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831     0.0
19240901 19240930     0.0
19241001 19241031    10.5
19241101 19241130   108.0
19241201 19241231    29.1
19250101 19250131   169.1
19250201 19250228   327.8
19250301 19250331   215.0
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130     9.7
19251201 19251231   104.2
19260101 19260131   442.9
19260201 19260228    85.1
19260301 19260331   264.4
19260401 19260430     6.3
19260501 19260531     0.0
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031     5.2
19261101 19261130    43.6
19261201 19261231   154.4
19270101 19270131   146.6
19270201 19270228   149.4
19270301 19270331   124.2
19270401 19270430    26.5
19270501 19270531    45.8
19270601 19270630     0.0
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031    24.3
19271101 19271130   108.0
19271201 19271231    97.7
19280101 19280131   141.2
19280201 19280229   263.9
19280301 19280331    55.3
19280401 19280430    22.8
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930    13.0
19281001 19281031     8.5
19281101 19281130    11.3
19281201 19281231    81.0
19290101 19290131    78.9
19290201 19290228   116.1
19290301 19290331   287.3
19290401 19290430    10.1
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     1.3
19291101 19291130    10.0
19291201 19291231   138.4
19300101 19300131    41.6
19300201 19300228   330.4
19300301 19300331    23.9
19300401 19300430     0.0
19300501 19300531     0.0
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031    22.1
19301101 19301130    67.3
19301201 19301231   164.4
19310101 19310131   419.2
19310201 19310228    19.5
19310301 19310331    63.8
19310401 19310430     0.0
19310501 19310531     0.0
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031     2.5
19311101 19311130    55.9
19311201 19311231    46.3
19320101 19320131    89.2
19320201 19320229   201.0
19320301 19320331   103.9
19320401 19320430     0.0
19320501 19320531     6.0
19320601 19320630     0.0
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     4.0
19321101 19321130   127.1
19321201 19321231   137.9
19330101 19330131    89.8
19330201 19330228    34.5
19330301 19330331   155.3
19330401 19330430     0.0
19330501 19330531     0.0
19330601 19330630     8.0
19330701 19330731     0.0
19330801 19330831    14.0
19330901 19330930     0.0
19331001 19331031     5.2
19331101 19331130     7.5
19331201 19331231   152.2
19340101 19340131   156.6
19340201 19340228   109.8
19340301 19340331   144.3
19340401 19340430    37.6
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731    21.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     2.3
19341101 19341130    74.1
19341201 19341231     6.5
19350101 19350131   213.9
19350201 19350228   143.7
19350301 19350331   170.1
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031    11.7
19351101 19351130    27.6
19351201 19351231    20.8
19360101 19360131   188.5
19360201 19360229    68.1
19360301 19360331    26.3
19360401 19360430   127.7
19360501 19360531     0.0
19360601 19360630     2.5
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031    61.6
19361101 19361130    94.5
19361201 19361231   143.5
