PRCP       002019 19131201 20170831 missing_value=99999.9 MARGARET RIVER                            
19131201 19131231    85.3
19140101 19140131   339.1
19140201 19140228    37.6
19140301 19140331     7.3
19140401 19140430    29.3
19140501 19140531    33.0
19140601 19140630     0.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031     0.0
19141101 19141130    92.3
19141201 19141231   158.1
19150101 19150131    81.8
19150201 19150228   162.0
19150301 19150331    56.1
19150401 19150430     0.0
19150501 19150531    53.2
19150601 19150630    13.2
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930     0.0
19151001 19151031     0.0
19151101 19151130    10.2
19151201 19151231    10.9
19160101 19160131   155.0
19160201 19160229   199.0
19160301 19160331    81.1
19160401 19160430     0.0
19160501 19160531    19.3
19160601 19160630    19.1
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930     0.0
19161001 19161031    53.4
19161101 19161130    43.2
19161201 19161231   120.9
19170101 19170131   233.8
19170201 19170228   101.5
19170301 19170331    16.8
19170401 19170430     0.0
19170501 19170531     9.4
19170601 19170630     5.6
19170701 19170731     0.0
19170801 19170831     0.0
19170901 19170930     0.0
19171001 19171031     0.0
19171101 19171130    49.5
19171201 19171231    66.6
19180101 19180131   122.2
19180201 19180228   199.8
19180301 19180331    46.3
19180401 19180430     0.0
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831    19.8
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130    19.3
19181201 19181231     0.0
19190101 19190131    59.0
19190201 19190228   131.9
19190301 19190331    12.0
19190401 19190430     9.4
19190501 19190531     0.0
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     6.9
19190901 19190930     0.0
19191001 19191031     2.0
19191101 19191130    12.2
19191201 19191231   101.4
19200101 19200131    74.0
19200201 19200229    49.0
19200301 19200331    87.2
19200401 19200430     0.0
19200501 19200531     0.0
19200601 19200630     0.0
19200701 19200731    29.9
19200801 19200831     0.0
19200901 19200930    11.7
19201001 19201031     7.6
19201101 19201130    41.3
19201201 19201231    50.5
19210101 19210131     2.3
19210201 19210228   278.3
19210301 19210331   164.5
19210401 19210430     0.0
19210501 19210531    10.6
19210601 19210630     0.0
19210701 19210731     0.0
19210801 19210831     6.4
19210901 19210930     0.0
19211001 19211031     0.0
19211101 19211130    19.1
19211201 19211231    39.1
19220101 19220131    98.4
19220201 19220228   136.5
