PRCP       003017 19231101 20180131 missing_value=99999.9 MOUNT HOUSE STATION                       
19231101 19231130    39.9
19231201 19231231   107.4
19240101 19240131   290.1
19240201 19240229    83.3
19240301 19240331    18.3
19240401 19240430     5.6
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831     0.0
19240901 19240930     0.0
19241001 19241031    12.7
19241101 19241130     6.1
19241201 19241231    19.3
19250101 19250131   245.8
19250201 19250228   145.3
19250301 19250331   150.1
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     3.8
19251101 19251130    72.0
19251201 19251231   131.8
19260101 19260131   328.4
19260201 19260228   218.4
19260301 19260331   121.5
19260401 19260430    39.4
19260501 19260531    40.6
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031    17.2
19261101 19261130    51.2
19261201 19261231   180.5
19270101 19270131   287.2
19270201 19270228   168.3
19270301 19270331   119.6
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630     0.0
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930    15.5
19271001 19271031     7.6
19271101 19271130    87.5
19271201 19271231    81.3
19280101 19280131   400.5
19280201 19280229   156.4
19280301 19280331    63.4
19280401 19280430    58.6
19280501 19280531     0.0
19280601 19280630    12.2
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    25.2
19281201 19281231   159.7
19290101 19290131   159.7
19290201 19290228    93.2
19290301 19290331   152.9
19290401 19290430     0.0
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930    17.8
19291001 19291031     0.0
19291101 19291130    26.7
19291201 19291231     3.8
19300101 19300131   130.0
19300201 19300228   220.5
19300301 19300331    62.8
19300401 19300430     9.2
19300501 19300531     0.0
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831    18.5
19300901 19300930     0.0
19301001 19301031     8.1
19301101 19301130    18.3
19301201 19301231    69.2
19310101 19310131   336.3
19310201 19310228    75.0
19310301 19310331   134.6
19310401 19310430     0.0
19310501 19310531     0.0
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031     0.0
19311101 19311130    17.8
19311201 19311231    18.0
19320101 19320131   201.7
19320201 19320229   231.9
19320301 19320331    76.9
19320401 19320430     0.0
19320501 19320531    25.4
19320601 19320630    29.2
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     0.0
19321101 19321130     4.3
19321201 19321231   127.6
19330101 19330131   148.1
19330201 19330228    93.3
19330301 19330331   110.9
19330401 19330430    38.6
19330501 19330531     5.3
19330601 19330630     1.8
19330701 19330731     0.0
19330801 19330831    10.2
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130     0.0
19331201 19331231   136.3
19340101 19340131   285.8
19340201 19340228   129.7
19340301 19340331   129.1
19340401 19340430   120.7
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731    35.1
19340801 19340831     5.1
19340901 19340930     0.0
19341001 19341031     2.5
19341101 19341130    29.3
19341201 19341231    25.4
19350101 19350131   164.8
19350201 19350228    86.8
19350301 19350331   107.9
19350401 19350430     2.5
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031    15.8
19351101 19351130    56.1
19351201 19351231    86.6
19360101 19360131   122.9
19360201 19360229    81.8
19360301 19360331    43.9
19360401 19360430     3.3
19360501 19360531     0.0
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     2.8
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130    57.2
19361201 19361231    79.6
19370101 19370131   236.6
19370201 19370228    59.1
19370301 19370331   117.6
19370401 19370430    14.0
19370501 19370531     0.0
19370601 19370630     7.1
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     6.9
19371001 19371031     0.0
19371101 19371130    35.0
19371201 19371231   114.6
19380101 19380131   168.9
19380201 19380228   213.0
19380301 19380331     9.4
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630     0.0
19380701 19380731    11.1
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    58.9
19381201 19381231    81.9
19390101 19390131   158.5
19390201 19390228    98.5
19390301 19390331    78.0
19390401 19390430    83.1
19390501 19390531     0.0
19390601 19390630    61.5
19390701 19390731    62.9
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130    18.1
19391201 19391231    46.3
19400101 19400131   222.3
19400201 19400229   146.3
19400301 19400331    62.7
19400401 19400430    78.7
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031    44.2
19401101 19401130    18.9
19401201 19401231   180.2
19410101 19410131    92.5
19410201 19410228    21.1
19410301 19410331   263.5
19410401 19410430     0.0
19410501 19410531    31.0
19410601 19410630   169.0
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    80.2
19411201 19411231   125.3
19420101 19420131   303.7
19420201 19420228   385.8
19420301 19420331    51.1
19420401 19420430    12.5
19420501 19420531    15.2
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831    37.3
19420901 19420930     0.0
19421001 19421031     4.3
19421101 19421130    28.4
19421201 19421231    77.3
19430101 19430131   168.6
19430201 19430228   229.7
19430301 19430331   421.3
19430401 19430430    11.2
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731    14.7
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130    59.0
19431201 19431231   107.8
19440101 19440131   247.1
19440201 19440229    32.9
19440301 19440331   122.0
19440401 19440430    38.1
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031    21.8
19441101 19441130    50.1
19441201 19441231   204.2
19450101 19450131   291.6
19450201 19450228   187.9
19450301 19450331    91.8
19450401 19450430     0.0
19450501 19450531     0.0
19450601 19450630     0.0
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031    32.3
19451101 19451130    21.3
19451201 19451231   147.8
19460101 19460131   145.1
19460201 19460228   128.8
19460301 19460331    15.8
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130    11.4
19461201 19461231   116.2
19470101 19470131   180.1
19470201 19470228   217.1
19470301 19470331   185.2
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     0.0
19470701 19470731     0.0
19470801 19470831    30.9
19470901 19470930     0.0
19471001 19471031    46.2
19471101 19471130    27.6
19471201 19471231    65.1
19480101 19480131    98.6
19480201 19480229   190.6
19480301 19480331    74.9
19480401 19480430    50.3
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     8.9
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130    11.1
19481201 19481231    76.3
19490101 19490131   141.7
19490201 19490228   216.5
19490301 19490331   109.7
19490401 19490430     0.0
19490501 19490531   182.4
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     1.5
19491101 19491130    31.3
19491201 19491231   240.1
19500101 19500131   169.8
19500201 19500228    83.6
19500301 19500331    66.3
19500401 19500430     2.5
19500501 19500531     0.0
19500601 19500630     0.0
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930    17.8
19501001 19501031    52.0
19501101 19501130     4.8
19501201 19501231   306.3
19510101 19510131   106.2
19510201 19510228   357.7
19510301 19510331    76.6
19510401 19510430    11.9
19510501 19510531     0.0
19510601 19510630    25.4
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     2.5
19511101 19511130    28.2
19511201 19511231    44.9
19520101 19520131   108.7
19520201 19520229   113.7
19520301 19520331    21.3
19520401 19520430    28.2
19520501 19520531     0.0
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130    20.2
19521201 19521231    21.3
19530101 19530131   202.7
19530201 19530228    86.9
19530301 19530331    16.7
19530401 19530430     3.3
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     1.3
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130    34.3
19531201 19531231   170.0
19540101 19540131   255.8
19540201 19540228     9.4
19540301 19540331    49.2
19540401 19540430   227.3
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031    28.7
19541101 19541130    11.9
19541201 19541231    11.6
19550101 19550131   177.5
19550201 19550228   192.1
19550301 19550331    97.1
19550401 19550430    68.8
19550501 19550531    27.1
19550601 19550630    22.1
19550701 19550731    22.9
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031     0.0
19551101 19551130    65.3
19551201 19551231    88.1
19560101 19560131   185.0
19560201 19560229   616.2
19560301 19560331    94.8
19560401 19560430     0.0
19560501 19560531    59.4
19560601 19560630     1.5
19560701 19560731    72.6
19560801 19560831     0.0
19560901 19560930     0.0
19561001 19561031     2.0
19561101 19561130    29.9
19561201 19561231    65.3
19570101 19570131   151.7
19570201 19570228   205.5
19570301 19570331   223.7
19570401 19570430    12.5
19570501 19570531     0.0
19570601 19570630    58.6
19570701 19570731     6.6
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    33.5
19571101 19571130    27.1
19571201 19571231   231.4
19580101 19580131   109.0
19580201 19580228    68.8
19580301 19580331   160.2
19580401 19580430    67.3
19580501 19580531     6.6
19580601 19580630     0.0
19580701 19580731     2.5
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     0.0
19581101 19581130    21.1
19581201 19581231    71.6
19590101 19590131   263.0
19590201 19590228    90.2
19590301 19590331   130.6
19590401 19590430    11.4
19590501 19590531    62.4
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130    71.7
19591201 19591231    78.9
19600101 19600131   305.5
19600201 19600229   182.3
19600301 19600331   157.0
19600401 19600430    33.8
19600501 19600531     8.4
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     6.1
19601101 19601130     0.0
19601201 19601231   217.5
19610101 19610131    18.5
19610201 19610228   285.5
19610301 19610331    55.9
19610401 19610430    96.8
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130    30.5
19611201 19611231    89.5
19620101 19620131   271.9
19620201 19620228   239.9
19620301 19620331    98.8
19620401 19620430     0.0
19620501 19620531    12.2
19620601 19620630    32.8
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     5.1
19621101 19621130     9.8
19621201 19621231   122.6
19630101 19630131   569.6
19630201 19630228   283.6
19630301 19630331    41.2
19630401 19630430     5.1
19630501 19630531     8.1
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     6.4
19631101 19631130    27.2
19631201 19631231    43.9
19640101 19640131   152.7
19640201 19640229    68.1
19640301 19640331     9.7
19640401 19640430    49.1
19640501 19640531    79.7
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     1.8
19641001 19641031     5.6
19641101 19641130    63.7
19641201 19641231    99.6
19650101 19650131   159.4
19650201 19650228   111.9
19650301 19650331    84.3
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     5.1
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031    36.2
19651101 19651130    26.9
19651201 19651231    46.2
19660101 19660131   179.2
19660201 19660228   179.6
19660301 19660331    80.4
19660401 19660430    36.1
19660501 19660531     0.8
19660601 19660630     7.9
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     3.0
19661101 19661130     0.0
19661201 19661231    31.0
19670101 19670131   299.6
19670201 19670228   308.4
19670301 19670331   124.1
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031    11.2
19671101 19671130    30.6
19671201 19671231    17.5
19680101 19680131   299.2
19680201 19680229   239.5
19680301 19680331   191.4
19680401 19680430    14.5
19680501 19680531    98.8
19680601 19680630     0.0
19680701 19680731    43.9
19680801 19680831     0.0
19680901 19680930    26.6
19681001 19681031     4.3
19681101 19681130    93.2
19681201 19681231    37.0
19690101 19690131   152.0
19690201 19690228   245.2
19690301 19690331   222.3
19690401 19690430     0.0
19690501 19690531     1.0
19690601 19690630     0.0
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    11.2
19691101 19691130    23.3
19691201 19691231    61.2
19700101 19700131   145.3
19700201 19700228   108.2
19700301 19700331    72.8
19700401 19700430    29.5
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     0.0
19701001 19701031     1.3
19701101 19701130    49.9
19701201 19701231   159.6
19710101 19710131   170.9
19710201 19710228   192.2
19710301 19710331   181.9
19710401 19710430    14.0
19710501 19710531     1.0
19710601 19710630     0.0
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031     8.1
19711101 19711130    52.3
19711201 19711231   207.8
19720101 19720131    62.2
19720201 19720229   130.2
19720301 19720331   166.7
19720401 19720430     6.8
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130     0.0
19721201 19721231    90.9
19730101 19730131   381.9
19730201 19730228    89.9
19730301 19730331   171.2
19730401 19730430    32.2
19730501 19730531     2.0
19730601 19730630     8.9
19730701 19730731     0.0
19730801 19730831     6.6
19730901 19730930     0.5
19731001 19731031    19.8
19731101 19731130    88.3
19731201 19731231   147.5
19740101 19740131   433.0
19740201 19740228   194.8
19740301 19740331    77.2
19740401 19740430   286.2
19740501 19740531    24.3
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     0.0
19740901 19740930    77.4
19741001 19741031    30.0
19741101 19741130    58.7
19741201 19741231    80.8
19750101 19750131   123.2
19750201 19750228    88.0
19750301 19750331    80.4
19750401 19750430    50.5
19750501 19750531     0.0
19750601 19750630     0.0
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930    21.8
19751001 19751031   103.6
19751101 19751130    66.2
19751201 19751231    27.6
19760101 19760131   292.4
19760201 19760229   355.4
19760301 19760331   152.4
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     4.4
19761001 19761031     9.0
19761101 19761130     0.0
19761201 19761231   148.8
19770101 19770131    55.0
19770201 19770228   145.6
19770301 19770331    84.0
19770401 19770430     8.8
19770501 19770531     0.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     3.0
19771101 19771130    15.6
19771201 19771231    64.4
19780101 19780131   406.6
