PRCP       003023 19030101 20110131 missing_value=99999.9 ROEBUCK PLAINS                            
19030101 19030131    56.4
19030201 19030228   121.9
19030301 19030331    68.3
19030401 19030430    82.8
19030501 19030531     1.3
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831     0.0
19030901 19030930     0.0
19031001 19031031     5.3
19031101 19031130     0.0
19031201 19031231   113.0
19040101 19040131   135.1
19040201 19040229   115.6
19040301 19040331   176.5
19040401 19040430   139.7
19040501 19040531    11.4
19040601 19040630    16.3
19040701 19040731     3.3
19040801 19040831     0.0
19040901 19040930     0.0
19041001 19041031     5.1
19041101 19041130    20.1
19041201 19041231    98.0
19050101 19050131    37.1
19050201 19050228   113.3
19050301 19050331    12.2
19050401 19050430     9.4
19050501 19050531    22.9
19050601 19050630    16.0
19050701 19050731     9.4
19050801 19050831    16.5
19050901 19050930     5.1
19051001 19051031     0.0
19051101 19051130     6.4
19051201 19051231    51.6
19060101 19060131   102.4
19060201 19060228    88.6
19060301 19060331     5.6
19060401 19060430    15.0
19060501 19060531     0.0
19060601 19060630     0.0
19060701 19060731     0.0
19060801 19060831     9.4
19060901 19060930     0.0
19061001 19061031     0.0
19061101 19061130     0.0
19061201 19061231   324.6
19070101 19070131   235.2
19070201 19070228   123.5
19070301 19070331   149.1
19070401 19070430     0.0
19070501 19070531     0.0
19070601 19070630    42.4
19070701 19070731    15.0
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031     0.0
19071101 19071130     0.0
19071201 19071231    72.3
19080101 19080131   110.2
19080201 19080229   127.3
19080301 19080331    40.1
19080401 19080430   152.4
19080501 19080531     0.0
19080601 19080630     0.0
19080701 19080731    16.5
19080801 19080831     0.0
19080901 19080930     0.0
19081001 19081031     0.0
19081101 19081130    11.4
19081201 19081231   213.8
19090101 19090131    29.8
19090201 19090228    95.1
19090301 19090331    21.6
19090401 19090430   147.9
19090501 19090531     3.0
19090601 19090630    28.2
19090701 19090731     0.0
19090801 19090831     0.0
19090901 19090930     0.0
19091001 19091031     0.0
19091101 19091130   103.3
19091201 19091231    67.8
19100101 19100131    78.5
19100201 19100228   159.5
19100301 19100331     0.0
19100401 19100430     0.0
19100501 19100531     0.0
19100601 19100630     0.0
19100701 19100731     0.0
19100801 19100831     0.0
19100901 19100930     0.0
19101001 19101031     0.0
19101101 19101130   256.8
19101201 19101231     0.0
19110101 19110131    54.6
19110201 19110228    62.7
19110301 19110331     2.5
19110401 19110430    29.2
19110501 19110531     0.0
19110601 19110630    49.0
19110701 19110731     0.0
19110801 19110831     0.0
19110901 19110930     0.0
19111001 19111031     0.0
19111101 19111130     0.0
19111201 19111231   117.9
19120101 19120131   117.2
19120201 19120229   238.1
19120301 19120331   265.5
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630     0.0
19120701 19120731     0.0
19120801 19120831     0.0
