PRCP       003027 19090701 20180131 missing_value=99999.9 FOSSIL DOWNS                              
19090701 19090731     0.0
19090801 19090831     1.0
19090901 19090930     0.0
19091001 19091031    12.9
19091101 19091130    42.4
19091201 19091231    40.6
19100101 19100131    64.8
19100201 19100228   131.3
19100301 19100331    21.6
19100401 19100430    27.7
19100501 19100531     0.0
19100601 19100630     4.0
19100701 19100731     5.1
19100801 19100831    12.4
19100901 19100930     0.3
19101001 19101031     0.0
19101101 19101130    52.3
19101201 19101231    62.1
19110101 19110131   103.4
19110201 19110228    58.9
19110301 19110331     0.0
19110401 19110430    66.1
19110501 19110531     0.0
19110601 19110630     5.1
19110701 19110731     0.0
19110801 19110831     0.0
19110901 19110930     0.0
19111001 19111031    37.1
19111101 19111130    47.5
19111201 19111231    95.5
19120101 19120131    62.2
19120201 19120229   218.9
19120301 19120331    41.1
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630     0.0
19120701 19120731     0.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     0.0
19121101 19121130    24.1
19121201 19121231    80.0
19130101 19130131    80.0
19130201 19130228    89.0
19130301 19130331   227.5
19130401 19130430     0.0
19130501 19130531     0.0
19130601 19130630     0.0
19130701 19130731     6.3
19130801 19130831     0.0
19130901 19130930     0.0
19131001 19131031     0.0
19131101 19131130     0.0
19131201 19131231    76.4
19140101 19140131   278.5
19140201 19140228    53.4
19140301 19140331    27.2
19140401 19140430    26.7
19140501 19140531    50.8
19140601 19140630     0.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    10.2
19141101 19141130   162.7
19141201 19141231   239.1
19150101 19150131   234.9
19150201 19150228    63.4
19150301 19150331    15.3
19150401 19150430    44.5
19150501 19150531    25.4
19150601 19150630    25.4
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930     0.0
19151001 19151031     0.0
19151101 19151130    12.0
19151201 19151231    94.0
19160101 19160131   179.9
19160201 19160229    40.8
19160301 19160331    55.9
19160401 19160430     0.0
19160501 19160531     0.0
19160601 19160630     0.0
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930     0.0
19161001 19161031    77.5
19161101 19161130    34.5
19161201 19161231   203.6
19170101 19170131   158.8
19170201 19170228   108.5
19170301 19170331    47.1
19170401 19170430    19.9
19170501 19170531     0.0
19170601 19170630     5.1
19170701 19170731     0.0
19170801 19170831     0.0
19170901 19170930     0.0
19171001 19171031     1.8
19171101 19171130    59.7
19171201 19171231   253.6
19180101 19180131   277.0
19180201 19180228   399.1
19180301 19180331     5.1
19180401 19180430     0.0
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731    25.4
19180801 19180831     7.6
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130     5.1
19181201 19181231    33.2
19190101 19190131    42.0
19190201 19190228   148.1
19190301 19190331     0.0
19190401 19190430     0.0
19190501 19190531     0.0
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     7.6
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130     1.0
19191201 19191231   167.1
19200101 19200131   175.0
19200201 19200229    66.2
19200301 19200331    68.7
19200401 19200430    31.8
19200501 19200531     0.0
19200601 19200630     0.0
19200701 19200731    22.9
19200801 19200831    12.7
19200901 19200930     7.6
19201001 19201031     2.5
19201101 19201130    12.7
19201201 19201231    30.5
19210101 19210131    97.9
