PRCP       003030 18910101 20180131 missing_value=99999.9 BIDYADANGA                                
18910101 18910131     5.1
18910201 18910228    33.8
18910301 18910331     0.0
18910401 18910430     3.3
18910501 18910531     3.0
18910601 18910630    10.7
18910701 18910731     0.0
18910801 18910831     0.0
18910901 18910930     0.0
18911001 18911031     0.0
18911101 18911130     0.5
18911201 18911231    10.2
18920101 18920131     9.4
18920201 18920229   174.2
18920301 18920331    90.4
18920401 18920430     0.0
18920501 18920531     2.5
18920601 18920630     0.0
18920701 18920731    34.5
18920801 18920831     0.0
18920901 18920930     0.0
18921001 18921031     0.0
18921101 18921130     0.0
18921201 18921231    14.2
18930101 18930131   256.0
18930201 18930228    67.8
18930301 18930331    23.6
18930401 18930430     3.8
18930501 18930531     0.0
18930601 18930630    78.0
18930701 18930731    35.8
18930801 18930831     0.0
18930901 18930930     0.0
18931001 18931031     0.0
18931101 18931130     1.0
18931201 18931231     8.4
18940101 18940131    77.7
18940201 18940228   158.0
18940301 18940331   286.3
18940401 18940430     0.0
18940501 18940531     0.0
18940601 18940630     0.0
18940701 18940731     0.0
18940801 18940831     0.5
18940901 18940930     0.0
18941001 18941031     0.0
18941101 18941130     2.0
18941201 18941231     1.5
18950101 18950131    61.0
18950201 18950228    96.0
18950301 18950331    73.9
18950401 18950430     0.0
18950501 18950531    64.0
18950601 18950630    24.9
18950701 18950731     0.3
18950801 18950831     0.0
18950901 18950930     0.0
18951001 18951031     0.0
18951101 18951130     0.0
18951201 18951231     0.0
18960101 18960131   338.8
18960201 18960229   313.2
18960301 18960331    93.0
18960401 18960430     0.0
18960501 18960531     0.0
18960601 18960630     0.0
18960701 18960731     0.0
18960801 18960831     0.0
18960901 18960930     0.0
18961001 18961031     0.0
18961101 18961130     0.0
18961201 18961231     1.3
18970101 18970131     3.0
18970201 18970228   112.5
18970301 18970331    98.8
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    39.6
18970701 18970731     0.0
18970801 18970831     0.0
18970901 18970930     0.0
18971001 18971031     0.0
18971101 18971130     2.0
18971201 18971231   268.0
18980101 18980131    68.8
18980201 18980228   167.6
18980301 18980331   159.5
18980401 18980430    81.0
18980501 18980531    23.6
18980601 18980630    57.4
18980701 18980731     0.0
18980801 18980831     1.5
18980901 18980930     0.0
18981001 18981031     0.0
18981101 18981130    75.9
18981201 18981231   334.3
18990101 18990131   133.4
18990201 18990228   174.8
18990301 18990331   261.1
18990401 18990430     1.3
18990501 18990531     0.8
18990601 18990630    43.2
18990701 18990731     2.3
18990801 18990831     1.0
18990901 18990930     0.0
18991001 18991031     0.0
18991101 18991130     0.0
18991201 18991231    41.7
19000101 19000131    21.6
19000201 19000228     9.1
19000301 19000331   205.5
19000401 19000430    52.3
19000501 19000531    23.9
19000601 19000630    23.6
19000701 19000731    46.2
19000801 19000831     0.0
19000901 19000930     0.0
19001001 19001031     1.8
19001101 19001130     0.3
19001201 19001231     4.8
19010101 19010131    40.6
19010201 19010228   345.2
19010301 19010331    63.8
19010401 19010430     0.3
19010501 19010531     0.0
19010601 19010630   124.0
19010701 19010731    62.5
19010801 19010831     0.0
19010901 19010930     3.3
19011001 19011031     0.0
19011101 19011130     3.0
19011201 19011231     0.5
19020101 19020131   231.6
19020201 19020228   356.6
19020301 19020331    35.1
19020401 19020430     0.0
19020501 19020531     0.3
19020601 19020630    47.5
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930     0.0
19021001 19021031     1.3
19021101 19021130    14.7
19021201 19021231     3.6
19030101 19030131    11.7
19030201 19030228    57.9
19030301 19030331    93.0
19030401 19030430   160.5
19030501 19030531     1.0
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831     0.0
19030901 19030930     0.0
19031001 19031031     0.0
19031101 19031130     0.0
19031201 19031231    19.3
19040101 19040131   132.6
19040201 19040229    26.4
19040301 19040331    44.5
19040401 19040430    69.9
19040501 19040531     8.1
19040601 19040630    49.3
19040701 19040731    48.5
19040801 19040831     0.0
19040901 19040930     2.0
19041001 19041031     0.0
19041101 19041130     0.5
19041201 19041231    48.8
19050101 19050131    46.2
19050201 19050228    81.8
19050301 19050331     1.5
19050401 19050430     0.5
19050501 19050531    49.8
19050601 19050630     7.9
19050701 19050731    10.2
19050801 19050831    15.2
19050901 19050930    13.0
19051001 19051031     0.0
19051101 19051130     0.0
19051201 19051231    15.0
19060101 19060131   220.2
19060201 19060228    78.2
19060301 19060331     0.0
19060401 19060430     0.5
19060501 19060531     0.0
19060601 19060630     4.8
19060701 19060731     4.3
19060801 19060831    10.2
19060901 19060930     0.8
19061001 19061031     0.0
19061101 19061130     0.0
19061201 19061231   320.0
19070101 19070131   185.1
19070201 19070228   123.4
19070301 19070331   180.1
19070401 19070430     0.0
19070501 19070531     0.0
19070601 19070630    32.5
19070701 19070731    38.1
19070801 19070831     0.8
19070901 19070930     0.3
19071001 19071031     0.0
19071101 19071130     0.0
19071201 19071231    13.0
19080101 19080131     0.6
19080201 19080229    73.8
19080301 19080331    16.5
19080401 19080430   137.7
19080501 19080531    15.5
19080601 19080630    24.9
19080701 19080731     6.6
19080801 19080831     0.0
19080901 19080930     0.0
19081001 19081031     0.0
19081101 19081130     3.3
19081201 19081231   156.5
19090101 19090131     8.1
19090201 19090228   109.9
19090301 19090331    10.2
19090401 19090430    65.8
19090501 19090531     4.6
19090601 19090630    66.6
19090701 19090731     0.0
19090801 19090831     0.0
19090901 19090930     0.0
19091001 19091031     0.0
19091101 19091130   113.9
19091201 19091231    19.1
19100101 19100131    37.7
19100201 19100228   105.8
19100301 19100331     0.0
19100401 19100430     2.1
19100501 19100531    46.1
19100601 19100630    15.2
19100701 19100731     2.5
19100801 19100831     0.0
19100901 19100930     0.0
19101001 19101031     0.0
19101101 19101130   188.6
19101201 19101231     2.5
19110101 19110131   111.7
19110201 19110228     7.8
19110301 19110331     6.9
19110401 19110430     9.7
19110501 19110531     2.9
19110601 19110630    76.2
19110701 19110731    22.1
19110801 19110831     9.1
19110901 19110930     0.0
19111001 19111031     0.0
19111101 19111130     0.0
19111201 19111231    86.0
19120101 19120131    10.4
19120201 19120229   300.5
19120301 19120331   292.5
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630     0.0
19120701 19120731     0.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     0.0
19121101 19121130     0.6
19121201 19121231     6.4
19130101 19130131    48.5
19130201 19130228    31.8
19130301 19130331   199.5
19130401 19130430     2.5
19130501 19130531     0.5
19130601 19130630     1.6
19130701 19130731     0.3
19130801 19130831     0.0
19130901 19130930     0.3
19131001 19131031     0.0
19131101 19131130     0.0
19131201 19131231    10.5
19140101 19140131   194.8
19140201 19140228   101.8
19140301 19140331    65.9
19140401 19140430    13.0
19140501 19140531    59.4
19140601 19140630     0.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031     0.6
19141101 19141130    11.4
19141201 19141231   147.2
19150101 19150131   167.9
19150201 19150228    97.8
19150301 19150331    76.9
19150401 19150430     0.0
19150501 19150531   116.9
19150601 19150630    92.0
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930     0.0
19151001 19151031     0.0
19151101 19151130     0.6
19151201 19151231    17.8
19160101 19160131    10.5
19160201 19160229    43.4
19160301 19160331   362.9
19160401 19160430     0.0
