PRCP       005004 18970101 20140131 missing_value=99999.9 EXMOUTH GULF                              
18970101 18970131     4.1
18970201 18970228    84.2
18970301 18970331     0.0
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630   194.3
18970701 18970731    89.7
18970801 18970831     0.0
18970901 18970930     0.0
18971001 18971031     0.0
18971101 18971130     0.0
18971201 18971231   102.2
18980101 18980131    44.8
18980201 18980228   189.2
18980301 18980331     0.0
18980401 18980430     0.0
18980501 18980531     0.0
18980601 18980630    24.7
18980701 18980731     0.0
18980801 18980831     0.0
18980901 18980930     0.0
18981001 18981031     0.0
18981101 18981130    11.1
18981201 18981231     0.0
18990101 18990131    10.9
18990201 18990228    85.9
18990301 18990331     0.0
18990401 18990430     7.1
18990501 18990531     0.0
18990601 18990630    78.3
18990701 18990731     0.0
18990801 18990831    16.3
18990901 18990930     0.0
18991001 18991031     0.0
18991101 18991130     0.0
18991201 18991231     2.7
19000101 19000131     0.0
19000201 19000228    21.0
19000301 19000331   145.6
19000401 19000430   169.9
19000501 19000531    38.1
19000601 19000630    79.6
19000701 19000731    21.5
19000801 19000831     6.0
19000901 19000930    12.2
19001001 19001031     0.0
19001101 19001130     0.0
19001201 19001231     0.0
19010101 19010131     2.7
19010201 19010228    67.9
19010301 19010331    98.7
19010401 19010430     0.0
19010501 19010531     5.5
19010601 19010630    28.0
19010701 19010731     6.0
19010801 19010831     0.0
19010901 19010930     0.0
19011001 19011031     0.0
19011101 19011130     0.0
19011201 19011231     6.8
19020101 19020131   152.2
19020201 19020228     6.2
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531     7.4
19020601 19020630     6.2
19020701 19020731     0.0
19020801 19020831    13.1
19020901 19020930     0.0
19021001 19021031     0.0
19021101 19021130     0.0
19021201 19021231     0.0
19030101 19030131    14.1
19030201 19030228    42.2
19030301 19030331     0.0
19030401 19030430    12.2
19030501 19030531     3.2
19030601 19030630    48.9
19030701 19030731    15.7
19030801 19030831     1.4
19030901 19030930     2.7
19031001 19031031     0.0
19031101 19031130     0.0
19031201 19031231    12.2
19040101 19040131    32.6
19040201 19040229     0.0
19040301 19040331    34.2
19040401 19040430     0.0
19040501 19040531    47.6
