PRCP       005014 18860701 20180131 missing_value=99999.9 MOUNT FLORANCE                            
18860701 18860731     8.1
18860801 18860831     2.0
18860901 18860930     0.0
18861001 18861031     0.0
18861101 18861130     1.8
18861201 18861231    23.9
18870101 18870131   147.1
18870201 18870228    60.7
18870301 18870331    37.6
18870401 18870430    68.6
18870501 18870531    28.2
18870601 18870630    53.3
18870701 18870731     7.1
18870801 18870831     0.5
18870901 18870930     0.0
18871001 18871031     0.0
18871101 18871130     0.0
18871201 18871231    13.7
18880101 18880131   133.9
18880201 18880229    50.5
18880301 18880331     4.1
18880401 18880430    35.6
18880501 18880531    16.5
18880601 18880630    27.7
18880701 18880731    18.5
18880801 18880831    14.2
18880901 18880930     0.3
18881001 18881031     0.3
18881101 18881130     0.0
18881201 18881231    22.4
18890101 18890131   109.2
18890201 18890228    73.2
18890301 18890331    40.4
18890401 18890430     0.0
18890501 18890531    27.9
18890601 18890630    35.6
18890701 18890731     3.0
18890801 18890831    14.0
18890901 18890930     0.0
18891001 18891031     0.0
18891101 18891130     3.0
18891201 18891231    49.3
18900101 18900131    35.1
18900201 18900228    80.5
18900301 18900331    58.2
18900401 18900430    39.4
18900501 18900531    20.6
18900601 18900630     7.1
18900701 18900731     0.0
18900801 18900831     0.0
18900901 18900930     0.0
18901001 18901031     0.0
18901101 18901130    80.5
18901201 18901231     0.0
18910101 18910131    52.3
18910201 18910228    19.3
18910301 18910331     0.0
18910401 18910430     0.0
18910501 18910531     0.0
18910601 18910630    11.4
18910701 18910731     0.0
18910801 18910831     0.0
18910901 18910930     0.0
18911001 18911031     0.0
18911101 18911130    21.6
18911201 18911231    35.3
18920101 18920131    32.0
18920201 18920229    16.3
18920301 18920331    58.7
18920401 18920430     0.0
18920501 18920531     2.5
18920601 18920630     0.0
18920701 18920731    37.3
18920801 18920831     0.8
18920901 18920930     0.0
18921001 18921031     0.0
18921101 18921130     0.0
18921201 18921231    14.2
18930101 18930131   261.6
18930201 18930228   102.6
18930301 18930331     9.1
18930401 18930430    53.3
18930501 18930531     0.0
18930601 18930630    78.5
18930701 18930731    33.0
18930801 18930831     0.0
18930901 18930930     0.0
18931001 18931031     0.0
18931101 18931130     0.0
18931201 18931231    24.1
18940101 18940131   666.5
18940201 18940228    38.1
18940301 18940331    50.3
18940401 18940430     0.0
18940501 18940531     0.0
18940601 18940630     0.5
18940701 18940731     5.3
18940801 18940831     0.0
18940901 18940930     0.0
18941001 18941031     0.0
18941101 18941130     0.0
18941201 18941231     0.0
18950101 18950131    70.4
18950201 18950228   181.1
18950301 18950331    87.9
18950401 18950430    18.0
18950501 18950531     0.0
18950601 18950630    31.5
18950701 18950731    24.9
18950801 18950831     0.0
18950901 18950930     0.0
18951001 18951031     0.0
18951101 18951130     0.0
18951201 18951231     0.0
18960101 18960131   318.5
18960201 18960229    14.5
18960301 18960331    35.3
18960401 18960430     0.0
18960501 18960531     0.0
18960601 18960630     0.0
18960701 18960731     0.0
18960801 18960831     0.0
18960901 18960930     0.0
18961001 18961031     0.0
18961101 18961130     0.0
18961201 18961231    16.5
18970101 18970131    12.7
18970201 18970228   212.9
18970301 18970331    31.2
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    58.9
18970701 18970731    22.9
18970801 18970831     0.0
18970901 18970930     0.0
18971001 18971031     0.0
18971101 18971130     0.0
18971201 18971231     0.0
18980101 18980131    74.9
18980201 18980228    65.8
18980301 18980331     0.0
18980401 18980430   170.7
18980501 18980531    16.8
