PRCP       006055 19040101 20180131 missing_value=99999.9 WOOLGORONG                                
19040101 19040131     0.0
19040201 19040229     0.0
19040301 19040331     0.0
19040401 19040430     0.0
19040501 19040531    21.3
19040601 19040630    33.6
19040701 19040731    94.6
19040801 19040831     3.3
19040901 19040930    22.9
19041001 19041031     6.4
19041101 19041130     1.3
19041201 19041231    21.9
19050101 19050131     2.8
19050201 19050228    94.0
19050301 19050331     7.1
19050401 19050430     1.3
19050501 19050531    90.7
19050601 19050630     9.9
19050701 19050731    34.5
19050801 19050831    12.4
19050901 19050930    16.5
19051001 19051031     0.8
19051101 19051130     0.0
19051201 19051231    12.7
19060101 19060131     0.0
19060201 19060228     1.8
19060301 19060331     0.0
19060401 19060430     0.8
19060501 19060531    17.5
19060601 19060630    31.2
19060701 19060731    44.5
19060801 19060831    55.9
19060901 19060930     4.6
19061001 19061031     0.0
19061101 19061130    11.4
19061201 19061231     0.0
19070101 19070131     5.3
19070201 19070228    13.0
19070301 19070331    34.3
19070401 19070430     6.6
19070501 19070531    14.8
19070601 19070630    57.9
19070701 19070731    64.6
19070801 19070831    14.0
19070901 19070930     6.4
19071001 19071031     0.0
19071101 19071130     0.0
19071201 19071231     0.0
19080101 19080131     0.0
19080201 19080229     0.0
19080301 19080331     0.0
19080401 19080430    67.8
19080501 19080531   100.9
19080601 19080630    55.0
19080701 19080731    20.0
19080801 19080831    44.2
19080901 19080930     0.0
19081001 19081031     1.3
19081101 19081130     5.6
19081201 19081231    19.3
19090101 19090131    40.4
19090201 19090228     1.8
19090301 19090331     0.0
19090401 19090430    11.4
19090501 19090531    20.1
19090601 19090630    66.7
19090701 19090731    17.6
19090801 19090831   113.8
19090901 19090930    14.7
19091001 19091031     0.0
19091101 19091130     0.0
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228    10.7
19100301 19100331     0.0
19100401 19100430     0.0
19100501 19100531    66.3
19100601 19100630    48.7
19100701 19100731    45.7
19100801 19100831    11.9
19100901 19100930     0.0
19101001 19101031     4.3
19101101 19101130    25.4
19101201 19101231    15.2
19110101 19110131    25.7
19110201 19110228     0.0
19110301 19110331     3.0
19110401 19110430     0.0
19110501 19110531    27.1
19110601 19110630    14.5
19110701 19110731    29.8
19110801 19110831     5.3
19110901 19110930     0.0
19111001 19111031     0.0
19111101 19111130     0.0
19111201 19111231     0.0
19120101 19120131    22.9
19120201 19120229    19.1
19120301 19120331     7.1
19120401 19120430     0.0
19120501 19120531    53.6
19120601 19120630     6.7
19120701 19120731    55.6
19120801 19120831     4.1
19120901 19120930     4.8
19121001 19121031     4.6
19121101 19121130     0.0
19121201 19121231     0.0
19130101 19130131    55.6
19130201 19130228     0.0
19130301 19130331    15.0
19130401 19130430     8.9
19130501 19130531     0.0
19130601 19130630    25.9
19130701 19130731    37.6
19130801 19130831    45.3
19130901 19130930    25.4
19131001 19131031     0.0
19131101 19131130     0.0
19131201 19131231     0.0
19140101 19140131    28.4
19140201 19140228    16.0
19140301 19140331     0.0
19140401 19140430     0.0
19140501 19140531     2.5
19140601 19140630     6.0
19140701 19140731    46.5
19140801 19140831    21.1
19140901 19140930     0.0
19141001 19141031     2.3
19141101 19141130    41.4
19141201 19141231    34.0
19150101 19150131    79.8
19150201 19150228    66.1
19150301 19150331    12.7
19150401 19150430    19.3
19150501 19150531    52.2
19150601 19150630    99.8
19150701 19150731    39.8
19150801 19150831    38.5
19150901 19150930     5.9
19151001 19151031     0.0
19151101 19151130     0.0
19151201 19151231     0.0
19160101 19160131    57.4
19160201 19160229    28.2
19160301 19160331    64.3
19160401 19160430     0.0
19160501 19160531    16.2
19160601 19160630    12.3
19160701 19160731    18.3
19160801 19160831    20.9
19160901 19160930     0.0
19161001 19161031    29.7
19161101 19161130     0.0
19161201 19161231     0.0
19170101 19170131    14.5
19170201 19170228     5.8
19170301 19170331    82.3
19170401 19170430    21.8
19170501 19170531    15.7
19170601 19170630    67.6
19170701 19170731    65.7
19170801 19170831    37.9
19170901 19170930    53.1
19171001 19171031    17.8
19171101 19171130     1.3
19171201 19171231     7.6
19180101 19180131     3.0
19180201 19180228    85.5
19180301 19180331    12.5
19180401 19180430    58.0
19180501 19180531    20.0
19180601 19180630    44.9
19180701 19180731    33.5
19180801 19180831    16.8
19180901 19180930    29.2
19181001 19181031     2.0
19181101 19181130     0.0
19181201 19181231     0.8
19190101 19190131     1.3
19190201 19190228    36.6
19190301 19190331     0.0
19190401 19190430     5.1
19190501 19190531    21.7
19190601 19190630    81.9
19190701 19190731    68.4
19190801 19190831    55.3
19190901 19190930     4.1
19191001 19191031     6.9
19191101 19191130    16.8
19191201 19191231     1.8
19200101 19200131    12.7
19200201 19200229     3.5
19200301 19200331    28.6
19200401 19200430    28.7
19200501 19200531    44.2
19200601 19200630    18.9
19200701 19200731    26.0
19200801 19200831    67.5
19200901 19200930     8.3
19201001 19201031     0.3
19201101 19201130     4.6
19201201 19201231     0.5
19210101 19210131    36.1
19210201 19210228    15.2
19210301 19210331    38.1
19210401 19210430     0.0
19210501 19210531   133.1
19210601 19210630    57.2
19210701 19210731     8.5
19210801 19210831    25.7
19210901 19210930    14.7
19211001 19211031     9.2
19211101 19211130     0.0
19211201 19211231    11.7
19220101 19220131     0.0
19220201 19220228    18.8
19220301 19220331    34.1
19220401 19220430    14.0
19220501 19220531    11.2
19220601 19220630     8.4
19220701 19220731    28.0
19220801 19220831    24.1
19220901 19220930     7.9
19221001 19221031     0.0
19221101 19221130     0.0
19221201 19221231     0.0
19230101 19230131    29.8
19230201 19230228     4.0
19230301 19230331    15.0
19230401 19230430    44.2
19230501 19230531    10.4
19230601 19230630   110.8
19230701 19230731    72.4
19230801 19230831    14.8
19230901 19230930     4.7
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231     3.8
19240101 19240131     0.0
19240201 19240229     2.5
19240301 19240331    34.6
19240401 19240430     6.1
19240501 19240531    17.0
19240601 19240630    52.3
19240701 19240731    41.7
19240801 19240831    19.6
19240901 19240930     1.3
19241001 19241031     8.7
19241101 19241130     0.0
19241201 19241231     0.0
19250101 19250131    65.0
19250201 19250228     5.1
19250301 19250331     2.3
19250401 19250430     1.0
19250501 19250531    21.4
19250601 19250630    50.3
19250701 19250731    21.5
19250801 19250831    22.1
19250901 19250930    14.0
19251001 19251031     4.6
19251101 19251130     2.8
19251201 19251231     7.1
19260101 19260131     0.0
19260201 19260228     1.8
19260301 19260331    29.4
19260401 19260430    34.1
19260501 19260531    55.1
19260601 19260630    33.1
19260701 19260731    45.4
19260801 19260831     6.4
19260901 19260930     5.1
19261001 19261031     5.8
19261101 19261130    13.7
19261201 19261231     5.7
19270101 19270131     0.0
19270201 19270228    18.0
19270301 19270331   162.2
19270401 19270430     1.0
19270501 19270531    33.8
19270601 19270630    97.3
19270701 19270731    40.1
19270801 19270831    14.6
19270901 19270930    15.6
19271001 19271031     0.5
19271101 19271130     0.0
19271201 19271231     7.1
19280101 19280131    19.6
19280201 19280229     0.0
19280301 19280331    19.3
19280401 19280430    14.3
19280501 19280531    33.3
19280601 19280630    26.4
19280701 19280731    34.3
19280801 19280831    10.0
19280901 19280930    10.9
19281001 19281031     4.3
19281101 19281130     0.5
