PRCP       007007 18910101 20161130 missing_value=99999.9 BOOLARDY                                  
18910101 18910131     0.0
18910201 18910228     0.0
18910301 18910331     0.0
18910401 18910430     0.0
18910501 18910531     0.0
18910601 18910630    28.4
18910701 18910731     2.3
18910801 18910831     0.0
18910901 18910930     0.0
18911001 18911031     0.0
18911101 18911130     0.0
18911201 18911231     0.0
18920101 18920131     7.9
18920201 18920229     7.1
18920301 18920331   161.5
18920401 18920430     5.3
18920501 18920531    31.5
18920601 18920630     8.9
18920701 18920731    89.4
18920801 18920831    35.1
18920901 18920930     0.0
18921001 18921031     0.0
18921101 18921130     3.8
18921201 18921231     1.3
18930101 18930131    28.4
18930201 18930228    39.6
18930301 18930331    22.6
18930401 18930430    66.0
18930501 18930531    23.1
18930601 18930630   100.6
18930701 18930731    49.8
18930801 18930831    19.1
18930901 18930930     0.0
18931001 18931031     0.0
18931101 18931130     0.0
18931201 18931231    19.8
18940101 18940131     0.0
18940201 18940228    26.4
18940301 18940331    11.9
18940401 18940430     0.0
18940501 18940531     3.6
18940601 18940630     6.9
18940701 18940731    17.5
18940801 18940831     0.0
18940901 18940930     0.0
18941001 18941031     0.0
18941101 18941130     0.0
18941201 18941231     0.0
18950101 18950131     0.0
18950201 18950228    13.5
18950301 18950331     0.0
18950401 18950430     7.6
18950501 18950531     0.0
18950601 18950630   111.3
18950701 18950731     0.0
18950801 18950831    10.4
18950901 18950930     6.4
18951001 18951031     0.0
18951101 18951130     0.0
18951201 18951231     0.0
18960101 18960131    18.0
18960201 18960229     0.0
18960301 18960331    39.6
18960401 18960430     0.0
18960501 18960531     0.0
18960601 18960630    18.3
18960701 18960731     9.4
18960801 18960831     0.0
18960901 18960930     0.0
18961001 18961031     0.0
18961101 18961130     0.0
18961201 18961231     0.0
18970101 18970131     0.0
18970201 18970228    21.3
18970301 18970331     0.0
18970401 18970430     0.0
18970501 18970531     5.1
18970601 18970630   108.7
18970701 18970731    23.9
18970801 18970831     0.0
18970901 18970930     0.0
18971001 18971031     0.0
18971101 18971130     0.0
18971201 18971231    27.9
18980101 18980131     6.4
18980201 18980228    96.5
18980301 18980331     0.0
18980401 18980430     0.0
18980501 18980531     0.0
18980601 18980630    56.4
18980701 18980731    20.1
18980801 18980831    12.7
18980901 18980930     0.0
18981001 18981031     0.0
18981101 18981130     0.0
18981201 18981231     0.0
18990101 18990131     0.0
18990201 18990228    18.3
18990301 18990331     0.0
18990401 18990430     3.8
18990501 18990531     0.0
18990601 18990630    90.9
18990701 18990731     3.0
18990801 18990831     0.0
18990901 18990930     0.0
18991001 18991031     0.0
18991101 18991130     0.0
18991201 18991231     0.0
19000101 19000131     0.0
19000201 19000228     0.0
19000301 19000331    61.0
19000401 19000430   141.7
19000501 19000531   116.1
19000601 19000630    66.3
19000701 19000731    21.8
19000801 19000831     6.9
19000901 19000930     0.0
19001001 19001031     0.0
19001101 19001130     0.0
19001201 19001231     0.0
19010101 19010131     0.0
19010201 19010228     0.0
19010301 19010331    49.0
19010401 19010430     0.0
19010501 19010531     0.0
19010601 19010630    13.0
19010701 19010731    14.2
19010801 19010831     0.0
19010901 19010930     0.0
19011001 19011031     0.0
19011101 19011130     0.0
19011201 19011231     0.0
19020101 19020131   153.2
19020201 19020228    25.4
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731    22.4
19020801 19020831     0.0
19020901 19020930     0.0
19021001 19021031     0.0
19021101 19021130     0.0
19021201 19021231     0.0
19030101 19030131     0.0
19030201 19030228     0.0
19030301 19030331     0.0
19030401 19030430    11.4
19030501 19030531     9.1
19030601 19030630    51.6
19030701 19030731    30.7
19030801 19030831    24.1
19030901 19030930    15.5
19031001 19031031     0.0
19031101 19031130     0.0
19031201 19031231     0.0
19040101 19040131     0.0
19040201 19040229     0.0
19040301 19040331     0.0
19040401 19040430     3.3
19040501 19040531    48.5
19040601 19040630    18.5
19040701 19040731   155.2
19040801 19040831     9.9
19040901 19040930    43.4
19041001 19041031     0.0
19041101 19041130     5.1
19041201 19041231    21.3
19050101 19050131     0.0
19050201 19050228     0.0
19050301 19050331     6.4
19050401 19050430     0.0
19050501 19050531    79.2
19050601 19050630    10.7
19050701 19050731    11.7
19050801 19050831     0.0
19050901 19050930     7.1
19051001 19051031     0.0
19051101 19051130     0.0
19051201 19051231    13.7
19060101 19060131     0.0
19060201 19060228     0.0
19060301 19060331     0.0
19060401 19060430     0.0
19060501 19060531     1.0
19060601 19060630     6.9
19060701 19060731    32.0
19060801 19060831   114.8
19060901 19060930     3.8
19061001 19061031     0.0
19061101 19061130    19.3
19061201 19061231     0.0
19070101 19070131    19.3
19070201 19070228    51.5
19070301 19070331    58.4
19070401 19070430     7.1
19070501 19070531     8.1
19070601 19070630    51.9
19070701 19070731    27.6
19070801 19070831    15.2
19070901 19070930     5.8
19071001 19071031     0.0
19071101 19071130     0.0
19071201 19071231     0.0
19080101 19080131     0.0
19080201 19080229    32.3
19080301 19080331     4.6
19080401 19080430    21.3
19080501 19080531    86.0
19080601 19080630    52.1
19080701 19080731    11.2
19080801 19080831    10.7
19080901 19080930     0.0
19081001 19081031     0.0
19081101 19081130     0.0
19081201 19081231     8.6
19090101 19090131    51.9
19090201 19090228    21.1
19090301 19090331     0.0
19090401 19090430    20.3
19090501 19090531    13.3
19090601 19090630    66.0
19090701 19090731    21.8
19090801 19090831    55.0
19090901 19090930     0.0
19091001 19091031     0.0
19091101 19091130     0.0
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228    19.1
19100301 19100331     0.0
19100401 19100430     0.0
19100501 19100531    44.6
19100601 19100630    91.6
19100701 19100731    41.0
19100801 19100831     0.0
19100901 19100930     0.0
19101001 19101031    17.3
19101101 19101130     5.6
19101201 19101231    28.9
19110101 19110131     8.4
19110201 19110228     0.0
19110301 19110331     1.3
19110401 19110430     0.0
19110501 19110531     7.3
19110601 19110630    15.3
19110701 19110731    10.4
19110801 19110831    22.2
19110901 19110930     1.0
19111001 19111031     0.0
19111101 19111130     0.8
19111201 19111231     0.0
19120101 19120131    49.3
19120201 19120229     7.6
19120301 19120331     0.5
19120401 19120430     2.0
19120501 19120531    22.9
19120601 19120630     0.3
19120701 19120731    27.1
19120801 19120831     0.3
19120901 19120930     1.8
19121001 19121031    12.2
19121101 19121130     0.3
19121201 19121231     4.9
19130101 19130131    28.7
19130201 19130228     0.0
19130301 19130331     3.6
19130401 19130430    22.4
19130501 19130531     0.0
19130601 19130630    32.3
19130701 19130731    51.6
19130801 19130831    44.6
19130901 19130930     7.1
19131001 19131031     0.3
19131101 19131130     0.0
19131201 19131231     0.0
19140101 19140131     2.1
19140201 19140228    25.9
19140301 19140331     0.3
19140401 19140430     7.7
19140501 19140531     0.0
19140601 19140630     1.8
19140701 19140731    32.1
19140801 19140831    13.2
19140901 19140930     0.0
19141001 19141031    16.6
19141101 19141130    41.6
19141201 19141231    15.0
19150101 19150131   100.2
19150201 19150228   123.5
19150301 19150331     3.6
19150401 19150430     6.1
19150501 19150531    78.8
19150601 19150630   103.6
19150701 19150731    32.1
19150801 19150831    29.3
19150901 19150930     6.9
19151001 19151031     0.3
19151101 19151130     1.5
19151201 19151231     7.1
19160101 19160131    26.0
19160201 19160229    17.3
19160301 19160331    26.7
19160401 19160430     7.6
19160501 19160531    22.1
19160601 19160630    39.2
19160701 19160731     3.6
19160801 19160831     4.6
19160901 19160930     0.0
19161001 19161031    24.9
19161101 19161130     4.9
19161201 19161231     0.0
19170101 19170131    18.3
19170201 19170228     0.0
19170301 19170331    92.9
19170401 19170430    29.0
19170501 19170531    65.8
19170601 19170630    48.8
19170701 19170731    20.1
19170801 19170831    18.2
19170901 19170930    31.7
19171001 19171031     7.1
19171101 19171130     0.0
19171201 19171231    14.7
19180101 19180131     5.6
19180201 19180228   145.5
19180301 19180331    79.8
19180401 19180430    14.2
19180501 19180531    13.4
19180601 19180630    49.2
19180701 19180731    40.2
19180801 19180831     7.9
19180901 19180930    30.2
19181001 19181031     0.0
19181101 19181130     1.3
19181201 19181231     5.1
19190101 19190131     0.3
19190201 19190228     2.5
19190301 19190331     0.3
19190401 19190430     0.0
19190501 19190531    13.0
19190601 19190630    36.3
19190701 19190731    22.4
19190801 19190831     4.7
19190901 19190930     0.0
19191001 19191031     2.8
19191101 19191130    15.7
19191201 19191231     5.8
19200101 19200131     0.6
19200201 19200229     0.6
19200301 19200331    43.2
19200401 19200430    13.2
19200501 19200531    21.5
19200601 19200630    26.7
19200701 19200731    12.4
19200801 19200831    48.5
19200901 19200930     2.8
19201001 19201031     0.0
19201101 19201130    22.9
19201201 19201231     0.0
19210101 19210131     0.5
19210201 19210228    11.0
19210301 19210331    10.6
19210401 19210430     0.0
19210501 19210531   127.9
19210601 19210630    27.8
19210701 19210731    10.9
19210801 19210831    12.8
19210901 19210930     3.6
19211001 19211031     0.3
19211101 19211130     0.0
19211201 19211231    11.4
19220101 19220131     6.9
