PRCP       007011 19020501 20160430 missing_value=99999.9 BURNERBINMAH                              
19020501 19020531    10.2
19020601 19020630     3.3
19020701 19020731    19.6
19020801 19020831     6.9
19020901 19020930    14.7
19021001 19021031     3.6
19021101 19021130     0.0
19021201 19021231     1.5
19030101 19030131     0.0
19030201 19030228     0.5
19030301 19030331     0.0
19030401 19030430    21.8
19030501 19030531    15.0
19030601 19030630    52.6
19030701 19030731    24.1
19030801 19030831    27.2
19030901 19030930    15.7
19031001 19031031    13.5
19031101 19031130     0.3
19031201 19031231     9.1
19040101 19040131     0.0
19040201 19040229     0.0
19040301 19040331    14.2
19040401 19040430     0.8
19040501 19040531    26.9
19040601 19040630    21.6
19040701 19040731    46.0
19040801 19040831     4.6
19040901 19040930    71.1
19041001 19041031     8.4
19041101 19041130    11.2
19041201 19041231     9.9
19050101 19050131     5.1
19050201 19050228    51.8
19050301 19050331    13.7
19050401 19050430    22.9
19050501 19050531    52.8
19050601 19050630     5.3
19050701 19050731    13.7
19050801 19050831    20.3
19050901 19050930    14.2
19051001 19051031     3.0
19051101 19051130     0.0
19051201 19051231    20.1
19060101 19060131     9.1
19060201 19060228     0.0
19060301 19060331     0.0
19060401 19060430     0.5
19060501 19060531    31.8
19060601 19060630    19.8
19060701 19060731    48.5
19060801 19060831    58.9
19060901 19060930     6.6
19061001 19061031     0.0
19061101 19061130    16.5
19061201 19061231     8.9
19070101 19070131     0.0
19070201 19070228    13.9
19070301 19070331    42.4
19070401 19070430     7.6
19070501 19070531     9.3
19070601 19070630    42.6
19070701 19070731    59.0
19070801 19070831    23.7
19070901 19070930     3.0
19071001 19071031     0.0
19071101 19071130     0.0
19071201 19071231     0.0
19080101 19080131     0.0
19080201 19080229    22.4
19080301 19080331    16.3
19080401 19080430    53.7
19080501 19080531    97.8
19080601 19080630    25.1
19080701 19080731     9.4
19080801 19080831    27.6
19080901 19080930     0.5
19081001 19081031     3.8
19081101 19081130     7.9
19081201 19081231    28.0
19090101 19090131    64.6
19090201 19090228    24.1
19090301 19090331     0.0
19090401 19090430    29.2
19090501 19090531    13.3
19090601 19090630    42.7
19090701 19090731    17.1
19090801 19090831    92.1
19090901 19090930    10.0
19091001 19091031    63.0
19091101 19091130     7.6
19091201 19091231     0.0
19100101 19100131     2.1
19100201 19100228     9.2
19100301 19100331     0.0
19100401 19100430     0.0
19100501 19100531    62.0
19100601 19100630    44.4
19100701 19100731    39.2
19100801 19100831     9.1
19100901 19100930     8.4
19101001 19101031    10.4
19101101 19101130     0.0
19101201 19101231    23.7
19110101 19110131    25.4
19110201 19110228     0.0
19110301 19110331     5.6
19110401 19110430     0.0
19110501 19110531    24.7
19110601 19110630    15.9
19110701 19110731    31.1
19110801 19110831     0.0
19110901 19110930     0.0
19111001 19111031     0.0
19111101 19111130     0.0
19111201 19111231     0.0
19120101 19120131     5.5
19120201 19120229     7.9
19120301 19120331     4.8
19120401 19120430     1.0
19120501 19120531    69.7
19120601 19120630     4.8
19120701 19120731    27.4
19120801 19120831     2.6
19120901 19120930     7.7
19121001 19121031    19.1
19121101 19121130     1.8
19121201 19121231    16.3
19130101 19130131    16.3
19130201 19130228     0.0
19130301 19130331     0.0
19130401 19130430    11.0
19130501 19130531     5.1
19130601 19130630    24.4
19130701 19130731    33.3
19130801 19130831    37.8
19130901 19130930    19.9
19131001 19131031     0.0
19131101 19131130     0.0
19131201 19131231    10.2
19140101 19140131     0.0
19140201 19140228     3.0
19140301 19140331     0.0
19140401 19140430     5.4
19140501 19140531     0.0
19140601 19140630     3.6
19140701 19140731    37.1
19140801 19140831    49.1
19140901 19140930     0.0
19141001 19141031     8.1
19141101 19141130    45.1
19141201 19141231    50.3
19150101 19150131   117.2
19150201 19150228    46.5
19150301 19150331     0.8
19150401 19150430     2.5
19150501 19150531    18.5
19150601 19150630    54.5
19150701 19150731    36.6
19150801 19150831    27.1
19150901 19150930    15.9
19151001 19151031     3.0
19151101 19151130     0.0
19151201 19151231    15.8
19160101 19160131     5.0
19160201 19160229     7.3
19160301 19160331    52.5
19160401 19160430     0.0
19160501 19160531    19.1
19160601 19160630    23.2
19160701 19160731    15.2
19160801 19160831     8.6
19160901 19160930     0.0
19161001 19161031    38.1
19161101 19161130     0.0
19161201 19161231     0.0
19170101 19170131    23.7
19170201 19170228     2.8
19170301 19170331   125.4
19170401 19170430    14.7
19170501 19170531    17.1
19170601 19170630    63.3
19170701 19170731    36.6
19170801 19170831    26.3
19170901 19170930    39.1
19171001 19171031    13.3
19171101 19171130    21.6
19171201 19171231    48.3
19180101 19180131    14.5
19180201 19180228   169.2
19180301 19180331   112.1
19180401 19180430    33.4
19180501 19180531    21.3
19180601 19180630    51.8
19180701 19180731    16.3
19180801 19180831     6.9
19180901 19180930     5.1
19181001 19181031     0.0
19181101 19181130    14.0
19181201 19181231     0.0
19190101 19190131     0.0
19190201 19190228     0.0
19190301 19190331     0.0
19190401 19190430    19.0
19190501 19190531    21.6
19190601 19190630    47.2
19190701 19190731    52.3
19190801 19190831    49.9
19190901 19190930     3.8
19191001 19191031    58.8
19191101 19191130    26.2
19191201 19191231     0.0
19200101 19200131    12.7
19200201 19200229     2.5
19200301 19200331     0.0
19200401 19200430    19.0
19200501 19200531    11.6
19200601 19200630    22.5
19200701 19200731    11.0
19200801 19200831    23.4
19200901 19200930     0.0
19201001 19201031     0.0
19201101 19201130     0.0
19201201 19201231     0.0
19210101 19210131     0.0
19210201 19210228     0.0
19210301 19210331    17.8
19210401 19210430     0.0
19210501 19210531   242.5
19210601 19210630    52.8
19210701 19210731    20.1
19210801 19210831    17.8
19210901 19210930     0.0
19211001 19211031     6.4
19211101 19211130     0.0
19211201 19211231     0.0
19220101 19220131     0.0
19220201 19220228    38.9
19220301 19220331    80.0
19220401 19220430     0.0
19220501 19220531     6.6
19220601 19220630    10.4
19220701 19220731    33.8
19220801 19220831    22.4
19220901 19220930     0.0
19221001 19221031     0.0
19221101 19221130     0.0
19221201 19221231     0.0
19230101 19230131    35.3
19230201 19230228    13.5
19230301 19230331     6.4
19230401 19230430    31.5
19230501 19230531     6.1
19230601 19230630    86.9
19230701 19230731    14.7
19230801 19230831     7.6
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231     0.0
19240101 19240131     0.0
19240201 19240229     8.6
19240301 19240331     9.9
19240401 19240430     0.0
19240501 19240531    13.4
19240601 19240630    27.0
19240701 19240731    11.5
19240801 19240831    15.7
19240901 19240930     3.1
19241001 19241031     3.3
19241101 19241130     3.3
19241201 19241231     0.0
19250101 19250131    84.9
19250201 19250228    57.8
19250301 19250331    71.8
19250401 19250430     0.0
19250501 19250531    17.5
19250601 19250630    42.8
19250701 19250731    11.5
19250801 19250831    13.5
19250901 19250930    10.9
19251001 19251031     5.3
19251101 19251130     3.3
19251201 19251231     8.6
19260101 19260131     4.3
19260201 19260228     2.1
19260301 19260331   118.7
19260401 19260430    41.7
19260501 19260531    49.8
19260601 19260630    15.9
19260701 19260731    21.3
19260801 19260831     9.7
19260901 19260930     8.4
19261001 19261031     3.0
19261101 19261130    20.1
19261201 19261231    21.9
19270101 19270131     5.3
19270201 19270228     0.0
19270301 19270331   122.1
19270401 19270430     6.4
19270501 19270531    10.6
19270601 19270630    69.5
19270701 19270731    35.9
19270801 19270831    15.0
19270901 19270930     6.8
19271001 19271031     0.0
19271101 19271130     1.8
19271201 19271231     2.6
19280101 19280131    61.2
19280201 19280229     0.0
19280301 19280331    32.5
19280401 19280430    13.2
19280501 19280531    25.9
19280601 19280630    14.1
19280701 19280731    34.9
19280801 19280831    12.4
19280901 19280930     9.4
19281001 19281031     1.3
19281101 19281130     2.3
19281201 19281231    21.1
19290101 19290131    24.7
19290201 19290228    68.1
19290301 19290331    13.5
19290401 19290430     0.0
19290501 19290531    48.4
19290601 19290630    17.6
19290701 19290731     8.9
19290801 19290831    15.1
19290901 19290930     0.0
19291001 19291031    12.0
19291101 19291130    17.8
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     8.9
19300301 19300331    13.9
19300401 19300430    44.0
19300501 19300531    17.7
19300601 19300630    54.9
19300701 19300731    19.0
19300801 19300831    25.3
19300901 19300930     1.5
19301001 19301031     4.3
19301101 19301130     0.0
19301201 19301231     7.9
19310101 19310131     0.0
19310201 19310228    23.8
19310301 19310331     2.0
19310401 19310430     7.0
19310501 19310531    49.0
19310601 19310630    19.3
19310701 19310731    16.2
19310801 19310831    12.7
19310901 19310930    10.9
19311001 19311031     5.9
19311101 19311130    22.7
19311201 19311231     5.9
19320101 19320131     1.5
19320201 19320229     0.0
19320301 19320331    14.9
19320401 19320430    12.1
