PRCP       007049 18990101 20170331 missing_value=99999.9 MILEURA                                   
18990101 18990131     0.0
18990201 18990228    59.7
18990301 18990331     0.3
18990401 18990430    30.0
18990501 18990531     1.0
18990601 18990630    56.4
18990701 18990731     8.1
18990801 18990831     4.6
18990901 18990930     0.3
18991001 18991031    11.2
18991101 18991130     0.0
18991201 18991231     0.0
19000101 19000131     0.0
19000201 19000228     0.0
19000301 19000331     5.1
19000401 19000430   206.0
19000501 19000531    43.2
19000601 19000630    74.9
19000701 19000731    14.2
19000801 19000831     3.3
19000901 19000930     0.0
19001001 19001031     0.0
19001101 19001130     0.0
19001201 19001231     5.1
19010101 19010131     0.0
19010201 19010228    15.7
19010301 19010331     3.0
19010401 19010430    12.2
19010501 19010531     0.0
19010601 19010630    11.4
19010701 19010731    12.4
19010801 19010831     0.0
19010901 19010930     2.3
19011001 19011031     4.6
19011101 19011130    27.4
19011201 19011231     0.0
19020101 19020131   287.3
19020201 19020228    22.1
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531    24.4
19020601 19020630    10.7
19020701 19020731     9.4
19020801 19020831    10.9
19020901 19020930     4.8
19021001 19021031     1.5
19021101 19021130     8.1
19021201 19021231     0.0
19030101 19030131     2.8
19030201 19030228     4.1
19030301 19030331     0.0
19030401 19030430    35.1
19030501 19030531    13.5
19030601 19030630    48.5
19030701 19030731    13.0
19030801 19030831    15.7
19030901 19030930    16.8
19031001 19031031     0.0
19031101 19031130     0.0
19031201 19031231    27.2
19040101 19040131     2.5
19040201 19040229     0.0
19040301 19040331     0.0
19040401 19040430     0.0
19040501 19040531    34.5
19040601 19040630    18.8
19040701 19040731   103.9
19040801 19040831     2.3
19040901 19040930    49.0
19041001 19041031     3.8
19041101 19041130     0.0
19041201 19041231     9.9
19050101 19050131    23.4
19050201 19050228     3.3
19050301 19050331     2.0
19050401 19050430     3.6
19050501 19050531   109.0
19050601 19050630     7.9
19050701 19050731     5.3
19050801 19050831    19.6
19050901 19050930     1.8
