PRCP       007053 19070101 20121231 missing_value=99999.9 MOUNT AUGUSTUS                            
19070101 19070131     0.0
19070201 19070228    19.0
19070301 19070331    24.6
19070401 19070430     0.0
19070501 19070531     2.5
19070601 19070630    21.0
19070701 19070731    33.0
19070801 19070831     0.0
19070901 19070930     0.0
19071001 19071031     0.0
19071101 19071130     0.0
19071201 19071231     0.0
19080101 19080131     9.4
19080201 19080229    13.4
19080301 19080331     0.0
19080401 19080430    62.6
19080501 19080531    36.0
19080601 19080630    70.7
19080701 19080731    26.4
19080801 19080831     4.3
19080901 19080930     0.0
19081001 19081031     0.0
19081101 19081130     0.0
19081201 19081231     0.0
19090101 19090131   240.8
19090201 19090228    65.5
19090301 19090331     0.0
19090401 19090430   101.0
19090501 19090531    28.4
19090601 19090630   125.8
19090701 19090731     8.1
19090801 19090831    10.7
19090901 19090930     0.0
19091001 19091031     0.0
19091101 19091130     0.0
19091201 19091231     8.6
19100101 19100131     8.6
19100201 19100228    38.6
19100301 19100331     0.0
19100401 19100430     0.0
19100501 19100531    24.9
19100601 19100630    34.3
19100701 19100731    36.3
19100801 19100831     0.0
19100901 19100930     0.0
19101001 19101031     0.0
19101101 19101130    23.1
19101201 19101231     0.0
19110101 19110131     9.2
19110201 19110228     8.4
19110301 19110331     8.6
19110401 19110430     0.0
19110501 19110531    76.2
19110601 19110630     3.8
19110701 19110731    13.2
19110801 19110831     1.5
19110901 19110930     0.0
19111001 19111031     0.0
19111101 19111130     0.0
19111201 19111231     2.5
19120101 19120131     9.6
19120201 19120229     4.3
19120301 19120331    40.1
19120401 19120430     7.6
19120501 19120531     0.0
19120601 19120630     0.0
19120701 19120731    24.2
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     2.0
19121101 19121130     0.0
19121201 19121231     9.2
19130101 19130131    52.7
19130201 19130228     0.0
19130301 19130331    17.0
19130401 19130430     0.0
19130501 19130531     0.0
19130601 19130630     4.3
19130701 19130731    11.7
19130801 19130831    10.2
19130901 19130930     5.1
19131001 19131031     0.0
19131101 19131130     0.0
19131201 19131231     0.0
19140101 19140131    27.7
19140201 19140228    38.1
19140301 19140331     2.2
19140401 19140430    23.4
19140501 19140531     0.2
19140601 19140630     0.1
19140701 19140731    21.0
19140801 19140831     1.0
19140901 19140930     0.3
19141001 19141031     0.2
19141101 19141130    24.2
19141201 19141231    26.2
19150101 19150131   166.2
19150201 19150228    43.8
19150301 19150331     0.0
19150401 19150430    12.7
19150501 19150531    15.2
19150601 19150630    25.4
19150701 19150731     1.3
19150801 19150831     0.0
19150901 19150930     0.0
19151001 19151031     0.0
19151101 19151130     0.0
19151201 19151231     2.5
19160101 19160131    24.1
19160201 19160229    10.2
19160301 19160331    58.4
19160401 19160430     0.0
19160501 19160531    24.6
19160601 19160630    98.0
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930    10.7
19161001 19161031    36.3
19161101 19161130     0.0
19161201 19161231     0.0
19170101 19170131   235.8
19170201 19170228     0.0
19170301 19170331   132.3
19170401 19170430     0.0
19170501 19170531    23.1
19170601 19170630     9.9
19170701 19170731     0.0
19170801 19170831     0.0
19170901 19170930     0.0
19171001 19171031     0.0
19171101 19171130     0.0
19171201 19171231     0.0
19180101 19180131    10.2
19180201 19180228   200.7
19180301 19180331     0.0
19180401 19180430     8.9
19180501 19180531    20.3
19180601 19180630    26.4
19180701 19180731     5.6
19180801 19180831     7.6
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130     0.0
19181201 19181231     3.3
19190101 19190131    12.7
19190201 19190228     0.0
19190301 19190331     0.0
19190401 19190430     0.0
19190501 19190531     7.9
19190601 19190630    10.2
19190701 19190731     0.0
19190801 19190831    26.9
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130    10.0
19191201 19191231    10.2
19200101 19200131     4.3
19200201 19200229     9.4
19200301 19200331    49.5
19200401 19200430    26.1
19200501 19200531     2.5
19200601 19200630    27.2
19200701 19200731    17.5
19200801 19200831    13.7
19200901 19200930    13.7
19201001 19201031     0.0
19201101 19201130     0.0
19201201 19201231     6.4
19210101 19210131     0.0
19210201 19210228    57.9
19210301 19210331     0.0
19210401 19210430     0.0
19210501 19210531    36.1
19210601 19210630     0.0
19210701 19210731     2.5
19210801 19210831    42.4
19210901 19210930     0.0
19211001 19211031     3.0
19211101 19211130     0.0
19211201 19211231     9.9
19220101 19220131     0.0
19220201 19220228    19.8
19220301 19220331    27.7
