PRCP       007057 18941101 20101130 missing_value=99999.9 MOUNT MAGNET                              
18941101 18941130     0.3
18941201 18941231     5.6
18950101 18950131     0.0
18950201 18950228     1.8
18950301 18950331    12.4
18950401 18950430     0.3
18950501 18950531     1.5
18950601 18950630    37.3
18950701 18950731     4.3
18950801 18950831    18.5
18950901 18950930     6.4
18951001 18951031     0.0
18951101 18951130    11.4
18951201 18951231     0.0
18960101 18960131    23.1
18960201 18960229     9.7
18960301 18960331   111.0
18960401 18960430     0.0
18960501 18960531     0.0
18960601 18960630    20.3
18960701 18960731     9.4
18960801 18960831     4.3
18960901 18960930    11.4
18961001 18961031     0.8
18961101 18961130     0.0
18961201 18961231     0.0
18970101 18970131     0.0
18970201 18970228    23.6
18970301 18970331     2.5
18970401 18970430     1.5
18970501 18970531     6.6
18970601 18970630    65.0
18970701 18970731    25.4
18970801 18970831     4.1
18970901 18970930     0.0
18971001 18971031     7.6
18971101 18971130     4.3
18971201 18971231    18.0
18980101 18980131    13.0
18980201 18980228    25.4
18980301 18980331     0.0
18980401 18980430     0.0
18980501 18980531     8.9
18980601 18980630    44.2
18980701 18980731     3.8
18980801 18980831    50.3
18980901 18980930     1.0
18981001 18981031    10.9
18981101 18981130     0.0
18981201 18981231     0.0
18990101 18990131     0.0
18990201 18990228    11.7
18990301 18990331     2.0
18990401 18990430     0.0
18990501 18990531     0.0
18990601 18990630    41.9
18990701 18990731     8.6
18990801 18990831     0.0
18990901 18990930     8.9
18991001 18991031    10.2
18991101 18991130     0.3
18991201 18991231     0.0
19000101 19000131     0.3
19000201 19000228     2.5
19000301 19000331    44.7
19000401 19000430    91.7
19000501 19000531    95.5
19000601 19000630    60.2
19000701 19000731    28.4
19000801 19000831    16.5
19000901 19000930     6.4
19001001 19001031     0.3
19001101 19001130     2.0
19001201 19001231     0.0
19010101 19010131     2.0
19010201 19010228    42.2
19010301 19010331    43.7
19010401 19010430     4.3
19010501 19010531    14.0
19010601 19010630    14.5
19010701 19010731    13.7
19010801 19010831     0.8
19010901 19010930     2.8
19011001 19011031    10.4
19011101 19011130     3.6
19011201 19011231     0.0
19020101 19020131    72.1
19020201 19020228    24.9
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531    11.4
19020601 19020630     1.8
19020701 19020731    16.0
19020801 19020831     4.3
19020901 19020930    14.2
19021001 19021031     0.0
19021101 19021130     0.0
19021201 19021231     0.8
19030101 19030131     1.3
19030201 19030228    51.6
19030301 19030331     1.8
19030401 19030430     2.5
19030501 19030531    10.9
19030601 19030630    53.8
19030701 19030731    18.0
19030801 19030831    29.0
19030901 19030930    26.2
19031001 19031031     1.3
19031101 19031130     0.0
19031201 19031231    12.2
19040101 19040131     0.3
19040201 19040229     0.0
19040301 19040331    10.4
