PRCP       007080 19070901 20180131 missing_value=99999.9 THREE RIVERS                              
19070901 19070930     2.8
19071001 19071031     5.1
19071101 19071130     0.0
19071201 19071231     0.0
19080101 19080131     6.4
19080201 19080229     2.5
19080301 19080331     0.0
19080401 19080430   104.8
19080501 19080531    41.8
19080601 19080630    43.1
19080701 19080731    16.8
19080801 19080831    14.0
19080901 19080930     0.0
19081001 19081031     0.0
19081101 19081130     0.3
19081201 19081231    14.0
19090101 19090131    98.3
19090201 19090228    25.1
19090301 19090331     0.0
19090401 19090430    94.8
19090501 19090531    28.4
19090601 19090630    90.1
19090701 19090731     8.1
19090801 19090831    12.1
19090901 19090930     5.8
19091001 19091031     0.0
19091101 19091130     4.6
19091201 19091231     2.0
19100101 19100131     6.9
19100201 19100228     6.7
19100301 19100331     0.0
19100401 19100430     2.0
19100501 19100531    58.7
19100601 19100630    25.8
19100701 19100731    36.3
19100801 19100831     0.0
19100901 19100930     2.5
19101001 19101031     8.6
19101101 19101130    23.4
19101201 19101231    29.5
19110101 19110131    13.2
19110201 19110228     0.0
19110301 19110331     0.0
19110401 19110430     0.0
19110501 19110531    37.1
19110601 19110630    10.0
19110701 19110731     6.6
19110801 19110831     2.8
19110901 19110930     0.3
19111001 19111031     0.5
19111101 19111130     1.6
19111201 19111231     0.3
19120101 19120131    17.8
19120201 19120229    14.2
19120301 19120331    60.1
19120401 19120430    19.3
19120501 19120531     6.9
19120601 19120630     0.0
19120701 19120731     8.5
19120801 19120831     0.6
19120901 19120930     6.7
19121001 19121031     1.0
19121101 19121130     0.0
19121201 19121231     9.6
19130101 19130131    59.2
19130201 19130228     0.0
19130301 19130331    61.3
19130401 19130430    17.1
19130501 19130531     6.6
19130601 19130630    13.5
19130701 19130731    11.9
19130801 19130831     9.6
19130901 19130930     3.8
19131001 19131031     0.0
19131101 19131130     0.0
19131201 19131231     0.0
19140101 19140131    16.0
19140201 19140228    36.7
19140301 19140331     0.0
19140401 19140430    24.8
19140501 19140531     0.0
19140601 19140630     0.0
19140701 19140731    21.2
19140801 19140831     2.8
19140901 19140930     9.6
19141001 19141031     3.0
19141101 19141130    82.5
19141201 19141231    68.8
19150101 19150131   227.7
19150201 19150228    65.6
19150301 19150331     1.5
19150401 19150430    48.1
19150501 19150531    17.4
19150601 19150630    55.7
19150701 19150731     0.6
19150801 19150831     0.0
19150901 19150930     1.3
19151001 19151031     0.0
19151101 19151130     0.0
19151201 19151231    12.7
19160101 19160131    13.2
19160201 19160229     0.0
19160301 19160331   152.4
19160401 19160430     0.0
19160501 19160531     0.0
19160601 19160630   169.3
19160701 19160731     9.7
19160801 19160831     0.0
19160901 19160930     6.4
19161001 19161031    52.3
19161101 19161130    12.7
19161201 19161231     0.0
19170101 19170131    51.0
19170201 19170228     0.2
19170301 19170331    99.3
19170401 19170430     7.1
19170501 19170531     5.4
19170601 19170630     5.4
19170701 19170731     1.4
19170801 19170831     0.6
19170901 19170930     9.0
19171001 19171031     5.9
19171101 19171130    12.6
19171201 19171231     0.9
19180101 19180131    11.9
19180201 19180228   133.9
19180301 19180331     1.9
19180401 19180430    18.0
19180501 19180531     0.6
19180601 19180630    19.4
19180701 19180731     1.9
19180801 19180831     1.5
19180901 19180930     0.1
19181001 19181031     0.2
19181101 19181130     0.3
19181201 19181231     3.5
19190101 19190131     4.2
19190201 19190228     2.2
19190301 19190331     0.0
19190401 19190430     3.6
19190501 19190531    11.4
19190601 19190630    10.7
19190701 19190731     0.2
19190801 19190831    24.3
19190901 19190930     1.9
19191001 19191031     3.9
19191101 19191130    32.7
19191201 19191231    20.5
19200101 19200131     4.8
19200201 19200229     6.1
19200301 19200331     5.6
19200401 19200430    45.9
19200501 19200531     0.0
19200601 19200630    27.6
19200701 19200731     9.2
19200801 19200831     8.8
19200901 19200930     7.5
19201001 19201031     0.8
19201101 19201130    14.8
19201201 19201231     0.2
19210101 19210131     0.0
19210201 19210228     0.0
19210301 19210331    95.8
19210401 19210430     0.0
19210501 19210531     9.1
19210601 19210630     9.6
19210701 19210731     0.0
19210801 19210831     0.0
19210901 19210930     9.4
19211001 19211031    13.0
19211101 19211130     7.1
19211201 19211231     0.0
