PRCP       007169 19361201 20111031 missing_value=99999.9 RHODES RIDGE                              
19361201 19361231    39.4
19370101 19370131    83.9
19370201 19370228    75.3
19370301 19370331    32.7
19370401 19370430    57.1
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     0.0
19371101 19371130     4.1
19371201 19371231     5.3
19380101 19380131    61.3
19380201 19380228    54.5
19380301 19380331    22.6
19380401 19380430     0.0
19380501 19380531    10.5
19380601 19380630    16.7
19380701 19380731     3.3
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    15.1
19381201 19381231    30.9
19390101 19390131   101.0
19390201 19390228    37.1
19390301 19390331    10.0
19390401 19390430     7.4
19390501 19390531     3.8
19390601 19390630    43.8
19390701 19390731     1.8
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130     5.1
19391201 19391231    20.8
19400101 19400131   115.9
19400201 19400229     0.0
19400301 19400331     4.2
19400401 19400430     0.0
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130     8.4
19401201 19401231    17.3
19410101 19410131     6.5
19410201 19410228    27.3
19410301 19410331    29.2
19410401 19410430     6.3
19410501 19410531     8.9
19410601 19410630     0.0
19410701 19410731    31.5
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    12.9
19411201 19411231    53.9
19420101 19420131   247.4
19420201 19420228    37.5
19420301 19420331   270.4
19420401 19420430     0.0
19420501 19420531    78.4
19420601 19420630    82.3
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130     0.0
19421201 19421231    22.2
19430101 19430131    75.6
19430201 19430228   153.9
19430301 19430331    57.6
19430401 19430430   114.2
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731     4.9
19430801 19430831     4.9
19430901 19430930     0.0
19431001 19431031     5.9
19431101 19431130     2.6
19431201 19431231     4.7
19440101 19440131     0.0
19440201 19440229     5.6
19440301 19440331     2.1
19440401 19440430    16.3
19440501 19440531     0.8
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     2.3
19441201 19441231     4.9
19450101 19450131    57.5
19450201 19450228     3.9
19450301 19450331   112.6
19450401 19450430     0.0
19450501 19450531     0.0
19450601 19450630     7.9
19450701 19450731     2.2
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     0.0
19451101 19451130     0.0
19451201 19451231    10.9
19460101 19460131    17.3
19460201 19460228   194.0
19460301 19460331    18.2
19460401 19460430    20.0
19460501 19460531     6.8
19460601 19460630     9.8
19460701 19460731    59.7
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     0.0
19461201 19461231     0.0
19470101 19470131    18.3
19470201 19470228   112.2
19470301 19470331    74.6
19470401 19470430     0.2
19470501 19470531     0.0
19470601 19470630    15.4
19470701 19470731     2.0
19470801 19470831    16.6
19470901 19470930     0.3
19471001 19471031     4.2
19471101 19471130     0.0
19471201 19471231   100.6
19480101 19480131    27.8
19480201 19480229    84.0
19480301 19480331   110.1
19480401 19480430    91.4
19480501 19480531     0.0
19480601 19480630     4.7
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     0.0
19481201 19481231     1.2
19490101 19490131     3.8
19490201 19490228    32.1
19490301 19490331     0.0
19490401 19490430     0.9
19490501 19490531    36.6
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     0.0
19491101 19491130     9.4
19491201 19491231    91.3
19500101 19500131    18.9
19500201 19500228    64.1
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    49.2
19500601 19500630    69.8
19500701 19500731     8.6
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     1.2
19501101 19501130     0.0
19501201 19501231     0.0
19510101 19510131     5.1
19510201 19510228    25.9
19510301 19510331    19.1
19510401 19510430     3.8
19510501 19510531     0.0
19510601 19510630    38.8
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131    55.4
19520201 19520229    16.3
19520301 19520331     7.3
19520401 19520430     0.0
19520501 19520531    67.6
19520601 19520630     0.0
19520701 19520731    50.6
19520801 19520831    22.1
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131     0.0
19530201 19530228     0.0
19530301 19530331     7.7
19530401 19530430    38.5
19530501 19530531    66.0
19530601 19530630     0.0
19530701 19530731     4.2
19530801 19530831    16.1
19530901 19530930     0.0
19531001 19531031     0.7
19531101 19531130     0.0
19531201 19531231    24.1
19540101 19540131    51.6
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    69.8
19540501 19540531    40.1
19540601 19540630     0.5
19540701 19540731    13.8
19540801 19540831     0.0
19540901 19540930     6.5
19541001 19541031    25.2
19541101 19541130     0.7
19541201 19541231     7.9
19550101 19550131   167.0
19550201 19550228    92.8
19550301 19550331     0.0
19550401 19550430    20.3
19550501 19550531    72.2
19550601 19550630    44.8
19550701 19550731    10.7
19550801 19550831    27.1
19550901 19550930     0.0
19551001 19551031     0.0
19551101 19551130    11.7
19551201 19551231     8.2
19560101 19560131    10.9
19560201 19560229    10.3
19560301 19560331    37.3
19560401 19560430     0.0
19560501 19560531     5.1
19560601 19560630     5.9
19560701 19560731     9.5
19560801 19560831     0.0
19560901 19560930    10.3
19561001 19561031     0.0
19561101 19561130     1.4
19561201 19561231    14.2
19570101 19570131    22.5
19570201 19570228    58.1
19570301 19570331     1.0
19570401 19570430     0.5
19570501 19570531     2.8
19570601 19570630     0.0
19570701 19570731     6.1
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    18.9
19571101 19571130     2.6
19571201 19571231    30.3
19580101 19580131    48.0
19580201 19580228     4.7
19580301 19580331    15.9
19580401 19580430     0.0
19580501 19580531     7.0
19580601 19580630    12.6
19580701 19580731    44.8
19580801 19580831     9.4
19580901 19580930     9.1
19581001 19581031     0.0
19581101 19581130    34.7
19581201 19581231     0.0
19590101 19590131    28.0
19590201 19590228    16.3
19590301 19590331     3.5
19590401 19590430    28.6
19590501 19590531    12.6
19590601 19590630     6.5
19590701 19590731   159.9
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130     0.0
19591201 19591231    22.1
19600101 19600131    43.7
19600201 19600229   218.8
19600301 19600331     2.8
19600401 19600430    15.1
19600501 19600531    12.9
19600601 19600630     7.4
19600701 19600731     0.0
19600801 19600831     0.9
19600901 19600930     7.3
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231     2.8
19610101 19610131   123.4
19610201 19610228    97.0
19610301 19610331    75.6
19610401 19610430    26.8
19610501 19610531     4.2
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     3.7
19611201 19611231     3.9
19620101 19620131    57.4
19620201 19620228    49.1
19620301 19620331    17.7
19620401 19620430     0.0
19620501 19620531     8.6
19620601 19620630     0.0
19620701 19620731     3.8
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     0.0
19621101 19621130     8.9
19621201 19621231    14.2
19630101 19630131    78.3
19630201 19630228    57.4
19630301 19630331     7.4
19630401 19630430    19.1
19630501 19630531    26.4
19630601 19630630    22.1
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031    17.0
19631101 19631130     8.6
19631201 19631231     6.3
19640101 19640131    37.4
19640201 19640229    39.1
19640301 19640331     0.0
19640401 19640430    14.4
19640501 19640531    53.1
19640601 19640630    28.0
19640701 19640731     0.0
19640801 19640831     0.7
19640901 19640930     0.0
19641001 19641031     0.0
19641101 19641130    18.3
19641201 19641231     0.0
19650101 19650131     4.7
19650201 19650228    32.2
19650301 19650331    82.9
19650401 19650430     0.0
19650501 19650531     3.8
19650601 19650630    37.1
19650701 19650731     0.0
19650801 19650831    23.7
19650901 19650930     0.0
19651001 19651031     1.4
19651101 19651130    23.5
19651201 19651231     4.2
19660101 19660131    42.0
19660201 19660228    82.1
19660301 19660331    21.2
19660401 19660430    73.9
19660501 19660531     0.0
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     7.9
19661101 19661130    70.9
19661201 19661231     0.0
19670101 19670131    62.4
19670201 19670228     4.2
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531     3.9
19670601 19670630     0.0
19670701 19670731     4.7
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     1.7
19671101 19671130    26.1
19671201 19671231    33.8
19680101 19680131    18.6
19680201 19680229    55.2
19680301 19680331    29.7
19680401 19680430     5.6
19680501 19680531    18.4
19680601 19680630   181.8
19680701 19680731    23.3
19680801 19680831     7.5
19680901 19680930     0.0
19681001 19681031     0.9
19681101 19681130    10.9
19681201 19681231     1.2
19690101 19690131    12.4
19690201 19690228    69.0
19690301 19690331     0.0
19690401 19690430     0.0
19690501 19690531    25.4
19690601 19690630    11.9
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     4.2
19691101 19691130     0.7
19691201 19691231     0.9
19700101 19700131     8.0
19700201 19700228    11.4
19700301 19700331     4.4
19700401 19700430     6.8
19700501 19700531    98.6
19700601 19700630    15.1
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    25.0
19701001 19701031     0.0
19701101 19701130     1.2
19701201 19701231     7.7
19710101 19710131    80.4
19710201 19710228   166.0
19710301 19710331    28.5
19710401 19710430     1.0
19710501 19710531    30.7
19710601 19710630   128.3
19710701 19710731     1.3
19710801 19710831     7.1
19710901 19710930     0.0
19711001 19711031     0.0
19711101 19711130     6.1
19711201 19711231     0.5
19720101 19720131     0.8
19720201 19720229    62.8
19720301 19720331    11.2
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     5.5
19720701 19720731    45.0
19720801 19720831     7.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    11.0
19721201 19721231     7.7
19730101 19730131   292.7
19730201 19730228     4.8
19730301 19730331   124.8
19730401 19730430    37.0
19730501 19730531    38.7
19730601 19730630    45.5
19730701 19730731    34.8
19730801 19730831    23.2
19730901 19730930     0.3
19731001 19731031     7.6
19731101 19731130     3.3
19731201 19731231    15.7
19740101 19740131    84.4
19740201 19740228    31.6
19740301 19740331    49.1
19740401 19740430    32.5
19740501 19740531    14.5
19740601 19740630     0.0
19740701 19740731    14.4
19740801 19740831    18.2
19740901 19740930     1.1
19741001 19741031     7.2
19741101 19741130     0.2
19741201 19741231    37.1
19750101 19750131    44.3
19750201 19750228    72.9
19750301 19750331    56.9
19750401 19750430    33.6
19750501 19750531     0.5
19750601 19750630     5.7
19750701 19750731     5.9
19750801 19750831     0.0
19750901 19750930     0.0
19751001 19751031    36.7
19751101 19751130    11.0
19751201 19751231   243.6
19760101 19760131    37.8
19760201 19760229    23.0
19760301 19760331   108.1
19760401 19760430    12.6
