PRCP       008013 19070101 20180131 missing_value=99999.9 BOWGADA                                   
19070101 19070131     9.7
19070201 19070228    12.7
19070301 19070331    25.5
19070401 19070430    22.9
19070501 19070531    60.0
19070601 19070630   114.1
19070701 19070731   194.4
19070801 19070831    77.8
19070901 19070930    55.2
19071001 19071031    19.9
19071101 19071130     1.6
19071201 19071231     0.0
19080101 19080131     0.5
19080201 19080229     4.1
19080301 19080331     7.9
19080401 19080430    36.6
19080501 19080531   135.8
19080601 19080630   115.3
19080701 19080731    94.3
19080801 19080831    39.7
19080901 19080930     7.3
19081001 19081031    15.7
19081101 19081130    23.6
19081201 19081231     0.0
19090101 19090131    20.0
19090201 19090228     2.3
19090301 19090331     1.0
19090401 19090430     4.3
19090501 19090531    52.5
19090601 19090630   117.5
19090701 19090731    69.1
19090801 19090831   181.2
19090901 19090930    70.7
19091001 19091031    43.5
19091101 19091130     5.4
19091201 19091231     0.0
19100101 19100131     5.7
19100201 19100228    23.4
19100301 19100331     8.4
19100401 19100430     2.1
19100501 19100531    79.6
19100601 19100630   151.6
19100701 19100731   180.6
19100801 19100831    31.9
19100901 19100930    35.9
19101001 19101031    23.6
19101101 19101130     1.3
19101201 19101231     6.1
19110101 19110131     0.0
19110201 19110228     1.5
19110301 19110331     2.3
19110401 19110430    14.2
19110501 19110531    44.5
19110601 19110630    94.7
19110701 19110731    90.0
19110801 19110831    46.4
19110901 19110930    20.1
19111001 19111031     4.8
19111101 19111130     0.6
19111201 19111231     1.9
19120101 19120131     0.8
19120201 19120229     9.7
19120301 19120331    16.3
19120401 19120430     3.8
19120501 19120531    66.0
19120601 19120630    47.5
19120701 19120731   166.1
19120801 19120831    15.2
19120901 19120930    84.1
19121001 19121031    43.9
19121101 19121130    10.5
19121201 19121231     0.3
19130101 19130131    16.1
19130201 19130228     3.0
19130301 19130331     7.9
19130401 19130430     8.1
19130501 19130531     4.4
19130601 19130630    63.7
19130701 19130731    58.6
19130801 19130831    79.6
19130901 19130930    61.6
19131001 19131031    18.4
19131101 19131130     1.3
19131201 19131231    12.2
19140101 19140131     6.4
19140201 19140228     0.6
19140301 19140331     1.5
19140401 19140430     0.4
19140501 19140531     5.4
19140601 19140630    17.8
19140701 19140731    35.2
19140801 19140831    27.6
19140901 19140930     0.9
19141001 19141031     6.1
19141101 19141130    24.6
19141201 19141231    46.9
19150101 19150131    91.3
19150201 19150228   129.1
19150301 19150331     8.2
19150401 19150430    41.9
19150501 19150531    46.7
19150601 19150630    99.9
19150701 19150731    82.5
19150801 19150831    74.4
19150901 19150930    34.0
19151001 19151031    31.0
19151101 19151130    25.4
19151201 19151231    13.0
19160101 19160131    90.0
19160201 19160229    48.7
19160301 19160331     7.2
19160401 19160430     0.0
19160501 19160531    37.3
19160601 19160630    72.7
19160701 19160731    60.3
19160801 19160831    64.3
19160901 19160930     1.8
19161001 19161031    57.9
19161101 19161130     3.1
19161201 19161231     0.8
19170101 19170131     2.3
19170201 19170228     2.0
19170301 19170331   101.7
19170401 19170430    21.1
19170501 19170531    38.3
19170601 19170630   173.8
19170701 19170731   135.0
19170801 19170831    87.1
19170901 19170930    75.2
19171001 19171031    32.1
19171101 19171130     1.8
19171201 19171231    21.0
19180101 19180131    17.3
19180201 19180228   107.0
19180301 19180331    51.1
19180401 19180430   128.8
19180501 19180531    35.7
19180601 19180630   132.2
19180701 19180731    49.9
19180801 19180831    25.7
19180901 19180930    47.0
19181001 19181031    18.5
19181101 19181130     0.0
19181201 19181231     0.0
19190101 19190131     0.0
19190201 19190228     0.0
19190301 19190331     0.0
19190401 19190430    31.3
19190501 19190531    10.4
19190601 19190630   106.4
19190701 19190731    94.8
19190801 19190831    67.8
19190901 19190930     9.7
19191001 19191031    19.8
19191101 19191130    19.6
19191201 19191231    33.8
19200101 19200131     0.7
19200201 19200229     1.0
19200301 19200331    26.7
19200401 19200430    19.1
19200501 19200531    55.5
19200601 19200630    58.0
19200701 19200731    50.9
19200801 19200831    82.1
19200901 19200930    40.1
19201001 19201031     2.3
19201101 19201130     6.6
19201201 19201231     0.0
19210101 19210131     5.3
19210201 19210228    26.5
19210301 19210331    35.0
19210401 19210430     0.1
19210501 19210531   196.8
19210601 19210630    44.2
19210701 19210731    22.4
19210801 19210831    48.0
19210901 19210930    47.0
19211001 19211031    32.8
19211101 19211130     1.0
19211201 19211231     9.9
19220101 19220131     0.0
19220201 19220228    14.9
19220301 19220331     2.8
19220401 19220430    30.4
19220501 19220531    26.7
19220601 19220630    32.7
19220701 19220731    67.2
19220801 19220831    17.1
19220901 19220930    11.0
19221001 19221031     0.0
19221101 19221130     0.0
19221201 19221231     0.0
19230101 19230131    64.3
19230201 19230228    10.4
19230301 19230331     6.6
19230401 19230430    29.6
19230501 19230531    14.2
19230601 19230630   178.9
19230701 19230731    42.3
19230801 19230831    18.3
19230901 19230930    22.0
19231001 19231031     5.1
19231101 19231130     0.0
19231201 19231231     0.0
19240101 19240131     0.0
19240201 19240229     0.0
19240301 19240331    20.4
19240401 19240430     0.5
19240501 19240531    24.5
19240601 19240630    91.4
19240701 19240731    67.6
19240801 19240831    43.9
19240901 19240930    16.0
19241001 19241031    30.3
19241101 19241130     7.9
19241201 19241231     5.1
19250101 19250131    61.0
19250201 19250228    20.4
19250301 19250331     8.4
19250401 19250430     4.4
19250501 19250531    46.7
19250601 19250630    87.6
19250701 19250731    34.6
19250801 19250831    17.0
19250901 19250930    46.0
19251001 19251031     7.8
19251101 19251130     1.0
19251201 19251231    24.9
19260101 19260131     7.9
19260201 19260228    10.7
19260301 19260331     7.3
19260401 19260430    40.4
19260501 19260531    22.5
19260601 19260630    48.3
19260701 19260731    87.6
19260801 19260831    31.1
19260901 19260930    26.9
19261001 19261031    24.1
19261101 19261130    27.3
19261201 19261231     5.6
19270101 19270131     1.0
19270201 19270228     0.0
19270301 19270331   147.0
19270401 19270430    10.7
19270501 19270531    48.5
19270601 19270630    58.4
19270701 19270731    63.5
19270801 19270831    28.9
19270901 19270930    34.3
19271001 19271031     6.7
19271101 19271130     0.0
19271201 19271231     1.8
19280101 19280131    30.9
19280201 19280229     0.0
19280301 19280331    20.9
19280401 19280430    23.6
19280501 19280531    46.1
19280601 19280630    28.0
19280701 19280731    84.1
19280801 19280831    40.1
19280901 19280930    16.1
19281001 19281031    10.2
19281101 19281130     0.0
19281201 19281231    21.9
19290101 19290131    25.4
19290201 19290228    42.7
19290301 19290331    19.4
19290401 19290430     0.0
19290501 19290531    94.3
19290601 19290630    77.5
19290701 19290731    21.6
19290801 19290831    21.1
19290901 19290930     7.1
19291001 19291031    10.2
19291101 19291130    30.2
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    11.1
19300401 19300430    23.2
19300501 19300531    12.0
19300601 19300630   124.5
19300701 19300731    55.5
19300801 19300831    25.7
19300901 19300930    12.6
19301001 19301031    22.3
19301101 19301130     0.8
19301201 19301231     2.0
19310101 19310131     0.0
19310201 19310228     7.6
19310301 19310331     4.0
19310401 19310430    11.4
19310501 19310531    84.6
19310601 19310630    35.5
19310701 19310731    54.2
19310801 19310831    32.4
19310901 19310930    32.8
19311001 19311031     8.7
19311101 19311130    33.3
19311201 19311231    49.3
19320101 19320131    24.8
19320201 19320229     5.6
19320301 19320331    24.2
19320401 19320430    17.5
19320501 19320531    60.1
19320601 19320630    26.7
19320701 19320731    63.8
19320801 19320831    96.5
19320901 19320930    22.1
19321001 19321031    29.4
19321101 19321130     0.0
19321201 19321231     8.1
19330101 19330131     0.0
19330201 19330228     7.4
19330301 19330331    50.3
19330401 19330430     5.3
19330501 19330531    67.7
19330601 19330630   137.9
19330701 19330731    47.1
19330801 19330831    86.6
19330901 19330930    10.6
19331001 19331031    19.0
19331101 19331130     9.4
19331201 19331231     6.9
19340101 19340131    25.7
19340201 19340228     0.0
19340301 19340331    90.5
19340401 19340430    84.6
19340501 19340531     6.6
19340601 19340630    44.3
19340701 19340731    38.0
19340801 19340831    58.1
19340901 19340930    10.9
19341001 19341031     7.3
19341101 19341130     0.0
19341201 19341231     3.8
19350101 19350131    22.4
19350201 19350228    39.6
19350301 19350331    66.5
19350401 19350430    22.2
19350501 19350531    12.6
19350601 19350630    17.7
19350701 19350731    49.3
19350801 19350831    56.9
19350901 19350930    16.3
19351001 19351031     1.1
19351101 19351130     0.1
19351201 19351231     0.0
19360101 19360131    23.6
19360201 19360229     5.8
19360301 19360331    13.2
19360401 19360430     6.6
19360501 19360531    26.0
19360601 19360630    46.9
19360701 19360731    29.9
19360801 19360831    40.9
19360901 19360930    15.0
19361001 19361031     2.8
19361101 19361130    11.2
19361201 19361231     5.6
19370101 19370131     1.8
19370201 19370228     0.0
19370301 19370331     7.4
19370401 19370430    29.3
19370501 19370531    44.0
19370601 19370630    88.7
