PRCP       008066 19070901 20171231 missing_value=99999.9 KOKARDINE                                 
19070901 19070930    17.8
19071001 19071031     6.4
19071101 19071130     2.1
19071201 19071231     0.0
19080101 19080131     0.0
19080201 19080229    11.4
19080301 19080331    20.8
19080401 19080430    32.0
19080501 19080531   107.6
19080601 19080630    46.9
19080701 19080731    38.6
19080801 19080831    18.9
19080901 19080930    12.0
19081001 19081031     6.4
19081101 19081130    26.2
19081201 19081231     0.0
19090101 19090131    20.1
19090201 19090228    13.0
19090301 19090331     6.4
19090401 19090430    32.1
19090501 19090531    20.9
19090601 19090630    57.4
19090701 19090731    33.8
19090801 19090831   125.8
19090901 19090930    42.7
19091001 19091031    20.9
19091101 19091130     5.9
19091201 19091231     0.8
19100101 19100131     5.8
19100201 19100228    32.4
19100301 19100331     0.0
19100401 19100430     5.6
19100501 19100531    80.7
19100601 19100630   112.3
19100701 19100731    95.7
19100801 19100831    28.2
19100901 19100930    15.8
19101001 19101031    20.5
19101101 19101130     5.9
19101201 19101231     0.0
19110101 19110131    21.4
19110201 19110228     2.6
19110301 19110331     8.7
19110401 19110430    13.4
19110501 19110531    17.8
19110601 19110630    28.6
19110701 19110731    43.2
19110801 19110831    19.4
19110901 19110930    14.5
19111001 19111031     4.1
19111101 19111130     0.0
19111201 19111231     0.3
19120101 19120131    46.0
19120201 19120229     2.8
19120301 19120331     2.8
19120401 19120430     4.3
19120501 19120531    49.6
19120601 19120630    16.0
19120701 19120731    82.1
19120801 19120831    13.3
19120901 19120930    45.0
19121001 19121031    28.0
19121101 19121130    16.5
19121201 19121231     4.4
19130101 19130131     0.3
19130201 19130228    27.4
19130301 19130331     2.1
19130401 19130430     4.9
19130501 19130531     2.3
19130601 19130630    71.0
19130701 19130731    47.1
19130801 19130831    82.7
19130901 19130930    39.0
19131001 19131031    24.8
19131101 19131130     4.8
19131201 19131231    28.0
19140101 19140131     0.3
19140201 19140228     0.8
19140301 19140331     0.8
19140401 19140430     7.6
19140501 19140531     2.0
19140601 19140630    34.0
19140701 19140731    33.4
19140801 19140831    20.2
19140901 19140930     2.6
19141001 19141031     1.8
19141101 19141130     4.4
19141201 19141231     3.3
19150101 19150131    27.1
19150201 19150228    63.2
19150301 19150331     5.2
19150401 19150430    34.0
19150501 19150531    33.9
19150601 19150630    61.3
19150701 19150731    86.2
19150801 19150831    45.6
19150901 19150930    45.5
19151001 19151031    20.6
19151101 19151130     0.0
19151201 19151231     6.7
19160101 19160131    73.9
19160201 19160229    25.5
19160301 19160331     4.4
19160401 19160430     0.8
19160501 19160531    29.0
19160601 19160630    49.6
19160701 19160731    61.4
19160801 19160831    40.7
19160901 19160930     9.1
19161001 19161031    40.4
19161101 19161130     9.2
19161201 19161231     0.8
19170101 19170131     0.0
19170201 19170228     2.3
19170301 19170331    99.8
19170401 19170430     8.9
19170501 19170531    27.0
19170601 19170630    54.5
19170701 19170731   122.2
19170801 19170831    63.8
19170901 19170930    71.5
19171001 19171031    20.8
19171101 19171130     8.9
19171201 19171231     7.8
19180101 19180131     2.9
19180201 19180228    62.2
19180301 19180331    37.6
19180401 19180430    27.7
19180501 19180531    33.1
19180601 19180630   110.6
19180701 19180731    48.0
19180801 19180831    42.0
19180901 19180930    60.3
19181001 19181031    23.7
19181101 19181130     8.9
19181201 19181231     0.0
19190101 19190131     0.5
19190201 19190228     3.6
19190301 19190331     0.3
19190401 19190430    69.1
19190501 19190531    19.3
19190601 19190630    46.7
19190701 19190731    55.9
19190801 19190831    49.1
19190901 19190930    10.8
19191001 19191031    25.7
19191101 19191130    44.7
19191201 19191231     8.4
19200101 19200131     0.8
19200201 19200229     0.0
19200301 19200331    33.8
19200401 19200430     1.1
19200501 19200531    33.7
19200601 19200630    60.3
19200701 19200731    39.6
19200801 19200831    80.0
19200901 19200930    38.8
19201001 19201031     7.2
19201101 19201130     7.9
19201201 19201231     0.0
19210101 19210131     3.9
19210201 19210228     7.8
19210301 19210331    13.5
19210401 19210430     0.5
19210501 19210531   135.2
19210601 19210630    52.3
