PRCP       008088 18960101 20171231 missing_value=99999.9 MINGENEW POST OFFICE                      
18960101 18960131     0.0
18960201 18960229     0.0
18960301 18960331    37.1
18960401 18960430     0.0
18960501 18960531    22.9
18960601 18960630    64.3
18960701 18960731   147.3
18960801 18960831    27.2
18960901 18960930     7.4
18961001 18961031     3.0
18961101 18961130    14.0
18961201 18961231     0.0
18970101 18970131     0.0
18970201 18970228     0.0
18970301 18970331    22.6
18970401 18970430     3.8
18970501 18970531    20.6
18970601 18970630   124.2
18970701 18970731    54.6
18970801 18970831    69.9
18970901 18970930    33.5
18971001 18971031     4.8
18971101 18971130    11.4
18971201 18971231     0.0
18980101 18980131     0.0
18980201 18980228    32.0
18980301 18980331     0.0
18980401 18980430     1.8
18980501 18980531    90.7
18980601 18980630    62.2
18980701 18980731    33.8
18980801 18980831   101.3
18980901 18980930    14.0
18981001 18981031    27.4
18981101 18981130     1.3
18981201 18981231     1.0
18990101 18990131     0.0
18990201 18990228     0.0
18990301 18990331     0.0
18990401 18990430    31.5
18990501 18990531    50.0
18990601 18990630   147.6
18990701 18990731    66.3
18990801 18990831    47.5
18990901 18990930     4.3
18991001 18991031    49.0
18991101 18991130     6.1
18991201 18991231     0.0
19000101 19000131     0.8
19000201 19000228     0.0
19000301 19000331     0.0
19000401 19000430    76.5
19000501 19000531    77.5
19000601 19000630   190.2
19000701 19000731    75.9
19000801 19000831    95.5
19000901 19000930    42.9
19001001 19001031    13.2
19001101 19001130     5.3
19001201 19001231     2.3
19010101 19010131     0.0
19010201 19010228     4.3
19010301 19010331    76.7
19010401 19010430     0.0
19010501 19010531   111.8
19010601 19010630    85.6
19010701 19010731    58.4
19010801 19010831   129.8
19010901 19010930    17.5
19011001 19011031    13.0
19011101 19011130     1.8
19011201 19011231     5.1
19020101 19020131     0.0
19020201 19020228     4.6
19020301 19020331     1.8
19020401 19020430     0.0
19020501 19020531    28.7
19020601 19020630    23.1
19020701 19020731    94.2
19020801 19020831     8.1
19020901 19020930    65.5
19021001 19021031     6.1
19021101 19021130     1.0
19021201 19021231     4.3
19030101 19030131     1.5
19030201 19030228     2.5
19030301 19030331     0.3
19030401 19030430    10.2
19030501 19030531     6.1
19030601 19030630   134.4
19030701 19030731    74.4
19030801 19030831    74.4
19030901 19030930    76.5
19031001 19031031    36.8
19031101 19031130    36.1
19031201 19031231     9.1
19040101 19040131     0.0
19040201 19040229     0.8
19040301 19040331    23.4
19040401 19040430    15.5
19040501 19040531    15.0
19040601 19040630   104.6
19040701 19040731    70.1
19040801 19040831    29.5
19040901 19040930    35.1
19041001 19041031    40.1
19041101 19041130     3.3
19041201 19041231    21.8
19050101 19050131     0.5
19050201 19050228    15.0
19050301 19050331     4.3
19050401 19050430    14.5
19050501 19050531   128.5
19050601 19050630    58.7
19050701 19050731    92.2
19050801 19050831    64.3
19050901 19050930    69.1
19051001 19051031     9.4
19051101 19051130     4.8
19051201 19051231    20.8
19060101 19060131     6.9
19060201 19060228     1.0
19060301 19060331     0.0
19060401 19060430     5.1
19060501 19060531    46.2
19060601 19060630    59.4
19060701 19060731   123.2
19060801 19060831    95.8
19060901 19060930    32.5
19061001 19061031    11.7
19061101 19061130     7.6
19061201 19061231     0.5
19070101 19070131     6.6
19070201 19070228     4.1
19070301 19070331    21.5
19070401 19070430    15.0
19070501 19070531    59.6
19070601 19070630   112.3
19070701 19070731   132.1
19070801 19070831    66.8
19070901 19070930    50.5
19071001 19071031    12.5
19071101 19071130     1.0
19071201 19071231     0.0
19080101 19080131     1.3
19080201 19080229     0.5
19080301 19080331     6.3
19080401 19080430     9.6
19080501 19080531   117.2
19080601 19080630    68.1
19080701 19080731    64.2
19080801 19080831    24.4
19080901 19080930     7.2
19081001 19081031    23.8
19081101 19081130    17.5
19081201 19081231    25.4
19090101 19090131    22.2
19090201 19090228     5.6
19090301 19090331     0.0
19090401 19090430    35.7
19090501 19090531    50.6
19090601 19090630    92.1
19090701 19090731    44.8
19090801 19090831   194.0
19090901 19090930    43.8
19091001 19091031    39.6
19091101 19091130    27.2
19091201 19091231     0.0
19100101 19100131     0.5
19100201 19100228    35.1
19100301 19100331     0.0
19100401 19100430     1.0
19100501 19100531    96.0
19100601 19100630   108.3
19100701 19100731   124.3
19100801 19100831    30.3
19100901 19100930    33.3
19101001 19101031    22.7
19101101 19101130     2.0
