PRCP       008091 18970701 20040229 missing_value=99999.9 MOORA                                     
18970701 18970731    42.7
18970801 18970831    57.7
18970901 18970930    44.2
18971001 18971031     8.9
18971101 18971130    21.8
18971201 18971231     0.0
18980101 18980131     1.3
18980201 18980228     3.6
18980301 18980331     0.0
18980401 18980430     3.6
18980501 18980531    43.4
18980601 18980630    52.8
18980701 18980731    42.2
18980801 18980831   104.6
18980901 18980930    25.1
18981001 18981031    30.2
18981101 18981130    10.2
18981201 18981231     0.0
18990101 18990131     1.5
18990201 18990228     0.5
18990301 18990331    10.7
18990401 18990430    17.3
18990501 18990531    38.4
18990601 18990630   102.4
18990701 18990731    70.4
18990801 18990831    57.2
18990901 18990930    14.5
18991001 18991031    40.4
18991101 18991130     4.1
18991201 18991231     0.0
19000101 19000131     6.1
19000201 19000228     0.0
19000301 19000331     0.8
19000401 19000430    34.0
19000501 19000531    72.1
19000601 19000630   149.1
19000701 19000731    62.7
19000801 19000831    86.1
19000901 19000930    41.9
19001001 19001031     8.1
19001101 19001130     4.3
19001201 19001231     2.8
19010101 19010131     8.9
19010201 19010228     1.5
19010301 19010331    27.7
19010401 19010430     4.8
19010501 19010531    77.7
19010601 19010630    82.3
19010701 19010731    62.2
19010801 19010831    60.7
19010901 19010930    23.9
19011001 19011031    10.2
19011101 19011130     9.1
19011201 19011231     2.8
19020101 19020131     0.0
19020201 19020228     0.0
19020301 19020331    13.2
19020401 19020430     0.0
19020501 19020531    57.4
19020601 19020630    44.5
19020701 19020731    67.6
19020801 19020831    13.0
19020901 19020930    50.8
19021001 19021031     8.9
19021101 19021130     0.8
19021201 19021231     2.0
19030101 19030131     0.0
19030201 19030228    43.4
19030301 19030331     0.0
19030401 19030430    19.8
19030501 19030531    16.8
19030601 19030630   101.3
19030701 19030731   106.9
19030801 19030831    99.3
19030901 19030930    99.6
19031001 19031031    79.0
19031101 19031130     5.1
19031201 19031231     0.5
19040101 19040131     0.0
19040201 19040229     0.3
19040301 19040331    52.8
19040401 19040430    21.8
19040501 19040531    35.8
19040601 19040630   129.0
19040701 19040731   129.8
19040801 19040831    38.9
19040901 19040930    49.3
19041001 19041031    80.5
19041101 19041130     5.1
19041201 19041231    35.1
19050101 19050131     0.8
19050201 19050228     4.3
19050301 19050331     0.0
19050401 19050430    13.7
19050501 19050531   109.5
19050601 19050630    63.5
19050701 19050731   112.8
19050801 19050831    39.4
19050901 19050930    93.0
19051001 19051031     7.9
19051101 19051130     4.1
19051201 19051231    35.8
19060101 19060131     4.8
19060201 19060228     0.0
19060301 19060331     2.3
19060401 19060430     0.5
19060501 19060531    26.4
19060601 19060630   128.8
19060701 19060731   157.0
19060801 19060831    63.5
19060901 19060930    80.3
19061001 19061031    21.6
19061101 19061130    29.0
19061201 19061231     4.6
19070101 19070131    12.7
19070201 19070228     2.8
19070301 19070331    23.2
19070401 19070430    12.7
19070501 19070531    64.0
19070601 19070630   108.3
19070701 19070731   179.8
19070801 19070831    87.8
19070901 19070930    40.6
19071001 19071031    13.1
19071101 19071130     8.4
19071201 19071231     0.0
19080101 19080131     1.3
19080201 19080229     3.6
19080301 19080331    26.9
19080401 19080430    28.2
19080501 19080531    97.8
19080601 19080630    90.9
19080701 19080731    87.6
19080801 19080831    37.9
19080901 19080930     9.7
19081001 19081031    25.0
19081101 19081130    17.5
19081201 19081231     0.0
19090101 19090131    25.7
19090201 19090228     6.4
19090301 19090331     2.5
19090401 19090430    36.3
19090501 19090531    67.8
19090601 19090630   117.4
19090701 19090731    43.1
19090801 19090831   132.4
19090901 19090930    69.6
19091001 19091031    31.9
19091101 19091130     1.6
19091201 19091231     0.3
19100101 19100131     0.5
19100201 19100228    24.2
19100301 19100331     0.0
19100401 19100430     7.2
19100501 19100531    85.4
19100601 19100630   167.8
19100701 19100731   147.7
19100801 19100831    49.6
19100901 19100930    49.9
19101001 19101031    27.8
19101101 19101130     0.0
19101201 19101231     0.0
19110101 19110131    59.4
19110201 19110228     1.3
19110301 19110331     3.5
19110401 19110430    28.0
19110501 19110531    39.7
19110601 19110630    55.7
19110701 19110731    62.3
19110801 19110831    38.3
19110901 19110930    16.0
19111001 19111031    12.4
19111101 19111130     0.0
19111201 19111231     0.0
19120101 19120131    18.8
19120201 19120229    13.2
19120301 19120331     0.5
19120401 19120430     6.6
19120501 19120531    78.7
19120601 19120630    31.0
19120701 19120731   162.3
19120801 19120831    31.1
19120901 19120930    61.9
19121001 19121031    19.8
19121101 19121130     5.1
19121201 19121231     3.3
19130101 19130131     2.3
19130201 19130228     4.1
19130301 19130331     7.2
19130401 19130430    14.0
19130501 19130531    12.0
19130601 19130630   128.3
19130701 19130731    65.0
19130801 19130831   121.8
19130901 19130930    63.4
19131001 19131031    36.8
19131101 19131130     4.8
19131201 19131231    30.3
19140101 19140131     0.0
19140201 19140228     2.4
19140301 19140331     0.3
19140401 19140430     7.5
19140501 19140531     7.7
19140601 19140630    46.5
19140701 19140731    58.1
19140801 19140831    26.8
19140901 19140930     5.9
19141001 19141031    13.0
19141101 19141130    15.3
19141201 19141231    19.5
19150101 19150131    23.6
19150201 19150228    64.3
19150301 19150331    19.1
19150401 19150430    24.0
19150501 19150531    53.8
19150601 19150630   108.2
19150701 19150731   121.5
19150801 19150831    84.5
19150901 19150930    50.5
19151001 19151031    47.7
19151101 19151130     1.5
19151201 19151231     2.8
19160101 19160131    77.6
19160201 19160229     5.9
19160301 19160331     0.5
19160401 19160430     4.3
19160501 19160531    60.6
19160601 19160630    67.2
19160701 19160731   101.7
19160801 19160831    94.6
19160901 19160930     4.6
19161001 19161031    46.8
19161101 19161130    19.1
19161201 19161231     0.0
19170101 19170131    15.2
19170201 19170228     4.1
19170301 19170331    94.7
19170401 19170430    19.7
19170501 19170531    81.9
19170601 19170630   113.0
19170701 19170731   196.0
19170801 19170831   112.7
19170901 19170930    78.4
19171001 19171031    46.5
19171101 19171130     0.5
19171201 19171231    27.4
19180101 19180131     5.6
19180201 19180228    29.2
19180301 19180331    33.1
19180401 19180430    26.9
19180501 19180531    57.0
19180601 19180630   125.2
19180701 19180731    53.5
19180801 19180831    86.4
19180901 19180930    89.1
19181001 19181031    42.4
19181101 19181130     2.9
19181201 19181231     1.0
19190101 19190131     1.1
19190201 19190228     1.3
19190301 19190331     9.4
19190401 19190430    45.3
19190501 19190531    17.4
19190601 19190630    48.6
19190701 19190731    86.0
19190801 19190831    74.5
19190901 19190930    16.6
19191001 19191031    31.1
19191101 19191130    17.6
19191201 19191231    22.1
19200101 19200131     1.8
19200201 19200229     1.5
19200301 19200331    62.5
19200401 19200430    16.2
19200501 19200531    86.4
19200601 19200630   105.3
19200701 19200731    63.0
19200801 19200831   128.7
19200901 19200930    49.2
19201001 19201031     9.5
19201101 19201130    11.0
19201201 19201231     0.0
19210101 19210131     7.9
19210201 19210228    27.0
19210301 19210331    16.0
19210401 19210430     1.8
19210501 19210531   160.5
19210601 19210630    73.9
19210701 19210731    56.6
19210801 19210831    51.5
19210901 19210930    63.2
19211001 19211031    35.1
19211101 19211130    17.2
19211201 19211231    11.4
19220101 19220131     1.0
19220201 19220228    14.8
19220301 19220331     2.0
19220401 19220430    48.6
19220501 19220531    72.3
19220601 19220630    44.3
19220701 19220731    96.3
19220801 19220831    32.6
19220901 19220930    24.6
19221001 19221031    13.5
19221101 19221130     2.1
19221201 19221231     5.8
19230101 19230131    11.7
19230201 19230228    28.0
19230301 19230331     5.9
19230401 19230430    52.3
19230501 19230531    56.2
19230601 19230630   222.1
19230701 19230731    59.9
19230801 19230831    39.1
19230901 19230930    85.9
19231001 19231031    12.6
19231101 19231130     0.3
19231201 19231231    70.6
19240101 19240131     0.3
19240201 19240229     0.0
19240301 19240331     2.8
19240401 19240430     2.3
19240501 19240531    50.5
19240601 19240630    85.4
19240701 19240731    64.6
19240801 19240831    84.6
19240901 19240930    23.3
19241001 19241031    38.2
19241101 19241130    24.3
19241201 19241231     1.0
19250101 19250131     7.9
19250201 19250228    20.6
19250301 19250331    22.1
19250401 19250430     2.8
19250501 19250531    78.1
19250601 19250630    90.9
19250701 19250731    68.9
19250801 19250831     8.8
19250901 19250930    78.6
19251001 19251031    23.6
19251101 19251130     5.1
19251201 19251231    12.8
19260101 19260131     7.6
19260201 19260228     3.1
19260301 19260331    12.0
19260401 19260430    51.6
19260501 19260531    53.5
19260601 19260630   105.8
19260701 19260731   136.3
19260801 19260831    63.1
19260901 19260930    37.2
19261001 19261031    44.3
19261101 19261130    39.6
19261201 19261231     2.8
19270101 19270131     3.8
19270201 19270228     7.3
19270301 19270331    71.2
19270401 19270430     9.0
19270501 19270531    57.9
19270601 19270630    92.9
19270701 19270731    87.2
19270801 19270831    44.4
19270901 19270930    22.2
19271001 19271031    25.2
19271101 19271130     3.0
19271201 19271231     3.5
19280101 19280131     8.8
19280201 19280229     0.3
19280301 19280331     5.1
19280401 19280430     9.6
19280501 19280531    46.7
19280601 19280630    43.7
19280701 19280731   117.4
19280801 19280831    56.4
19280901 19280930    48.6
19281001 19281031    31.0
19281101 19281130     5.1
19281201 19281231    30.8
19290101 19290131     2.0
19290201 19290228    52.0
19290301 19290331    14.5
19290401 19290430     0.6
19290501 19290531   103.7
19290601 19290630   158.3
19290701 19290731    66.9
19290801 19290831    58.1
19290901 19290930    10.9
19291001 19291031    23.2
19291101 19291130    30.3
19291201 19291231     1.8
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    55.1
19300401 19300430    32.5
19300501 19300531    27.3
19300601 19300630   144.2
19300701 19300731    92.7
19300801 19300831    71.5
19300901 19300930    40.3
19301001 19301031    32.8
19301101 19301130     2.7
19301201 19301231     4.1
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331     3.9
19310401 19310430    25.2
19310501 19310531   105.5
19310601 19310630    54.7
19310701 19310731   101.4
19310801 19310831    97.4
19310901 19310930    67.1
19311001 19311031    11.6
19311101 19311130     0.0
19311201 19311231    11.3
19320101 19320131     1.0
19320201 19320229     0.0
19320301 19320331    62.2
19320401 19320430    24.3
19320501 19320531    66.4
19320601 19320630    75.4
19320701 19320731   104.3
19320801 19320831   137.3
19320901 19320930    19.6
19321001 19321031    48.1
19321101 19321130     1.3
19321201 19321231     1.0
19330101 19330131     4.1
19330201 19330228     1.5
19330301 19330331     0.8
19330401 19330430     6.6
19330501 19330531   100.1
19330601 19330630   149.6
19330701 19330731    52.4
19330801 19330831    59.6
19330901 19330930    21.3
19331001 19331031    37.9
19331101 19331130     4.9
19331201 19331231     5.8
19340101 19340131    46.2
19340201 19340228     3.8
19340301 19340331   122.6
19340401 19340430    60.3
19340501 19340531    40.6
19340601 19340630   103.6
19340701 19340731    84.4
19340801 19340831    44.2
19340901 19340930    23.5
19341001 19341031     5.6
19341101 19341130    32.0
19341201 19341231     3.0
19350101 19350131    35.5
19350201 19350228    20.1
19350301 19350331     6.9
19350401 19350430    24.2
19350501 19350531    22.4
19350601 19350630    49.1
19350701 19350731    90.1
19350801 19350831    96.5
19350901 19350930    31.3
19351001 19351031     5.2
19351101 19351130     1.3
19351201 19351231     3.1
19360101 19360131     4.7
19360201 19360229     0.0
19360301 19360331    10.4
19360401 19360430     3.8
19360501 19360531    21.4
19360601 19360630    88.9
19360701 19360731    50.2
19360801 19360831    69.6
19360901 19360930    27.3
19361001 19361031    13.1
19361101 19361130     3.5
19361201 19361231    12.5
19370101 19370131     0.0
19370201 19370228     0.0
19370301 19370331    18.8
19370401 19370430    33.1
19370501 19370531    78.3
19370601 19370630    88.6
19370701 19370731    21.4
19370801 19370831    83.6
19370901 19370930    45.0
19371001 19371031     3.3
19371101 19371130    19.6
19371201 19371231     0.0
19380101 19380131     0.0
19380201 19380228     1.3
19380301 19380331    44.3
19380401 19380430    46.7
19380501 19380531    38.3
19380601 19380630    70.3
19380701 19380731   110.6
19380801 19380831    43.0
19380901 19380930    29.3
19381001 19381031    13.0
19381101 19381130    26.5
19381201 19381231     0.3
19390101 19390131    46.5
19390201 19390228    95.2
19390301 19390331     0.3
19390401 19390430    16.2
19390501 19390531    96.6
19390601 19390630    98.7
19390701 19390731   136.9
19390801 19390831    84.5
19390901 19390930     4.9
19391001 19391031    25.1
19391101 19391130    39.4
19391201 19391231     0.5
19400101 19400131    19.5
19400201 19400229     0.8
19400301 19400331     0.0
19400401 19400430     2.3
19400501 19400531    47.3
19400601 19400630    62.3
19400701 19400731    80.8
19400801 19400831    26.2
19400901 19400930    39.9
19401001 19401031    38.2
19401101 19401130     7.6
19401201 19401231    23.1
19410101 19410131     0.0
19410201 19410228     7.1
19410301 19410331     2.3
19410401 19410430    60.6
19410501 19410531    57.6
19410601 19410630   105.0
19410701 19410731    58.4
19410801 19410831    45.6
19410901 19410930    58.0
19411001 19411031    23.7
19411101 19411130    18.8
19411201 19411231     4.6
19420101 19420131     3.8
19420201 19420228     1.0
19420301 19420331    71.9
19420401 19420430    16.7
19420501 19420531    61.0
19420601 19420630    67.5
19420701 19420731    60.8
19420801 19420831    80.5
19420901 19420930    42.4
19421001 19421031    19.2
19421101 19421130     2.3
19421201 19421231    10.9
19430101 19430131    22.1
19430201 19430228     9.3
19430301 19430331    69.9
19430401 19430430    26.2
19430501 19430531    56.7
19430601 19430630   107.7
19430701 19430731    46.6
19430801 19430831    55.4
19430901 19430930    32.9
19431001 19431031    40.8
19431101 19431130     0.5
19431201 19431231     7.1
19440101 19440131     7.6
19440201 19440229     0.0
19440301 19440331    17.3
19440401 19440430     7.2
19440501 19440531    73.0
19440601 19440630    38.6
19440701 19440731   124.8
19440801 19440831    52.7
19440901 19440930    18.7
19441001 19441031     5.7
19441101 19441130    19.4
19441201 19441231    26.2
19450101 19450131     0.0
19450201 19450228    14.3
19450301 19450331     8.2
19450401 19450430     5.4
19450501 19450531    43.2
19450601 19450630   230.7
19450701 19450731    64.5
19450801 19450831   136.5
19450901 19450930    52.1
19451001 19451031     6.8
19451101 19451130    36.8
19451201 19451231     3.8
19460101 19460131     0.3
19460201 19460228     0.0
19460301 19460331     6.5
19460401 19460430    52.6
19460501 19460531    75.9
19460601 19460630   163.6
19460701 19460731   190.6
19460801 19460831    69.9
