PRCP       008106 19070101 20160531 missing_value=99999.9 PERANGERY                                 
19070101 19070131     9.2
19070201 19070228    12.0
19070301 19070331    24.1
19070401 19070430    21.6
19070501 19070531    56.6
19070601 19070630   107.7
19070701 19070731   183.5
19070801 19070831    73.4
19070901 19070930    52.1
19071001 19071031    18.8
19071101 19071130     1.5
19071201 19071231     0.0
19080101 19080131     0.5
19080201 19080229     3.9
19080301 19080331     7.5
19080401 19080430    34.6
19080501 19080531   128.2
19080601 19080630   108.8
19080701 19080731    89.0
19080801 19080831    37.5
19080901 19080930     6.9
19081001 19081031    14.8
19081101 19081130    22.3
19081201 19081231     0.0
19090101 19090131    18.9
19090201 19090228     2.2
19090301 19090331     0.9
19090401 19090430     4.1
19090501 19090531    49.6
19090601 19090630   110.9
19090701 19090731    65.2
19090801 19090831   171.1
19090901 19090930    66.7
19091001 19091031    41.1
19091101 19091130     5.1
19091201 19091231     0.0
19100101 19100131     5.4
19100201 19100228    22.1
19100301 19100331     7.9
19100401 19100430     2.0
19100501 19100531    75.1
19100601 19100630   143.1
19100701 19100731   170.5
19100801 19100831    22.4
19100901 19100930    18.8
19101001 19101031     0.0
19101101 19101130     0.0
19101201 19101231     0.0
19110101 19110131     0.0
19110201 19110228     0.0
19110301 19110331     0.0
19110401 19110430     7.6
19110501 19110531    31.0
19110601 19110630    19.1
19110701 19110731    37.8
19110801 19110831    29.7
19110901 19110930     2.0
19111001 19111031     1.3
19111101 19111130     0.0
19111201 19111231     3.8
19120101 19120131    19.6
19120201 19120229     2.3
19120301 19120331     0.0
19120401 19120430     4.1
19120501 19120531    74.2
19120601 19120630    14.0
19120701 19120731    70.4
19120801 19120831     9.7
19120901 19120930    21.8
19121001 19121031    66.5
19121101 19121130     3.6
19121201 19121231    41.1
19130101 19130131     3.0
19130201 19130228     0.5
19130301 19130331    21.8
19130401 19130430    18.3
19130501 19130531     3.8
19130601 19130630    43.7
19130701 19130731    44.5
19130801 19130831    60.7
19130901 19130930    55.2
19131001 19131031    11.9
19131101 19131130     5.1
19131201 19131231    17.1
19140101 19140131     2.0
19140201 19140228     0.5
19140301 19140331     0.0
19140401 19140430     0.0
19140501 19140531     1.3
19140601 19140630    11.9
19140701 19140731    28.4
19140801 19140831    37.8
19140901 19140930     3.8
19141001 19141031    13.8
19141101 19141130    16.2
19141201 19141231    16.7
19150101 19150131    21.5
19150201 19150228   123.4
19150301 19150331     9.2
19150401 19150430    29.3
19150501 19150531    39.1
19150601 19150630    83.5
19150701 19150731    78.7
19150801 19150831    50.0
19150901 19150930    29.5
19151001 19151031    19.8
19151101 19151130     0.0
19151201 19151231    28.9
19160101 19160131    63.2
19160201 19160229    35.1
19160301 19160331    21.5
19160401 19160430    41.9
19160501 19160531    41.9
19160601 19160630    43.4
19160701 19160731    51.8
19160801 19160831    39.5
19160901 19160930     0.0
19161001 19161031    40.9
19161101 19161130     2.3
19161201 19161231     0.0
19170101 19170131    15.2
19170201 19170228     1.3
19170301 19170331   154.2
19170401 19170430     7.8
19170501 19170531    38.3
19170601 19170630   116.9
19170701 19170731   110.6
19170801 19170831    62.9
19170901 19170930    60.9
19171001 19171031    35.0
19171101 19171130     0.0
19171201 19171231    34.3
19180101 19180131     8.9
19180201 19180228    53.6
19180301 19180331    48.3
19180401 19180430    89.4
19180501 19180531    41.5
19180601 19180630   116.0
19180701 19180731    57.6
19180801 19180831    27.2
19180901 19180930    44.4
19181001 19181031    17.5
19181101 19181130     0.0
19181201 19181231     0.0
19190101 19190131     0.0
19190201 19190228     0.0
19190301 19190331     0.0
19190401 19190430    29.5
19190501 19190531     9.8
19190601 19190630   100.4
19190701 19190731    89.5
19190801 19190831    64.0
19190901 19190930     9.2
19191001 19191031    18.7
19191101 19191130    18.5
19191201 19191231    31.9
19200101 19200131     1.6
19200201 19200229     0.9
19200301 19200331    25.2
19200401 19200430    18.0
19200501 19200531    52.4
19200601 19200630    54.8
19200701 19200731    48.0
19200801 19200831    77.5
19200901 19200930    37.9
19201001 19201031     2.2
19201101 19201130     6.2
19201201 19201231     0.0
19210101 19210131     6.9
19210201 19210228    31.8
19210301 19210331    33.5
19210401 19210430     0.0
19210501 19210531   181.5
19210601 19210630    41.9
19210701 19210731    21.4
19210801 19210831    37.7
19210901 19210930    36.1
19211001 19211031    28.0
19211101 19211130     2.1
19211201 19211231     9.0
19220101 19220131     0.0
19220201 19220228    16.3
19220301 19220331    28.2
19220401 19220430    19.6
19220501 19220531    21.4
19220601 19220630    34.8
19220701 19220731    45.9
19220801 19220831    18.6
19220901 19220930    11.8
19221001 19221031     1.0
19221101 19221130     0.0
19221201 19221231     1.0
19230101 19230131    17.2
19230201 19230228     2.0
19230301 19230331     0.8
19230401 19230430    32.1
19230501 19230531    21.8
19230601 19230630   171.1
19230701 19230731    38.9
19230801 19230831    16.4
19230901 19230930    11.9
19231001 19231031     7.1
19231101 19231130    18.3
19231201 19231231    39.4
19240101 19240131     0.0
19240201 19240229    10.2
19240301 19240331    22.3
19240401 19240430     0.0
19240501 19240531    22.4
19240601 19240630    79.5
19240701 19240731    60.4
19240801 19240831    47.7
19240901 19240930     9.4
19241001 19241031    33.7
19241101 19241130     2.6
19241201 19241231     1.3
19250101 19250131    67.6
19250201 19250228     7.1
19250301 19250331    39.9
19250401 19250430     3.0
19250501 19250531    37.6
19250601 19250630    81.3
19250701 19250731    32.8
19250801 19250831    17.4
19250901 19250930    36.7
19251001 19251031     8.7
19251101 19251130     8.4
19251201 19251231    15.1
19260101 19260131    16.7
19260201 19260228     4.8
19260301 19260331    32.0
19260401 19260430    43.3
19260501 19260531    25.4
19260601 19260630    34.4
19260701 19260731    62.5
19260801 19260831    30.4
19260901 19260930    24.4
19261001 19261031    29.8
19261101 19261130    18.5
19261201 19261231     6.4
19270101 19270131     0.0
19270201 19270228     0.0
19270301 19270331   184.5
19270401 19270430    11.2
19270501 19270531    40.1
19270601 19270630    74.2
19270701 19270731    60.1
19270801 19270831    20.3
19270901 19270930    32.4
19271001 19271031     3.6
19271101 19271130     0.0
19271201 19271231     7.5
19280101 19280131    61.7
19280201 19280229     0.0
19280301 19280331    15.5
19280401 19280430    15.3
19280501 19280531    47.3
19280601 19280630    30.7
19280701 19280731    68.2
19280801 19280831    38.1
19280901 19280930    16.3
19281001 19281031     7.3
19281101 19281130     0.0
19281201 19281231     0.0
19290101 19290131     0.0
19290201 19290228    37.4
19290301 19290331     5.1
19290401 19290430     0.0
19290501 19290531    92.4
19290601 19290630    65.6
19290701 19290731    18.2
19290801 19290831    18.2
19290901 19290930     6.7
19291001 19291031     5.1
19291101 19291130    32.2
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    20.8
19300401 19300430    18.6
19300501 19300531    16.3
19300601 19300630   111.5
19300701 19300731    38.5
19300801 19300831    22.2
19300901 19300930     6.2
19301001 19301031    20.6
19301101 19301130     0.8
19301201 19301231     6.4
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331     3.8
19310401 19310430    13.4
19310501 19310531   105.8
19310601 19310630    29.1
19310701 19310731    57.6
19310801 19310831    40.2
19310901 19310930    40.6
19311001 19311031    14.1
19311101 19311130    61.8
19311201 19311231    25.4
19320101 19320131    31.4
19320201 19320229     8.1
19320301 19320331    35.5
19320401 19320430    26.3
19320501 19320531    59.0
19320601 19320630    32.0
19320701 19320731    55.6
19320801 19320831    93.1
19320901 19320930    15.4
19321001 19321031    64.6
19321101 19321130     0.0
19321201 19321231     9.8
19330101 19330131     1.8
19330201 19330228     9.2
19330301 19330331    20.8
19330401 19330430     4.1
19330501 19330531    70.5
19330601 19330630   124.3
19330701 19330731    37.8
19330801 19330831    66.0
19330901 19330930     9.1
19331001 19331031    20.4
19331101 19331130    14.3
19331201 19331231    16.4
19340101 19340131    19.9
19340201 19340228     2.6
19340301 19340331    98.8
19340401 19340430   106.5
19340501 19340531    10.3
19340601 19340630    43.1
19340701 19340731    56.4
19340801 19340831    53.9
19340901 19340930    11.6
19341001 19341031     5.0
19341101 19341130     6.7
19341201 19341231     1.8
19350101 19350131    25.4
19350201 19350228    75.1
19350301 19350331    64.1
19350401 19350430    38.3
19350501 19350531    13.9
19350601 19350630    15.3
19350701 19350731    43.3
19350801 19350831    59.6
19350901 19350930    11.2
19351001 19351031     4.7
19351101 19351130     0.0
19351201 19351231     1.3
19360101 19360131    10.5
19360201 19360229    12.5
19360301 19360331    12.5
19360401 19360430     8.7
19360501 19360531    24.7
19360601 19360630    58.0
19360701 19360731    31.3
19360801 19360831    36.7
19360901 19360930    17.2
19361001 19361031     5.1
19361101 19361130    12.7
19361201 19361231     6.5
19370101 19370131     5.1
19370201 19370228    16.8
19370301 19370331     3.8
19370401 19370430    38.6
19370501 19370531    40.2
19370601 19370630    93.3
19370701 19370731     7.7
