PRCP       008141 19070101 20160731 missing_value=99999.9 WILLI GULLI NORTH                         
19070101 19070131     0.0
19070201 19070228     0.0
19070301 19070331    17.8
19070401 19070430     8.6
19070501 19070531    79.0
19070601 19070630   130.7
19070701 19070731   174.5
19070801 19070831    55.4
19070901 19070930    47.3
19071001 19071031     8.2
19071101 19071130     1.3
19071201 19071231     0.3
19080101 19080131     1.3
19080201 19080229     2.0
19080301 19080331     9.2
19080401 19080430     2.8
19080501 19080531   117.7
19080601 19080630    87.6
19080701 19080731    54.4
19080801 19080831    29.5
19080901 19080930     3.0
19081001 19081031    13.7
19081101 19081130    24.7
19081201 19081231     0.3
19090101 19090131     0.0
19090201 19090228     0.0
19090301 19090331     1.8
19090401 19090430     1.8
19090501 19090531    46.8
19090601 19090630   115.9
19090701 19090731    84.1
19090801 19090831   140.0
19090901 19090930    56.2
19091001 19091031    36.9
19091101 19091130     0.0
19091201 19091231     0.0
19100101 19100131     1.5
19100201 19100228    13.0
19100301 19100331     0.0
19100401 19100430     1.8
19100501 19100531    93.4
19100601 19100630   103.0
19100701 19100731    96.0
19100801 19100831    39.7
19100901 19100930    37.4
19101001 19101031    18.5
19101101 19101130     0.0
19101201 19101231     2.5
19110101 19110131     0.0
19110201 19110228     0.0
19110301 19110331     2.0
19110401 19110430    15.4
19110501 19110531    33.0
19110601 19110630    88.6
19110701 19110731   127.5
19110801 19110831    58.8
19110901 19110930    20.2
19111001 19111031     1.8
19111101 19111130     0.0
19111201 19111231     0.0
19120101 19120131     0.0
19120201 19120229     0.0
19120301 19120331     0.0
19120401 19120430     4.3
19120501 19120531   105.1
19120601 19120630    44.5
19120701 19120731   157.0
19120801 19120831    34.6
19120901 19120930    58.8
19121001 19121031    22.4
19121101 19121130     4.6
19121201 19121231     0.0
19130101 19130131     0.0
19130201 19130228     1.0
19130301 19130331     8.4
19130401 19130430    37.5
19130501 19130531     4.6
19130601 19130630    70.7
19130701 19130731    89.8
19130801 19130831   142.8
19130901 19130930    59.9
19131001 19131031    16.5
19131101 19131130     4.6
19131201 19131231     8.5
19140101 19140131     0.0
19140201 19140228     2.8
19140301 19140331     0.3
19140401 19140430     3.3
19140501 19140531    15.3
19140601 19140630    50.9
19140701 19140731    51.8
19140801 19140831    48.5
19140901 19140930     4.6
19141001 19141031    21.6
19141101 19141130    33.4
19141201 19141231     4.1
19150101 19150131     7.6
19150201 19150228   126.3
19150301 19150331     4.4
19150401 19150430     8.6
19150501 19150531    63.8
19150601 19150630   155.6
19150701 19150731   127.9
19150801 19150831    57.7
19150901 19150930    37.7
19151001 19151031    26.4
19151101 19151130     0.0
19151201 19151231     0.0
19160101 19160131    69.9
19160201 19160229    38.9
19160301 19160331     0.0
19160401 19160430     0.0
19160501 19160531    37.6
19160601 19160630    84.5
19160701 19160731    92.1
19160801 19160831    76.6
19160901 19160930     2.0
19161001 19161031    44.2
19161101 19161130     8.4
19161201 19161231     0.0
19170101 19170131    16.8
19170201 19170228     0.5
19170301 19170331    44.1
19170401 19170430     4.1
19170501 19170531    30.6
19170601 19170630   171.3
19170701 19170731   186.4
19170801 19170831   111.2
19170901 19170930    84.6
19171001 19171031    32.3
19171101 19171130     0.0
19171201 19171231    13.2
19180101 19180131     2.5
19180201 19180228    19.0
19180301 19180331     1.8
19180401 19180430    18.8
19180501 19180531    55.5
19180601 19180630   137.3
19180701 19180731    70.8
19180801 19180831    66.4
19180901 19180930    47.7
19181001 19181031    18.0
19181101 19181130     0.0
19181201 19181231     0.0
19190101 19190131     0.0
19190201 19190228     0.0
19190301 19190331     0.0
19190401 19190430    47.5
19190501 19190531    25.7
19190601 19190630   124.7
19190701 19190731   162.3
19190801 19190831    64.1
19190901 19190930    16.5
19191001 19191031     5.1
19191101 19191130    11.1
19191201 19191231     2.1
19200101 19200131     5.1
19200201 19200229     0.0
19200301 19200331    30.5
19200401 19200430     2.3
19200501 19200531   111.8
19200601 19200630    68.6
19200701 19200731    73.3
19200801 19200831   113.3
19200901 19200930    39.6
19201001 19201031     7.6
19201101 19201130     5.9
19201201 19201231     0.0
19210101 19210131     1.3
19210201 19210228    34.6
19210301 19210331     4.3
19210401 19210430     1.8
19210501 19210531   213.9
19210601 19210630    97.4
19210701 19210731    82.6
19210801 19210831    58.6
19210901 19210930    43.6
19211001 19211031    25.9
19211101 19211130    14.8
19211201 19211231     0.0
19220101 19220131     0.0
19220201 19220228     0.0
19220301 19220331     6.7
19220401 19220430    42.9
19220501 19220531    31.7
19220601 19220630    19.3
19220701 19220731    86.6
19220801 19220831    43.1
19220901 19220930    29.3
19221001 19221031     4.8
19221101 19221130     2.0
19221201 19221231     9.9
19230101 19230131     8.4
19230201 19230228     3.6
19230301 19230331    12.2
19230401 19230430    43.7
19230501 19230531    40.7
19230601 19230630   308.5
19230701 19230731    35.4
19230801 19230831    57.3
19230901 19230930    38.4
19231001 19231031    19.3
19231101 19231130     0.0
19231201 19231231     0.0
19240101 19240131     0.0
19240201 19240229     0.0
19240301 19240331    19.8
19240401 19240430     3.0
19240501 19240531    34.6
19240601 19240630   128.8
19240701 19240731    69.2
19240801 19240831    47.6
19240901 19240930    20.2
19241001 19241031    41.9
19241101 19241130     3.1
19241201 19241231     0.0
19250101 19250131     6.1
19250201 19250228    12.3
19250301 19250331     5.3
19250401 19250430     0.0
19250501 19250531    75.3
19250601 19250630   222.3
19250701 19250731    81.8
19250801 19250831    43.2
19250901 19250930    45.5
19251001 19251031    13.5
19251101 19251130     2.3
19251201 19251231     9.2
19260101 19260131     0.5
19260201 19260228     1.6
19260301 19260331     1.1
19260401 19260430    43.7
19260501 19260531    38.6
19260601 19260630    71.2
19260701 19260731   121.4
19260801 19260831    37.8
19260901 19260930    34.0
19261001 19261031    19.6
19261101 19261130    23.8
19261201 19261231     0.0
19270101 19270131     0.0
19270201 19270228     0.0
19270301 19270331   126.1
19270401 19270430     8.6
19270501 19270531    57.1
19270601 19270630   149.1
19270701 19270731   141.8
19270801 19270831    64.8
19270901 19270930    74.9
19271001 19271031    12.1
19271101 19271130     4.0
19271201 19271231    24.8
19280101 19280131    21.1
19280201 19280229     0.0
19280301 19280331     8.4
19280401 19280430     7.0
19280501 19280531    73.4
19280601 19280630    79.4
19280701 19280731   136.0
19280801 19280831    57.4
19280901 19280930    30.4
19281001 19281031    23.9
19281101 19281130     1.2
19281201 19281231     2.6
19290101 19290131     0.7
19290201 19290228    13.3
