PRCP       008147 19090801 20180131 missing_value=99999.9 YUNA                                      
19090801 19090831   186.3
19090901 19090930    40.0
19091001 19091031    32.5
19091101 19091130    12.2
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228    17.1
19100301 19100331     0.0
19100401 19100430     1.3
19100501 19100531    80.2
19100601 19100630   147.9
19100701 19100731    84.5
19100801 19100831    11.0
19100901 19100930    27.0
19101001 19101031    14.0
19101101 19101130    17.7
19101201 19101231     2.8
19110101 19110131     1.0
19110201 19110228     4.1
19110301 19110331     0.0
19110401 19110430     8.9
19110501 19110531    25.0
19110601 19110630    24.0
19110701 19110731    61.6
19110801 19110831    21.9
19110901 19110930     6.6
19111001 19111031     2.6
19111101 19111130     0.0
19111201 19111231     1.0
19120101 19120131    22.9
19120201 19120229     4.3
19120301 19120331     4.8
19120401 19120430     0.0
19120501 19120531    78.0
19120601 19120630    47.5
19120701 19120731    86.2
19120801 19120831    10.0
19120901 19120930    39.7
19121001 19121031    79.2
19121101 19121130     1.6
19121201 19121231     0.0
19130101 19130131    31.7
19130201 19130228     3.6
19130301 19130331    27.0
19130401 19130430     2.6
19130501 19130531     1.8
19130601 19130630    45.4
19130701 19130731    53.4
19130801 19130831    81.6
19130901 19130930    50.5
19131001 19131031    15.0
19131101 19131130     0.8
19131201 19131231     3.6
19140101 19140131    13.5
19140201 19140228     2.7
19140301 19140331     0.3
19140401 19140430     1.3
19140501 19140531     6.4
19140601 19140630    24.3
19140701 19140731    34.0
19140801 19140831    26.9
19140901 19140930     1.0
19141001 19141031     3.8
19141101 19141130    59.2
19141201 19141231    14.7
19150101 19150131    31.0
19150201 19150228   110.0
19150301 19150331     6.1
19150401 19150430    32.4
19150501 19150531    51.8
19150601 19150630    94.4
19150701 19150731   100.3
19150801 19150831    45.4
19150901 19150930    31.9
19151001 19151031    28.6
19151101 19151130     0.0
19151201 19151231     5.6
19160101 19160131    58.1
19160201 19160229     4.6
19160301 19160331     1.5
19160401 19160430     1.0
19160501 19160531    28.2
19160601 19160630    65.1
19160701 19160731    50.0
19160801 19160831    66.9
19160901 19160930     1.6
