PRCP       009503 18970701 20140831 missing_value=99999.9 BOYANUP POST OFFICE                       
18970701 18970731   110.7
18970801 18970831   106.2
18970901 18970930   110.0
18971001 18971031    38.4
18971101 18971130    93.7
18971201 18971231     5.6
18980101 18980131    47.5
18980201 18980228    14.2
18980301 18980331     4.1
18980401 18980430     4.8
18980501 18980531   110.0
18980601 18980630   165.6
18980701 18980731   153.7
18980801 18980831   175.3
18980901 18980930   105.2
18981001 18981031   190.5
18981101 18981130    39.4
18981201 18981231     4.3
18990101 18990131     1.0
18990201 18990228     3.0
18990301 18990331    18.5
18990401 18990430   131.6
18990501 18990531    88.4
18990601 18990630   186.2
18990701 18990731   155.7
18990801 18990831   138.2
18990901 18990930    52.3
18991001 18991031   111.8
18991101 18991130    34.0
18991201 18991231    11.4
19000101 19000131    80.0
19000201 19000228     1.8
19000301 19000331     7.1
19000401 19000430    39.6
19000501 19000531    98.3
19000601 19000630   278.6
19000701 19000731   152.7
19000801 19000831   190.5
19000901 19000930    86.6
19001001 19001031    51.1
19001101 19001130    16.5
19001201 19001231    23.6
19010101 19010131     1.3
19010201 19010228     0.8
19010301 19010331    47.0
19010401 19010430    45.0
19010501 19010531   221.0
19010601 19010630   107.2
19010701 19010731   164.3
19010801 19010831   160.0
19010901 19010930    71.4
19011001 19011031    25.4
19011101 19011130    43.9
19011201 19011231    17.3
19020101 19020131     0.8
19020201 19020228    12.4
19020301 19020331     2.0
19020401 19020430     5.1
19020501 19020531   178.1
19020601 19020630   102.1
19020701 19020731   174.5
19020801 19020831    34.8
19020901 19020930    87.6
19021001 19021031    35.8
19021101 19021130    16.5
19021201 19021231    14.5
19030101 19030131     6.6
19030201 19030228     0.0
19030301 19030331     6.6
19030401 19030430    50.5
19030501 19030531    50.3
19030601 19030630   195.8
19030701 19030731   191.8
19030801 19030831   193.0
19030901 19030930   192.3
19031001 19031031    91.2
19031101 19031130     7.1
19031201 19031231    27.9
19040101 19040131     4.6
19040201 19040229     8.1
19040301 19040331   121.4
19040401 19040430    67.3
19040501 19040531   120.7
19040601 19040630   188.7
19040701 19040731   131.3
19040801 19040831   136.7
19040901 19040930    42.4
19041001 19041031    90.2
19041101 19041130    13.2
19041201 19041231    13.2
19050101 19050131     9.1
19050201 19050228     7.4
19050301 19050331     1.8
19050401 19050430    41.7
19050501 19050531   222.0
19050601 19050630   162.8
19050701 19050731   170.4
19050801 19050831    69.9
19050901 19050930   160.8
19051001 19051031    65.5
19051101 19051130    27.2
19051201 19051231    18.8
19060101 19060131    35.1
19060201 19060228    20.6
19060301 19060331     7.4
19060401 19060430    27.2
19060501 19060531    82.8
19060601 19060630   318.8
19060701 19060731   190.2
19060801 19060831   115.1
19060901 19060930   155.4
19061001 19061031    40.9
19061101 19061130     1.3
19061201 19061231     3.8
19070101 19070131     0.0
19070201 19070228    15.0
19070301 19070331    45.2
19070401 19070430    25.2
19070501 19070531   133.0
19070601 19070630   116.8
19070701 19070731   283.3
19070801 19070831   239.8
