PRCP       009519 19030901 20180131 missing_value=99999.9 CAPE NATURALISTE                          
19030901 19030930    87.9
19031001 19031031    64.0
19031101 19031130    11.2
19031201 19031231    11.4
19040101 19040131     7.9
19040201 19040229     2.5
19040301 19040331    74.7
19040401 19040430    48.5
19040501 19040531    91.4
19040601 19040630   181.6
19040701 19040731    96.0
19040801 19040831   108.7
19040901 19040930    49.0
19041001 19041031    69.6
19041101 19041130    23.6
19041201 19041231     9.4
19050101 19050131     4.6
19050201 19050228     6.1
19050301 19050331     4.1
19050401 19050430    34.8
19050501 19050531   189.0
19050601 19050630   103.9
19050701 19050731   162.8
19050801 19050831    80.0
19050901 19050930    87.6
19051001 19051031    38.6
19051101 19051130    16.0
19051201 19051231    13.5
19060101 19060131    14.7
19060201 19060228    14.5
19060301 19060331    23.9
19060401 19060430    19.8
19060501 19060531   158.8
19060601 19060630   169.2
19060701 19060731   152.4
19060801 19060831    98.8
19060901 19060930   110.0
19061001 19061031    24.9
19061101 19061130     4.3
19061201 19061231     1.8
19070101 19070131    14.7
19070201 19070228    15.3
19070301 19070331    30.7
19070401 19070430    19.8
19070501 19070531   128.1
19070601 19070630   166.0
19070701 19070731   305.5
19070801 19070831   115.8
19070901 19070930    97.4
19071001 19071031    95.0
19071101 19071130    27.1
19071201 19071231     5.1
19080101 19080131    17.0
19080201 19080229     9.9
19080301 19080331    29.9
19080401 19080430    25.0
19080501 19080531    90.5
19080601 19080630   160.9
19080701 19080731   169.5
19080801 19080831   137.0
19080901 19080930    38.1
19081001 19081031    65.8
19081101 19081130    48.5
19081201 19081231     5.4
19090101 19090131     0.5
19090201 19090228     3.4
19090301 19090331    34.4
19090401 19090430    45.0
19090501 19090531   135.3
19090601 19090630   227.4
19090701 19090731   156.1
19090801 19090831   156.1
19090901 19090930    86.5
19091001 19091031    41.6
19091101 19091130    10.0
19091201 19091231     1.1
19100101 19100131    21.5
19100201 19100228     6.9
19100301 19100331    11.6
19100401 19100430    34.4
19100501 19100531   231.6
19100601 19100630   271.5
19100701 19100731   241.7
19100801 19100831   108.4
19100901 19100930    86.2
19101001 19101031    32.9
19101101 19101130    23.5
19101201 19101231     5.6
19110101 19110131     1.0
19110201 19110228     1.8
19110301 19110331    10.4
19110401 19110430    47.2
19110501 19110531    71.5
19110601 19110630   124.5
19110701 19110731   212.4
19110801 19110831    63.0
19110901 19110930    59.7
19111001 19111031    38.2
19111101 19111130     5.2
19111201 19111231     4.1
19120101 19120131     7.1
19120201 19120229     7.5
19120301 19120331    10.1
19120401 19120430     4.4
19120501 19120531    78.0
19120601 19120630   186.3
19120701 19120731   300.6
19120801 19120831   103.7
19120901 19120930   115.5
19121001 19121031    39.1
19121101 19121130    10.9
19121201 19121231    32.6
19130101 19130131     7.8
19130201 19130228     3.6
19130301 19130331    74.8
19130401 19130430    46.3
19130501 19130531    64.1
19130601 19130630   215.6
19130701 19130731   167.4
19130801 19130831   160.5
19130901 19130930    57.1
19131001 19131031    54.4
19131101 19131130    24.2
19131201 19131231    63.6
19140101 19140131     0.8
19140201 19140228    29.0
19140301 19140331     1.9
19140401 19140430    28.0
19140501 19140531    82.3
19140601 19140630   133.2
19140701 19140731   200.7
19140801 19140831    58.0
19140901 19140930    27.1
19141001 19141031    80.3
19141101 19141130    75.0
19141201 19141231     7.2
19150101 19150131     2.8
19150201 19150228    60.5
19150301 19150331    57.7
19150401 19150430    26.1
19150501 19150531    55.5
19150601 19150630   206.3
19150701 19150731   164.5
19150801 19150831   136.4
19150901 19150930    91.5
19151001 19151031    56.3
19151101 19151130    15.5
19151201 19151231     3.9
19160101 19160131    23.8
19160201 19160229     7.9
19160301 19160331     6.6
19160401 19160430    48.5
19160501 19160531   126.0
19160601 19160630    93.6
19160701 19160731   162.5
19160801 19160831   132.1
19160901 19160930    10.2
19161001 19161031    80.2
19161101 19161130    58.0
19161201 19161231     2.5
19170101 19170131     0.3
19170201 19170228    43.1
19170301 19170331    20.7
19170401 19170430    50.9
19170501 19170531   220.1
19170601 19170630   301.0
19170701 19170731   127.4
19170801 19170831   139.4
19170901 19170930   197.1
19171001 19171031    55.3
19171101 19171130     0.8
19171201 19171231    36.6
19180101 19180131    31.4
19180201 19180228    62.8
19180301 19180331    10.7
19180401 19180430    79.8
19180501 19180531   166.1
19180601 19180630   107.9
19180701 19180731    94.7
19180801 19180831   142.8
19180901 19180930   102.1
19181001 19181031    63.5
19181101 19181130    10.3
19181201 19181231     4.9
19190101 19190131    18.1
19190201 19190228     2.9
19190301 19190331     4.1
19190401 19190430    15.6
19190501 19190531    68.2
19190601 19190630    69.7
19190701 19190731   242.2
19190801 19190831    74.3
19190901 19190930    49.4
19191001 19191031    49.6
19191101 19191130    20.2
19191201 19191231     2.9
19200101 19200131     5.2
19200201 19200229    15.3
19200301 19200331    28.8
19200401 19200430     9.9
19200501 19200531   169.6
19200601 19200630   171.3
19200701 19200731   156.7
19200801 19200831   189.2
19200901 19200930    50.1
19201001 19201031    23.0
19201101 19201130    11.5
19201201 19201231     4.9
19210101 19210131     2.3
19210201 19210228   107.9
19210301 19210331    23.5
19210401 19210430    31.3
19210501 19210531   226.7
19210601 19210630   224.9
19210701 19210731   128.0
19210801 19210831   137.7
19210901 19210930    60.4
19211001 19211031    76.3
19211101 19211130    38.8
19211201 19211231    17.8
19220101 19220131     2.3
19220201 19220228     5.1
19220301 19220331    25.3
19220401 19220430    35.9
19220501 19220531    79.4
19220601 19220630   123.8
19220701 19220731   331.7
19220801 19220831   111.0
19220901 19220930    68.9
19221001 19221031    43.5
19221101 19221130    26.7
19221201 19221231    33.1
19230101 19230131    47.7
19230201 19230228     2.7
19230301 19230331    43.3
19230401 19230430    46.0
19230501 19230531   122.5
19230601 19230630   211.8
19230701 19230731   106.1
19230801 19230831   113.1
19230901 19230930   166.8
19231001 19231031    38.5
19231101 19231130     1.8
19231201 19231231     3.3
19240101 19240131     4.0
19240201 19240229     8.1
19240301 19240331     7.4
19240401 19240430     3.6
19240501 19240531   127.4
19240601 19240630   142.7
19240701 19240731   106.2
19240801 19240831   111.1
19240901 19240930    95.9
19241001 19241031   106.9
19241101 19241130    25.0
19241201 19241231     0.6
19250101 19250131    12.2
19250201 19250228     9.7
19250301 19250331    17.1
19250401 19250430    21.8
19250501 19250531    94.8
19250601 19250630   134.9
19250701 19250731   147.3
19250801 19250831    48.1
19250901 19250930    86.2
19251001 19251031    59.9
19251101 19251130     8.5
19251201 19251231    73.7
19260101 19260131     1.0
19260201 19260228    20.2
19260301 19260331    22.4
19260401 19260430   154.1
19260501 19260531   156.2
19260601 19260630   123.4
19260701 19260731   196.5
19260801 19260831   104.7
19260901 19260930    88.6
19261001 19261031    82.2
19261101 19261130    22.8
19261201 19261231     8.4
19270101 19270131    30.3
19270201 19270228     4.3
19270301 19270331    80.8
19270401 19270430    38.2
19270501 19270531   113.1
19270601 19270630   190.3
19270701 19270731   128.4
19270801 19270831    80.1
19270901 19270930   103.0
19271001 19271031    35.5
19271101 19271130     5.6
19271201 19271231     2.9
19280101 19280131    27.8
19280201 19280229     6.4
19280301 19280331     1.6
19280401 19280430    25.7
19280501 19280531    93.3
19280601 19280630   134.3
19280701 19280731   164.3
19280801 19280831   143.4
19280901 19280930   111.9
19281001 19281031    85.7
19281101 19281130     6.5
19281201 19281231    16.1
19290101 19290131     0.6
19290201 19290228    24.0
19290301 19290331     6.7
19290401 19290430    46.4
19290501 19290531   183.3
19290601 19290630   214.2
19290701 19290731   151.7
19290801 19290831    93.5
19290901 19290930    40.7
19291001 19291031    30.7
19291101 19291130    73.0
19291201 19291231     9.1
19300101 19300131     0.8
19300201 19300228     2.3
19300301 19300331     4.9
19300401 19300430    29.4
19300501 19300531    71.6
19300601 19300630   262.8
19300701 19300731   158.3
19300801 19300831    55.1
19300901 19300930    66.8
19301001 19301031    47.9
19301101 19301130    25.4
19301201 19301231     9.3
19310101 19310131     5.6
19310201 19310228     5.3
19310301 19310331    12.2
19310401 19310430    43.4
19310501 19310531    78.2
19310601 19310630    97.0
19310701 19310731   160.6
19310801 19310831   143.0
19310901 19310930   101.9
19311001 19311031    40.5
19311101 19311130     1.3
19311201 19311231     5.3
19320101 19320131     7.6
19320201 19320229     0.3
19320301 19320331    41.1
19320401 19320430    32.3
19320501 19320531   173.7
19320601 19320630   244.6
19320701 19320731   188.0
19320801 19320831   116.0
19320901 19320930    42.7
19321001 19321031    52.4
19321101 19321130     9.9
19321201 19321231     1.6
19330101 19330131    11.2
19330201 19330228     2.6
19330301 19330331    34.9
19330401 19330430    24.1
19330501 19330531   100.1
19330601 19330630   220.1
19330701 19330731   128.8
19330801 19330831   141.1
19330901 19330930    73.0
19331001 19331031   116.8
19331101 19331130     5.6
19331201 19331231     2.8
19340101 19340131    13.9
19340201 19340228     5.4
19340301 19340331    66.7
19340401 19340430    40.4
19340501 19340531   119.4
19340601 19340630   227.3
19340701 19340731   181.0
19340801 19340831   108.0
19340901 19340930    79.2
19341001 19341031    43.6
19341101 19341130    22.5
19341201 19341231    19.1
19350101 19350131     6.2
19350201 19350228    22.2
19350301 19350331     2.5
19350401 19350430    26.8
19350501 19350531    65.2
19350601 19350630   159.0
19350701 19350731   217.0
19350801 19350831   107.6
19350901 19350930   100.3
19351001 19351031    56.2
19351101 19351130    13.1
19351201 19351231     8.4
19360101 19360131    14.3
19360201 19360229     1.0
19360301 19360331     7.9
19360401 19360430    26.2
19360501 19360531    97.9
19360601 19360630   168.7
19360701 19360731   124.9
19360801 19360831   128.0
19360901 19360930    48.1
19361001 19361031    33.9
19361101 19361130    13.0
19361201 19361231     0.8
19370101 19370131     1.6
19370201 19370228     8.5
19370301 19370331     7.1
19370401 19370430    69.1
19370501 19370531   148.8
19370601 19370630   170.0
19370701 19370731    93.2
19370801 19370831   120.8
19370901 19370930    65.4
19371001 19371031    33.6
19371101 19371130    11.5
19371201 19371231    12.4
19380101 19380131     1.3
19380201 19380228    16.5
19380301 19380331    28.7
19380401 19380430    32.2
19380501 19380531   111.6
19380601 19380630    85.7
19380701 19380731   161.5
19380801 19380831   110.8
19380901 19380930    69.2
19381001 19381031    51.2
19381101 19381130    25.6
19381201 19381231    14.4
19390101 19390131    13.0
19390201 19390228    24.0
19390301 19390331     0.6
