PRCP       009520 18970101 20171231 missing_value=99999.9 CAPE RICHE                                
18970101 18970131     0.0
18970201 18970228    37.1
18970301 18970331    35.6
18970401 18970430    43.7
18970501 18970531    30.0
18970601 18970630    82.8
18970701 18970731    42.7
18970801 18970831    88.9
18970901 18970930    78.0
18971001 18971031    16.8
18971101 18971130    16.3
18971201 18971231    52.8
18980101 18980131    18.3
18980201 18980228     8.4
18980301 18980331     0.0
18980401 18980430    26.2
18980501 18980531    30.7
18980601 18980630   148.8
18980701 18980731    73.7
18980801 18980831    35.8
18980901 18980930    15.0
18981001 18981031    92.2
18981101 18981130    14.7
18981201 18981231     8.4
18990101 18990131    15.7
18990201 18990228    55.6
18990301 18990331    36.3
18990401 18990430    51.8
18990501 18990531   135.1
18990601 18990630    58.2
18990701 18990731    44.7
18990801 18990831    33.0
18990901 18990930   105.4
18991001 18991031    71.6
18991101 18991130    20.6
18991201 18991231     4.1
19000101 19000131    36.3
19000201 19000228     0.5
19000301 19000331    10.7
19000401 19000430    47.2
19000501 19000531   119.9
19000601 19000630    54.6
19000701 19000731    48.5
19000801 19000831    71.9
19000901 19000930    55.9
19001001 19001031    75.2
19001101 19001130    34.0
19001201 19001231     3.0
19010101 19010131     2.3
19010201 19010228     0.0
19010301 19010331    36.8
19010401 19010430    16.5
19010501 19010531    26.9
19010601 19010630    77.2
19010701 19010731    41.7
19010801 19010831    83.8
19010901 19010930    41.7
19011001 19011031    26.4
19011101 19011130     7.6
19011201 19011231    46.2
19020101 19020131    10.7
19020201 19020228    12.4
19020301 19020331     8.9
19020401 19020430    12.4
19020501 19020531    39.1
19020601 19020630   102.6
19020701 19020731   110.5
19020801 19020831   175.5
19020901 19020930    95.5
19021001 19021031    73.2
19021101 19021130     6.6
19021201 19021231     2.8
19030101 19030131     3.0
19030201 19030228     0.0
19030301 19030331    24.1
19030401 19030430    49.0
19030501 19030531    27.9
19030601 19030630    81.8
19030701 19030731    78.0
19030801 19030831    68.3
19030901 19030930    61.7
19031001 19031031    74.7
19031101 19031130    45.0
19031201 19031231    26.2
19040101 19040131     3.3
19040201 19040229     4.3
19040301 19040331    79.5
19040401 19040430    25.9
19040501 19040531   201.9
19040601 19040630    67.1
19040701 19040731   103.6
19040801 19040831    31.8
19040901 19040930    59.7
19041001 19041031   102.9
19041101 19041130    24.6
19041201 19041231    60.2
19050101 19050131    13.7
19050201 19050228     8.6
19050301 19050331    17.8
19050401 19050430   129.3
19050501 19050531    53.3
19050601 19050630    57.7
19050701 19050731    27.4
19050801 19050831    39.1
19050901 19050930   109.0
19051001 19051031   119.1
19051101 19051130    20.3
19051201 19051231    19.6
19060101 19060131    15.2
19060201 19060228    89.2
19060301 19060331    23.6
19060401 19060430     4.6
19060501 19060531    53.3
19060601 19060630    56.1
19060701 19060731    73.2
19060801 19060831    61.5
19060901 19060930    79.8
19061001 19061031    12.7
19061101 19061130    35.3
19061201 19061231    30.5
19070101 19070131     6.4
19070201 19070228     8.1
19070301 19070331    51.1
19070401 19070430     9.2
19070501 19070531    99.9
19070601 19070630    90.9
19070701 19070731    60.4
19070801 19070831    47.9
19070901 19070930    69.2
19071001 19071031    25.6
19071101 19071130     9.2
19071201 19071231    21.3
19080101 19080131     1.6
19080201 19080229    17.8
19080301 19080331    38.3
19080401 19080430    74.9
19080501 19080531   199.9
19080601 19080630   105.1
19080701 19080731    75.2
19080801 19080831   129.8
19080901 19080930    21.0
19081001 19081031    23.7
19081101 19081130     9.7
19081201 19081231    11.2
19090101 19090131    11.9
19090201 19090228     8.9
19090301 19090331    34.4
19090401 19090430   115.3
19090501 19090531    48.2
19090601 19090630    75.7
19090701 19090731    92.8
19090801 19090831   135.3
19090901 19090930    43.2
19091001 19091031    22.3
19091101 19091130    34.9
19091201 19091231    17.3
19100101 19100131    13.7
19100201 19100228    11.4
19100301 19100331    25.4
19100401 19100430    48.1
19100501 19100531    58.2
19100601 19100630    73.1
19100701 19100731   113.5
