PRCP       009551 19020801 20161031 missing_value=99999.9 GRASSMERE                                 
19020801 19020831   221.7
19020901 19020930   155.2
19021001 19021031    94.5
19021101 19021130    16.0
19021201 19021231    19.3
19030101 19030131    11.9
19030201 19030228     2.5
19030301 19030331    39.1
19030401 19030430   152.4
19030501 19030531    77.2
19030601 19030630   107.7
19030701 19030731   170.7
19030801 19030831   156.5
19030901 19030930   133.4
19031001 19031031   137.2
19031101 19031130    45.0
19031201 19031231    30.2
19040101 19040131    27.9
19040201 19040229     9.9
19040301 19040331    76.5
19040401 19040430    51.1
19040501 19040531   156.0
19040601 19040630   162.6
19040701 19040731   202.4
19040801 19040831   100.3
19040901 19040930    99.3
19041001 19041031   149.1
19041101 19041130    44.5
19041201 19041231    24.4
19050101 19050131    23.9
19050201 19050228     5.8
19050301 19050331    32.5
19050401 19050430    86.9
19050501 19050531   160.8
19050601 19050630   115.8
19050701 19050731    75.9
19050801 19050831   108.5
19050901 19050930   174.8
19051001 19051031   115.8
19051101 19051130    43.4
19051201 19051231    29.5
19060101 19060131    16.0
19060201 19060228    17.0
19060301 19060331    37.1
19060401 19060430    45.7
19060501 19060531   167.4
19060601 19060630   208.0
19060701 19060731   142.2
19060801 19060831    82.6
19060901 19060930   110.0
19061001 19061031    95.0
19061101 19061130    27.4
19061201 19061231    29.2
19070101 19070131    18.8
19070201 19070228     6.6
19070301 19070331    36.9
19070401 19070430    32.0
19070501 19070531   133.2
19070601 19070630   145.2
19070701 19070731   167.7
19070801 19070831   211.0
19070901 19070930   165.5
19071001 19071031   154.3
19071101 19071130    37.6
19071201 19071231    15.9
19080101 19080131    13.3
19080201 19080229    24.5
19080301 19080331    18.3
19080401 19080430    58.5
19080501 19080531   122.4
19080601 19080630   169.8
19080701 19080731   112.5
19080801 19080831    79.6
19080901 19080930    80.7
19081001 19081031    69.7
19081101 19081130    52.6
19081201 19081231    43.2
19090101 19090131    15.6
19090201 19090228    23.3
19090301 19090331    80.2
19090401 19090430    96.2
19090501 19090531   170.8
19090601 19090630   120.5
19090701 19090731   194.4
19090801 19090831   195.0
19090901 19090930   126.6
19091001 19091031    73.2
19091101 19091130    44.2
19091201 19091231     6.7
19100101 19100131    42.0
19100201 19100228     3.1
19100301 19100331    50.0
19100401 19100430    99.6
19100501 19100531   138.4
19100601 19100630   252.2
19100701 19100731   236.4
19100801 19100831   148.8
19100901 19100930    87.0
19101001 19101031   155.8
19101101 19101130    79.5
19101201 19101231    30.4
19110101 19110131     1.6
19110201 19110228     6.6
19110301 19110331    43.4
19110401 19110430    42.9
19110501 19110531   102.3
19110601 19110630   148.4
19110701 19110731   223.2
19110801 19110831   122.1
19110901 19110930    84.9
19111001 19111031    80.6
19111101 19111130    14.0
19111201 19111231    18.8
19120101 19120131     7.8
19120201 19120229    10.5
19120301 19120331    31.4
19120401 19120430    29.2
19120501 19120531   105.2
19120601 19120630   116.3
19120701 19120731   228.4
19120801 19120831   126.4
19120901 19120930   207.0
19121001 19121031    75.3
19121101 19121130    41.5
19121201 19121231    23.8
19130101 19130131    26.6
19130201 19130228    11.5
19130301 19130331    42.6
19130401 19130430   245.2
19130501 19130531    60.7
19130601 19130630   101.0
19130701 19130731   162.7
19130801 19130831   219.0
19130901 19130930   115.2
19131001 19131031    93.2
19131101 19131130    29.7
19131201 19131231    91.7
19140101 19140131     2.6
19140201 19140228    69.8
19140301 19140331    55.0
19140401 19140430    48.8
19140501 19140531   115.6
19140601 19140630    93.0
19140701 19140731   131.7
19140801 19140831    61.6
19140901 19140930    64.9
19141001 19141031    70.5
19141101 19141130    99.2
19141201 19141231    31.4
19150101 19150131     7.7
19150201 19150228    50.3
19150301 19150331    60.4
19150401 19150430    53.8
19150501 19150531    88.1
19150601 19150630   159.0
19150701 19150731   215.6
19150801 19150831   254.0
19150901 19150930   193.5
19151001 19151031    95.9
19151101 19151130    34.6
19151201 19151231     4.9
19160101 19160131    41.5
19160201 19160229    38.0
19160301 19160331    28.7
19160401 19160430    23.8
19160501 19160531   161.9
19160601 19160630   242.5
19160701 19160731   195.8
19160801 19160831   201.5
19160901 19160930    44.2
19161001 19161031   125.8
19161101 19161130    50.3
19161201 19161231    13.8
19170101 19170131    26.1
19170201 19170228    65.9
19170301 19170331   158.6
19170401 19170430   107.4
19170501 19170531   244.1
19170601 19170630   228.8
19170701 19170731   179.6
19170801 19170831   143.8
19170901 19170930   170.8
19171001 19171031   117.7
19171101 19171130    17.4
19171201 19171231    37.8
19180101 19180131   111.8
19180201 19180228    69.7
19180301 19180331    66.4
19180401 19180430   100.4
19180501 19180531   181.1
19180601 19180630   218.4
19180701 19180731    65.8
19180801 19180831   139.9
19180901 19180930    81.7
19181001 19181031   106.9
19181101 19181130    30.0
19181201 19181231    30.2
19190101 19190131    10.1
19190201 19190228    38.8
19190301 19190331    13.3
19190401 19190430   166.4
19190501 19190531    99.6
19190601 19190630   108.6
19190701 19190731   207.2
19190801 19190831   129.0
19190901 19190930    71.6
19191001 19191031    95.9
19191101 19191130    59.7
19191201 19191231    15.7
19200101 19200131    12.0
19200201 19200229    74.3
19200301 19200331    53.5
19200401 19200430    43.6
19200501 19200531   157.9
19200601 19200630   351.3
19200701 19200731   160.8
19200801 19200831   200.7
19200901 19200930   107.5
19201001 19201031    53.6
19201101 19201130    20.8
19201201 19201231    14.6
19210101 19210131    41.1
19210201 19210228    40.7
19210301 19210331    10.8
19210401 19210430    64.0
19210501 19210531   301.5
19210601 19210630    84.1
19210701 19210731   176.2
19210801 19210831   164.6
19210901 19210930   108.0
19211001 19211031   114.4
19211101 19211130    44.1
19211201 19211231    51.3
19220101 19220131    23.1
19220201 19220228    27.1
19220301 19220331    41.2
19220401 19220430   107.1
19220501 19220531   144.4
19220601 19220630    99.6
19220701 19220731   204.2
19220801 19220831   117.1
19220901 19220930    81.5
19221001 19221031    53.9
19221101 19221130    47.6
19221201 19221231    82.3
19230101 19230131     7.9
19230201 19230228     7.9
19230301 19230331    48.6
19230401 19230430    33.7
19230501 19230531   268.3
19230601 19230630   236.1
19230701 19230731   132.4
19230801 19230831   134.7
19230901 19230930   194.0
19231001 19231031    69.1
19231101 19231130    21.4
19231201 19231231    11.0
19240101 19240131    10.5
19240201 19240229     7.2
19240301 19240331    11.2
19240401 19240430    19.9
19240501 19240531   200.0
19240601 19240630   116.3
19240701 19240731    94.2
19240801 19240831   166.4
19240901 19240930   132.3
19241001 19241031   205.4
19241101 19241130    75.6
19241201 19241231     6.6
19250101 19250131    35.9
19250201 19250228    21.6
19250301 19250331    45.7
19250401 19250430   119.5
19250501 19250531   162.0
19250601 19250630   121.6
19250701 19250731   125.9
19250801 19250831    43.4
19250901 19250930    97.1
19251001 19251031   111.2
19251101 19251130    12.8
19251201 19251231    80.2
19260101 19260131     5.6
19260201 19260228    62.7
19260301 19260331    81.4
19260401 19260430   151.9
19260501 19260531    77.6
19260601 19260630    89.8
19260701 19260731   234.8
19260801 19260831   114.5
19260901 19260930   119.0
19261001 19261031   118.2
19261101 19261130    50.6
19261201 19261231    31.1
19270101 19270131   111.0
19270201 19270228    16.4
19270301 19270331   106.9
19270401 19270430    32.6
19270501 19270531    97.2
19270601 19270630   169.5
19270701 19270731   129.0
19270801 19270831   146.6
19270901 19270930   193.2
19271001 19271031   120.1
19271101 19271130    15.2
19271201 19271231    11.9
19280101 19280131    75.1
19280201 19280229    18.1
19280301 19280331    18.9
19280401 19280430    95.1
19280501 19280531   130.1
19280601 19280630   146.3
19280701 19280731   216.4
19280801 19280831   159.9
19280901 19280930   148.6
19281001 19281031   104.7
19281101 19281130    25.5
19281201 19281231    36.0
19290101 19290131    18.8
19290201 19290228    33.0
19290301 19290331    24.5
19290401 19290430    82.8
19290501 19290531   134.2
19290601 19290630   175.2
19290701 19290731   166.4
19290801 19290831   105.3
19290901 19290930    96.6
19291001 19291031    59.7
19291101 19291130   127.5
19291201 19291231    49.9
19300101 19300131     3.3
19300201 19300228    13.5
19300301 19300331    41.8
19300401 19300430    81.3
19300501 19300531   146.6
19300601 19300630    86.4
19300701 19300731   172.7
19300801 19300831    98.4
19300901 19300930   123.4
19301001 19301031    40.6
19301101 19301130    52.9
19301201 19301231    35.8
19310101 19310131    11.3
19310201 19310228    19.6
19310301 19310331    24.7
19310401 19310430   125.1
19310501 19310531    97.8
19310601 19310630    96.2
19310701 19310731   232.5
19310801 19310831   183.1
19310901 19310930   172.5
19311001 19311031    60.7
19311101 19311130    20.8
19311201 19311231    52.3
19320101 19320131    22.4
19320201 19320229    20.3
19320301 19320331    25.5
19320401 19320430    46.9
19320501 19320531    90.3
19320601 19320630   132.7
19320701 19320731   148.1
19320801 19320831   243.9
19320901 19320930   103.6
19321001 19321031    82.2
19321101 19321130    35.0
19321201 19321231    13.8
19330101 19330131    38.6
19330201 19330228     7.7
19330301 19330331    61.5
19330401 19330430    91.9
19330501 19330531   142.6
19330601 19330630   237.3
19330701 19330731   123.6
19330801 19330831   107.2
19330901 19330930    94.4
19331001 19331031   158.3
19331101 19331130    39.1
19331201 19331231    20.6
19340101 19340131    23.7
19340201 19340228    15.5
19340301 19340331   135.7
19340401 19340430    97.9
19340501 19340531    65.5
19340601 19340630   113.9
19340701 19340731   160.8
19340801 19340831   164.6
19340901 19340930   150.4
19341001 19341031    94.7
19341101 19341130    47.9
19341201 19341231    42.6
19350101 19350131    17.4
19350201 19350228    44.3
19350301 19350331    13.3
19350401 19350430    64.2
19350501 19350531   113.7
19350601 19350630   123.8
19350701 19350731   226.3
19350801 19350831   106.5
19350901 19350930   134.6
19351001 19351031    68.7
19351101 19351130    35.3
19351201 19351231    36.1
19360101 19360131    85.8
19360201 19360229     8.2
19360301 19360331     7.2
19360401 19360430    29.1
19360501 19360531   116.6
19360601 19360630   149.7
19360701 19360731   116.0
19360801 19360831   154.5
19360901 19360930    58.1
19361001 19361031    78.6
19361101 19361130    16.1
19361201 19361231    29.3
19370101 19370131    19.0
19370201 19370228     7.3
19370301 19370331    88.1
19370401 19370430    54.2
19370501 19370531   175.1
19370601 19370630   123.5
19370701 19370731   154.8
19370801 19370831   184.2
19370901 19370930    61.2
19371001 19371031    54.2
19371101 19371130    34.1
19371201 19371231    15.8
19380101 19380131    35.2
19380201 19380228    10.8
19380301 19380331    45.8
