PRCP       009557 19070101 20100930 missing_value=99999.9 HOPETOUN POST OFFICE                      
19070101 19070131    10.1
19070201 19070228     9.5
19070301 19070331    35.7
19070401 19070430    16.1
19070501 19070531    86.0
19070601 19070630    46.3
19070701 19070731    46.2
19070801 19070831    50.1
19070901 19070930    42.7
19071001 19071031    19.6
19071101 19071130    42.3
19071201 19071231     4.4
19080101 19080131     0.0
19080201 19080229    37.1
19080301 19080331    36.3
19080401 19080430    85.2
19080501 19080531    68.3
19080601 19080630    95.4
19080701 19080731    84.7
19080801 19080831    82.8
19080901 19080930    31.3
19081001 19081031    14.5
19081101 19081130    18.8
19081201 19081231     4.5
19090101 19090131     4.3
19090201 19090228     4.0
19090301 19090331    18.6
19090401 19090430    96.9
19090501 19090531    72.4
19090601 19090630    98.7
19090701 19090731    43.7
19090801 19090831   108.5
19090901 19090930    39.8
19091001 19091031    34.0
19091101 19091130    34.0
19091201 19091231     0.0
19100101 19100131     7.9
19100201 19100228    17.8
19100301 19100331    30.6
19100401 19100430     7.8
19100501 19100531    84.0
19100601 19100630    45.1
19100701 19100731   127.1
19100801 19100831    19.4
19100901 19100930    21.8
19101001 19101031    52.5
19101101 19101130    21.7
19101201 19101231     6.6
19110101 19110131    20.7
19110201 19110228     0.0
19110301 19110331    42.0
19110401 19110430     8.7
19110501 19110531    44.9
19110601 19110630    64.0
19110701 19110731    87.9
19110801 19110831    79.2
19110901 19110930    38.0
19111001 19111031    34.4
19111101 19111130     1.6
19111201 19111231    16.9
19120101 19120131    10.5
19120201 19120229     5.4
19120301 19120331    20.0
19120401 19120430     6.6
19120501 19120531    21.2
19120601 19120630    36.8
19120701 19120731    98.8
19120801 19120831    39.0
19120901 19120930    18.8
19121001 19121031    17.8
19121101 19121130    31.0
19121201 19121231     8.3
19130101 19130131    12.4
19130201 19130228    16.4
19130301 19130331    23.6
19130401 19130430    63.2
19130501 19130531    55.7
19130601 19130630    44.2
19130701 19130731    33.1
19130801 19130831    41.8
19130901 19130930    71.6
19131001 19131031    53.0
19131101 19131130    14.8
19131201 19131231   111.4
19140101 19140131     0.0
19140201 19140228    14.5
19140301 19140331    10.8
19140401 19140430    42.7
19140501 19140531    53.6
19140601 19140630    12.5
19140701 19140731    97.9
19140801 19140831    40.0
19140901 19140930    10.9
19141001 19141031    83.4
19141101 19141130    63.4
19141201 19141231   109.0
19150101 19150131     7.4
19150201 19150228   125.5
19150301 19150331    25.7
19150401 19150430     1.4
19150501 19150531   101.0
19150601 19150630    39.8
19150701 19150731    77.2
19150801 19150831    36.5
19150901 19150930    73.7
19151001 19151031    18.6
19151101 19151130     0.8
19151201 19151231    12.7
19160101 19160131    37.4
19160201 19160229     8.7
19160301 19160331    67.5
19160401 19160430     9.1
19160501 19160531    23.6
19160601 19160630   132.4
19160701 19160731   135.8
19160801 19160831    53.5
19160901 19160930    37.8
19161001 19161031    51.2
19161101 19161130    66.9
19161201 19161231    10.2
19170101 19170131    18.2
19170201 19170228     6.4
19170301 19170331    98.0
19170401 19170430    39.3
19170501 19170531   110.6
19170601 19170630   105.0
19170701 19170731    72.9
19170801 19170831   104.2
19170901 19170930    48.5
19171001 19171031    40.6
19171101 19171130    16.8
19171201 19171231    27.8
19180101 19180131    98.3
19180201 19180228    70.4
19180301 19180331    38.5
19180401 19180430    50.1
19180501 19180531   123.9
19180601 19180630    22.3
19180701 19180731    26.6
19180801 19180831   115.4
19180901 19180930     9.3
19181001 19181031    71.2
19181101 19181130     0.5
19181201 19181231     2.5
19190101 19190131     6.9
19190201 19190228     1.6
19190301 19190331    20.5
19190401 19190430   157.1
19190501 19190531    63.5
19190601 19190630    25.7
19190701 19190731    42.4
19190801 19190831   115.6
19190901 19190930    47.8
19191001 19191031    40.4
19191101 19191130    58.7
19191201 19191231    32.0
19200101 19200131     1.6
19200201 19200229    25.4
19200301 19200331    96.5
19200401 19200430    46.8
19200501 19200531    59.0
19200601 19200630   131.2
19200701 19200731    79.3
19200801 19200831    65.4
19200901 19200930    19.2
19201001 19201031    38.8
19201101 19201130    32.9
19201201 19201231    14.6
19210101 19210131     5.6
19210201 19210228     0.0
19210301 19210331     4.8
19210401 19210430    10.7
19210501 19210531   151.7
19210601 19210630    33.4
19210701 19210731    27.1
19210801 19210831    40.1
19210901 19210930    81.4
19211001 19211031    40.0
19211101 19211130    11.3
19211201 19211231    35.0
19220101 19220131     4.6
19220201 19220228     6.8
19220301 19220331    11.7
19220401 19220430    95.8
19220501 19220531    42.1
19220601 19220630    81.2
19220701 19220731    89.4
19220801 19220831    58.5
19220901 19220930    37.8
19221001 19221031    20.7
19221101 19221130    15.0
19221201 19221231    22.9
19230101 19230131     7.9
19230201 19230228    13.1
19230301 19230331    18.8
19230401 19230430    22.7
19230501 19230531    30.6
19230601 19230630   151.9
19230701 19230731    16.0
19230801 19230831    34.2
19230901 19230930    43.1
19231001 19231031    18.5
19231101 19231130     5.4
19231201 19231231    59.6
19240101 19240131     3.0
19240201 19240229    17.2
19240301 19240331     2.3
19240401 19240430    24.9
19240501 19240531    41.7
19240601 19240630    26.6
19240701 19240731    38.7
19240801 19240831    55.8
19240901 19240930   102.8
19241001 19241031    75.6
19241101 19241130    22.2
19241201 19241231    10.8
19250101 19250131    39.2
19250201 19250228    45.9
19250301 19250331    48.5
19250401 19250430    55.6
19250501 19250531    62.3
19250601 19250630    70.5
19250701 19250731    44.9
19250801 19250831    29.7
19250901 19250930    40.0
19251001 19251031    44.7
19251101 19251130    11.2
19251201 19251231    16.2
19260101 19260131     0.5
19260201 19260228    17.3
19260301 19260331   106.8
19260401 19260430    66.2
19260501 19260531    44.4
19260601 19260630    50.5
19260701 19260731    60.1
19260801 19260831    68.7
19260901 19260930    34.8
19261001 19261031    11.2
19261101 19261130    23.7
19261201 19261231    20.3
19270101 19270131    11.6
19270201 19270228     2.8
19270301 19270331    75.9
19270401 19270430    13.6
19270501 19270531    42.6
19270601 19270630    47.0
19270701 19270731    52.7
19270801 19270831    36.8
19270901 19270930    63.2
19271001 19271031    48.2
19271101 19271130     5.1
19271201 19271231    13.7
19280101 19280131    39.9
19280201 19280229     0.5
19280301 19280331    26.4
19280401 19280430    35.4
19280501 19280531    44.3
19280601 19280630    30.4
19280701 19280731    34.4
19280801 19280831    64.6
19280901 19280930    35.6
