PRCP       009561 19050101 20180131 missing_value=99999.9 KENDENUP POST OFFICE                      
19050101 19050131     5.3
19050201 19050228     1.3
19050301 19050331     6.9
19050401 19050430   121.9
19050501 19050531   111.8
19050601 19050630    68.3
19050701 19050731    47.0
19050801 19050831    59.4
19050901 19050930   140.7
19051001 19051031   104.4
19051101 19051130    28.2
19051201 19051231    24.6
19060101 19060131     8.1
19060201 19060228    41.4
19060301 19060331    17.0
19060401 19060430    14.7
19060501 19060531    83.3
19060601 19060630   116.6
19060701 19060731    97.5
19060801 19060831    80.3
19060901 19060930    97.5
19061001 19061031    37.6
19061101 19061130    19.8
19061201 19061231    23.1
19070101 19070131    19.7
19070201 19070228    13.7
19070301 19070331    38.4
19070401 19070430    13.7
19070501 19070531    74.6
19070601 19070630    78.3
19070701 19070731   158.0
19070801 19070831   157.7
19070901 19070930    86.0
19071001 19071031    95.3
19071101 19071130    39.1
19071201 19071231     0.8
19080101 19080131     2.9
19080201 19080229    11.1
19080301 19080331     7.3
19080401 19080430    22.4
19080501 19080531    97.0
19080601 19080630    99.4
19080701 19080731   109.9
19080801 19080831    77.9
19080901 19080930    43.5
19081001 19081031    65.7
19081101 19081130    37.6
19081201 19081231    15.0
19090101 19090131    37.4
19090201 19090228     8.6
19090301 19090331    51.3
19090401 19090430    90.6
19090501 19090531    75.4
19090601 19090630    96.4
19090701 19090731   105.4
19090801 19090831   151.6
19090901 19090930   102.8
19091001 19091031    44.5
19091101 19091130    15.0
19091201 19091231     4.1
19100101 19100131    21.1
19100201 19100228     1.8
19100301 19100331    16.5
19100401 19100430    44.6
19100501 19100531    98.8
19100601 19100630   120.4
19100701 19100731   211.3
19100801 19100831    75.9
19100901 19100930    47.6
19101001 19101031    90.1
19101101 19101130    51.2
19101201 19101231    11.4
19110101 19110131     3.1
19110201 19110228     3.0
19110301 19110331    63.5
19110401 19110430    28.2
19110501 19110531    69.2
19110601 19110630    49.4
19110701 19110731   108.7
19110801 19110831    68.7
19110901 19110930    59.3
19111001 19111031    83.5
19111101 19111130     2.3
19111201 19111231    15.2
