PRCP       009591 18991101 20151231 missing_value=99999.9 PARDELUP                                  
18991101 18991130    34.3
18991201 18991231    17.0
19000101 19000131    51.1
19000201 19000228     6.4
19000301 19000331    20.3
19000401 19000430    53.3
19000501 19000531    79.2
19000601 19000630   151.9
19000701 19000731   125.2
19000801 19000831   136.4
19000901 19000930    89.4
19001001 19001031    95.5
19001101 19001130    24.1
19001201 19001231    25.7
19010101 19010131    11.9
19010201 19010228     7.9
19010301 19010331    45.7
19010401 19010430    48.3
19010501 19010531    68.8
19010601 19010630   124.0
19010701 19010731   102.9
19010801 19010831   108.0
19010901 19010930    65.5
19011001 19011031    64.8
19011101 19011130    16.3
19011201 19011231    75.2
19020101 19020131    10.2
19020201 19020228    10.2
19020301 19020331    10.2
19020401 19020430    12.7
19020501 19020531   159.8
19020601 19020630    90.9
19020701 19020731   167.6
19020801 19020831   128.0
19020901 19020930   115.8
19021001 19021031    81.5
19021101 19021130    10.4
19021201 19021231    15.0
19030101 19030131     5.3
19030201 19030228     1.5
19030301 19030331    38.1
19030401 19030430   128.3
19030501 19030531    42.2
19030601 19030630    91.4
19030701 19030731   169.4
19030801 19030831   105.7
19030901 19030930   124.5
19031001 19031031   138.7
19031101 19031130    61.2
19031201 19031231    30.0
19040101 19040131    15.0
19040201 19040229     8.4
19040301 19040331    54.1
19040401 19040430    32.0
19040501 19040531   112.5
19040601 19040630   116.8
19040701 19040731   135.9
19040801 19040831    92.7
19040901 19040930    81.0
19041001 19041031   130.6
19041101 19041130    45.2
19041201 19041231    44.5
19050101 19050131    19.3
19050201 19050228     7.4
19050301 19050331    17.3
19050401 19050430   135.1
19050501 19050531   132.8
19050601 19050630    76.5
19050701 19050731    83.1
19050801 19050831    82.8
19050901 19050930   140.0
19051001 19051031   162.8
19051101 19051130    43.9
19051201 19051231    39.4
19060101 19060131    15.7
19060201 19060228    20.1
19060301 19060331    24.4
19060401 19060430    34.3
19060501 19060531   112.3
19060601 19060630   192.0
19060701 19060731   100.8
19060801 19060831   112.5
19060901 19060930   101.9
19061001 19061031    50.5
19061101 19061130    42.2
19061201 19061231    16.8
19070101 19070131    30.0
19070201 19070228    15.3
19070301 19070331    59.7
19070401 19070430    20.1
19070501 19070531    86.1
19070601 19070630    68.2
19070701 19070731   172.9
19070801 19070831   149.5
19070901 19070930    97.5
19071001 19071031   137.4
19071101 19071130    47.4
19071201 19071231    10.5
19080101 19080131     8.2
19080201 19080229    19.6
19080301 19080331     9.7
19080401 19080430    49.6
19080501 19080531   136.5
19080601 19080630   133.6
19080701 19080731   128.6
19080801 19080831    83.9
19080901 19080930    56.4
19081001 19081031    97.2
19081101 19081130    41.2
19081201 19081231    43.2
19090101 19090131    20.6
19090201 19090228    19.3
19090301 19090331    57.9
19090401 19090430    86.8
19090501 19090531    86.4
19090601 19090630    85.0
19090701 19090731   139.8
19090801 19090831   175.0
19090901 19090930   111.9
19091001 19091031    42.2
19091101 19091130    25.3
19091201 19091231     8.1
19100101 19100131    47.5
19100201 19100228     4.9
19100301 19100331    38.6
19100401 19100430    60.9
19100501 19100531   133.2
19100601 19100630   174.0
19100701 19100731   251.9
19100801 19100831   140.6
19100901 19100930    67.5
19101001 19101031   102.9
19101101 19101130    60.5
19101201 19101231    13.5
19110101 19110131     0.0
19110201 19110228     6.6
19110301 19110331    44.7
19110401 19110430    30.8
19110501 19110531    78.7
19110601 19110630    57.5
19110701 19110731   149.4
19110801 19110831    73.9
19110901 19110930    87.7
19111001 19111031    89.3
19111101 19111130    10.3
19111201 19111231    28.1
19120101 19120131     5.9
19120201 19120229     4.6
19120301 19120331    27.8
19120401 19120430    22.1
19120501 19120531    77.4
19120601 19120630    83.8
19120701 19120731   252.9
19120801 19120831    38.1
19120901 19120930   136.3
19121001 19121031    28.5
19121101 19121130    32.8
19121201 19121231    16.1
19130101 19130131    27.9
19130201 19130228    13.2
19130301 19130331    48.8
19130401 19130430   187.1
19130501 19130531    43.0
19130601 19130630    70.2
19130701 19130731   102.6
19130801 19130831   150.8
19130901 19130930    82.1
19131001 19131031    90.2
19131101 19131130    23.5
19131201 19131231    76.5
19140101 19140131     0.8
19140201 19140228    87.5
19140301 19140331    48.5
19140401 19140430    34.3
19140501 19140531    70.8
19140601 19140630    61.3
19140701 19140731   119.8
19140801 19140831    37.2
19140901 19140930    26.1
19141001 19141031    36.6
19141101 19141130   109.9
19141201 19141231    35.5
19150101 19150131    36.8
19150201 19150228    54.0
19150301 19150331    39.4
19150401 19150430    33.2
19150501 19150531    65.3
19150601 19150630    89.6
19150701 19150731   130.0
19150801 19150831   172.8
19150901 19150930   143.7
19151001 19151031    61.7
19151101 19151130    26.0
19151201 19151231     4.6
19160101 19160131    27.1
19160201 19160229    35.5
19160301 19160331    20.4
19160401 19160430    22.3
19160501 19160531    67.6
19160601 19160630   117.2
19160701 19160731   185.2
19160801 19160831   142.1
19160901 19160930    18.7
19161001 19161031   144.6
19161101 19161130    84.3
19161201 19161231     9.7
19170101 19170131    22.3
19170201 19170228    31.7
19170301 19170331    84.2
19170401 19170430   121.6
19170501 19170531   260.3
19170601 19170630   207.4
19170701 19170731   107.4
19170801 19170831   141.2
19170901 19170930   148.8
19171001 19171031    78.8
19171101 19171130    10.8
19171201 19171231    40.5
19180101 19180131   119.7
19180201 19180228    67.7
19180301 19180331    36.8
19180401 19180430    76.4
19180501 19180531   137.4
