PRCP       009594 19040101 20180131 missing_value=99999.9 PEPPERMINT GROVE                          
19040101 19040131     1.3
19040201 19040229     3.6
19040301 19040331    86.9
19040401 19040430    33.3
19040501 19040531   150.9
19040601 19040630    78.0
19040701 19040731   146.8
19040801 19040831    44.5
19040901 19040930    97.5
19041001 19041031   108.2
19041101 19041130    22.9
19041201 19041231    54.9
19050101 19050131    15.0
19050201 19050228     4.6
19050301 19050331    13.7
19050401 19050430   168.7
19050501 19050531    88.9
19050601 19050630    60.2
19050701 19050731    40.9
19050801 19050831    51.3
19050901 19050930   117.9
19051001 19051031   136.1
19051101 19051130    15.5
19051201 19051231    22.1
19060101 19060131    15.2
19060201 19060228    86.1
19060301 19060331    27.2
19060401 19060430    11.9
19060501 19060531   128.3
19060601 19060630    41.1
19060701 19060731   126.2
19060801 19060831    63.5
19060901 19060930   109.5
19061001 19061031    24.9
19061101 19061130    41.7
19061201 19061231    38.6
19070101 19070131     9.7
19070201 19070228     7.4
19070301 19070331    43.9
19070401 19070430    15.8
19070501 19070531   121.8
19070601 19070630   115.4
19070701 19070731    62.4
19070801 19070831    61.9
19070901 19070930    92.6
19071001 19071031    50.1
19071101 19071130    44.1
19071201 19071231    10.5
19080101 19080131     0.5
19080201 19080229    16.1
19080301 19080331    39.4
19080401 19080430   177.2
19080501 19080531   199.0
19080601 19080630   118.0
19080701 19080731    99.1
19080801 19080831    97.2
19080901 19080930    39.6
19081001 19081031    30.3
19081101 19081130    25.7
19081201 19081231    17.6
19090101 19090131    14.1
19090201 19090228     9.8
19090301 19090331    42.5
19090401 19090430    97.8
19090501 19090531    82.2
19090601 19090630   135.9
19090701 19090731   105.8
19090801 19090831   152.8
19090901 19090930    38.6
19091001 19091031    44.3
19091101 19091130    36.2
19091201 19091231     1.6
19100101 19100131    16.3
19100201 19100228    19.9
19100301 19100331    28.2
19100401 19100430    22.2
19100501 19100531    98.7
19100601 19100630    67.9
19100701 19100731   141.0
19100801 19100831    45.8
19100901 19100930    48.3
19101001 19101031    72.4
19101101 19101130    46.9
19101201 19101231     8.9
19110101 19110131     9.0
19110201 19110228     0.8
19110301 19110331    82.7
19110401 19110430    11.9
19110501 19110531    55.6
19110601 19110630   112.1
19110701 19110731   145.9
19110801 19110831    98.3
19110901 19110930    61.4
19111001 19111031    91.7
19111101 19111130     2.3
19111201 19111231    30.3
19120101 19120131     9.0
19120201 19120229     6.0
19120301 19120331    36.7
19120401 19120430    26.0
19120501 19120531    32.5
19120601 19120630    50.0
19120701 19120731   179.4
19120801 19120831    52.5
19120901 19120930    42.7
19121001 19121031    26.4
19121101 19121130    34.1
19121201 19121231    20.4
19130101 19130131    13.3
19130201 19130228     9.3
19130301 19130331    30.6
19130401 19130430   163.1
19130501 19130531    51.5
19130601 19130630    93.2
19130701 19130731    56.3
