PRCP       009739 19010801 20180131 missing_value=99999.9 WELCOME DOWNS                             
19010801 19010831    61.6
19010901 19010930    34.5
19011001 19011031    38.3
19011101 19011130     2.4
19011201 19011231     3.1
19020101 19020131    34.8
19020201 19020228    45.3
19020301 19020331     5.0
19020401 19020430     4.0
19020501 19020531    47.9
19020601 19020630    94.3
19020701 19020731    57.8
19020801 19020831    35.2
19020901 19020930    45.0
19021001 19021031   114.9
19021101 19021130    35.6
19021201 19021231    36.1
19030101 19030131     1.7
19030201 19030228     5.5
19030301 19030331    20.6
19030401 19030430    47.4
19030501 19030531    40.0
19030601 19030630    46.8
19030701 19030731    90.6
19030801 19030831   128.8
19030901 19030930   114.9
19031001 19031031    40.0
19031101 19031130    17.7
19031201 19031231    49.4
19040101 19040131     1.1
19040201 19040229     0.7
19040301 19040331    45.9
19040401 19040430    44.4
19040501 19040531    47.3
19040601 19040630    79.8
19040701 19040731    96.9
19040801 19040831    66.9
19040901 19040930    51.1
19041001 19041031    97.7
19041101 19041130    32.5
19041201 19041231    54.4
19050101 19050131    29.5
19050201 19050228    16.6
19050301 19050331    17.3
19050401 19050430   106.9
19050501 19050531    58.6
19050601 19050630    49.0
19050701 19050731    38.9
19050801 19050831    58.2
19050901 19050930    81.1
19051001 19051031    37.8
19051101 19051130    22.1
19051201 19051231    34.1
19060101 19060131     5.0
19060201 19060228    32.4
19060301 19060331     0.0
19060401 19060430     4.1
19060501 19060531    60.4
19060601 19060630   100.1
19060701 19060731    86.8
19060801 19060831    55.4
19060901 19060930    53.8
19061001 19061031    14.6
19061101 19061130    47.7
19061201 19061231     4.6
19070101 19070131    27.8
19070201 19070228     4.4
19070301 19070331    39.7
19070401 19070430    24.5
19070501 19070531    54.5
19070601 19070630    43.7
19070701 19070731    66.7
19070801 19070831   137.8
19070901 19070930    90.4
19071001 19071031    46.1
19071101 19071130    26.4
19071201 19071231    25.1
19080101 19080131     0.0
19080201 19080229    45.6
19080301 19080331    32.5
19080401 19080430    13.1
19080501 19080531   132.6
19080601 19080630   130.9
19080701 19080731    53.8
19080801 19080831    83.0
19080901 19080930    44.2
19081001 19081031    48.4
19081101 19081130    48.0
19081201 19081231     6.7
19090101 19090131    13.3
19090201 19090228    17.0
19090301 19090331    10.9
19090401 19090430   131.9
19090501 19090531    86.9
19090601 19090630    65.2
19090701 19090731   141.1
19090801 19090831   106.4
19090901 19090930    43.7
19091001 19091031    36.9
19091101 19091130    46.3
19091201 19091231     1.7
19100101 19100131     7.7
19100201 19100228    27.3
19100301 19100331    18.2
19100401 19100430    15.2
19100501 19100531    66.5
19100601 19100630    97.4
19100701 19100731   202.6
19100801 19100831    95.8
19100901 19100930    59.2
19101001 19101031    63.1
19101101 19101130    25.1
19101201 19101231     2.4
19110101 19110131     2.0
19110201 19110228     0.0
19110301 19110331    26.2
19110401 19110430     9.2
19110501 19110531   105.2
19110601 19110630    68.2
19110701 19110731   148.6
19110801 19110831    70.4
19110901 19110930    40.0
19111001 19111031    60.4
19111101 19111130     7.2
19111201 19111231    23.5
19120101 19120131     0.0
19120201 19120229     3.4
19120301 19120331    29.1
19120401 19120430    17.8
19120501 19120531    66.9
19120601 19120630    64.7
19120701 19120731   167.6
19120801 19120831    41.7
19120901 19120930    81.5
19121001 19121031    29.6
19121101 19121130    18.8
19121201 19121231     2.2
19130101 19130131     6.7
19130201 19130228     0.0
19130301 19130331    27.3
19130401 19130430    37.8
19130501 19130531    51.2
19130601 19130630    60.4
19130701 19130731    69.6
19130801 19130831   109.7
19130901 19130930    86.1
19131001 19131031    57.5
19131101 19131130     9.4
19131201 19131231    41.8
19140101 19140131     0.0
19140201 19140228     5.9
19140301 19140331    38.7
19140401 19140430    33.5
19140501 19140531    56.1
19140601 19140630    27.1
19140701 19140731    65.5
19140801 19140831    18.2
19140901 19140930    25.9
19141001 19141031   105.8
19141101 19141130    53.7
19141201 19141231    75.8
19150101 19150131    16.2
19150201 19150228   152.1
19150301 19150331    25.2
19150401 19150430    15.2
19150501 19150531    88.1
19150601 19150630    92.1
19150701 19150731   105.8
19150801 19150831   198.8
19150901 19150930   141.3
19151001 19151031    37.2
19151101 19151130     5.2
19151201 19151231     9.2
19160101 19160131    24.7
19160201 19160229     2.4
19160301 19160331    42.4
19160401 19160430    10.5
19160501 19160531    64.4
19160601 19160630   115.4
19160701 19160731   134.5
19160801 19160831   157.1
19160901 19160930    34.2
19161001 19161031    63.8
19161101 19161130    53.1
19161201 19161231     5.3
19170101 19170131    42.7
19170201 19170228    24.7
19170301 19170331    99.8
