PRCP       010039 19100101 20171231 missing_value=99999.9 DOODARDING WELL                           
19100101 19100131     0.8
19100201 19100228    37.9
19100301 19100331     0.0
19100401 19100430    14.6
19100501 19100531    73.4
19100601 19100630   108.7
19100701 19100731    78.2
19100801 19100831    28.2
19100901 19100930    19.8
19101001 19101031    14.7
19101101 19101130     8.1
19101201 19101231     2.5
19110101 19110131    27.7
19110201 19110228     2.0
19110301 19110331     6.4
19110401 19110430     9.6
19110501 19110531    14.4
19110601 19110630    21.8
19110701 19110731    28.2
19110801 19110831     9.7
19110901 19110930    13.5
19111001 19111031     2.0
19111101 19111130     0.0
19111201 19111231     0.0
19120101 19120131    38.4
19120201 19120229     0.8
19120301 19120331     0.5
19120401 19120430     5.6
19120501 19120531    27.9
19120601 19120630    11.4
19120701 19120731    89.5
19120801 19120831     9.9
19120901 19120930    30.2
19121001 19121031    14.8
19121101 19121130     9.2
19121201 19121231     9.2
19130101 19130131     0.0
19130201 19130228     3.1
19130301 19130331     2.8
19130401 19130430     7.2
19130501 19130531     4.1
19130601 19130630    70.6
19130701 19130731    32.7
19130801 19130831    80.3
19130901 19130930    44.5
19131001 19131031    23.2
19131101 19131130     3.6
19131201 19131231    31.5
19140101 19140131    15.2
19140201 19140228     0.0
19140301 19140331     0.0
19140401 19140430     7.8
19140501 19140531     2.8
19140601 19140630    23.3
19140701 19140731    30.1
19140801 19140831    12.4
19140901 19140930     0.3
19141001 19141031    16.1
19141101 19141130     6.2
19141201 19141231    13.0
19150101 19150131    95.0
19150201 19150228   140.6
19150301 19150331    10.2
19150401 19150430    14.0
19150501 19150531    28.4
19150601 19150630    58.3
19150701 19150731    84.6
19150801 19150831    63.3
19150901 19150930    34.8
19151001 19151031    22.7
19151101 19151130     0.5
19151201 19151231     1.0
19160101 19160131    49.5
19160201 19160229     9.1
19160301 19160331    14.4
19160401 19160430     1.0
19160501 19160531    28.3
19160601 19160630    50.0
19160701 19160731    66.9
19160801 19160831    41.8
19160901 19160930     4.6
19161001 19161031    29.7
19161101 19161130    11.5
19161201 19161231     0.0
19170101 19170131     0.0
19170201 19170228     1.3
19170301 19170331   157.2
19170401 19170430    15.8
19170501 19170531    47.1
19170601 19170630    90.6
19170701 19170731   104.3
19170801 19170831    59.3
19170901 19170930    47.3
19171001 19171031    25.9
19171101 19171130     8.1
19171201 19171231     8.5
19180101 19180131    20.6
19180201 19180228    65.6
19180301 19180331    24.4
19180401 19180430    33.3
19180501 19180531    33.8
19180601 19180630   104.7
19180701 19180731    32.9
19180801 19180831    45.7
19180901 19180930    40.1
19181001 19181031    42.7
19181101 19181130    25.7
19181201 19181231     0.3
19190101 19190131     8.1
19190201 19190228     0.0
19190301 19190331     2.3
19190401 19190430    69.0
19190501 19190531    15.0
19190601 19190630    43.5
19190701 19190731    66.1
19190801 19190831    45.0
19190901 19190930    11.6
19191001 19191031    27.2
19191101 19191130    15.8
19191201 19191231     3.6
19200101 19200131     3.3
19200201 19200229     0.0
19200301 19200331    42.4
19200401 19200430     6.4
19200501 19200531    34.5
19200601 19200630    67.3
19200701 19200731    37.1
19200801 19200831    94.4
19200901 19200930    32.0
19201001 19201031     4.3
