PRCP       010041 19100101 20180131 missing_value=99999.9 DOONGIN PEAK                              
19100101 19100131    21.6
19100201 19100228    22.4
19100301 19100331     0.3
19100401 19100430    16.7
19100501 19100531    78.1
19100601 19100630    93.6
19100701 19100731    67.4
19100801 19100831    36.1
19100901 19100930    23.6
19101001 19101031    14.0
19101101 19101130     4.1
19101201 19101231     4.1
19110101 19110131     1.0
19110201 19110228     1.3
19110301 19110331     0.0
19110401 19110430    17.9
19110501 19110531    21.6
19110601 19110630    47.1
19110701 19110731    52.3
19110801 19110831    23.9
19110901 19110930    15.3
19111001 19111031    10.2
19111101 19111130     0.0
19111201 19111231     3.6
19120101 19120131    22.1
19120201 19120229     6.1
19120301 19120331     2.3
19120401 19120430    22.9
19120501 19120531    30.8
19120601 19120630    14.8
19120701 19120731    70.0
19120801 19120831    12.8
19120901 19120930    39.0
19121001 19121031    11.9
19121101 19121130     8.7
19121201 19121231    34.8
19130101 19130131     2.3
19130201 19130228     0.0
19130301 19130331     1.0
19130401 19130430    12.4
19130501 19130531     5.0
19130601 19130630    43.0
19130701 19130731    40.7
19130801 19130831    55.1
19130901 19130930    45.1
19131001 19131031    20.6
19131101 19131130    16.5
19131201 19131231    44.8
19140101 19140131     0.0
19140201 19140228     0.0
19140301 19140331     0.0
19140401 19140430     8.4
19140501 19140531     2.8
19140601 19140630    28.2
19140701 19140731    24.7
19140801 19140831    18.3
19140901 19140930     2.1
19141001 19141031    30.9
19141101 19141130     9.8
19141201 19141231     4.1
19150101 19150131    28.4
19150201 19150228    39.4
19150301 19150331     9.0
19150401 19150430     8.2
19150501 19150531    54.0
19150601 19150630    71.1
19150701 19150731    99.1
19150801 19150831    72.2
19150901 19150930    38.6
19151001 19151031    24.9
19151101 19151130     0.0
19151201 19151231     0.0
19160101 19160131    40.7
19160201 19160229    13.2
19160301 19160331     6.3
19160401 19160430     1.0
19160501 19160531    36.7
19160601 19160630    52.8
19160701 19160731    72.0
19160801 19160831    42.8
19160901 19160930     2.8
19161001 19161031    37.9
19161101 19161130    19.8
19161201 19161231     0.0
19170101 19170131     0.0
19170201 19170228     2.5
19170301 19170331    92.5
19170401 19170430    19.1
19170501 19170531    56.2
19170601 19170630   105.4
19170701 19170731   116.6
19170801 19170831    58.1
19170901 19170930    43.0
19171001 19171031    34.8
19171101 19171130     8.6
19171201 19171231    14.4
19180101 19180131    28.4
19180201 19180228    58.8
19180301 19180331    28.2
19180401 19180430    47.3
19180501 19180531    36.1
19180601 19180630   104.4
19180701 19180731    36.8
19180801 19180831    34.9
19180901 19180930    33.1
19181001 19181031    44.8
19181101 19181130    10.8
19181201 19181231     0.0
19190101 19190131     1.3
19190201 19190228     0.0
19190301 19190331     2.8
19190401 19190430    82.3
19190501 19190531     8.7
19190601 19190630    30.7
19190701 19190731    60.7
19190801 19190831    42.2
19190901 19190930    18.3
19191001 19191031    42.3
19191101 19191130    21.6
19191201 19191231     6.9
19200101 19200131    13.0
19200201 19200229     2.8
19200301 19200331    34.8
19200401 19200430     7.1
19200501 19200531    50.7
19200601 19200630    62.1
19200701 19200731    36.3
19200801 19200831    61.9
19200901 19200930    52.8
19201001 19201031     6.1
19201101 19201130    29.2
19201201 19201231     0.0
19210101 19210131     9.1
19210201 19210228     7.9
19210301 19210331     8.1
19210401 19210430     1.4
19210501 19210531   121.4
19210601 19210630    55.3
19210701 19210731    29.2
19210801 19210831    34.5
19210901 19210930    25.0
19211001 19211031    31.8
19211101 19211130     4.7
19211201 19211231    13.5
19220101 19220131     0.0
19220201 19220228    23.6
19220301 19220331    16.8
19220401 19220430    12.9
19220501 19220531    48.5
19220601 19220630    17.3
19220701 19220731    84.9
19220801 19220831    33.8
19220901 19220930    20.7
19221001 19221031     5.5
19221101 19221130     9.7
19221201 19221231    44.2
19230101 19230131    11.4
19230201 19230228     1.3
19230301 19230331     1.8
19230401 19230430    60.4
19230501 19230531    34.6
19230601 19230630   137.6
19230701 19230731    24.2
19230801 19230831    18.5
19230901 19230930    37.1
19231001 19231031     3.9
19231101 19231130     0.0
19231201 19231231    25.9
19240101 19240131     0.0
19240201 19240229     0.0
19240301 19240331     5.6
19240401 19240430     6.4
19240501 19240531    55.7
19240601 19240630    37.6
19240701 19240731    34.9
19240801 19240831    45.6
19240901 19240930    21.3
19241001 19241031    20.5
19241101 19241130     7.6
19241201 19241231     3.0
19250101 19250131    43.0
19250201 19250228    31.8
19250301 19250331    55.4
19250401 19250430     1.8
19250501 19250531    42.0
19250601 19250630    47.1
19250701 19250731    40.2
19250801 19250831     3.6
19250901 19250930    35.6
19251001 19251031    14.9
19251101 19251130     3.8
19251201 19251231     9.9
19260101 19260131     0.0
19260201 19260228     1.6
19260301 19260331    54.1
19260401 19260430    42.4
19260501 19260531    25.1
19260601 19260630    48.1
19260701 19260731   127.4
19260801 19260831    47.2
19260901 19260930    32.7
