PRCP       010091 19000101 20160531 missing_value=99999.9 MECKERING                                 
19000101 19000131    11.4
19000201 19000228     0.0
19000301 19000331     1.0
19000401 19000430    80.8
19000501 19000531    52.1
19000601 19000630   120.7
19000701 19000731    48.0
19000801 19000831    67.6
19000901 19000930    41.7
19001001 19001031    41.7
19001101 19001130     1.3
19001201 19001231    10.2
19010101 19010131     1.0
19010201 19010228     3.6
19010301 19010331    39.4
19010401 19010430     1.0
19010501 19010531    72.4
19010601 19010630    68.3
19010701 19010731    29.7
19010801 19010831    88.9
19010901 19010930    10.4
19011001 19011031     6.4
19011101 19011130     3.0
19011201 19011231     0.0
19020101 19020131     0.0
19020201 19020228     0.0
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531    53.6
19020601 19020630    26.4
19020701 19020731    64.8
19020801 19020831     7.6
19020901 19020930    36.8
19021001 19021031    25.1
19021101 19021130     0.0
19021201 19021231    12.2
19030101 19030131     0.0
19030201 19030228    23.1
19030301 19030331     0.3
19030401 19030430    49.5
19030501 19030531     8.9
19030601 19030630    73.2
19030701 19030731    32.0
19030801 19030831    45.7
19030901 19030930    69.3
19031001 19031031    31.8
19031101 19031130     5.8
19031201 19031231     1.0
19040101 19040131     0.0
19040201 19040229     0.0
19040301 19040331    66.3
19040401 19040430    17.3
19040501 19040531    40.4
19040601 19040630   109.2
19040701 19040731   102.4
19040801 19040831    42.2
19040901 19040930    45.7
19041001 19041031    33.0
19041101 19041130     0.0
19041201 19041231    48.0
19050101 19050131     0.5
19050201 19050228     4.3
19050301 19050331     1.0
19050401 19050430    17.5
19050501 19050531    88.1
19050601 19050630    32.5
19050701 19050731    87.4
19050801 19050831    58.2
19050901 19050930    61.7
19051001 19051031    10.9
19051101 19051130    15.7
19051201 19051231    33.5
19060101 19060131    22.6
19060201 19060228     6.6
19060301 19060331     1.5
19060401 19060430     5.3
19060501 19060531    28.2
19060601 19060630    61.5
19060701 19060731    87.6
19060801 19060831    42.9
19060901 19060930    33.0
19061001 19061031    10.4
19061101 19061130    27.4
19061201 19061231     0.0
19070101 19070131     4.8
19070201 19070228     3.3
19070301 19070331    35.1
19070401 19070430     5.1
19070501 19070531    49.6
19070601 19070630    68.2
19070701 19070731   100.5
19070801 19070831    48.6
19070901 19070930    20.8
19071001 19071031     4.9
19071101 19071130     1.3
19071201 19071231     0.0
19080101 19080131     1.1
19080201 19080229     0.8
