PRCP       010092 19030101 20180131 missing_value=99999.9 MERREDIN                                  
19030101 19030131     2.8
19030201 19030228    15.5
19030301 19030331     1.3
19030401 19030430    32.5
19030501 19030531    24.6
19030601 19030630    21.6
19030701 19030731    27.4
19030801 19030831    43.2
19030901 19030930    47.0
19031001 19031031    22.9
19031101 19031130     7.1
19031201 19031231     3.3
19040101 19040131     0.0
19040201 19040229     0.0
19040301 19040331    28.4
19040401 19040430    10.2
19040501 19040531    19.8
19040601 19040630    55.9
19040701 19040731    84.1
19040801 19040831    20.1
19040901 19040930    85.6
19041001 19041031    60.2
19041101 19041130     5.8
19041201 19041231    44.7
19050101 19050131     2.8
19050201 19050228     9.1
19050301 19050331     0.0
19050401 19050430     8.1
19050501 19050531    64.8
19050601 19050630    24.6
19050701 19050731    42.4
19050801 19050831    26.9
19050901 19050930    45.5
19051001 19051031     4.3
19051101 19051130    10.7
19051201 19051231    32.0
19060101 19060131     5.1
19060201 19060228     4.8
19060301 19060331     0.0
19060401 19060430     1.5
19060501 19060531    41.9
19060601 19060630    36.3
19060701 19060731    83.3
19060801 19060831    34.3
19060901 19060930    20.8
19061001 19061031     9.4
19061101 19061130    11.4
19061201 19061231     7.9
19070101 19070131    15.5
19070201 19070228     2.5
19070301 19070331    30.5
19070401 19070430     6.6
19070501 19070531    29.2
19070601 19070630    42.2
19070701 19070731    74.6
19070801 19070831    36.1
19070901 19070930    21.5
19071001 19071031     5.6
19071101 19071130     1.0
19071201 19071231     0.0
19080101 19080131     0.0
19080201 19080229     9.1
19080301 19080331    17.5
19080401 19080430    31.5
19080501 19080531    64.2
19080601 19080630    27.2
19080701 19080731    45.0
19080801 19080831    16.7
19080901 19080930     7.6
19081001 19081031     3.1
19081101 19081130    32.5
19081201 19081231     7.1
19090101 19090131     8.6
19090201 19090228     5.3
19090301 19090331     7.9
19090401 19090430    42.0
19090501 19090531    33.9
19090601 19090630    61.8
19090701 19090731    42.8
19090801 19090831    86.2
19090901 19090930    25.9
19091001 19091031    14.7
19091101 19091130    14.5
19091201 19091231     0.0
19100101 19100131     0.5
19100201 19100228    27.9
19100301 19100331     0.0
19100401 19100430     2.8
19100501 19100531    57.5
19100601 19100630    95.1
19100701 19100731    91.2
19100801 19100831    16.4
19100901 19100930     6.4
19101001 19101031    21.1
19101101 19101130     8.7
19101201 19101231     0.0
19110101 19110131    20.9
19110201 19110228     4.3
19110301 19110331     4.3
19110401 19110430    14.7
19110501 19110531    15.4
19110601 19110630    19.1
19110701 19110731    39.4
19110801 19110831    24.3
19110901 19110930    10.9
19111001 19111031     7.6
19111101 19111130     0.0
19111201 19111231     1.8
19120101 19120131    22.1
19120201 19120229     0.6
19120301 19120331     1.3
19120401 19120430    25.5
19120501 19120531    38.2
19120601 19120630     5.9
19120701 19120731    80.9
19120801 19120831    15.7
19120901 19120930    36.8
19121001 19121031    21.8
19121101 19121130     5.3
19121201 19121231    23.4
19130101 19130131     0.0
19130201 19130228     0.0
19130301 19130331     2.3
19130401 19130430     9.3
19130501 19130531     8.1
19130601 19130630    70.9
19130701 19130731    28.3
19130801 19130831    60.0
19130901 19130930    34.9
19131001 19131031    26.0
19131101 19131130     1.3
19131201 19131231    57.2
19140101 19140131     2.0
19140201 19140228     0.8
19140301 19140331     0.5
19140401 19140430     7.9
19140501 19140531     2.3
19140601 19140630    27.9
19140701 19140731    28.6
19140801 19140831    17.8
19140901 19140930     0.0
19141001 19141031    25.7
19141101 19141130    16.8
19141201 19141231     0.0
19150101 19150131    55.8
19150201 19150228    45.4
19150301 19150331    10.5
19150401 19150430    14.1
19150501 19150531    55.9
19150601 19150630    38.6
19150701 19150731    58.5
19150801 19150831    48.3
19150901 19150930    28.2
19151001 19151031    22.7
19151101 19151130     0.0
19151201 19151231     0.0
