PRCP       010112 19070101 20180131 missing_value=99999.9 NUNGARIN POST OFFICE                      
19070101 19070131     0.0
19070201 19070228     0.0
19070301 19070331     5.8
19070401 19070430    27.2
19070501 19070531    26.4
19070601 19070630    38.6
19070701 19070731   117.1
19070801 19070831    36.1
19070901 19070930    16.8
19071001 19071031     2.8
19071101 19071130     2.5
19071201 19071231     0.0
19080101 19080131     0.0
19080201 19080229    28.0
19080301 19080331    22.6
19080401 19080430    25.4
19080501 19080531    82.3
19080601 19080630    26.5
19080701 19080731    27.7
19080801 19080831    13.9
19080901 19080930     8.0
19081001 19081031     9.9
19081101 19081130    31.3
19081201 19081231     0.0
19090101 19090131    16.8
19090201 19090228     5.1
19090301 19090331     1.5
19090401 19090430    43.2
19090501 19090531    10.1
19090601 19090630    73.7
19090701 19090731    41.3
19090801 19090831   127.6
19090901 19090930    26.8
19091001 19091031     0.0
19091101 19091130     0.0
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228    61.0
19100301 19100331     0.0
19100401 19100430     2.6
19100501 19100531    56.4
19100601 19100630    85.6
19100701 19100731    43.1
19100801 19100831    24.1
19100901 19100930    25.7
19101001 19101031    34.8
19101101 19101130     0.0
19101201 19101231     0.0
19110101 19110131     0.0
19110201 19110228     0.0
19110301 19110331     0.0
19110401 19110430     0.0
19110501 19110531    20.3
19110601 19110630    25.4
19110701 19110731    38.1
19110801 19110831     9.3
19110901 19110930    15.3
19111001 19111031    12.7
19111101 19111130     0.0
19111201 19111231     2.5
19120101 19120131    22.9
19120201 19120229     0.0
19120301 19120331    19.1
19120401 19120430    14.0
19120501 19120531    33.3
19120601 19120630    13.5
19120701 19120731    67.7
19120801 19120831     9.9
19120901 19120930    37.5
19121001 19121031    56.0
19121101 19121130     9.2
19121201 19121231    30.8
19130101 19130131     0.0
19130201 19130228     2.3
19130301 19130331     6.4
19130401 19130430     8.6
19130501 19130531    10.4
19130601 19130630    54.9
19130701 19130731    24.9
19130801 19130831    52.3
19130901 19130930    47.0
19131001 19131031    10.7
19131101 19131130     0.0
19131201 19131231    70.6
19140101 19140131     0.0
19140201 19140228     1.5
19140301 19140331     0.0
19140401 19140430     8.1
19140501 19140531     1.3
19140601 19140630    18.9
19140701 19140731    26.1
19140801 19140831    17.4
19140901 19140930     0.0
19141001 19141031    24.2
19141101 19141130     6.3
19141201 19141231     0.8
19150101 19150131    77.2
19150201 19150228    74.9
19150301 19150331    13.2
19150401 19150430    38.2
19150501 19150531    57.0
19150601 19150630    55.2
19150701 19150731    73.5
19150801 19150831    62.9
19150901 19150930    42.7
19151001 19151031    22.3
19151101 19151130     0.0
19151201 19151231     2.6
19160101 19160131    38.8
19160201 19160229     3.3
19160301 19160331    33.5
19160401 19160430     6.1
19160501 19160531    36.4
19160601 19160630    49.1
19160701 19160731    46.9
19160801 19160831    38.5
19160901 19160930    21.1
19161001 19161031    37.3
19161101 19161130    17.5
19161201 19161231     0.0
19170101 19170131     0.0
19170201 19170228     2.8
19170301 19170331   117.9
19170401 19170430     9.7
19170501 19170531    51.2
19170601 19170630    85.2
19170701 19170731    84.8
19170801 19170831    65.0
19170901 19170930    45.8
19171001 19171031    33.0
19171101 19171130    21.3
19171201 19171231     9.4
19180101 19180131    13.8
19180201 19180228    67.4
19180301 19180331    14.2
19180401 19180430    29.5
19180501 19180531    46.2
19180601 19180630    82.6
19180701 19180731    41.6
19180801 19180831    32.8
19180901 19180930    30.9
19181001 19181031    23.6
19181101 19181130    29.9
19181201 19181231    11.7
19190101 19190131     1.5
19190201 19190228     2.0
19190301 19190331     6.1
19190401 19190430    88.0
19190501 19190531    10.9
19190601 19190630    40.2
19190701 19190731    58.9
19190801 19190831    47.8
19190901 19190930    11.2
19191001 19191031    57.7
19191101 19191130    13.5
19191201 19191231     2.8
19200101 19200131     4.1
19200201 19200229     0.0
19200301 19200331    48.0
19200401 19200430     2.0
19200501 19200531    24.4
19200601 19200630    62.0
19200701 19200731    25.9
19200801 19200831    59.3
19200901 19200930    20.1
19201001 19201031     5.4
19201101 19201130     7.1
19201201 19201231     0.0
19210101 19210131    14.5
19210201 19210228    24.9
19210301 19210331    10.2
19210401 19210430     0.0
19210501 19210531   114.2
19210601 19210630    61.5
19210701 19210731    15.6
19210801 19210831    31.0
19210901 19210930    28.5
19211001 19211031    24.1
19211101 19211130     3.8
19211201 19211231    11.2
19220101 19220131     0.0
19220201 19220228    25.7
19220301 19220331    30.4
19220401 19220430    23.7
19220501 19220531    38.5
19220601 19220630    12.9
19220701 19220731    68.3
19220801 19220831    24.2
19220901 19220930    14.0
19221001 19221031     1.5
19221101 19221130     0.0
19221201 19221231     0.0
19230101 19230131    17.3
19230201 19230228    27.9
19230301 19230331    26.7
19230401 19230430    31.9
19230501 19230531    18.8
19230601 19230630    98.1
19230701 19230731    30.7
19230801 19230831    14.5
19230901 19230930    31.2
19231001 19231031     5.6
19231101 19231130     0.0
19231201 19231231    51.4
19240101 19240131     0.0
19240201 19240229     3.0
19240301 19240331    22.5
19240401 19240430     6.1
19240501 19240531    36.1
19240601 19240630    41.7
19240701 19240731    39.2
19240801 19240831    47.4
19240901 19240930    42.0
19241001 19241031    35.2
19241101 19241130     4.6
19241201 19241231     0.0
19250101 19250131    73.3
19250201 19250228    35.6
19250301 19250331    34.7
19250401 19250430     8.9
19250501 19250531    31.0
19250601 19250630    58.2
19250701 19250731    47.5
19250801 19250831     4.9
19250901 19250930    24.9
19251001 19251031    16.3
19251101 19251130     6.1
19251201 19251231    28.9
19260101 19260131     3.1
19260201 19260228    20.4
19260301 19260331    58.2
19260401 19260430    20.4
19260501 19260531    29.8
19260601 19260630    48.4
19260701 19260731    76.6
19260801 19260831    32.0
19260901 19260930    33.0
19261001 19261031    25.7
19261101 19261130     8.3
19261201 19261231     5.3
19270101 19270131     2.0
19270201 19270228     1.0
19270301 19270331   115.7
19270401 19270430    15.3
19270501 19270531    17.0
19270601 19270630    53.4
19270701 19270731    53.1
19270801 19270831    17.0
19270901 19270930    31.0
19271001 19271031    22.4
19271101 19271130     5.3
19271201 19271231     8.4
19280101 19280131    12.9
19280201 19280229     0.0
19280301 19280331    20.0
19280401 19280430    21.3
19280501 19280531    22.8
19280601 19280630    19.9
19280701 19280731    56.6
19280801 19280831    47.0
19280901 19280930    16.2
19281001 19281031     2.1
19281101 19281130     0.3
19281201 19281231    10.9
19290101 19290131     1.0
19290201 19290228    36.6
