PRCP       010123 19100101 20171231 missing_value=99999.9 THE GRANITES                              
19100101 19100131     0.3
19100201 19100228    24.4
19100301 19100331     0.3
19100401 19100430    13.1
19100501 19100531    76.4
19100601 19100630    80.9
19100701 19100731    61.2
19100801 19100831    26.9
19100901 19100930    18.8
19101001 19101031     7.6
19101101 19101130     1.4
19101201 19101231     0.0
19110101 19110131    16.6
19110201 19110228     0.0
19110301 19110331    15.3
19110401 19110430    16.8
19110501 19110531    23.2
19110601 19110630    33.5
19110701 19110731    39.1
19110801 19110831    28.7
19110901 19110930    11.4
19111001 19111031    10.7
19111101 19111130     0.0
19111201 19111231     9.7
19120101 19120131    17.1
19120201 19120229     0.0
19120301 19120331     2.3
19120401 19120430    27.7
19120501 19120531    25.3
19120601 19120630    11.9
19120701 19120731    69.7
19120801 19120831    15.2
19120901 19120930    39.6
19121001 19121031    12.9
19121101 19121130    10.9
19121201 19121231    19.1
19130101 19130131     1.8
19130201 19130228     0.0
19130301 19130331     4.3
19130401 19130430     4.0
19130501 19130531     5.9
19130601 19130630    50.9
19130701 19130731    30.3
19130801 19130831    62.6
19130901 19130930    36.8
19131001 19131031    21.3
19131101 19131130     4.8
19131201 19131231    89.3
19140101 19140131     0.0
19140201 19140228     5.1
19140301 19140331     8.9
19140401 19140430     8.6
19140501 19140531     4.3
19140601 19140630    19.6
19140701 19140731    31.0
19140801 19140831    17.5
19140901 19140930     0.3
19141001 19141031    32.3
19141101 19141130    34.6
19141201 19141231     8.7
19150101 19150131    36.4
19150201 19150228    44.1
19150301 19150331    11.9
19150401 19150430     0.8
19150501 19150531    67.0
19150601 19150630    80.4
19150701 19150731    70.3
19150801 19150831    65.1
19150901 19150930    29.6
19151001 19151031    13.6
19151101 19151130     0.0
19151201 19151231     0.0
19160101 19160131    53.1
19160201 19160229     4.3
19160301 19160331    12.5
19160401 19160430     0.0
19160501 19160531    23.7
19160601 19160630    41.5
19160701 19160731    54.0
19160801 19160831    52.7
19160901 19160930     5.3
19161001 19161031    50.0
19161101 19161130     9.4
19161201 19161231     0.0
19170101 19170131     0.0
19170201 19170228     0.0
19170301 19170331    72.8
19170401 19170430    33.1
19170501 19170531    49.1
19170601 19170630    78.4
19170701 19170731    99.3
19170801 19170831    47.0
19170901 19170930    33.4
19171001 19171031    27.7
19171101 19171130     3.3
19171201 19171231     0.0
19180101 19180131     6.1
19180201 19180228    35.3
19180301 19180331    23.1
19180401 19180430    21.5
19180501 19180531    21.1
19180601 19180630   105.6
19180701 19180731    31.2
19180801 19180831    44.4
19180901 19180930    26.2
19181001 19181031    33.6
19181101 19181130     4.1
19181201 19181231     0.0
19190101 19190131     0.0
19190201 19190228     0.0
19190301 19190331     0.0
19190401 19190430    78.5
19190501 19190531     5.1
19190601 19190630    27.1
19190701 19190731    63.0
19190801 19190831    29.7
19190901 19190930    13.2
19191001 19191031    37.6
19191101 19191130    44.9
19191201 19191231    12.2
19200101 19200131    13.2
19200201 19200229    20.6
19200301 19200331    29.2
19200401 19200430    22.9
19200501 19200531    48.2
19200601 19200630    57.6
19200701 19200731    38.8
19200801 19200831    59.2
19200901 19200930    14.5
19201001 19201031     5.6
19201101 19201130     0.0
19201201 19201231     0.0
19210101 19210131     0.0
19210201 19210228    48.2
19210301 19210331     9.4
19210401 19210430     0.3
19210501 19210531   115.4
19210601 19210630    40.5
19210701 19210731    50.3
19210801 19210831    41.0
19210901 19210930    14.1
19211001 19211031    29.4
19211101 19211130     1.3
19211201 19211231     9.7
19220101 19220131     0.0
19220201 19220228    41.7
19220301 19220331     0.0
19220401 19220430    16.8
19220501 19220531    42.1
19220601 19220630    14.2
19220701 19220731    95.2
19220801 19220831    28.0
19220901 19220930    18.6
19221001 19221031     1.5
19221101 19221130     7.4
19221201 19221231     8.6
19230101 19230131    15.0
19230201 19230228     5.8
19230301 19230331     7.6
19230401 19230430    40.9
19230501 19230531    26.7
19230601 19230630   112.7
19230701 19230731    27.1
19230801 19230831    19.3
19230901 19230930    43.9
19231001 19231031     5.1
19231101 19231130     0.0
19231201 19231231    29.9
19240101 19240131     0.0
19240201 19240229     3.8
19240301 19240331     3.0
19240401 19240430     7.1
19240501 19240531    45.0
19240601 19240630    41.1
19240701 19240731    26.4
19240801 19240831    35.5
19240901 19240930    25.7
19241001 19241031    47.1
19241101 19241130     7.8
19241201 19241231     4.6
19250101 19250131    45.2
19250201 19250228    34.5
19250301 19250331    18.2
19250401 19250430     9.3
19250501 19250531    37.4
19250601 19250630    55.4
19250701 19250731    31.0
19250801 19250831     1.3
19250901 19250930    34.3
19251001 19251031     8.4
19251101 19251130     6.1
19251201 19251231     4.1
19260101 19260131     5.1
19260201 19260228     8.6
19260301 19260331    73.7
19260401 19260430    30.5
19260501 19260531    23.4
19260601 19260630    43.2
19260701 19260731   114.0
19260801 19260831    30.6
19260901 19260930    22.2
19261001 19261031    20.6
19261101 19261130     9.9
19261201 19261231     2.0
19270101 19270131     0.0
19270201 19270228     0.0
19270301 19270331   141.7
19270401 19270430     7.1
19270501 19270531    16.3
19270601 19270630    52.6
19270701 19270731    42.2
19270801 19270831    21.6
19270901 19270930    39.9
19271001 19271031    13.7
19271101 19271130     8.9
19271201 19271231     8.6
19280101 19280131    23.4
19280201 19280229     0.0
19280301 19280331    11.2
19280401 19280430     2.5
19280501 19280531    22.4
19280601 19280630    17.8
19280701 19280731    86.7
19280801 19280831    37.8
19280901 19280930    25.8
19281001 19281031     5.6
19281101 19281130     1.5
19281201 19281231    12.2
19290101 19290131     0.0
19290201 19290228    12.4
19290301 19290331    34.5
19290401 19290430     0.0
19290501 19290531    60.3
19290601 19290630    79.1
19290701 19290731    45.7
19290801 19290831    21.0
19290901 19290930     5.4
19291001 19291031     6.8
19291101 19291130    42.6
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     1.8
19300301 19300331    34.6
19300401 19300430    40.4
19300501 19300531     6.4
19300601 19300630    99.2
19300701 19300731    54.6
19300801 19300831    42.7
19300901 19300930    30.7
19301001 19301031     0.0
19301101 19301130     0.0
19301201 19301231     7.6
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331     7.6
19310401 19310430     8.8
19310501 19310531    56.8
19310601 19310630    29.7
19310701 19310731    47.0
19310801 19310831    67.2
19310901 19310930    27.0
19311001 19311031    11.4
19311101 19311130     4.4
19311201 19311231    12.5
19320101 19320131    13.0
19320201 19320229     0.0
19320301 19320331     6.6
19320401 19320430    12.7
19320501 19320531    61.5
19320601 19320630    19.3
19320701 19320731    76.5
19320801 19320831    86.9
19320901 19320930    33.3
19321001 19321031   107.6
19321101 19321130     0.0
19321201 19321231     4.6
19330101 19330131    13.2
19330201 19330228     0.0
19330301 19330331     6.6
19330401 19330430     5.3
19330501 19330531    58.2
19330601 19330630    37.7
19330701 19330731    27.2
19330801 19330831    34.1
19330901 19330930     9.3
19331001 19331031    37.8
19331101 19331130     0.3
19331201 19331231     3.0
19340101 19340131     1.8
19340201 19340228     7.2
19340301 19340331    57.9
19340401 19340430    49.2
19340501 19340531    18.9
19340601 19340630    37.6
19340701 19340731    41.0
19340801 19340831    35.2
19340901 19340930    11.7
19341001 19341031    13.5
19341101 19341130    18.6
19341201 19341231     5.5
19350101 19350131    21.1
19350201 19350228    14.0
19350301 19350331     4.8
19350401 19350430    15.0
19350501 19350531    16.9
19350601 19350630    29.8
19350701 19350731    49.1
19350801 19350831    39.2
19350901 19350930    11.7
19351001 19351031    38.7
19351101 19351130     0.0
19351201 19351231     1.3
19360101 19360131     0.0
19360201 19360229     1.0
19360301 19360331    12.3
19360401 19360430     1.0
19360501 19360531    33.6
19360601 19360630    60.1
19360701 19360731    26.6
19360801 19360831    42.5
19360901 19360930    18.3
19361001 19361031     1.5
