PRCP       010126 19100101 20180131 missing_value=99999.9 TRAYNING                                  
19100101 19100131     0.2
19100201 19100228    31.5
19100301 19100331     0.0
19100401 19100430     1.8
19100501 19100531    58.3
19100601 19100630    79.8
19100701 19100731    75.7
19100801 19100831    25.2
19100901 19100930    22.0
19101001 19101031    28.5
19101101 19101130     5.1
19101201 19101231     0.0
19110101 19110131     9.6
19110201 19110228    10.7
19110301 19110331     7.3
19110401 19110430     4.6
19110501 19110531    20.9
19110601 19110630     7.1
19110701 19110731    31.0
19110801 19110831    17.2
19110901 19110930     7.5
19111001 19111031     0.5
19111101 19111130     0.0
19111201 19111231     2.3
19120101 19120131    36.3
19120201 19120229     0.0
19120301 19120331     1.3
19120401 19120430     9.9
19120501 19120531    31.7
19120601 19120630    19.4
19120701 19120731    98.0
19120801 19120831    14.8
19120901 19120930    35.1
19121001 19121031    42.7
19121101 19121130     8.1
19121201 19121231    16.8
19130101 19130131     0.0
19130201 19130228     1.8
19130301 19130331     0.5
19130401 19130430    20.4
19130501 19130531     1.1
19130601 19130630    55.6
19130701 19130731    31.0
19130801 19130831    62.8
19130901 19130930    49.8
19131001 19131031    26.9
19131101 19131130     5.9
19131201 19131231    40.9
19140101 19140131     2.3
19140201 19140228     2.0
19140301 19140331     7.6
19140401 19140430     8.4
19140501 19140531     1.5
19140601 19140630    24.8
19140701 19140731    35.5
19140801 19140831    12.5
19140901 19140930     0.0
19141001 19141031    18.0
19141101 19141130     5.1
19141201 19141231     2.3
19150101 19150131    75.0
19150201 19150228    45.1
19150301 19150331     6.6
19150401 19150430    23.4
19150501 19150531    61.9
19150601 19150630    75.6
19150701 19150731    73.6
19150801 19150831    58.6
19150901 19150930    39.2
19151001 19151031    25.7
19151101 19151130     0.0
19151201 19151231     8.9
19160101 19160131    53.3
19160201 19160229     0.0
19160301 19160331    13.2
19160401 19160430     8.6
19160501 19160531    23.9
19160601 19160630    56.5
19160701 19160731    59.9
19160801 19160831    51.9
19160901 19160930    13.9
19161001 19161031    41.4
19161101 19161130    10.9
19161201 19161231     0.0
19170101 19170131     0.0
19170201 19170228     0.8
19170301 19170331   180.1
19170401 19170430    12.2
19170501 19170531    35.1
19170601 19170630    87.6
19170701 19170731   111.5
19170801 19170831    64.8
19170901 19170930    54.6
19171001 19171031    24.4
19171101 19171130    20.1
19171201 19171231     5.8
19180101 19180131     2.5
19180201 19180228    63.2
19180301 19180331    19.6
19180401 19180430    36.0
19180501 19180531    46.0
19180601 19180630    84.0
19180701 19180731    38.1
