PRCP       010133 19090101 20111231 missing_value=99999.9 WALK WALKIN                               
19090101 19090131    10.7
19090201 19090228     3.9
19090301 19090331     7.4
19090401 19090430    56.9
19090501 19090531    19.6
19090601 19090630    67.6
19090701 19090731    30.6
19090801 19090831    99.8
19090901 19090930    32.4
19091001 19091031    15.9
19091101 19091130     5.3
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228    41.7
19100301 19100331     0.0
19100401 19100430     1.3
19100501 19100531    71.7
19100601 19100630    97.4
19100701 19100731    61.9
19100801 19100831    29.4
19100901 19100930    17.2
19101001 19101031    29.6
19101101 19101130     6.3
19101201 19101231     0.3
19110101 19110131    10.8
19110201 19110228     1.1
19110301 19110331     3.8
19110401 19110430     9.0
19110501 19110531    14.0
19110601 19110630    23.6
19110701 19110731    35.3
19110801 19110831    20.9
19110901 19110930     6.7
19111001 19111031     3.4
19111101 19111130     0.0
19111201 19111231     3.8
19120101 19120131    34.0
19120201 19120229     9.9
19120301 19120331     4.0
19120401 19120430     3.6
19120501 19120531    42.5
19120601 19120630    10.7
19120701 19120731    78.1
19120801 19120831    11.0
19120901 19120930    40.5
19121001 19121031    19.6
19121101 19121130     7.2
19121201 19121231     5.9
19130101 19130131     0.5
19130201 19130228    30.0
19130301 19130331     5.4
19130401 19130430     8.3
19130501 19130531     4.4
19130601 19130630    64.3
19130701 19130731    35.7
19130801 19130831    66.2
19130901 19130930    47.0
19131001 19131031    24.0
19131101 19131130     2.1
19131201 19131231    28.3
19140101 19140131     1.0
19140201 19140228     0.8
19140301 19140331     0.0
19140401 19140430     8.2
19140501 19140531     2.1
19140601 19140630    25.1
19140701 19140731    39.8
19140801 19140831    12.2
19140901 19140930     1.0
19141001 19141031     7.7
19141101 19141130     7.6
19141201 19141231     4.5
19150101 19150131    57.5
19150201 19150228    61.6
19150301 19150331     5.9
19150401 19150430    32.7
19150501 19150531    41.2
19150601 19150630    54.9
19150701 19150731    61.9
19150801 19150831    52.4
19150901 19150930    33.1
19151001 19151031    24.6
19151101 19151130     0.0
19151201 19151231    18.1
19160101 19160131    50.1
19160201 19160229    11.7
19160301 19160331     2.5
19160401 19160430     0.5
19160501 19160531    26.5
19160601 19160630    50.4
19160701 19160731    56.0
19160801 19160831    35.8
19160901 19160930     7.2
19161001 19161031    37.8
19161101 19161130     8.6
19161201 19161231     0.0
19170101 19170131     0.0
19170201 19170228     0.5
19170301 19170331   140.6
19170401 19170430     6.6
19170501 19170531    54.0
19170601 19170630    95.1
19170701 19170731   113.6
19170801 19170831    61.3
19170901 19170930    58.3
19171001 19171031    23.7
19171101 19171130     5.0
19171201 19171231     5.1
19180101 19180131    11.2
19180201 19180228    67.5
19180301 19180331    28.3
19180401 19180430    36.2
19180501 19180531    35.5
19180601 19180630    96.6
19180701 19180731    34.6
19180801 19180831    51.4
19180901 19180930    31.5
19181001 19181031    34.3
19181101 19181130    10.2
19181201 19181231     0.0
19190101 19190131     0.0
19190201 19190228     0.0
19190301 19190331     4.0
19190401 19190430    74.9
19190501 19190531    11.7
19190601 19190630    53.7
19190701 19190731    76.4
19190801 19190831    45.1
19190901 19190930    13.5
19191001 19191031    43.9
19191101 19191130     0.8
19191201 19191231     2.3
19200101 19200131     0.0
19200201 19200229     0.0
19200301 19200331    48.1
19200401 19200430     2.5
19200501 19200531    19.6
19200601 19200630    50.6
19200701 19200731    25.5
19200801 19200831    50.3
19200901 19200930    23.4
19201001 19201031     5.6
19201101 19201130     2.0
19201201 19201231     0.0
19210101 19210131     5.8
19210201 19210228     9.2
19210301 19210331    15.8
19210401 19210430     1.1
19210501 19210531    79.5
19210601 19210630    51.1
19210701 19210731    28.6
19210801 19210831    33.3
19210901 19210930    29.1
19211001 19211031    25.1
19211101 19211130     2.1
19211201 19211231    19.1
19220101 19220131     0.0
19220201 19220228    16.8
19220301 19220331    31.3
19220401 19220430    38.5
19220501 19220531    28.9
19220601 19220630    19.0
19220701 19220731    65.1
19220801 19220831    16.0
19220901 19220930    10.7
19221001 19221031     3.9
19221101 19221130     1.3
19221201 19221231     0.0
19230101 19230131     4.3
19230201 19230228    12.4
19230301 19230331     8.6
19230401 19230430    36.8
19230501 19230531    22.0
19230601 19230630   142.9
19230701 19230731    26.9
19230801 19230831    24.9
19230901 19230930    39.4
19231001 19231031     6.9
19231101 19231130     0.0
19231201 19231231    17.5
19240101 19240131     0.0
