PRCP       010149 19021001 20171231 missing_value=99999.9 CODG CODGEN                               
19021001 19021031    10.7
19021101 19021130     0.0
19021201 19021231     5.3
19030101 19030131     0.0
19030201 19030228    22.6
19030301 19030331     1.3
19030401 19030430    41.4
19030501 19030531    27.2
19030601 19030630    38.4
19030701 19030731    46.7
19030801 19030831    39.9
19030901 19030930    56.1
19031001 19031031    23.9
19031101 19031130     2.8
19031201 19031231     8.4
19040101 19040131     0.5
19040201 19040229     0.0
19040301 19040331    45.5
19040401 19040430     9.4
19040501 19040531    45.7
19040601 19040630    63.2
19040701 19040731    93.2
19040801 19040831    32.3
19040901 19040930    84.1
19041001 19041031    49.0
19041101 19041130     4.6
19041201 19041231    49.0
19050101 19050131     1.0
19050201 19050228    13.0
19050301 19050331     0.0
19050401 19050430    16.8
19050501 19050531    78.2
19050601 19050630    28.2
19050701 19050731    52.1
19050801 19050831    26.4
19050901 19050930    63.8
19051001 19051031     8.1
19051101 19051130    18.3
19051201 19051231    26.4
19060101 19060131    17.0
19060201 19060228    14.0
19060301 19060331     0.0
19060401 19060430     3.8
19060501 19060531    39.6
19060601 19060630    36.6
19060701 19060731    81.0
19060801 19060831    42.2
19060901 19060930    30.2
19061001 19061031    10.2
19061101 19061130    35.8
19061201 19061231     1.0
19070101 19070131     5.0
19070201 19070228     4.6
19070301 19070331    32.5
19070401 19070430     6.6
19070501 19070531    29.5
19070601 19070630    59.3
19070701 19070731    86.5
19070801 19070831    50.0
19070901 19070930    18.9
19071001 19071031     6.7
19071101 19071130     1.3
19071201 19071231     0.0
19080101 19080131     0.0
19080201 19080229    12.4
19080301 19080331    33.7
19080401 19080430    22.3
19080501 19080531   104.7
19080601 19080630    37.3
19080701 19080731    33.6
19080801 19080831    14.6
19080901 19080930    11.5
19081001 19081031    12.0
19081101 19081130    22.1
19081201 19081231     6.9
19090101 19090131     9.9
19090201 19090228    32.8
19090301 19090331     5.1
19090401 19090430    38.1
19090501 19090531    49.6
19090601 19090630    74.7
19090701 19090731    39.8
19090801 19090831    80.4
19090901 19090930    41.9
19091001 19091031    23.0
19091101 19091130    19.1
19091201 19091231     1.3
19100101 19100131     1.5
19100201 19100228     0.0
19100301 19100331     0.0
19100401 19100430     3.1
19100501 19100531    59.1
19100601 19100630   115.9
19100701 19100731    92.4
19100801 19100831    24.8
19100901 19100930    27.2
19101001 19101031    20.8
19101101 19101130     4.6
19101201 19101231     0.0
19110101 19110131     3.6
19110201 19110228     2.5
19110301 19110331     4.1
19110401 19110430    18.5
19110501 19110531    12.0
19110601 19110630    22.8
19110701 19110731    40.6
19110801 19110831    20.3
19110901 19110930    10.9
19111001 19111031     6.1
19111101 19111130     0.0
19111201 19111231     6.1
19120101 19120131    39.1
19120201 19120229     1.4
19120301 19120331     4.1
19120401 19120430    14.2
19120501 19120531    36.7
19120601 19120630    17.4
19120701 19120731    93.3
19120801 19120831    13.5
19120901 19120930    41.2
19121001 19121031    15.6
19121101 19121130     9.5
19121201 19121231    17.6
19130101 19130131     0.0
19130201 19130228     0.0
19130301 19130331    20.5
19130401 19130430     1.8
19130501 19130531     4.5
19130601 19130630    60.6
19130701 19130731    29.9
19130801 19130831    79.9
19130901 19130930    46.5
19131001 19131031    29.8
19131101 19131130     2.9
19131201 19131231    59.1
19140101 19140131     4.1
19140201 19140228     0.0
19140301 19140331     0.0
19140401 19140430     6.1
19140501 19140531     3.0
19140601 19140630    31.2
19140701 19140731    46.5
19140801 19140831    11.2
19140901 19140930     1.0
19141001 19141031    30.7
19141101 19141130    23.2
19141201 19141231     0.0
19150101 19150131    44.9
19150201 19150228    37.1
19150301 19150331     9.7
19150401 19150430    18.3
19150501 19150531    51.7
19150601 19150630    49.2
19150701 19150731    80.1
19150801 19150831    73.4
19150901 19150930    41.5
19151001 19151031    27.1
19151101 19151130     0.0
19151201 19151231     5.1
19160101 19160131    50.3
19160201 19160229     0.0
19160301 19160331    15.5
19160401 19160430     1.3
19160501 19160531    29.3
19160601 19160630    63.6
19160701 19160731    71.5
19160801 19160831    53.4
19160901 19160930    15.3
19161001 19161031    48.6
19161101 19161130    10.1
19161201 19161231     0.0
19170101 19170131     0.8
19170201 19170228    11.4
19170301 19170331   130.3
19170401 19170430    19.3
19170501 19170531    56.4
19170601 19170630   106.5
19170701 19170731   115.2
19170801 19170831    55.8
19170901 19170930    68.0
19171001 19171031    34.8
19171101 19171130    19.3
19171201 19171231     5.3
19180101 19180131    18.6
19180201 19180228    50.8
19180301 19180331     8.2
19180401 19180430    40.2
19180501 19180531    37.4
19180601 19180630    91.6
19180701 19180731    41.6
19180801 19180831    44.7
19180901 19180930    39.4
19181001 19181031    34.5
19181101 19181130    15.1
19181201 19181231     4.9
19190101 19190131     2.5
19190201 19190228    14.2
19190301 19190331    23.1
19190401 19190430   106.7
19190501 19190531    14.0
19190601 19190630    50.8
19190701 19190731    60.6
19190801 19190831    46.3
19190901 19190930    12.7
19191001 19191031    66.6
19191101 19191130    10.0
19191201 19191231     5.9
19200101 19200131    17.8
19200201 19200229     0.3
19200301 19200331    57.9
19200401 19200430    12.0
19200501 19200531    43.2
19200601 19200630    77.3
19200701 19200731    62.5
19200801 19200831    67.8
19200901 19200930    27.3
19201001 19201031     5.6
19201101 19201130    24.4
19201201 19201231     0.0
19210101 19210131    11.2
19210201 19210228    11.4
19210301 19210331     4.9
19210401 19210430    12.0
19210501 19210531   116.2
19210601 19210630    33.7
19210701 19210731    23.2
19210801 19210831    42.2
19210901 19210930    31.0
19211001 19211031    23.8
19211101 19211130     4.1
19211201 19211231    13.4
19220101 19220131     0.3
19220201 19220228    28.1
19220301 19220331    34.8
19220401 19220430    22.1
19220501 19220531    35.6
19220601 19220630     6.5
19220701 19220731    84.5
19220801 19220831    17.4
19220901 19220930    26.1
19221001 19221031     3.3
19221101 19221130     0.8
19221201 19221231     6.3
19230101 19230131    12.2
19230201 19230228    27.9
19230301 19230331     1.3
19230401 19230430    41.3
19230501 19230531    36.0
19230601 19230630   141.5
19230701 19230731    38.1
19230801 19230831    22.4
19230901 19230930    40.8
19231001 19231031    12.0
19231101 19231130     2.5
19231201 19231231    43.5
19240101 19240131     0.0
19240201 19240229     4.6
19240301 19240331    14.8
19240401 19240430     9.1
19240501 19240531    45.9
19240601 19240630    57.2
19240701 19240731    27.1
19240801 19240831    40.8
19240901 19240930    35.0
19241001 19241031    26.7
19241101 19241130     9.9
19241201 19241231     0.0
19250101 19250131    60.7
19250201 19250228    49.8
19250301 19250331     8.4
19250401 19250430     1.0
19250501 19250531    34.9
19250601 19250630    52.2
19250701 19250731    39.7
19250801 19250831     3.4
19250901 19250930    29.7
19251001 19251031     8.4
19251101 19251130     8.6
19251201 19251231    19.1
19260101 19260131     6.2
19260201 19260228    15.3
19260301 19260331    57.9
19260401 19260430    21.7
19260501 19260531    42.7
19260601 19260630    39.2
19260701 19260731    92.3
19260801 19260831    27.1
19260901 19260930    23.4
19261001 19261031    22.3
19261101 19261130     9.7
19261201 19261231     2.3
19270101 19270131     0.0
19270201 19270228     0.8
19270301 19270331   141.8
19270401 19270430    10.2
19270501 19270531    17.2
19270601 19270630    58.9
19270701 19270731    44.6
19270801 19270831    29.6
19270901 19270930    31.2
19271001 19271031    16.3
19271101 19271130     5.6
19271201 19271231     7.7
19280101 19280131    13.5
19280201 19280229     0.0
19280301 19280331    27.7
19280401 19280430    13.8
19280501 19280531    17.8
19280601 19280630    20.7
19280701 19280731    66.4
19280801 19280831    52.4
19280901 19280930    14.7
19281001 19281031    10.2
19281101 19281130     0.0
19281201 19281231     7.4
19290101 19290131    14.4
19290201 19290228    41.5
19290301 19290331    30.8
19290401 19290430     1.0
19290501 19290531    97.3
19290601 19290630    74.8
19290701 19290731    39.1
19290801 19290831    21.4
19290901 19290930     2.1
19291001 19291031    10.0
19291101 19291130    30.5
19291201 19291231     2.0
19300101 19300131     0.0
19300201 19300228     2.5
19300301 19300331    78.7
19300401 19300430    56.5
19300501 19300531    14.2
19300601 19300630    83.6
19300701 19300731    52.7
19300801 19300831    47.8
19300901 19300930    15.8
19301001 19301031     4.3
19301101 19301130     0.0
19301201 19301231    18.9
19310101 19310131     0.0
19310201 19310228     1.0
19310301 19310331     1.8
19310401 19310430    32.2
19310501 19310531    57.9
19310601 19310630    26.2
19310701 19310731    50.4
19310801 19310831    70.5
19310901 19310930    31.4
19311001 19311031    15.8
19311101 19311130     7.6
19311201 19311231     4.6
19320101 19320131    14.7
19320201 19320229     2.3
19320301 19320331    40.1
19320401 19320430    33.9
19320501 19320531    43.2
19320601 19320630    17.0
19320701 19320731    70.4
19320801 19320831    88.8
19320901 19320930    12.7
19321001 19321031    71.1
19321101 19321130     0.0
19321201 19321231     4.8
19330101 19330131     4.1
19330201 19330228     6.1
19330301 19330331    11.7
19330401 19330430     2.0
19330501 19330531    46.6
19330601 19330630    60.2
19330701 19330731    29.9
19330801 19330831    45.0
19330901 19330930    11.9
19331001 19331031    22.3
19331101 19331130    19.4
19331201 19331231    15.0
19340101 19340131    14.0
19340201 19340228     3.0
19340301 19340331    31.2
19340401 19340430   140.7
19340501 19340531    11.6
19340601 19340630    44.7
19340701 19340731    35.3
19340801 19340831    36.1
19340901 19340930    18.9
19341001 19341031     1.3
19341101 19341130    11.0
19341201 19341231     2.8
19350101 19350131    15.3
19350201 19350228    53.9
19350301 19350331     2.3
19350401 19350430    18.3
19350501 19350531    15.3
19350601 19350630    16.6
19350701 19350731    41.8
19350801 19350831    52.2
19350901 19350930    18.4
19351001 19351031    24.9
19351101 19351130     0.0
19351201 19351231     2.5
19360101 19360131     8.1
19360201 19360229     0.3
19360301 19360331    15.2
19360401 19360430     1.5
19360501 19360531    22.6
19360601 19360630    46.2
19360701 19360731    18.3
19360801 19360831    43.2
19360901 19360930    18.6
19361001 19361031     5.1
19361101 19361130     1.6
19361201 19361231    45.4
19370101 19370131     3.8
19370201 19370228     7.6
19370301 19370331     1.8
19370401 19370430     9.4
19370501 19370531    51.5
19370601 19370630    39.1
19370701 19370731    12.9
19370801 19370831    39.7
19370901 19370930     8.8
19371001 19371031    10.9
19371101 19371130    15.6
19371201 19371231     0.8
19380101 19380131    31.2
19380201 19380228     0.0
19380301 19380331    20.8
19380401 19380430    19.1
19380501 19380531     9.0
19380601 19380630    34.8
19380701 19380731    62.6
19380801 19380831    16.1
19380901 19380930    12.4
19381001 19381031     4.9
19381101 19381130    23.2
19381201 19381231     2.3
19390101 19390131     0.8
19390201 19390228    85.4
19390301 19390331     0.0
19390401 19390430    18.1
19390501 19390531    67.2
19390601 19390630    71.8
19390701 19390731    53.5
19390801 19390831    43.6
19390901 19390930     1.3
19391001 19391031    45.8
19391101 19391130    46.5
19391201 19391231     0.8
19400101 19400131     0.8
19400201 19400229     0.0
19400301 19400331     0.8
19400401 19400430     1.3
19400501 19400531    10.4
19400601 19400630    25.8
19400701 19400731    34.7
19400801 19400831     3.6
19400901 19400930    12.4
19401001 19401031    28.4
19401101 19401130     2.8
19401201 19401231    33.3
19410101 19410131     0.5
19410201 19410228    10.9
19410301 19410331     0.3
19410401 19410430    33.3
19410501 19410531    47.2
19410601 19410630    82.4
19410701 19410731    45.9
19410801 19410831    36.2
19410901 19410930    32.8
19411001 19411031    11.4
19411101 19411130    10.7
19411201 19411231    28.5
19420101 19420131     1.8
19420201 19420228     0.0
19420301 19420331    19.0
19420401 19420430    22.8
19420501 19420531    79.9
19420601 19420630    25.9
19420701 19420731    32.6
19420801 19420831    40.7
19420901 19420930    26.2
19421001 19421031    12.0
19421101 19421130     0.0
19421201 19421231    35.0
19430101 19430131    16.0
19430201 19430228    68.9
19430301 19430331    68.1
19430401 19430430    53.4
19430501 19430531    43.3
19430601 19430630    46.1
19430701 19430731    35.6
19430801 19430831    40.5
19430901 19430930    32.9
19431001 19431031    10.0
19431101 19431130     0.0
19431201 19431231    11.2
19440101 19440131     4.1
19440201 19440229     0.0
19440301 19440331     7.1
19440401 19440430     0.5
19440501 19440531    70.5
19440601 19440630    13.1
19440701 19440731    76.7
19440801 19440831    35.6
19440901 19440930     7.1
19441001 19441031     1.6
19441101 19441130     1.5
19441201 19441231     3.1
19450101 19450131     0.0
19450201 19450228     3.6
19450301 19450331    18.7
19450401 19450430    10.2
19450501 19450531    25.2
19450601 19450630   142.6
19450701 19450731    31.6
19450801 19450831    84.4
19450901 19450930    21.3
19451001 19451031     4.3
19451101 19451130     5.1
19451201 19451231     3.3
19460101 19460131     0.3
19460201 19460228     4.6
19460301 19460331     0.5
19460401 19460430    19.1
19460501 19460531    49.4
19460601 19460630    87.9
19460701 19460731    82.5
19460801 19460831    47.7
19460901 19460930    13.3
19461001 19461031     0.5
19461101 19461130    14.5
19461201 19461231     0.0
19470101 19470131     1.8
19470201 19470228     0.0
19470301 19470331    27.4
19470401 19470430    35.1
19470501 19470531    54.2
19470601 19470630    53.0
19470701 19470731    43.6
19470801 19470831    11.0
19470901 19470930    16.5
19471001 19471031    47.1
19471101 19471130    30.5
19471201 19471231     0.0
19480101 19480131     5.1
19480201 19480229    24.4
19480301 19480331     4.9
19480401 19480430    40.6
19480501 19480531     0.0
19480601 19480630    38.2
19480701 19480731    53.3
19480801 19480831    47.3
19480901 19480930    19.0
19481001 19481031     7.1
19481101 19481130    15.5
19481201 19481231     1.3
19490101 19490131     5.6
19490201 19490228     2.8
19490301 19490331     2.8
19490401 19490430     6.1
19490501 19490531     0.8
19490601 19490630    50.1
19490701 19490731    60.6
19490801 19490831    72.4
19490901 19490930    19.3
19491001 19491031    14.5
19491101 19491130    15.4
19491201 19491231     5.4
19500101 19500131     4.1
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    48.2
19500601 19500630    31.5
19500701 19500731    36.5
19500801 19500831    25.8
19500901 19500930    41.5
19501001 19501031    18.3
19501101 19501130     5.6
19501201 19501231     0.0
19510101 19510131     2.3
19510201 19510228    52.3
19510301 19510331     7.6
19510401 19510430    67.4
19510501 19510531    15.8
19510601 19510630    44.8
19510701 19510731    34.6
19510801 19510831    29.5
19510901 19510930     6.1
19511001 19511031     8.9
19511101 19511130    30.5
19511201 19511231    30.8
19520101 19520131    32.8
19520201 19520229     2.8
19520301 19520331     5.6
19520401 19520430     3.3
19520501 19520531    35.5
19520601 19520630    23.7
19520701 19520731    49.7
19520801 19520831    12.5
19520901 19520930    16.2
19521001 19521031    13.9
19521101 19521130     2.5
19521201 19521231    31.5
19530101 19530131     5.8
19530201 19530228    11.9
19530301 19530331   126.3
19530401 19530430    33.5
19530501 19530531    73.1
19530601 19530630    56.7
19530701 19530731    34.2
19530801 19530831    28.0
19530901 19530930    11.3
19531001 19531031    14.8
19531101 19531130     8.1
19531201 19531231     3.8
19540101 19540131    10.2
19540201 19540228     6.4
19540301 19540331     0.0
19540401 19540430     3.3
19540501 19540531    74.1
19540601 19540630    18.2
19540701 19540731    42.3
19540801 19540831    29.2
19540901 19540930    16.3
19541001 19541031     2.1
19541101 19541130     2.1
19541201 19541231     3.6
19550101 19550131     4.4
19550201 19550228    78.0
19550301 19550331     6.8
19550401 19550430    31.8
19550501 19550531    20.0
19550601 19550630    15.8
19550701 19550731    21.0
19550801 19550831    66.3
19550901 19550930    36.1
19551001 19551031    31.5
19551101 19551130     0.0
19551201 19551231     0.0
19560101 19560131     7.1
19560201 19560229     0.5
19560301 19560331     0.0
19560401 19560430    13.8
19560501 19560531    70.8
19560601 19560630    55.9
19560701 19560731    53.4
19560801 19560831     0.8
19560901 19560930     7.4
19561001 19561031    45.9
19561101 19561130    35.4
19561201 19561231     0.0
19570101 19570131    56.6
19570201 19570228     0.0
19570301 19570331    12.2
19570401 19570430    10.1
19570501 19570531    44.0
19570601 19570630    82.4
19570701 19570731     8.1
19570801 19570831    25.4
19570901 19570930     4.8
19571001 19571031     4.9
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     0.8
19580201 19580228     0.0
19580301 19580331     7.6
19580401 19580430     5.1
19580501 19580531    56.6
19580601 19580630    40.1
19580701 19580731   108.4
19580801 19580831    22.6
19580901 19580930    51.3
19581001 19581031     8.6
19581101 19581130    15.8
19581201 19581231    11.4
19590101 19590131     0.0
19590201 19590228    10.4
19590301 19590331    19.6
19590401 19590430     1.8
19590501 19590531     4.1
19590601 19590630    69.9
19590701 19590731    18.0
19590801 19590831    62.2
19590901 19590930    10.6
19591001 19591031    11.4
19591101 19591130    20.9
19591201 19591231    16.3
19600101 19600131    15.0
19600201 19600229     8.1
19600301 19600331    22.1
19600401 19600430    17.8
19600501 19600531    46.2
19600601 19600630    17.4
19600701 19600731   100.9
19600801 19600831     5.8
19600901 19600930    41.4
19601001 19601031     0.0
19601101 19601130     3.3
19601201 19601231    11.4
19610101 19610131    34.5
19610201 19610228     0.0
19610301 19610331     5.9
19610401 19610430    33.9
19610501 19610531    11.2
19610601 19610630    50.6
19610701 19610731    24.6
19610801 19610831    18.9
19610901 19610930     7.3
19611001 19611031     4.3
19611101 19611130     0.0
19611201 19611231    10.1
19620101 19620131     8.9
19620201 19620228     0.0
19620301 19620331    15.2
19620401 19620430     0.0
19620501 19620531    64.7
19620601 19620630    25.5
19620701 19620731    29.6
19620801 19620831    21.1
19620901 19620930    17.8
19621001 19621031    17.3
19621101 19621130     5.6
19621201 19621231    14.7
19630101 19630131    29.7
19630201 19630228    51.9
19630301 19630331    20.6
19630401 19630430    30.4
19630501 19630531   101.4
19630601 19630630   102.9
19630701 19630731    74.0
19630801 19630831    99.3
19630901 19630930    12.7
19631001 19631031     0.5
19631101 19631130    22.1
19631201 19631231    11.2
19640101 19640131     4.3
19640201 19640229     3.6
19640301 19640331    12.5
19640401 19640430    16.3
19640501 19640531     0.8
19640601 19640630    78.9
19640701 19640731    92.9
19640801 19640831    48.7
19640901 19640930    13.7
19641001 19641031    12.5
19641101 19641130     5.9
19641201 19641231     2.8
19650101 19650131     4.3
19650201 19650228     2.3
19650301 19650331    10.7
19650401 19650430    20.1
19650501 19650531    78.4
19650601 19650630    75.4
19650701 19650731    53.1
19650801 19650831    36.8
19650901 19650930    22.4
19651001 19651031    18.3
19651101 19651130    34.1
19651201 19651231    33.6
19660101 19660131     5.6
19660201 19660228    19.0
19660301 19660331     0.0
19660401 19660430    91.8
19660501 19660531     2.1
19660601 19660630    70.0
19660701 19660731    58.9
19660801 19660831    18.1
19660901 19660930    21.5
19661001 19661031    46.0
19661101 19661130     3.8
19661201 19661231     0.3
19670101 19670131    26.0
19670201 19670228     0.0
19670301 19670331     0.8
19670401 19670430     9.5
19670501 19670531    63.7
19670601 19670630    34.2
19670701 19670731    59.8
19670801 19670831    24.3
19670901 19670930     9.9
19671001 19671031    19.2
19671101 19671130     2.6
19671201 19671231     1.0
19680101 19680131    60.7
19680201 19680229     9.9
19680301 19680331    30.3
19680401 19680430    23.4
19680501 19680531    29.0
19680601 19680630   137.5
19680701 19680731    37.3
19680801 19680831    28.4
19680901 19680930    29.2
19681001 19681031    10.5
19681101 19681130     0.0
19681201 19681231     0.5
19690101 19690131     0.0
19690201 19690228     0.8
19690301 19690331    18.0
19690401 19690430    22.4
19690501 19690531    21.3
19690601 19690630    39.4
19690701 19690731    27.5
19690801 19690831     7.9
19690901 19690930    14.5
19691001 19691031     0.0
19691101 19691130     8.9
19691201 19691231     0.6
19700101 19700131     0.0
19700201 19700228   106.2
19700301 19700331     5.3
19700401 19700430    25.2
19700501 19700531    20.5
19700601 19700630    56.4
19700701 19700731    17.7
19700801 19700831    14.3
19700901 19700930    41.9
19701001 19701031    22.1
19701101 19701130     3.1
19701201 19701231     3.6
19710101 19710131    18.5
19710201 19710228    18.3
19710301 19710331   137.3
19710401 19710430     5.6
19710501 19710531    16.0
19710601 19710630    21.0
19710701 19710731    21.1
19710801 19710831    29.6
19710901 19710930    26.6
19711001 19711031    11.8
19711101 19711130    20.6
19711201 19711231     0.6
19720101 19720131     0.0
19720201 19720229     8.4
19720301 19720331     5.6
19720401 19720430     6.4
19720501 19720531    18.9
19720601 19720630    45.9
19720701 19720731    50.5
19720801 19720831    29.6
19720901 19720930    13.4
19721001 19721031     5.9
19721101 19721130    21.3
19721201 19721231     0.0
19730101 19730131    13.5
19730201 19730228     0.0
19730301 19730331     0.0
19730401 19730430    32.1
19730501 19730531    19.2
19730601 19730630    81.9
19730701 19730731    72.7
19730801 19730831    38.0
19730901 19730930    47.3
19731001 19731031    18.5
19731101 19731130    31.0
19731201 19731231     0.8
19740101 19740131     0.0
19740201 19740228     2.6
19740301 19740331    34.8
19740401 19740430   108.6
19740501 19740531   103.8
19740601 19740630    32.8
19740701 19740731    44.2
19740801 19740831    60.8
19740901 19740930    31.3
19741001 19741031    20.2
19741101 19741130    23.8
19741201 19741231     3.6
19750101 19750131     2.0
19750201 19750228     2.2
19750301 19750331     5.8
19750401 19750430    49.0
19750501 19750531    19.8
19750601 19750630    27.8
19750701 19750731    60.3
19750801 19750831    27.2
19750901 19750930    20.4
19751001 19751031    56.2
19751101 19751130     6.4
19751201 19751231    23.4
19760101 19760131     9.2
19760201 19760229    32.4
19760301 19760331     5.8
19760401 19760430    26.6
19760501 19760531    28.8
19760601 19760630    21.0
19760701 19760731     8.5
19760801 19760831    58.6
19760901 19760930    23.0
19761001 19761031    25.4
19761101 19761130    14.2
19761201 19761231     0.0
19770101 19770131     0.4
