PRCP       010505 18910101 20170930 missing_value=99999.9 ARTHUR RIVER COMP                         
18910101 18910131     0.0
18910201 18910228     0.0
18910301 18910331    21.3
18910401 18910430     2.5
18910501 18910531    43.2
18910601 18910630    68.8
18910701 18910731    58.4
18910801 18910831    51.1
18910901 18910930    40.6
18911001 18911031    15.7
18911101 18911130     0.5
18911201 18911231     3.0
18920101 18920131     0.0
18920201 18920229     4.1
18920301 18920331    35.3
18920401 18920430    22.6
18920501 18920531    69.9
18920601 18920630    51.6
18920701 18920731    51.6
18920801 18920831    99.1
18920901 18920930    70.1
18921001 18921031    28.4
18921101 18921130    13.0
18921201 18921231     0.0
18930101 18930131     1.8
18930201 18930228     1.3
18930301 18930331    51.8
18930401 18930430    55.4
18930501 18930531    57.2
18930601 18930630    24.4
18930701 18930731    89.9
18930801 18930831    51.6
18930901 18930930    63.8
18931001 18931031    56.9
18931101 18931130     9.1
18931201 18931231     7.1
18940101 18940131     0.0
18940201 18940228     8.9
18940301 18940331    31.2
18940401 18940430     2.5
18940501 18940531    33.5
18940601 18940630    95.0
18940701 18940731    65.8
18940801 18940831    67.3
18940901 18940930    30.2
18941001 18941031    27.9
18941101 18941130     3.6
18941201 18941231    25.4
18950101 18950131     1.5
18950201 18950228    75.4
18950301 18950331    48.8
18950401 18950430    18.8
18950501 18950531    10.7
18950601 18950630   165.9
18950701 18950731    93.0
18950801 18950831   184.2
18950901 18950930    72.9
18951001 18951031    11.9
18951101 18951130     1.8
18951201 18951231    25.4
18960101 18960131     1.8
18960201 18960229     0.0
18960301 18960331    67.6
18960401 18960430    25.9
18960501 18960531    17.8
18960601 18960630    78.5
18960701 18960731    75.9
18960801 18960831    33.8
18960901 18960930     4.3
18961001 18961031    14.0
18961101 18961130     0.0
18961201 18961231    19.1
18970101 18970131     1.5
18970201 18970228     6.9
18970301 18970331    41.9
18970401 18970430    22.1
18970501 18970531    74.4
18970601 18970630    73.2
18970701 18970731    48.3
18970801 18970831    54.4
18970901 18970930    45.5
18971001 18971031    28.2
18971101 18971130     8.4
18971201 18971231    18.0
18980101 18980131    12.2
18980201 18980228    24.1
18980301 18980331     1.3
18980401 18980430     7.9
18980501 18980531    56.9
18980601 18980630    71.1
18980701 18980731    93.2
18980801 18980831   111.0
18980901 18980930    23.9
18981001 18981031    66.8
18981101 18981130    18.8
18981201 18981231     2.5
18990101 18990131     1.8
18990201 18990228    45.7
18990301 18990331     1.8
18990401 18990430    34.3
18990501 18990531    29.2
18990601 18990630    94.0
18990701 18990731    73.2
18990801 18990831    44.7
18990901 18990930    53.3
18991001 18991031    67.8
18991101 18991130    25.9
18991201 18991231     1.8
19000101 19000131    31.8
19000201 19000228     1.8
19000301 19000331     5.1
19000401 19000430    16.8
19000501 19000531    36.8
19000601 19000630   153.4
19000701 19000731    78.5
19000801 19000831    84.3
19000901 19000930    48.3
19001001 19001031    51.1
19001101 19001130     3.8
19001201 19001231    29.7
19010101 19010131     1.0
19010201 19010228     0.0
19010301 19010331    25.7
19010401 19010430     9.7
19010501 19010531    65.3
19010601 19010630    51.6
19010701 19010731    50.5
19010801 19010831    73.7
19010901 19010930    27.9
19011001 19011031    22.4
19011101 19011130     9.7
19011201 19011231     8.6
19020101 19020131     1.0
19020201 19020228     1.3
19020301 19020331     1.3
19020401 19020430     1.5
19020501 19020531    86.4
19020601 19020630    41.1
19020701 19020731    96.0
19020801 19020831    32.8
19020901 19020930    81.8
19021001 19021031    54.6
19021101 19021130    11.7
19021201 19021231     5.6
19030101 19030131     1.0
19030201 19030228     0.0
19030301 19030331     2.8
19030401 19030430    80.3
19030501 19030531     9.9
19030601 19030630   146.6
19030701 19030731    72.6
19030801 19030831    76.7
19030901 19030930    98.3
19031001 19031031    45.2
19031101 19031130     6.6
19031201 19031231    12.2
19040101 19040131     0.3
19040201 19040229     0.0
19040301 19040331    65.8
19040401 19040430    15.7
19040501 19040531    56.9
19040601 19040630   121.4
19040701 19040731    86.4
19040801 19040831    68.1
19040901 19040930    60.2
19041001 19041031    72.9
19041101 19041130    11.7
19041201 19041231     8.9
19050101 19050131     0.0
19050201 19050228     7.1
19050301 19050331     0.0
19050401 19050430    38.6
19050501 19050531   136.9
19050601 19050630    65.5
19050701 19050731    88.9
19050801 19050831    50.8
19050901 19050930   118.4
19051001 19051031    48.3
19051101 19051130    17.0
19051201 19051231    19.1
19060101 19060131     6.6
19060201 19060228     3.0
19060301 19060331     1.0
19060401 19060430     6.4
19060501 19060531    60.7
19060601 19060630    85.9
19060701 19060731   118.6
19060801 19060831    74.2
19060901 19060930    76.2
19061001 19061031    17.5
19061101 19061130    20.8
19061201 19061231    11.7
19070101 19070131    10.6
19070201 19070228     4.8
19070301 19070331    14.5
19070401 19070430     9.4
19070501 19070531    81.3
19070601 19070630    74.5
19070701 19070731   132.9
19070801 19070831    91.8
19070901 19070930    69.2
19071001 19071031    24.2
19071101 19071130     8.9
19071201 19071231     1.3
19080101 19080131     2.8
19080201 19080229     2.3
19080301 19080331    20.1
19080401 19080430    45.2
19080501 19080531    63.3
19080601 19080630    91.6
19080701 19080731    92.7
19080801 19080831    29.5
19080901 19080930    17.9
19081001 19081031    25.9
19081101 19081130    17.4
19081201 19081231     4.8
19090101 19090131     9.2
19090201 19090228     5.4
19090301 19090331    23.2
19090401 19090430    34.6
19090501 19090531    81.4
19090601 19090630   102.5
19090701 19090731    36.5
19090801 19090831   140.0
19090901 19090930    76.4
19091001 19091031    34.4
19091101 19091130    13.3
19091201 19091231     1.0
19100101 19100131    14.2
19100201 19100228     4.1
19100301 19100331     0.8
19100401 19100430    33.5
19100501 19100531    82.8
19100601 19100630   141.8
19100701 19100731   125.8
19100801 19100831    62.0
19100901 19100930    41.5
19101001 19101031    16.1
19101101 19101130    33.5
19101201 19101231     2.3
19110101 19110131     0.5
19110201 19110228     3.3
19110301 19110331    10.6
19110401 19110430    39.7
19110501 19110531    30.0
19110601 19110630    45.5
19110701 19110731    92.8
19110801 19110831    52.5
19110901 19110930    30.2
19111001 19111031    36.5
19111101 19111130     1.3
19111201 19111231     4.2
19120101 19120131     0.8
19120201 19120229     8.4
19120301 19120331    17.3
19120401 19120430     9.7
19120501 19120531    45.1
19120601 19120630    39.9
19120701 19120731   134.0
19120801 19120831    52.1
19120901 19120930    91.1
19121001 19121031    25.7
19121101 19121130    15.9
19121201 19121231    25.3
19130101 19130131     5.6
19130201 19130228    10.4
19130301 19130331    11.3
19130401 19130430   131.7
19130501 19130531    26.1
19130601 19130630    96.4
19130701 19130731   103.5
19130801 19130831   131.9
19130901 19130930    43.5
19131001 19131031    29.0
19131101 19131130    18.1
19131201 19131231    61.5
19140101 19140131     0.0
19140201 19140228    79.9
19140301 19140331     4.5
19140401 19140430    29.4
19140501 19140531    28.1
19140601 19140630    72.4
19140701 19140731    69.2
19140801 19140831    27.0
19140901 19140930     8.1
19141001 19141031    54.3
19141101 19141130    49.6
19141201 19141231    13.5
19150101 19150131    57.5
19150201 19150228    41.6
19150301 19150331    15.3
19150401 19150430    16.6
19150501 19150531    77.4
19150601 19150630    82.6
19150701 19150731    90.7
19150801 19150831    77.9
19150901 19150930    83.6
19151001 19151031    55.4
19151101 19151130     3.6
19151201 19151231     0.0
19160101 19160131    22.8
19160201 19160229    27.9
19160301 19160331    22.7
19160401 19160430     4.6
19160501 19160531    56.7
19160601 19160630    73.0
19160701 19160731    97.9
19160801 19160831    95.8
19160901 19160930     3.2
19161001 19161031    43.4
19161101 19161130    26.2
19161201 19161231     0.6
19170101 19170131     3.1
19170201 19170228    20.3
19170301 19170331    24.9
19170401 19170430    52.1
19170501 19170531    89.5
19170601 19170630   151.5
19170701 19170731   136.5
19170801 19170831    88.6
19170901 19170930    98.5
19171001 19171031    53.3
19171101 19171130     0.8
19171201 19171231    18.8
19180101 19180131    50.4
19180201 19180228    42.1
19180301 19180331    18.3
19180401 19180430    29.0
19180501 19180531    85.7
19180601 19180630    95.2
19180701 19180731    36.4
19180801 19180831    77.8
19180901 19180930    57.6
19181001 19181031    38.8
19181101 19181130    16.5
19181201 19181231     1.3
19190101 19190131     5.6
19190201 19190228     0.3
19190301 19190331     8.9
19190401 19190430    71.2
19190501 19190531    32.8
19190601 19190630    76.8
19190701 19190731    88.0
19190801 19190831    70.4
19190901 19190930    38.7
19191001 19191031    35.7
19191101 19191130    17.6
19191201 19191231     4.8
19200101 19200131     3.8
19200201 19200229    38.1
19200301 19200331    25.2
19200401 19200430     6.6
19200501 19200531    82.7
19200601 19200630    94.9
19200701 19200731    70.4
19200801 19200831   134.2
19200901 19200930    34.4
19201001 19201031    15.8
19201101 19201130     3.6
19201201 19201231     1.3
19210101 19210131     9.7
19210201 19210228    23.0
19210301 19210331     6.7
19210401 19210430    10.2
19210501 19210531   139.2
19210601 19210630   105.3
19210701 19210731    81.6
19210801 19210831    54.4
19210901 19210930    46.7
19211001 19211031    51.6
19211101 19211130    22.3
19211201 19211231    19.4
19220101 19220131     3.1
