PRCP       010525 18910101 20171231 missing_value=99999.9 BROOMEHILL POST OFFICE                    
18910101 18910131     0.0
18910201 18910228     0.0
18910301 18910331    25.1
18910401 18910430     6.6
18910501 18910531    62.2
18910601 18910630    69.3
18910701 18910731    30.7
18910801 18910831    48.3
18910901 18910930    45.0
18911001 18911031    19.3
18911101 18911130     0.0
18911201 18911231     5.1
18920101 18920131    12.2
18920201 18920229     5.3
18920301 18920331    61.2
18920401 18920430    16.0
18920501 18920531    56.4
18920601 18920630    50.3
18920701 18920731    32.3
18920801 18920831    70.6
18920901 18920930    40.9
18921001 18921031    32.3
18921101 18921130    20.3
18921201 18921231     1.5
18930101 18930131     1.5
18930201 18930228     7.1
18930301 18930331    47.8
18930401 18930430    52.1
18930501 18930531    51.1
18930601 18930630    31.5
18930701 18930731    72.6
18930801 18930831    38.6
18930901 18930930    78.0
18931001 18931031    35.3
18931101 18931130    11.7
18931201 18931231     3.0
18940101 18940131     0.3
18940201 18940228    19.6
18940301 18940331    58.2
18940401 18940430     2.3
18940501 18940531    38.6
18940601 18940630    59.2
18940701 18940731    56.9
18940801 18940831    48.0
18940901 18940930    27.2
18941001 18941031    29.7
18941101 18941130    11.7
18941201 18941231    18.0
18950101 18950131     3.0
18950201 18950228    82.3
18950301 18950331     3.3
18950401 18950430    35.6
18950501 18950531    15.2
18950601 18950630   112.3
18950701 18950731    65.3
18950801 18950831   115.6
18950901 18950930    75.7
18951001 18951031    16.8
18951101 18951130     8.6
18951201 18951231    13.7
18960101 18960131     2.8
18960201 18960229     0.5
18960301 18960331    58.9
18960401 18960430    13.2
18960501 18960531    25.1
18960601 18960630    59.7
18960701 18960731   110.7
18960801 18960831    37.6
18960901 18960930    10.2
18961001 18961031    19.3
18961101 18961130    11.2
18961201 18961231    15.0
18970101 18970131     0.5
18970201 18970228    12.4
18970301 18970331    13.7
18970401 18970430    23.9
18970501 18970531    53.6
18970601 18970630    79.5
18970701 18970731    42.4
18970801 18970831    47.8
18970901 18970930    47.5
18971001 18971031    16.0
18971101 18971130    17.3
18971201 18971231     6.4
18980101 18980131    25.9
18980201 18980228    13.2
18980301 18980331     1.3
18980401 18980430     2.5
18980501 18980531    19.6
18980601 18980630    87.6
18980701 18980731   129.8
18980801 18980831    70.1
18980901 18980930    35.1
18981001 18981031    58.7
18981101 18981130     5.3
18981201 18981231     4.1
18990101 18990131     3.0
18990201 18990228    66.0
18990301 18990331     9.9
18990401 18990430    47.2
18990501 18990531    58.7
18990601 18990630    74.7
18990701 18990731    71.6
18990801 18990831    43.7
18990901 18990930    72.9
18991001 18991031    64.0
18991101 18991130    33.5
18991201 18991231     3.8
19000101 19000131    36.3
19000201 19000228     0.0
19000301 19000331     4.6
19000401 19000430    13.2
19000501 19000531    41.9
19000601 19000630   100.6
19000701 19000731    74.4
19000801 19000831   104.6
19000901 19000930    38.6
19001001 19001031    58.9
19001101 19001130     1.3
19001201 19001231    17.3
19010101 19010131     1.3
19010201 19010228     2.0
19010301 19010331    32.5
19010401 19010430    14.7
19010501 19010531    61.5
19010601 19010630    53.1
19010701 19010731    54.6
19010801 19010831    54.9
19010901 19010930    33.0
19011001 19011031    17.3
19011101 19011130     7.9
19011201 19011231    16.3
19020101 19020131     1.3
19020201 19020228     2.5
19020301 19020331     2.3
19020401 19020430     2.0
19020501 19020531    69.1
19020601 19020630    28.4
19020701 19020731    98.3
19020801 19020831    54.9
19020901 19020930    82.0
19021001 19021031    55.4
19021101 19021130     7.1
19021201 19021231     3.0
19030101 19030131     3.3
19030201 19030228     0.0
19030301 19030331     5.1
19030401 19030430    82.6
19030501 19030531    25.9
19030601 19030630    92.7
19030701 19030731   105.7
19030801 19030831    95.3
19030901 19030930   211.1
19031001 19031031   164.3
19031101 19031130    46.7
19031201 19031231    48.3
19040101 19040131     2.3
19040201 19040229     2.5
19040301 19040331    51.6
19040401 19040430    18.5
19040501 19040531    39.9
19040601 19040630    80.0
19040701 19040731    73.4
19040801 19040831    70.1
19040901 19040930    62.2
19041001 19041031    60.5
19041101 19041130    10.9
19041201 19041231    30.2
19050101 19050131     3.8
19050201 19050228     1.8
19050301 19050331     2.5
19050401 19050430    53.1
19050501 19050531   103.6
19050601 19050630    77.2
19050701 19050731    72.4
19050801 19050831    35.1
19050901 19050930   103.9
19051001 19051031    68.8
19051101 19051130    12.7
19051201 19051231    18.8
19060101 19060131     3.8
19060201 19060228    63.2
19060301 19060331     6.6
19060401 19060430     9.9
19060501 19060531    48.5
19060601 19060630    73.9
19060701 19060731    83.6
19060801 19060831    58.9
19060901 19060930    73.9
19061001 19061031    19.6
19061101 19061130    15.7
19061201 19061231    24.6
19070101 19070131    21.9
19070201 19070228    11.9
19070301 19070331    15.8
19070401 19070430     5.6
19070501 19070531    89.0
19070601 19070630    62.4
19070701 19070731    82.4
19070801 19070831    81.9
19070901 19070930    65.3
19071001 19071031    31.2
19071101 19071130    18.2
19071201 19071231     0.5
19080101 19080131     0.5
19080201 19080229     1.8
19080301 19080331    16.5
19080401 19080430    23.5
19080501 19080531    78.1
19080601 19080630    66.1
19080701 19080731    76.3
19080801 19080831    41.0
19080901 19080930    20.6
19081001 19081031    25.0
19081101 19081130    15.3
19081201 19081231     6.5
19090101 19090131     7.1
19090201 19090228     9.7
19090301 19090331    30.4
19090401 19090430    43.7
19090501 19090531    54.4
19090601 19090630   133.0
19090701 19090731    46.8
19090801 19090831   114.1
19090901 19090930    39.6
19091001 19091031    34.9
19091101 19091130    14.5
19091201 19091231    12.2
19100101 19100131    10.9
19100201 19100228     7.9
19100301 19100331     0.3
19100401 19100430    42.4
19100501 19100531    77.9
19100601 19100630    96.4
19100701 19100731   105.3
19100801 19100831    49.8
19100901 19100930    31.0
19101001 19101031    48.6
19101101 19101130    29.5
19101201 19101231     1.5
19110101 19110131    10.2
19110201 19110228     3.8
19110301 19110331    33.8
19110401 19110430    23.9
19110501 19110531    20.4
19110601 19110630    32.8
19110701 19110731    79.1
19110801 19110831    45.5
19110901 19110930    32.3
19111001 19111031    42.0
19111101 19111130     0.0
19111201 19111231     7.1
19120101 19120131     0.0
19120201 19120229     0.3
19120301 19120331    21.1
19120401 19120430    16.0
19120501 19120531    39.8
19120601 19120630    44.4
19120701 19120731   121.7
19120801 19120831    23.6
19120901 19120930    90.0
19121001 19121031    33.5
19121101 19121130    22.2
19121201 19121231    13.2
19130101 19130131    10.7
19130201 19130228     3.8
19130301 19130331    19.3
19130401 19130430   163.3
19130501 19130531    17.5
19130601 19130630    59.8
19130701 19130731   113.4
19130801 19130831   116.4
19130901 19130930    44.9
19131001 19131031    20.3
19131101 19131130    11.4
19131201 19131231    53.6
19140101 19140131     0.0
19140201 19140228    65.2
19140301 19140331    10.2
19140401 19140430    16.5
19140501 19140531    21.3
19140601 19140630    42.4
19140701 19140731    59.7
19140801 19140831    20.7
19140901 19140930     6.8
19141001 19141031    49.8
19141101 19141130    56.3
19141201 19141231    14.0
19150101 19150131    29.7
19150201 19150228    54.8
19150301 19150331    17.2
19150401 19150430     4.3
19150501 19150531    61.0
19150601 19150630    72.6
19150701 19150731    77.7
19150801 19150831    65.0
19150901 19150930    66.3
19151001 19151031    31.0
19151101 19151130     7.6
19151201 19151231     0.0
19160101 19160131    14.0
19160201 19160229    23.1
19160301 19160331     9.9
19160401 19160430     3.6
19160501 19160531    40.3
19160601 19160630    47.3
19160701 19160731    90.6
19160801 19160831    74.7
19160901 19160930     2.7
19161001 19161031    45.6
19161101 19161130    39.4
19161201 19161231     0.5
19170101 19170131    10.0
19170201 19170228    13.3
19170301 19170331    27.4
19170401 19170430    46.4
19170501 19170531    84.3
19170601 19170630   148.1
19170701 19170731   101.7
19170801 19170831    77.5
19170901 19170930    88.9
19171001 19171031    39.7
19171101 19171130     0.0
19171201 19171231    14.4
19180101 19180131    74.1
19180201 19180228    43.7
19180301 19180331    47.5
19180401 19180430    38.5
19180501 19180531    77.1
19180601 19180630    81.6
19180701 19180731    23.0
19180801 19180831    64.1
19180901 19180930    47.2
19181001 19181031    28.3
19181101 19181130    21.3
19181201 19181231     0.3
19190101 19190131     7.1
19190201 19190228     1.8
19190301 19190331    13.8
19190401 19190430    80.5
19190501 19190531    19.8
19190601 19190630    53.2
19190701 19190731    72.0
19190801 19190831    59.1
19190901 19190930    25.7
19191001 19191031    45.0
19191101 19191130    16.4
19191201 19191231     8.0
19200101 19200131     7.1
19200201 19200229    13.7
19200301 19200331    19.6
19200401 19200430     3.0
19200501 19200531    66.3
19200601 19200630    81.4
19200701 19200731    52.4
19200801 19200831    99.9
19200901 19200930    38.1
19201001 19201031    17.2
19201101 19201130     3.2
19201201 19201231     0.0
19210101 19210131     9.0
19210201 19210228    27.3
19210301 19210331     3.0
19210401 19210430     6.1
19210501 19210531   137.1
19210601 19210630    43.4
19210701 19210731    54.5
19210801 19210831    50.9
19210901 19210930    50.6
19211001 19211031    46.9
19211101 19211130    14.1
19211201 19211231    12.7
19220101 19220131     1.8
