PRCP       010536 19100101 20171231 missing_value=99999.9 CORRIGIN                                  
19100101 19100131     0.0
19100201 19100228    11.1
19100301 19100331     0.0
19100401 19100430    27.0
19100501 19100531    74.6
19100601 19100630    89.2
19100701 19100731    84.7
19100801 19100831    36.8
19100901 19100930    25.2
19101001 19101031    14.5
19101101 19101130     6.9
19101201 19101231     1.3
19110101 19110131    18.6
19110201 19110228     3.0
19110301 19110331     6.6
19110401 19110430    37.9
19110501 19110531    21.9
19110601 19110630    44.1
19110701 19110731    65.1
19110801 19110831    27.9
19110901 19110930    21.5
19111001 19111031    17.3
19111101 19111130     0.0
19111201 19111231     3.6
19120101 19120131    16.0
19120201 19120229     2.5
19120301 19120331     9.7
19120401 19120430     7.2
19120501 19120531    43.1
19120601 19120630    16.6
19120701 19120731   124.1
19120801 19120831    21.8
19120901 19120930    57.0
19121001 19121031    12.2
19121101 19121130    12.2
19121201 19121231    15.5
19130101 19130131     5.3
19130201 19130228     1.5
19130301 19130331     3.0
19130401 19130430    19.3
19130501 19130531    18.3
19130601 19130630    59.3
19130701 19130731    46.3
19130801 19130831    66.8
19130901 19130930    39.1
19131001 19131031    26.3
19131101 19131130    95.8
19131201 19131231   105.6
19140101 19140131     2.0
19140201 19140228     4.0
19140301 19140331     6.6
19140401 19140430     3.5
19140501 19140531     6.9
19140601 19140630    25.6
19140701 19140731    47.1
19140801 19140831    25.6
19140901 19140930     3.2
19141001 19141031    35.6
19141101 19141130    27.9
19141201 19141231    26.4
19150101 19150131    56.1
19150201 19150228    55.8
19150301 19150331    20.9
19150401 19150430     5.0
19150501 19150531    61.3
19150601 19150630    72.2
19150701 19150731    65.5
19150801 19150831   109.8
19150901 19150930    45.5
19151001 19151031    30.6
19151101 19151130     0.8
19151201 19151231     3.1
19160101 19160131    69.6
19160201 19160229    11.0
19160301 19160331     6.4
19160401 19160430     1.1
19160501 19160531    53.0
19160601 19160630    59.8
19160701 19160731    67.6
19160801 19160831    93.2
19160901 19160930     6.3
19161001 19161031    45.4
19161101 19161130    21.6
19161201 19161231     0.5
19170101 19170131     1.8
19170201 19170228     1.5
19170301 19170331    71.3
19170401 19170430    39.8
19170501 19170531    64.1
19170601 19170630   117.8
19170701 19170731   119.6
19170801 19170831    97.2
19170901 19170930    73.5
19171001 19171031    37.6
19171101 19171130     2.8
19171201 19171231     6.9
19180101 19180131     5.8
19180201 19180228    25.9
19180301 19180331    17.6
19180401 19180430    21.3
19180501 19180531    40.3
19180601 19180630   130.5
19180701 19180731    35.1
19180801 19180831    78.6
19180901 19180930    48.1
19181001 19181031    60.3
19181101 19181130    14.5
19181201 19181231     0.0
19190101 19190131     2.5
19190201 19190228     3.5
19190301 19190331    15.3
19190401 19190430    98.3
19190501 19190531     9.2
19190601 19190630    34.3
19190701 19190731    65.4
19190801 19190831    61.2
19190901 19190930    41.6
19191001 19191031    33.6
19191101 19191130    34.4
19191201 19191231     4.8
19200101 19200131     6.6
19200201 19200229    18.6
19200301 19200331    36.4
19200401 19200430     7.1
19200501 19200531    66.5
19200601 19200630    99.6
19200701 19200731    45.9
19200801 19200831    71.7
19200901 19200930    18.5
19201001 19201031     4.8
19201101 19201130    13.0
19201201 19201231     0.0
19210101 19210131     1.5
19210201 19210228    36.5
19210301 19210331     6.1
19210401 19210430     0.0
19210501 19210531   156.5
19210601 19210630    44.0
19210701 19210731    54.2
19210801 19210831    39.9
19210901 19210930    35.8
19211001 19211031    47.8
19211101 19211130     1.3
19211201 19211231    80.9
19220101 19220131     0.0
19220201 19220228    26.1
19220301 19220331     2.3
19220401 19220430    15.2
19220501 19220531    58.1
19220601 19220630    15.3
19220701 19220731    86.1
19220801 19220831    39.2
19220901 19220930    22.2
19221001 19221031     4.3
19221101 19221130     6.4
19221201 19221231    11.4
19230101 19230131    18.3
19230201 19230228    11.7
19230301 19230331    11.7
19230401 19230430    49.1
19230501 19230531    50.9
