PRCP       010537 18910101 20180131 missing_value=99999.9 CRANBROOK                                 
18910101 18910131    12.7
18910201 18910228     0.0
18910301 18910331    43.9
18910401 18910430     6.6
18910501 18910531    53.6
18910601 18910630    56.4
18910701 18910731    34.8
18910801 18910831    46.0
18910901 18910930    41.1
18911001 18911031    23.6
18911101 18911130     1.8
18911201 18911231     7.9
18920101 18920131    11.2
18920201 18920229     7.1
18920301 18920331    73.2
18920401 18920430    18.5
18920501 18920531    51.8
18920601 18920630    66.5
18920701 18920731    26.9
18920801 18920831    85.9
18920901 18920930    59.2
18921001 18921031    39.9
18921101 18921130    16.8
18921201 18921231     0.0
18930101 18930131     1.3
18930201 18930228     1.5
18930301 18930331    27.2
18930401 18930430    29.2
18930501 18930531    42.7
18930601 18930630    33.3
18930701 18930731    68.3
18930801 18930831    56.4
18930901 18930930    88.4
18931001 18931031    46.5
18931101 18931130    32.8
18931201 18931231    42.4
18940101 18940131     1.3
18940201 18940228     8.4
18940301 18940331    14.7
18940401 18940430     1.0
18940501 18940531    79.5
18940601 18940630    46.2
18940701 18940731    53.3
18940801 18940831    66.0
18940901 18940930    39.4
18941001 18941031    23.1
18941101 18941130     8.9
18941201 18941231    29.7
18950101 18950131     6.9
18950201 18950228    86.9
18950301 18950331     2.8
18950401 18950430    35.8
18950501 18950531    17.8
18950601 18950630   100.6
18950701 18950731    83.1
18950801 18950831   105.2
18950901 18950930    76.5
18951001 18951031    20.1
18951101 18951130    14.7
18951201 18951231    19.6
18960101 18960131     6.4
18960201 18960229     1.8
18960301 18960331    66.3
18960401 18960430    22.6
18960501 18960531    32.5
18960601 18960630    59.7
18960701 18960731   101.1
18960801 18960831    30.5
18960901 18960930    14.7
18961001 18961031    18.5
18961101 18961130    15.7
18961201 18961231    49.3
18970101 18970131     0.0
18970201 18970228    10.2
18970301 18970331     3.3
18970401 18970430    58.4
18970501 18970531    46.7
18970601 18970630    68.6
18970701 18970731    42.4
18970801 18970831    50.3
18970901 18970930    25.7
18971001 18971031    11.2
18971101 18971130    26.7
18971201 18971231     5.8
18980101 18980131    31.8
18980201 18980228    21.1
18980301 18980331     4.1
18980401 18980430    12.2
18980501 18980531    35.1
18980601 18980630    68.1
18980701 18980731   143.3
18980801 18980831    77.2
18980901 18980930    21.6
18981001 18981031    76.2
18981101 18981130     9.1
18981201 18981231     3.6
18990101 18990131     3.3
18990201 18990228    46.5
18990301 18990331    12.7
18990401 18990430    39.4
18990501 18990531    40.9
18990601 18990630    42.7
18990701 18990731    64.3
18990801 18990831    56.4
18990901 18990930    39.6
18991001 18991031    60.7
18991101 18991130    22.6
18991201 18991231     8.1
19000101 19000131    36.1
19000201 19000228     0.0
19000301 19000331     5.6
19000401 19000430    17.5
19000501 19000531    39.9
19000601 19000630   109.7
19000701 19000731    59.2
19000801 19000831    68.6
19000901 19000930    58.4
19001001 19001031    66.5
19001101 19001130     3.6
19001201 19001231    17.8
19010101 19010131     3.8
19010201 19010228     2.5
19010301 19010331    35.1
19010401 19010430    20.6
19010501 19010531    36.1
19010601 19010630    64.5
19010701 19010731    56.4
19010801 19010831    75.4
19010901 19010930    31.2
19011001 19011031    27.4
19011101 19011130     9.7
19011201 19011231    26.7
19020101 19020131     0.0
19020201 19020228     1.5
19020301 19020331     4.6
