PRCP       010541 19070101 20180131 missing_value=99999.9 NYERILUP                                  
19070101 19070131    12.4
19070201 19070228    15.4
19070301 19070331    35.9
19070401 19070430     2.3
19070501 19070531    57.5
19070601 19070630    54.7
19070701 19070731    70.5
19070801 19070831    36.5
19070901 19070930    68.9
19071001 19071031     0.0
19071101 19071130     5.1
19071201 19071231     0.8
19080101 19080131     0.0
19080201 19080229     0.0
19080301 19080331    16.0
19080401 19080430    63.5
19080501 19080531    75.2
19080601 19080630    95.3
19080701 19080731    44.5
19080801 19080831    35.0
19080901 19080930    12.0
19081001 19081031     9.0
19081101 19081130    11.4
19081201 19081231     0.0
19090101 19090131     0.0
19090201 19090228    15.2
19090301 19090331    13.5
19090401 19090430    39.3
19090501 19090531    46.4
19090601 19090630    32.6
19090701 19090731     9.2
19090801 19090831    85.6
19090901 19090930    33.6
19091001 19091031    19.9
19091101 19091130    15.7
19091201 19091231     0.0
19100101 19100131     5.2
19100201 19100228     8.2
19100301 19100331     3.4
19100401 19100430    38.2
19100501 19100531    75.9
19100601 19100630    35.6
19100701 19100731    68.6
19100801 19100831    48.3
19100901 19100930    15.2
19101001 19101031    51.6
19101101 19101130     7.6
19101201 19101231     0.0
19110101 19110131     0.0
19110201 19110228    12.7
19110301 19110331     0.0
19110401 19110430    22.9
19110501 19110531    47.3
19110601 19110630    24.6
19110701 19110731    65.5
19110801 19110831    25.9
19110901 19110930    29.2
19111001 19111031    56.6
19111101 19111130     0.0
19111201 19111231     7.4
19120101 19120131     0.0
19120201 19120229    13.7
19120301 19120331     6.4
19120401 19120430    28.4
19120501 19120531    22.3
19120601 19120630     5.6
19120701 19120731   144.7
19120801 19120831    10.6
19120901 19120930    23.9
19121001 19121031    25.4
19121101 19121130    24.1
19121201 19121231    11.9
19130101 19130131    10.2
19130201 19130228     5.1
19130301 19130331     8.9
19130401 19130430    74.3
19130501 19130531    15.2
19130601 19130630     8.7
19130701 19130731    73.0
19130801 19130831    50.6
19130901 19130930    51.9
19131001 19131031    14.2
19131101 19131130    10.2
19131201 19131231    88.4
19140101 19140131     0.0
19140201 19140228    21.1
19140301 19140331     9.7
19140401 19140430    24.3
19140501 19140531    16.0
19140601 19140630     4.8
19140701 19140731    62.6
19140801 19140831    10.1
19140901 19140930     0.0
19141001 19141031    75.9
19141101 19141130    47.5
19141201 19141231    32.2
19150101 19150131    24.9
19150201 19150228    55.9
19150301 19150331     0.0
19150401 19150430     5.8
19150501 19150531    56.9
19150601 19150630    39.6
19150701 19150731    47.8
19150801 19150831    42.1
19150901 19150930    62.2
19151001 19151031    20.8
19151101 19151130     2.0
19151201 19151231     1.3
19160101 19160131    20.7
19160201 19160229    13.4
19160301 19160331    52.6
19160401 19160430     5.1
19160501 19160531    36.0
19160601 19160630    31.8
19160701 19160731    72.2
19160801 19160831    63.8
19160901 19160930     2.8
19161001 19161031    60.3
19161101 19161130    47.1
19161201 19161231     1.3
19170101 19170131    34.4
19170201 19170228    18.3
19170301 19170331    47.0
19170401 19170430    46.8
19170501 19170531    78.4
19170601 19170630    84.2
19170701 19170731    47.6
19170801 19170831    50.5
19170901 19170930    46.9
19171001 19171031    24.1
19171101 19171130     0.6
19171201 19171231     4.7
19180101 19180131    45.6
19180201 19180228    62.7
19180301 19180331    19.6
19180401 19180430    45.1
19180501 19180531    61.3
19180601 19180630    33.4
19180701 19180731    15.3
19180801 19180831    63.0
19180901 19180930    25.7
19181001 19181031    20.3
19181101 19181130    24.9
19181201 19181231     0.5
19190101 19190131     5.1
19190201 19190228     1.9
19190301 19190331    16.0
19190401 19190430   166.9
19190501 19190531    13.4
19190601 19190630    24.2
19190701 19190731    58.5
19190801 19190831    44.7
19190901 19190930    22.2
19191001 19191031    28.8
19191101 19191130    23.9
19191201 19191231    11.2
19200101 19200131     1.1
19200201 19200229    14.2
19200301 19200331    91.6
19200401 19200430    19.1
19200501 19200531    55.0
19200601 19200630    67.8
19200701 19200731    55.0
19200801 19200831    69.8
19200901 19200930    27.0
19201001 19201031    19.0
19201101 19201130    11.3
19201201 19201231     1.5
19210101 19210131    13.0
19210201 19210228    23.2
19210301 19210331    12.7
19210401 19210430     5.9
19210501 19210531    87.7
19210601 19210630    36.7
19210701 19210731    60.3
19210801 19210831    19.2
19210901 19210930    50.0
19211001 19211031    59.5
19211101 19211130    13.8
19211201 19211231    34.8
19220101 19220131     0.0
19220201 19220228    12.5
19220301 19220331    19.0
19220401 19220430    44.8
19220501 19220531    55.1
19220601 19220630    41.0
19220701 19220731    54.9
19220801 19220831    51.1
19220901 19220930    25.7
19221001 19221031    12.4
19221101 19221130    14.2
19221201 19221231    11.5
19230101 19230131     6.9
19230201 19230228    12.5
19230301 19230331    14.6
19230401 19230430    24.4
19230501 19230531    56.2
19230601 19230630   106.0
19230701 19230731    22.6
19230801 19230831    18.8
19230901 19230930    50.8
19231001 19231031     6.9
19231101 19231130     0.0
19231201 19231231    15.7
19240101 19240131     0.0
19240201 19240229     7.3
19240301 19240331     0.8
19240401 19240430    22.9
19240501 19240531    94.1
19240601 19240630    31.9
19240701 19240731    22.8
19240801 19240831    50.4
19240901 19240930    40.3
19241001 19241031    68.5
19241101 19241130    27.5
19241201 19241231     7.3
19250101 19250131    25.6
19250201 19250228    52.2
19250301 19250331    63.5
19250401 19250430    25.7
19250501 19250531    56.6
19250601 19250630    47.8
19250701 19250731    42.5
19250801 19250831    12.3
19250901 19250930    38.8
19251001 19251031    46.2
19251101 19251130     3.0
19251201 19251231    43.2
19260101 19260131     0.6
19260201 19260228    23.8
19260301 19260331   114.2
19260401 19260430    44.5
19260501 19260531    33.7
19260601 19260630    29.9
19260701 19260731    98.0
19260801 19260831    34.9
19260901 19260930    32.3
19261001 19261031    26.2
19261101 19261130    20.8
19261201 19261231    35.9
19270101 19270131    10.4
19270201 19270228     1.8
19270301 19270331    45.8
19270401 19270430    16.5
19270501 19270531    26.6
19270601 19270630    51.7
19270701 19270731    34.5
19270801 19270831    22.6
19270901 19270930    68.4
19271001 19271031    85.0
19271101 19271130     4.1
19271201 19271231    30.7
19280101 19280131    48.1
19280201 19280229     0.3
19280301 19280331     5.6
19280401 19280430    13.0
19280501 19280531    38.2
19280601 19280630    23.9
19280701 19280731    79.0
19280801 19280831    44.2
