PRCP       010582 18850101 20180131 missing_value=99999.9 KOJONUP                                   
18850101 18850131     0.0
18850201 18850228     0.0
18850301 18850331     0.0
18850401 18850430    43.9
18850501 18850531   125.5
18850601 18850630    53.1
18850701 18850731    57.9
18850801 18850831   101.9
18850901 18850930    35.1
18851001 18851031    38.6
18851101 18851130     8.1
18851201 18851231    18.5
18860101 18860131     1.3
18860201 18860228    31.0
18860301 18860331    10.7
18860401 18860430    25.9
18860501 18860531    50.8
18860601 18860630    35.8
18860701 18860731   104.9
18860801 18860831   137.2
18860901 18860930    65.3
18861001 18861031    23.4
18861101 18861130    38.9
18861201 18861231     1.0
18870101 18870131     4.6
18870201 18870228    17.0
18870301 18870331    38.1
18870401 18870430    36.6
18870501 18870531    58.9
18870601 18870630    85.6
18870701 18870731    90.9
18870801 18870831    91.7
18870901 18870930    63.2
18871001 18871031    29.2
18871101 18871130    27.2
18871201 18871231     8.4
18880101 18880131     0.8
18880201 18880229     2.5
18880301 18880331     7.9
18880401 18880430    29.5
18880501 18880531    54.1
18880601 18880630    86.9
18880701 18880731    57.2
18880801 18880831    87.1
18880901 18880930   101.9
18881001 18881031    43.4
18881101 18881130    92.7
18881201 18881231    51.1
18890101 18890131     4.6
18890201 18890228    12.7
18890301 18890331    12.4
18890401 18890430    62.2
18890501 18890531    57.2
18890601 18890630    62.7
18890701 18890731    36.3
18890801 18890831    51.8
18890901 18890930    43.7
18891001 18891031    57.2
18891101 18891130    22.1
18891201 18891231     8.6
18900101 18900131     1.8
18900201 18900228    23.4
18900301 18900331     0.8
18900401 18900430     0.0
18900501 18900531    94.0
18900601 18900630    65.3
18900701 18900731    46.7
18900801 18900831    61.0
18900901 18900930    76.7
18901001 18901031    83.8
18901101 18901130    21.8
18901201 18901231    38.6
18910101 18910131     0.0
18910201 18910228     0.0
18910301 18910331    30.7
18910401 18910430     5.3
18910501 18910531    68.6
18910601 18910630    70.9
18910701 18910731    49.5
18910801 18910831    72.1
18910901 18910930    54.1
18911001 18911031    33.0
18911101 18911130     0.0
18911201 18911231     9.9
18920101 18920131     8.9
18920201 18920229     8.1
18920301 18920331    57.4
18920401 18920430    35.8
18920501 18920531    48.0
18920601 18920630    65.3
18920701 18920731    51.6
18920801 18920831    86.9
18920901 18920930    58.7
18921001 18921031    35.1
18921101 18921130    19.8
18921201 18921231     0.0
18930101 18930131     4.8
18930201 18930228     2.3
18930301 18930331    34.5
18930401 18930430    48.3
18930501 18930531    78.0
18930601 18930630    35.6
18930701 18930731    68.8
18930801 18930831    88.9
