PRCP       010592 19080801 20120831 missing_value=99999.9 LAKE GRACE POST OFFICE                    
19080801 19080831    18.3
19080901 19080930    21.4
19081001 19081031    24.3
19081101 19081130     6.8
19081201 19081231     3.5
19090101 19090131     9.0
19090201 19090228     0.0
19090301 19090331    12.0
19090401 19090430    47.1
19090501 19090531    32.9
19090601 19090630    55.6
19090701 19090731    26.0
19090801 19090831    76.6
19090901 19090930    41.4
19091001 19091031    19.0
19091101 19091130     7.2
19091201 19091231     0.8
19100101 19100131     5.9
19100201 19100228     2.9
19100301 19100331     1.2
19100401 19100430    25.3
19100501 19100531    69.6
19100601 19100630    67.6
19100701 19100731    79.4
19100801 19100831    51.3
19100901 19100930    16.8
19101001 19101031    36.4
19101101 19101130    21.6
19101201 19101231     1.1
19110101 19110131    18.2
19110201 19110228     1.2
19110301 19110331    23.1
19110401 19110430    20.2
19110501 19110531    17.7
19110601 19110630    32.2
19110701 19110731    54.9
19110801 19110831    33.7
19110901 19110930    22.1
19111001 19111031    20.3
19111101 19111130     0.0
19111201 19111231     5.4
19120101 19120131     2.4
19120201 19120229     0.2
19120301 19120331     7.7
19120401 19120430    11.4
19120501 19120531    32.6
19120601 19120630    31.0
19120701 19120731    80.6
19120801 19120831    22.8
19120901 19120930    40.1
19121001 19121031    24.7
19121101 19121130     3.3
19121201 19121231    19.8
19130101 19130131    16.3
19130201 19130228    18.5
19130301 19130331    12.3
19130401 19130430    29.0
19130501 19130531    14.8
19130601 19130630    37.0
19130701 19130731    32.1
19130801 19130831    54.1
19130901 19130930    38.4
19131001 19131031    14.7
19131101 19131130    16.2
19131201 19131231    70.2
19140101 19140131     0.0
19140201 19140228     3.8
19140301 19140331     6.6
19140401 19140430    17.7
19140501 19140531     7.7
19140601 19140630    28.7
19140701 19140731    45.1
19140801 19140831    16.2
19140901 19140930     2.7
19141001 19141031    38.1
19141101 19141130    48.6
19141201 19141231    66.6
19150101 19150131    15.9
19150201 19150228    59.3
19150301 19150331    17.3
