PRCP       010636 19061001 20121231 missing_value=99999.9 THE OAKS                                  
19061001 19061031    14.7
19061101 19061130    23.9
19061201 19061231    17.8
19070101 19070131     8.9
19070201 19070228    13.5
19070301 19070331    12.4
19070401 19070430    14.5
19070501 19070531    54.8
19070601 19070630    49.7
19070701 19070731   100.7
19070801 19070831    79.8
19070901 19070930    48.4
19071001 19071031    14.2
19071101 19071130     9.7
19071201 19071231     0.0
19080101 19080131     0.8
19080201 19080229     0.8
19080301 19080331    17.8
19080401 19080430    26.9
19080501 19080531    83.3
19080601 19080630    57.2
19080701 19080731    57.4
19080801 19080831    25.2
19080901 19080930    26.4
19081001 19081031    17.3
19081101 19081130    10.1
19081201 19081231     0.0
19090101 19090131     0.0
19090201 19090228     0.0
19090301 19090331    17.5
19090401 19090430    49.1
19090501 19090531    37.8
19090601 19090630    87.8
19090701 19090731    17.5
19090801 19090831   101.8
19090901 19090930    51.8
19091001 19091031    26.2
19091101 19091130     0.0
19091201 19091231     0.0
19100101 19100131     0.0
19100201 19100228     0.0
19100301 19100331     0.0
19100401 19100430    26.4
19100501 19100531    67.6
19100601 19100630    72.7
19100701 19100731    90.9
19100801 19100831    79.5
19100901 19100930    21.4
19101001 19101031    18.7
19101101 19101130    18.1
19101201 19101231     0.0
19110101 19110131     9.7
19110201 19110228     0.0
19110301 19110331     8.7
19110401 19110430    30.5
19110501 19110531    24.4
19110601 19110630    46.0
19110701 19110731    60.5
19110801 19110831    33.1
19110901 19110930    20.1
19111001 19111031    51.3
19111101 19111130     0.0
19111201 19111231     6.6
19120101 19120131     3.1
19120201 19120229     4.4
19120301 19120331     3.0
19120401 19120430     0.0
19120501 19120531    27.6
19120601 19120630    31.0
19120701 19120731   123.1
19120801 19120831    29.0
19120901 19120930    41.9
19121001 19121031    24.4
19121101 19121130     4.8
19121201 19121231     9.5
19130101 19130131     0.0
19130201 19130228     8.2
19130301 19130331     7.1
19130401 19130430   109.3
19130501 19130531    15.3
19130601 19130630    64.5
19130701 19130731    48.2
19130801 19130831    80.5
