PRCP       010658 19040801 20171231 missing_value=99999.9 WONNAMINTA                                
19040801 19040831    80.0
19040901 19040930    56.6
19041001 19041031    54.4
19041101 19041130     9.4
19041201 19041231    20.1
19050101 19050131     0.0
19050201 19050228     3.3
19050301 19050331     2.5
19050401 19050430    38.1
19050501 19050531   142.7
19050601 19050630    63.8
19050701 19050731    90.4
19050801 19050831    45.5
19050901 19050930   114.3
19051001 19051031    52.8
19051101 19051130    14.0
19051201 19051231    29.5
19060101 19060131     4.6
19060201 19060228     3.6
19060301 19060331     3.6
19060401 19060430    10.2
19060501 19060531    47.5
19060601 19060630   110.0
19060701 19060731   127.5
19060801 19060831    81.0
19060901 19060930    72.6
19061001 19061031    19.3
19061101 19061130     8.6
19061201 19061231    13.2
19070101 19070131    24.9
19070201 19070228    12.9
19070301 19070331    19.9
19070401 19070430    10.4
19070501 19070531    89.4
19070601 19070630    76.1
19070701 19070731   151.9
19070801 19070831   119.9
19070901 19070930    59.4
19071001 19071031    33.2
19071101 19071130     8.5
19071201 19071231     1.1
19080101 19080131     1.9
19080201 19080229     3.7
19080301 19080331    10.8
19080401 19080430    42.7
19080501 19080531    93.0
19080601 19080630    92.4
19080701 19080731   102.1
19080801 19080831    46.5
19080901 19080930    25.2
19081001 19081031    17.3
19081101 19081130    10.0
19081201 19081231     1.8
19090101 19090131     5.8
19090201 19090228     0.3
19090301 19090331    32.5
19090401 19090430    31.8
19090501 19090531    67.3
19090601 19090630    87.8
19090701 19090731    33.8
19090801 19090831   135.2
19090901 19090930    65.8
19091001 19091031    32.4
19091101 19091130    11.9
19091201 19091231     2.1
19100101 19100131     5.3
19100201 19100228     1.8
19100301 19100331     0.0
19100401 19100430    28.8
19100501 19100531   113.8
19100601 19100630   165.7
19100701 19100731   127.4
19100801 19100831    53.8
19100901 19100930    40.8
19101001 19101031    19.6
19101101 19101130    42.2
19101201 19101231     2.4
19110101 19110131    21.1
19110201 19110228     0.3
19110301 19110331     9.2
19110401 19110430    54.4
19110501 19110531    30.3
19110601 19110630    65.2
19110701 19110731    64.6
19110801 19110831    45.9
19110901 19110930    34.8
19111001 19111031    47.7
19111101 19111130     0.5
19111201 19111231     0.6
19120101 19120131     0.0
19120201 19120229     1.1
19120301 19120331     2.6
19120401 19120430     8.8
19120501 19120531    70.0
19120601 19120630    36.6
19120701 19120731   137.7
19120801 19120831    46.2
19120901 19120930   107.4
19121001 19121031    17.9
19121101 19121130     5.3
19121201 19121231    71.6
19130101 19130131     3.1
19130201 19130228     6.6
19130301 19130331     7.9
19130401 19130430    21.7
19130501 19130531    20.8
19130601 19130630   101.1
19130701 19130731   107.7
19130801 19130831   108.7
19130901 19130930    35.3
19131001 19131031    32.6
19131101 19131130    19.6
19131201 19131231    56.0
19140101 19140131     0.0
19140201 19140228    43.1
19140301 19140331     0.9
19140401 19140430    13.3
19140501 19140531    19.6
19140601 19140630    55.1
19140701 19140731    67.8
19140801 19140831    23.4
19140901 19140930     6.9
19141001 19141031    36.7
19141101 19141130    33.1
19141201 19141231    29.6
19150101 19150131    26.7
19150201 19150228    87.0
19150301 19150331    21.7
19150401 19150430    30.5
19150501 19150531    86.3
19150601 19150630   102.1
19150701 19150731    92.0
19150801 19150831    99.2
19150901 19150930    67.9
19151001 19151031    42.9
19151101 19151130     2.3
19151201 19151231     0.8
19160101 19160131    43.2
19160201 19160229    31.2
19160301 19160331    24.2
19160401 19160430     6.6
19160501 19160531    42.6
19160601 19160630    90.2
19160701 19160731    92.6
19160801 19160831   103.4
19160901 19160930     0.8
19161001 19161031    49.6
19161101 19161130    39.3
19161201 19161231     0.0
19170101 19170131     0.0
19170201 19170228     4.9
19170301 19170331    14.6
19170401 19170430    38.1
19170501 19170531    73.4
19170601 19170630   142.2
19170701 19170731   158.5
19170801 19170831    74.8
19170901 19170930   132.2
19171001 19171031    67.2
19171101 19171130     0.0
19171201 19171231    15.9
19180101 19180131    15.5
19180201 19180228    40.0
19180301 19180331    30.7
19180401 19180430    55.1
19180501 19180531    82.0
19180601 19180630   145.4
19180701 19180731    43.9
19180801 19180831    84.6
19180901 19180930    69.1
19181001 19181031    39.9
19181101 19181130     9.2
19181201 19181231     0.0
19190101 19190131    13.7
19190201 19190228     2.5
19190301 19190331    16.5
19190401 19190430    81.2
19190501 19190531    25.3
19190601 19190630    71.8
19190701 19190731   110.5
19190801 19190831    91.5
19190901 19190930    25.3
19191001 19191031    31.1
19191101 19191130    32.7
19191201 19191231     1.8
19200101 19200131     0.8
19200201 19200229     8.9
19200301 19200331     9.7
19200401 19200430    11.2
19200501 19200531   103.7
19200601 19200630   101.3
19200701 19200731    76.8
19200801 19200831   161.7
19200901 19200930    33.3
19201001 19201031    24.2
19201101 19201130    19.4
19201201 19201231     1.1
19210101 19210131     0.0
19210201 19210228    32.9
19210301 19210331     5.3
19210401 19210430    10.9
19210501 19210531   115.1
19210601 19210630    79.0
19210701 19210731   136.7
19210801 19210831    40.6
19210901 19210930    56.1
19211001 19211031    77.6
19211101 19211130    13.0
19211201 19211231    15.8
19220101 19220131     0.3
19220201 19220228    22.9
19220301 19220331    36.7
19220401 19220430    28.0
19220501 19220531    84.4
19220601 19220630    32.9
19220701 19220731   123.6
19220801 19220831    70.1
19220901 19220930    45.3
19221001 19221031    12.6
19221101 19221130    16.9
19221201 19221231    32.8
19230101 19230131    35.4
19230201 19230228     0.5
19230301 19230331    26.2
19230401 19230430    57.0
19230501 19230531    94.3
19230601 19230630   201.3
19230701 19230731    67.4
19230801 19230831    49.8
19230901 19230930   126.3
19231001 19231031    32.4
19231101 19231130     0.5
19231201 19231231    12.5
19240101 19240131     1.5
19240201 19240229     2.3
19240301 19240331     0.8
19240401 19240430     4.1
19240501 19240531    86.6
19240601 19240630    77.5
19240701 19240731    77.7
19240801 19240831   125.1
19240901 19240930    35.2
19241001 19241031    80.4
19241101 19241130    22.3
19241201 19241231     3.0
19250101 19250131    25.6
19250201 19250228     5.8
19250301 19250331    20.7
19250401 19250430     5.1
19250501 19250531    52.6
19250601 19250630    49.3
19250701 19250731    67.7
19250801 19250831    17.3
19250901 19250930    43.0
19251001 19251031    30.2
19251101 19251130     1.8
19251201 19251231    28.4
19260101 19260131     2.3
19260201 19260228     5.4
19260301 19260331    55.5
19260401 19260430    57.2
19260501 19260531    73.9
19260601 19260630    89.0
19260701 19260731   183.0
19260801 19260831    44.0
19260901 19260930    64.7
19261001 19261031    68.2
19261101 19261130    16.7
19261201 19261231     0.3
19270101 19270131     4.6
19270201 19270228     0.0
19270301 19270331    71.0
19270401 19270430    12.7
19270501 19270531    40.5
19270601 19270630   162.6
19270701 19270731    97.9
19270801 19270831    55.7
19270901 19270930    53.9
19271001 19271031    53.4
19271101 19271130     9.7
19271201 19271231    28.8
19280101 19280131    12.7
19280201 19280229     0.0
19280301 19280331     2.6
19280401 19280430    34.1
19280501 19280531    65.9
19280601 19280630    45.2
19280701 19280731   193.6
19280801 19280831   101.9
19280901 19280930    64.1
19281001 19281031    20.0
19281101 19281130     0.0
19281201 19281231     3.6
19290101 19290131     8.9
19290201 19290228    16.2
19290301 19290331     1.5
19290401 19290430    17.5
19290501 19290531   116.5
19290601 19290630   123.2
19290701 19290731    43.8
19290801 19290831    44.3
19290901 19290930    28.9
19291001 19291031    17.8
19291101 19291130    39.5
19291201 19291231     5.8
19300101 19300131     0.0
19300201 19300228     3.8
19300301 19300331    29.0
19300401 19300430    28.5
19300501 19300531    28.0
19300601 19300630   164.7
19300701 19300731   178.9
19300801 19300831    54.5
19300901 19300930    66.7
19301001 19301031    11.9
19301101 19301130     7.1
19301201 19301231     4.6
19310101 19310131     0.0
19310201 19310228     2.0
19310301 19310331    10.2
19310401 19310430    45.5
19310501 19310531    77.6
19310601 19310630    66.4
19310701 19310731    90.4
19310801 19310831   103.8
19310901 19310930   100.7
19311001 19311031     8.9
19311101 19311130     5.1
19311201 19311231    10.2
19320101 19320131     7.9
19320201 19320229     0.5
19320301 19320331    20.0
19320401 19320430    45.4
19320501 19320531   135.7
19320601 19320630    66.0
19320701 19320731   155.0
19320801 19320831    91.3
19320901 19320930    27.5
19321001 19321031    77.4
19321101 19321130     4.1
19321201 19321231     1.3
19330101 19330131    17.0
19330201 19330228     0.8
19330301 19330331    11.0
19330401 19330430    17.6
19330501 19330531   101.8
19330601 19330630   111.8
19330701 19330731    73.7
19330801 19330831    69.2
19330901 19330930    42.5
19331001 19331031    63.6
19331101 19331130     1.8
19331201 19331231     2.8
19340101 19340131    19.3
19340201 19340228     1.8
19340301 19340331   107.0
19340401 19340430    33.9
19340501 19340531    59.8
19340601 19340630    94.9
19340701 19340731    86.3
19340801 19340831    88.1
19340901 19340930    52.8
19341001 19341031    12.4
