PRCP       010670 19050901 20180131 missing_value=99999.9 LAKE CARMODY                              
19050901 19050930    41.9
19051001 19051031     4.8
19051101 19051130     9.9
19051201 19051231 99999.9
19060101 19060131     7.6
19060201 19060228     7.1
19060301 19060331     3.6
19060401 19060430     0.5
19060501 19060531    35.3
19060601 19060630    34.8
19060701 19060731    81.8
19060801 19060831    38.6
19060901 19060930    24.6
19061001 19061031    11.4
19061101 19061130     2.8
19061201 19061231    30.5
19070101 19070131    12.0
19070201 19070228     0.0
19070301 19070331    42.0
19070401 19070430     6.3
19070501 19070531    22.7
19070601 19070630    37.6
19070701 19070731    40.6
19070801 19070831    61.0
19070901 19070930     6.9
19071001 19071031     2.5
19071101 19071130     7.8
19071201 19071231     0.0
19080101 19080131     0.0
19080201 19080229    10.9
19080301 19080331    10.2
19080401 19080430    25.1
19080501 19080531    56.6
19080601 19080630    45.7
19080701 19080731    24.6
19080801 19080831    14.2
19080901 19080930    10.9
19081001 19081031     1.5
19081101 19081130    28.7
19081201 19081231     0.0
19090101 19090131     8.4
19090201 19090228    12.4
19090301 19090331    11.4
19090401 19090430    66.3
19090501 19090531    36.3
19090601 19090630    63.8
19090701 19090731    27.4
19090801 19090831    90.3
19090901 19090930    26.5
19091001 19091031    16.0
19091101 19091130    14.4
19091201 19091231     0.8
19100101 19100131     8.1
19100201 19100228    20.1
19100301 19100331     1.5
19100401 19100430     4.8
19100501 19100531    60.8
19100601 19100630    60.0
19100701 19100731    52.7
19100801 19100831    15.8
19100901 19100930    19.2
19101001 19101031    11.1
19101101 19101130    10.6
19101201 19101231     5.1
19110101 19110131    30.7
19110201 19110228     2.5
19110301 19110331     3.3
19110401 19110430    20.8
19110501 19110531    53.6
19110601 19110630    27.9
19110701 19110731    23.6
19110801 19110831    24.4
19110901 19110930     8.9
19111001 19111031    13.2
19111101 19111130     0.8
19111201 19111231     5.8
19120101 19120131     0.0
19120201 19120229     9.9
19120301 19120331     8.7
19120401 19120430    10.1
19120501 19120531    48.0
19120601 19120630     2.0
19120701 19120731    59.2
19120801 19120831    24.6
19120901 19120930    19.0
19121001 19121031    15.2
19121101 19121130    17.8
19121201 19121231     1.8
19130101 19130131    18.5
19130201 19130228     0.0
19130301 19130331     8.4
19130401 19130430    11.4
19130501 19130531    24.2
19130601 19130630    26.7
19130701 19130731    14.2
19130801 19130831    49.9
19130901 19130930    45.0
19131001 19131031    15.3
19131101 19131130     5.1
