PRCP       010795 19080301 20160531 missing_value=99999.9 AVONDALE RESEARCH STN                     
19080301 19080331    11.5
19080401 19080430    34.5
19080501 19080531   113.8
19080601 19080630    75.3
19080701 19080731    81.4
19080801 19080831    15.9
19080901 19080930    11.1
19081001 19081031     7.3
19081101 19081130     5.7
19081201 19081231     1.8
19090101 19090131     6.9
19090201 19090228     4.2
19090301 19090331     9.9
19090401 19090430    25.5
19090501 19090531    37.7
19090601 19090630    95.6
19090701 19090731    26.1
19090801 19090831   130.0
19090901 19090930    50.7
19091001 19091031    17.4
19091101 19091130    15.3
19091201 19091231     0.0
19100101 19100131     4.6
19100201 19100228     3.9
19100301 19100331     0.5
19100401 19100430    22.3
19100501 19100531    86.1
19100601 19100630    89.4
19100701 19100731    98.5
19100801 19100831    48.1
19100901 19100930    30.1
19101001 19101031    23.1
19101101 19101130     7.2
19101201 19101231     0.0
19110101 19110131     3.0
19110201 19110228     2.3
19110301 19110331     6.6
19110401 19110430    28.3
19110501 19110531    25.5
19110601 19110630    53.4
19110701 19110731    72.1
19110801 19110831    41.7
19110901 19110930    20.3
19111001 19111031    26.5
19111101 19111130     0.9
19111201 19111231     0.0
19120101 19120131     4.3
19120201 19120229     5.1
19120301 19120331     0.0
19120401 19120430     8.5
19120501 19120531    52.3
19120601 19120630    26.4
19120701 19120731   119.2
19120801 19120831    34.2
19120901 19120930    71.3
19121001 19121031    20.9
19121101 19121130     7.5
19121201 19121231    10.1
19130101 19130131     9.0
19130201 19130228     5.5
19130301 19130331     3.3
19130401 19130430    11.3
19130501 19130531    29.9
19130601 19130630    85.3
19130701 19130731    51.0
19130801 19130831    89.2
19130901 19130930    40.0
19131001 19131031    24.2
19131101 19131130    24.2
19131201 19131231    73.6
19140101 19140131     0.0
19140201 19140228     7.9
19140301 19140331     1.6
19140401 19140430     4.6
19140501 19140531     6.7
19140601 19140630    25.3
19140701 19140731    43.0
19140801 19140831    28.4
19140901 19140930     2.4
19141001 19141031    40.8
19141101 19141130     8.8
19141201 19141231    31.4
19150101 19150131    20.9
19150201 19150228    97.4
19150301 19150331     9.1
19150401 19150430     7.1
19150501 19150531    91.0
19150601 19150630    93.0
19150701 19150731    95.6
19150801 19150831    75.2
19150901 19150930    42.7
19151001 19151031    34.1
19151101 19151130     0.0
19151201 19151231     1.2
19160101 19160131    55.4
19160201 19160229    12.5
19160301 19160331     6.4
19160401 19160430     7.0
19160501 19160531    75.8
19160601 19160630    71.4
19160701 19160731    54.0
19160801 19160831    64.2
19160901 19160930     0.0
19161001 19161031    43.2
19161101 19161130    14.4
19161201 19161231     0.0
19170101 19170131     0.0
19170201 19170228     6.5
19170301 19170331    56.2
19170401 19170430    43.9
19170501 19170531    68.9
19170601 19170630   140.9
19170701 19170731   119.2
19170801 19170831    67.6
19170901 19170930    50.3
19171001 19171031    14.6
19171101 19171130     3.4
19171201 19171231     0.0
19180101 19180131     9.5
19180201 19180228    49.4
19180301 19180331    22.0
19180401 19180430    25.9
19180501 19180531    42.0
19180601 19180630   114.6
19180701 19180731    37.0
19180801 19180831    49.0
19180901 19180930    41.5
19181001 19181031    42.7
19181101 19181130    14.6
19181201 19181231     0.0
19190101 19190131    18.2
19190201 19190228     0.0
19190301 19190331    10.4
19190401 19190430    88.6
19190501 19190531     4.9
19190601 19190630    34.6
19190701 19190731    65.3
19190801 19190831    43.7
19190901 19190930    17.0
19191001 19191031    21.6
19191101 19191130    10.1
19191201 19191231     4.3
19200101 19200131     5.2
19200201 19200229     3.4
19200301 19200331    28.0
19200401 19200430     3.4
19200501 19200531    55.8
19200601 19200630    84.5
19200701 19200731    46.6
19200801 19200831    66.4
19200901 19200930    28.7
19201001 19201031     8.8
19201101 19201130    15.0
19201201 19201231     0.0
19210101 19210131     7.2
19210201 19210228    20.0
19210301 19210331     1.6
19210401 19210430     0.6
19210501 19210531    98.4
19210601 19210630    48.6
19210701 19210731    79.8
19210801 19210831    55.1
19210901 19210930    38.4
19211001 19211031    56.2
19211101 19211130     7.3
19211201 19211231    25.1
19220101 19220131     0.0
19220201 19220228    36.8
19220301 19220331     9.4
19220401 19220430    10.6
19220501 19220531    49.2
19220601 19220630    16.7
19220701 19220731   103.0
19220801 19220831    41.5
19220901 19220930    39.4
19221001 19221031     2.8
19221101 19221130    13.4
19221201 19221231    10.0
19230101 19230131    53.9
19230201 19230228     0.0
19230301 19230331     9.1
19230401 19230430    76.8
19230501 19230531    39.5
19230601 19230630   157.7
19230701 19230731    40.6
19230801 19230831    41.0
19230901 19230930    71.3
19231001 19231031     9.2
19231101 19231130     0.0
19231201 19231231    16.6
19240101 19240131     0.0
19240201 19240229    10.1
19240301 19240331     1.6
19240401 19240430     9.1
19240501 19240531    49.1
19240601 19240630    56.0
19240701 19240731    44.5
19240801 19240831    58.8
19240901 19240930    22.0
19241001 19241031    46.7
19241101 19241130    12.8
19241201 19241231    10.7
19250101 19250131    41.8
19250201 19250228    70.2
19250301 19250331    15.6
19250401 19250430     5.8
19250501 19250531    40.4
19250601 19250630    90.7
19250701 19250731    42.6
19250801 19250831     9.4
19250901 19250930    26.0
19251001 19251031    20.8
19251101 19251130     0.6
19251201 19251231     3.4
19260101 19260131     0.0
19260201 19260228    42.1
19260301 19260331    44.9
19260401 19260430    39.4
19260501 19260531    30.1
19260601 19260630    60.4
19260701 19260731   178.4
19260801 19260831    31.4
19260901 19260930    45.8
19261001 19261031    54.2
19261101 19261130    23.4
19261201 19261231     1.8
19270101 19270131     0.0
19270201 19270228     0.0
19270301 19270331   103.0
19270401 19270430    13.1
19270501 19270531    33.6
19270601 19270630    64.0
19270701 19270731    61.7
19270801 19270831    35.8
19270901 19270930    40.0
19271001 19271031    32.0
19271101 19271130    14.9
19271201 19271231     0.0
19280101 19280131    17.4
19280201 19280229     0.0
19280301 19280331     1.8
19280401 19280430     6.1
19280501 19280531    38.6
19280601 19280630    27.7
19280701 19280731   139.4
19280801 19280831    63.2
19280901 19280930    37.4
19281001 19281031     4.6
19281101 19281130     0.0
19281201 19281231    14.0
19290101 19290131    19.8
19290201 19290228    14.6
19290301 19290331    25.9
19290401 19290430     3.7
19290501 19290531    73.3
19290601 19290630   100.1
19290701 19290731    55.2
19290801 19290831    37.3
19290901 19290930    10.6
19291001 19291031     4.0
19291101 19291130    32.6
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     0.0
19300301 19300331    14.3
19300401 19300430    33.5
19300501 19300531     6.7
19300601 19300630   115.4
19300701 19300731   126.2
19300801 19300831    45.7
19300901 19300930    24.0
19301001 19301031     7.3
19301101 19301130     0.0
19301201 19301231     6.7
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331     8.3
19310401 19310430    14.6
19310501 19310531    66.2
19310601 19310630    36.0
19310701 19310731    45.5
19310801 19310831    90.8
19310901 19310930    80.4
19311001 19311031    14.3
19311101 19311130     1.8
19311201 19311231    33.2
19320101 19320131     4.8
19320201 19320229     0.0
19320301 19320331     7.0
19320401 19320430    19.2
19320501 19320531   148.7
19320601 19320630    35.0
19320701 19320731   106.9
19320801 19320831   119.5
