PRCP       011010 19110101 20150531 missing_value=99999.9 NOONDOONIA                                
19110101 19110131     5.1
19110201 19110228     0.0
19110301 19110331     0.0
19110401 19110430     0.0
19110501 19110531    34.0
19110601 19110630    12.0
19110701 19110731    17.3
19110801 19110831    12.4
19110901 19110930     2.1
19111001 19111031     7.3
19111101 19111130     1.3
19111201 19111231     7.6
19120101 19120131     0.0
19120201 19120229     2.3
19120301 19120331    88.4
19120401 19120430    27.8
19120501 19120531    16.3
19120601 19120630    10.3
19120701 19120731    42.7
19120801 19120831     3.3
19120901 19120930     3.1
19121001 19121031    13.2
19121101 19121130     9.6
19121201 19121231     0.0
19130101 19130131     5.0
19130201 19130228     0.0
19130301 19130331    10.7
19130401 19130430    40.7
19130501 19130531     0.3
19130601 19130630    18.0
19130701 19130731     4.1
19130801 19130831    21.9
19130901 19130930    36.0
19131001 19131031    25.6
19131101 19131130     6.6
19131201 19131231    41.2
19140101 19140131     3.3
19140201 19140228     1.1
19140301 19140331    24.6
19140401 19140430    15.8
19140501 19140531     5.4
19140601 19140630     5.3
19140701 19140731    25.5
19140801 19140831    39.3
19140901 19140930     1.0
19141001 19141031    16.3
19141101 19141130    23.6
19141201 19141231    73.2
19150101 19150131    14.8
19150201 19150228   129.4
19150301 19150331     2.7
19150401 19150430     5.6
19150501 19150531    64.4
19150601 19150630    64.8
19150701 19150731    37.9
19150801 19150831    30.3
19150901 19150930    23.7
19151001 19151031     8.7
19151101 19151130     0.0
19151201 19151231     4.1
19160101 19160131    16.7
19160201 19160229     0.0
19160301 19160331    25.7
19160401 19160430     0.5
19160501 19160531     8.6
19160601 19160630    44.6
19160701 19160731    22.9
19160801 19160831    16.6
19160901 19160930    19.1
19161001 19161031    42.2
19161101 19161130     9.7
19161201 19161231     1.3
19170101 19170131    17.8
19170201 19170228    10.9
19170301 19170331   157.4
19170401 19170430    25.4
19170501 19170531    25.2
19170601 19170630    40.9
19170701 19170731    15.3
19170801 19170831    21.7
19170901 19170930    20.7
19171001 19171031    20.1
19171101 19171130    34.3
19171201 19171231    92.3
19180101 19180131     6.1
19180201 19180228    18.8
19180301 19180331    17.6
19180401 19180430    48.8
19180501 19180531    53.4
19180601 19180630    19.6
19180701 19180731    20.1
19180801 19180831    14.3
19180901 19180930     1.0
19181001 19181031    12.2
19181101 19181130    27.7
19181201 19181231     8.9
19190101 19190131    19.8
19190201 19190228     5.1
19190301 19190331    25.2
19190401 19190430    16.0
19190501 19190531    34.4
19190601 19190630    15.0
19190701 19190731    16.0
19190801 19190831    54.0
19190901 19190930     7.6
19191001 19191031    12.2
19191101 19191130    77.5
19191201 19191231    49.1
19200101 19200131    14.5
19200201 19200229    27.9
19200301 19200331    12.0
19200401 19200430    16.7
19200501 19200531    11.2
19200601 19200630    19.6
19200701 19200731    12.3
19200801 19200831    28.7
19200901 19200930    57.2
19201001 19201031    24.6
19201101 19201130    31.5
19201201 19201231     6.0
19210101 19210131     6.1
19210201 19210228     4.8
19210301 19210331     3.3
19210401 19210430     2.8
19210501 19210531   109.3
19210601 19210630    29.1
19210701 19210731     5.3
19210801 19210831    46.1
19210901 19210930    19.3
19211001 19211031    16.1
19211101 19211130     1.8
19211201 19211231    39.4
19220101 19220131     1.5
19220201 19220228     2.6
19220301 19220331    14.2
19220401 19220430    56.7
19220501 19220531    16.1
19220601 19220630    18.8
19220701 19220731    20.0
19220801 19220831    36.8
19220901 19220930    11.5
19221001 19221031     1.3
19221101 19221130     3.0
19221201 19221231    24.9
19230101 19230131    26.7
19230201 19230228     0.0
19230301 19230331    17.8
19230401 19230430    35.9
19230501 19230531     8.1
19230601 19230630    39.5
19230701 19230731     9.2
19230801 19230831     9.1
19230901 19230930    13.5
19231001 19231031    10.9
19231101 19231130     0.0
19231201 19231231    54.0
19240101 19240131     0.0
19240201 19240229     4.1
19240301 19240331    12.0
19240401 19240430    11.7
19240501 19240531    17.5
