PRCP       012011 19111001 20180131 missing_value=99999.9 BULLFINCH                                 
19111001 19111031     8.2
19111101 19111130     0.0
19111201 19111231     5.1
19120101 19120131    20.8
19120201 19120229    13.4
19120301 19120331     8.2
19120401 19120430    24.5
19120501 19120531    63.0
19120601 19120630     7.7
19120701 19120731    52.2
19120801 19120831     7.1
19120901 19120930    16.2
19121001 19121031    12.0
19121101 19121130     5.6
19121201 19121231    22.3
19130101 19130131     3.8
19130201 19130228     0.0
19130301 19130331     8.2
19130401 19130430    23.3
19130501 19130531     3.5
19130601 19130630    42.5
19130701 19130731    23.6
19130801 19130831    41.4
19130901 19130930    28.4
19131001 19131031    25.4
19131101 19131130     0.0
19131201 19131231    51.9
19140101 19140131     5.6
19140201 19140228     3.5
19140301 19140331     0.0
19140401 19140430     5.8
19140501 19140531     0.0
19140601 19140630    17.0
19140701 19140731    27.1
19140801 19140831    26.9
19140901 19140930     0.0
19141001 19141031    49.5
19141101 19141130    46.6
19141201 19141231     1.5
19150101 19150131    28.9
19150201 19150228    81.5
19150301 19150331     4.1
19150401 19150430    31.0
19150501 19150531    47.3
19150601 19150630    42.8
19150701 19150731    58.2
19150801 19150831    47.8
19150901 19150930    10.9
19151001 19151031     8.0
19151101 19151130     0.0
19151201 19151231     9.7
19160101 19160131    48.7
19160201 19160229     0.0
19160301 19160331    10.9
19160401 19160430     2.3
19160501 19160531    37.6
19160601 19160630    43.7
19160701 19160731    42.7
19160801 19160831    24.1
19160901 19160930     4.8
19161001 19161031    32.6
19161101 19161130    53.6
19161201 19161231     0.0
19170101 19170131     0.5
19170201 19170228     0.0
19170301 19170331    88.9
19170401 19170430    33.6
19170501 19170531    21.5
19170601 19170630    57.1
19170701 19170731    92.0
19170801 19170831    41.1
19170901 19170930    40.3
19171001 19171031    15.5
19171101 19171130    14.2
19171201 19171231    15.5
19180101 19180131     2.5
19180201 19180228   102.7
19180301 19180331    17.5
19180401 19180430   164.1
19180501 19180531    33.0
19180601 19180630    52.0
19180701 19180731    32.5
19180801 19180831    28.3
19180901 19180930     8.4
19181001 19181031    19.1
19181101 19181130     1.3
19181201 19181231     1.3
19190101 19190131     0.0
19190201 19190228     0.0
19190301 19190331    24.1
19190401 19190430    55.9
19190501 19190531     5.1
19190601 19190630    35.1
19190701 19190731    54.5
19190801 19190831    35.8
19190901 19190930    24.6
19191001 19191031    36.1
19191101 19191130     7.1
19191201 19191231     8.1
19200101 19200131     2.5
19200201 19200229     5.0
19200301 19200331    29.0
19200401 19200430     5.4
19200501 19200531    26.7
19200601 19200630    58.5
19200701 19200731    22.7
19200801 19200831    68.0
19200901 19200930    24.2
19201001 19201031     7.4
19201101 19201130     1.6
19201201 19201231     0.0
19210101 19210131     2.1
19210201 19210228     8.8
19210301 19210331     6.1
19210401 19210430     1.0
19210501 19210531   128.7
19210601 19210630    35.4
19210701 19210731    41.4
19210801 19210831    26.7
19210901 19210930    21.2
19211001 19211031    16.3
19211101 19211130     7.8
19211201 19211231    40.7
19220101 19220131     0.3
19220201 19220228     8.9
19220301 19220331     7.1
19220401 19220430    46.3
19220501 19220531    16.8
19220601 19220630    32.1
19220701 19220731    40.1
19220801 19220831    26.9
19220901 19220930    13.4
19221001 19221031     0.0
19221101 19221130     3.9
19221201 19221231     4.1
19230101 19230131     1.3
19230201 19230228     9.0
19230301 19230331     6.3
19230401 19230430    36.0
19230501 19230531    21.5
19230601 19230630    80.2
19230701 19230731    23.1
19230801 19230831    16.6
19230901 19230930    19.5
19231001 19231031     2.8
19231101 19231130     0.0
19231201 19231231    42.5
19240101 19240131     0.0
19240201 19240229     0.0
19240301 19240331    18.6
19240401 19240430     5.3
19240501 19240531    49.8
19240601 19240630    26.6
19240701 19240731    23.9
19240801 19240831    28.9
19240901 19240930    20.1
19241001 19241031    30.7
19241101 19241130     9.1
19241201 19241231     2.5
19250101 19250131    84.5
19250201 19250228    57.7
19250301 19250331    10.2
19250401 19250430    10.2
19250501 19250531    37.3
19250601 19250630    27.3
19250701 19250731    28.3
19250801 19250831     7.1
19250901 19250930    17.6
19251001 19251031     5.6
19251101 19251130     4.0
19251201 19251231    24.9
19260101 19260131     1.5
19260201 19260228    10.4
19260301 19260331    80.5
19260401 19260430    42.7
19260501 19260531    15.1
19260601 19260630    35.5
19260701 19260731    49.9
19260801 19260831    19.2
19260901 19260930    18.2
19261001 19261031    26.2
19261101 19261130    13.2
19261201 19261231     6.4
19270101 19270131     4.8
19270201 19270228    11.4
