PRCP       012013 18970101 20180131 missing_value=99999.9 BULONG                                    
18970101 18970131     0.5
18970201 18970228     2.0
18970301 18970331    13.2
18970401 18970430     3.3
18970501 18970531     6.4
18970601 18970630    27.4
18970701 18970731     5.6
18970801 18970831    23.9
18970901 18970930    20.3
18971001 18971031     1.8
18971101 18971130     2.3
18971201 18971231    26.4
18980101 18980131     0.0
18980201 18980228     6.4
18980301 18980331     0.0
18980401 18980430     7.6
18980501 18980531    15.7
18980601 18980630    77.7
18980701 18980731     8.9
18980801 18980831    54.4
18980901 18980930     0.0
18981001 18981031     3.3
18981101 18981130     1.3
18981201 18981231     2.0
18990101 18990131     2.5
18990201 18990228    38.4
18990301 18990331     0.0
18990401 18990430     0.0
18990501 18990531    12.7
18990601 18990630    21.3
18990701 18990731    16.0
18990801 18990831     9.1
18990901 18990930    13.7
18991001 18991031    32.0
18991101 18991130    25.7
18991201 18991231     0.0
19000101 19000131     3.3
19000201 19000228     0.3
19000301 19000331    18.3
19000401 19000430    59.7
19000501 19000531    44.5
19000601 19000630    35.3
19000701 19000731    22.4
19000801 19000831    10.4
19000901 19000930    13.5
19001001 19001031    11.2
19001101 19001130    13.5
19001201 19001231    20.8
19010101 19010131     5.8
19010201 19010228   120.1
19010301 19010331     0.3
19010401 19010430     0.0
19010501 19010531    12.4
19010601 19010630    14.0
19010701 19010731    17.5
19010801 19010831    22.6
19010901 19010930    39.6
19011001 19011031    16.5
19011101 19011130     2.3
19011201 19011231     2.3
19020101 19020131    64.3
19020201 19020228    49.3
19020301 19020331     0.0
19020401 19020430     0.0
19020501 19020531    60.2
19020601 19020630     9.1
19020701 19020731    11.7
19020801 19020831    26.7
19020901 19020930    23.6
19021001 19021031    39.1
19021101 19021130    24.6
19021201 19021231     4.1
19030101 19030131     1.5
19030201 19030228     7.9
19030301 19030331     0.0
19030401 19030430    26.2
19030501 19030531    69.6
19030601 19030630    34.0
19030701 19030731    17.0
19030801 19030831    15.7
19030901 19030930    14.0
19031001 19031031    21.8
19031101 19031130    11.7
19031201 19031231    33.8
19040101 19040131     0.0
19040201 19040229     0.0
19040301 19040331     5.8
19040401 19040430     6.4
19040501 19040531    49.5
19040601 19040630    33.5
19040701 19040731    41.9
19040801 19040831    25.9
19040901 19040930    89.2
19041001 19041031    45.7
19041101 19041130     0.0
19041201 19041231     6.6
19050101 19050131     6.4
19050201 19050228    13.0
19050301 19050331     2.5
19050401 19050430     4.6
19050501 19050531    46.5
19050601 19050630     6.4
19050701 19050731     9.4
19050801 19050831    20.1
19050901 19050930    16.5
19051001 19051031    10.9
19051101 19051130     8.6
19051201 19051231    31.5
19060101 19060131     3.8
19060201 19060228    22.1
19060301 19060331     0.0
19060401 19060430     1.3
19060501 19060531    34.3
19060601 19060630    31.8
19060701 19060731    31.8
19060801 19060831    80.3
19060901 19060930     2.3
19061001 19061031     0.0
19061101 19061130    20.3
19061201 19061231    14.2
19070101 19070131     6.3
19070201 19070228    39.4
19070301 19070331    90.8
19070401 19070430     0.0
19070501 19070531    36.6
19070601 19070630    12.8
19070701 19070731    28.2
19070801 19070831     8.1
19070901 19070930    13.5
19071001 19071031     2.8
19071101 19071130    37.6
19071201 19071231     0.5
19080101 19080131     0.0
19080201 19080229    26.2
19080301 19080331    23.9
19080401 19080430    55.0
19080501 19080531    37.9
19080601 19080630    27.2
19080701 19080731    15.8
19080801 19080831    19.9
19080901 19080930     6.6
19081001 19081031     5.4
19081101 19081130     5.1
19081201 19081231     1.0
19090101 19090131    42.3
19090201 19090228     6.9
19090301 19090331     6.3
19090401 19090430    22.1
19090501 19090531     9.1
19090601 19090630    22.3
19090701 19090731    16.8
19090801 19090831    76.2
19090901 19090930     4.1
19091001 19091031    95.7
19091101 19091130    34.3
