PRCP       012029 19010101 20180131 missing_value=99999.9 FRASER RANGE                              
19010101 19010131     5.1
19010201 19010228    39.9
19010301 19010331     0.0
19010401 19010430     5.6
19010501 19010531     8.9
19010601 19010630    17.8
19010701 19010731     6.1
19010801 19010831    29.5
19010901 19010930    33.3
19011001 19011031    20.8
19011101 19011130     7.6
19011201 19011231     9.4
19020101 19020131    42.4
19020201 19020228    72.9
19020301 19020331     0.5
19020401 19020430     0.0
19020501 19020531    60.5
19020601 19020630    16.5
19020701 19020731    26.4
19020801 19020831    24.1
19020901 19020930    64.8
19021001 19021031    28.4
19021101 19021130    31.0
19021201 19021231    41.1
19030101 19030131     2.3
19030201 19030228     2.3
19030301 19030331     0.0
19030401 19030430    51.1
19030501 19030531    37.8
19030601 19030630    10.2
19030701 19030731    37.3
19030801 19030831     9.1
19030901 19030930    19.8
19031001 19031031    35.8
19031101 19031130    16.8
19031201 19031231    48.3
19040101 19040131     0.0
19040201 19040229     0.0
19040301 19040331    11.9
19040401 19040430    33.3
19040501 19040531    47.0
19040601 19040630    59.4
19040701 19040731    45.7
19040801 19040831    13.7
19040901 19040930    64.0
19041001 19041031    50.0
19041101 19041130     0.0
19041201 19041231     7.9
19050101 19050131    34.3
19050201 19050228    25.4
19050301 19050331     0.0
19050401 19050430    16.0
19050501 19050531    30.5
19050601 19050630     9.7
19050701 19050731     7.4
19050801 19050831    19.6
19050901 19050930    30.2
19051001 19051031    28.7
19051101 19051130    12.4
19051201 19051231    42.7
19060101 19060131     8.4
19060201 19060228    15.7
19060301 19060331     0.0
19060401 19060430     0.0
19060501 19060531    50.3
19060601 19060630    38.9
19060701 19060731    25.7
19060801 19060831    43.4
19060901 19060930    17.5
19061001 19061031     0.0
19061101 19061130    36.6
19061201 19061231     0.0
19070101 19070131     3.8
19070201 19070228    10.4
19070301 19070331   109.3
19070401 19070430     2.8
19070501 19070531    20.5
19070601 19070630    14.4
19070701 19070731    37.0
19070801 19070831    24.1
19070901 19070930     0.0
19071001 19071031    27.7
19071101 19071130    14.9
19071201 19071231    17.0
19080101 19080131     0.0
19080201 19080229    18.8
19080301 19080331    21.6
19080401 19080430    66.1
