PRCP       013002 19500301 20171231 missing_value=99999.9 GLEN AYLE                                 
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    35.9
19500601 19500630     7.1
19500701 19500731     9.1
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     0.0
19501101 19501130     1.5
19501201 19501231     1.3
19510101 19510131    17.5
19510201 19510228     8.3
19510301 19510331     4.6
19510401 19510430    19.1
19510501 19510531     0.0
19510601 19510630    64.1
19510701 19510731     7.9
19510801 19510831     0.0
19510901 19510930     0.5
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     2.5
19520101 19520131     5.4
19520201 19520229     5.1
19520301 19520331     0.0
19520401 19520430     0.0
19520501 19520531    65.0
19520601 19520630     2.3
19520701 19520731    25.4
19520801 19520831     2.0
19520901 19520930     1.5
19521001 19521031    20.8
19521101 19521130     9.4
19521201 19521231     9.7
19530101 19530131     4.6
19530201 19530228     0.0
19530301 19530331    32.5
19530401 19530430    40.2
19530501 19530531    44.9
19530601 19530630    12.2
19530701 19530731     0.6
19530801 19530831    18.5
19530901 19530930     1.5
19531001 19531031     0.0
19531101 19531130     4.6
19531201 19531231    49.8
19540101 19540131    68.1
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    49.1
19540501 19540531    97.6
19540601 19540630     6.9
19540701 19540731     7.9
19540801 19540831     7.3
19540901 19540930     0.0
19541001 19541031     0.0
19541101 19541130     1.5
19541201 19541231    13.0
19550101 19550131    96.8
19550201 19550228    16.8
19550301 19550331    10.2
19550401 19550430    18.8
19550501 19550531    14.0
19550601 19550630   137.2
19550701 19550731    39.2
19550801 19550831    30.0
19550901 19550930     0.0
19551001 19551031     0.0
19551101 19551130    14.2
19551201 19551231     9.1
19560101 19560131     1.6
19560201 19560229     3.3
19560301 19560331     9.4
19560401 19560430     0.0
19560501 19560531    26.4
19560601 19560630    18.6
19560701 19560731    35.3
19560801 19560831    15.5
19560901 19560930     3.0
19561001 19561031     0.0
19561101 19561130    23.1
19561201 19561231     2.3
19570101 19570131     2.1
19570201 19570228    18.0
19570301 19570331    11.9
19570401 19570430     0.0
19570501 19570531     1.3
19570601 19570630    43.1
19570701 19570731     0.0
19570801 19570831     7.9
19570901 19570930     0.5
19571001 19571031     2.0
19571101 19571130     4.3
19571201 19571231    46.8
19580101 19580131    25.6
19580201 19580228     0.8
19580301 19580331    88.6
19580401 19580430     0.0
19580501 19580531    10.6
19580601 19580630    26.2
19580701 19580731     2.3
19580801 19580831    16.0
19580901 19580930    11.4
19581001 19581031     0.0
19581101 19581130    19.8
19581201 19581231    27.2
19590101 19590131    43.3
19590201 19590228    18.8
19590301 19590331     3.8
19590401 19590430     9.4
19590501 19590531     0.0
19590601 19590630    32.5
19590701 19590731     8.2
19590801 19590831     0.5
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130     0.0
19591201 19591231    15.2
19600101 19600131    45.8
19600201 19600229   186.4
19600301 19600331    17.0
19600401 19600430    27.4
19600501 19600531     0.0
19600601 19600630    12.4
19600701 19600731     0.0
19600801 19600831     2.5
19600901 19600930    10.2
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231     8.1
19610101 19610131    14.0
19610201 19610228    64.8
19610301 19610331     1.3
19610401 19610430    50.1
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     3.8
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     9.9
19611201 19611231     0.0
19620101 19620131    10.9
19620201 19620228   119.2
19620301 19620331     4.1
19620401 19620430     0.0
19620501 19620531     0.0
19620601 19620630     0.0
19620701 19620731     4.3
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     6.6
19621101 19621130     0.0
19621201 19621231     4.3
19630101 19630131    42.0
19630201 19630228    38.3
19630301 19630331    78.3
19630401 19630430     0.0
19630501 19630531    19.6
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     2.0
19630901 19630930     0.0
19631001 19631031     3.3
19631101 19631130     6.6
19631201 19631231    41.9
19640101 19640131    35.0
19640201 19640229    49.0
19640301 19640331     0.0
19640401 19640430    58.2
19640501 19640531    28.7
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     1.5
19640901 19640930     0.0
19641001 19641031     0.0
19641101 19641130    22.1
19641201 19641231     0.0
19650101 19650131     0.0
19650201 19650228     2.0
19650301 19650331   153.7
19650401 19650430     0.0
19650501 19650531    11.9
19650601 19650630     5.1
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130    14.2
19651201 19651231    10.4
19660101 19660131    21.5
19660201 19660228    14.5
19660301 19660331    36.3
19660401 19660430   115.8
19660501 19660531    31.0
19660601 19660630     9.6
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031    13.0
19661101 19661130    26.5
19661201 19661231     0.0
19670101 19670131    42.7
19670201 19670228   174.0
19670301 19670331     3.3
19670401 19670430     0.0
19670501 19670531    44.4
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130    21.8
19671201 19671231   101.4
19680101 19680131    33.0
19680201 19680229     5.8
19680301 19680331   134.5
19680401 19680430    23.1
19680501 19680531    23.1
19680601 19680630    57.4
19680701 19680731    32.5
19680801 19680831     4.6
19680901 19680930     6.9
19681001 19681031     0.0
19681101 19681130     4.1
19681201 19681231     0.0
19690101 19690131    39.6
19690201 19690228    34.5
19690301 19690331     0.0
19690401 19690430     3.0
19690501 19690531    38.9
19690601 19690630     6.4
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     8.1
19691101 19691130     6.4
19691201 19691231    12.5
19700101 19700131    19.3
19700201 19700228     1.5
19700301 19700331     0.5
19700401 19700430     4.1
