PRCP       013005 19200101 20180131 missing_value=99999.9 LORNA GLEN                                
19200101 19200131     0.0
19200201 19200229    19.5
19200301 19200331    17.3
19200401 19200430    28.9
19200501 19200531    11.0
19200601 19200630    33.6
19200701 19200731     6.2
19200801 19200831    27.6
19200901 19200930     5.6
19201001 19201031     0.6
19201101 19201130    12.6
19201201 19201231     0.0
19210101 19210131     0.0
19210201 19210228    21.5
19210301 19210331    14.2
19210401 19210430     0.0
19210501 19210531   191.2
19210601 19210630    32.5
19210701 19210731     1.6
19210801 19210831    20.0
19210901 19210930     4.0
19211001 19211031    15.1
19211101 19211130     0.0
19211201 19211231    35.5
19220101 19220131     0.6
19220201 19220228     7.9
19220301 19220331    83.9
19220401 19220430    72.5
19220501 19220531    26.9
19220601 19220630    14.5
19220701 19220731     8.7
19220801 19220831    11.0
19220901 19220930     1.9
19221001 19221031     0.0
19221101 19221130     0.0
19221201 19221231    22.7
19230101 19230131    31.8
19230201 19230228    13.2
19230301 19230331    28.1
19230401 19230430    45.4
19230501 19230531     7.4
19230601 19230630    42.1
19230701 19230731    15.5
19230801 19230831     1.6
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     1.2
19231201 19231231    18.8
19240101 19240131     0.0
19240201 19240229    49.9
19240301 19240331    41.4
19240401 19240430     5.8
19240501 19240531    20.9
19240601 19240630    11.4
19240701 19240731    13.2
19240801 19240831     3.4
19240901 19240930     5.0
19241001 19241031     8.3
19241101 19241130     6.4
19241201 19241231     0.0
19250101 19250131    26.4
19250201 19250228   143.9
19250301 19250331    36.5
19250401 19250430     2.4
19250501 19250531    70.4
19250601 19250630     7.0
19250701 19250731     4.6
19250801 19250831    15.4
19250901 19250930     5.0
19251001 19251031     8.1
19251101 19251130    15.5
19251201 19251231    60.6
19260101 19260131     6.1
19260201 19260228     4.4
19260301 19260331    51.1
19260401 19260430     0.0
19260501 19260531    28.9
19260601 19260630     5.2
19260701 19260731    21.9
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031     1.0
19261101 19261130    35.7
19261201 19261231    13.9
19270101 19270131    17.9
19270201 19270228    18.2
19270301 19270331   127.8
19270401 19270430     0.0
19270501 19270531    10.4
19270601 19270630    61.1
19270701 19270731    21.9
19270801 19270831    17.5
19270901 19270930     6.2
19271001 19271031     1.2
