PRCP       013006 19200101 20171231 missing_value=99999.9 MILLROSE                                  
19200101 19200131     0.0
19200201 19200229    17.2
19200301 19200331    15.3
19200401 19200430    25.6
19200501 19200531     9.7
19200601 19200630    29.7
19200701 19200731     5.5
19200801 19200831    24.4
19200901 19200930     4.9
19201001 19201031     0.5
19201101 19201130    11.1
19201201 19201231     0.0
19210101 19210131     0.0
19210201 19210228    19.0
19210301 19210331    12.5
19210401 19210430     0.0
19210501 19210531   169.1
19210601 19210630    28.8
19210701 19210731     1.4
19210801 19210831    17.7
19210901 19210930     3.5
19211001 19211031    13.4
19211101 19211130     0.0
19211201 19211231    31.4
19220101 19220131     0.5
19220201 19220228     7.0
19220301 19220331    74.2
19220401 19220430    64.1
19220501 19220531    23.8
19220601 19220630    12.8
19220701 19220731     7.7
19220801 19220831     9.7
19220901 19220930     1.7
19221001 19221031     0.0
19221101 19221130     0.0
19221201 19221231    20.1
19230101 19230131    28.1
19230201 19230228    11.7
19230301 19230331    24.8
19230401 19230430    40.1
19230501 19230531     6.5
19230601 19230630    37.2
19230701 19230731    13.7
19230801 19230831     1.4
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     1.1
19231201 19231231    16.6
19240101 19240131     0.0
19240201 19240229    44.1
19240301 19240331    36.6
19240401 19240430     5.1
19240501 19240531    18.5
19240601 19240630    10.1
19240701 19240731    11.7
19240801 19240831     3.0
19240901 19240930     4.4
19241001 19241031     7.4
19241101 19241130     5.7
19241201 19241231     0.0
19250101 19250131    23.3
19250201 19250228   127.2
19250301 19250331    32.3
19250401 19250430     2.1
19250501 19250531    62.3
19250601 19250630     6.2
19250701 19250731     4.1
19250801 19250831    13.6
19250901 19250930     4.4
19251001 19251031     7.2
19251101 19251130    13.7
19251201 19251231    53.6
19260101 19260131     5.4
19260201 19260228     3.9
19260301 19260331    45.2
19260401 19260430     0.0
19260501 19260531    25.6
19260601 19260630     4.6
19260701 19260731    19.4
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031     0.9
19261101 19261130    31.6
19261201 19261231    12.3
19270101 19270131    15.8
19270201 19270228    16.1
19270301 19270331   113.0
19270401 19270430     0.0
19270501 19270531     9.2
19270601 19270630    54.0
19270701 19270731    19.4
19270801 19270831    15.5
19270901 19270930     5.5
19271001 19271031     1.1
19271101 19271130     5.4
19271201 19271231    15.3
19280101 19280131    11.1
19280201 19280229    17.3
19280301 19280331     1.1
19280401 19280430     1.9
19280501 19280531    24.0
19280601 19280630     4.4
19280701 19280731    20.7
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130     0.9
19281201 19281231    38.8
19290101 19290131     4.6
19290201 19290228     9.0
19290301 19290331   158.3
19290401 19290430     0.0
19290501 19290531    62.5
19290601 19290630     4.0
19290701 19290731     0.0
19290801 19290831     8.9
19290901 19290930     0.0
19291001 19291031     7.1
19291101 19291130     0.0
19291201 19291231     2.3
19300101 19300131     0.0
19300201 19300228    43.0
19300301 19300331     7.9
19300401 19300430    35.3
19300501 19300531     4.8
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831    22.3
19300901 19300930     1.5
19301001 19301031    13.4
19301101 19301130    31.5
19301201 19301231   138.4
19310101 19310131    37.3
19310201 19310228    18.8
19310301 19310331    61.2
19310401 19310430    20.3
19310501 19310531   118.8
19310601 19310630    57.1
19310701 19310731    44.0
19310801 19310831     9.1
19310901 19310930     2.3
19311001 19311031     8.9
19311101 19311130    12.0
19311201 19311231     3.8
19320101 19320131     7.7
19320201 19320229     3.8
19320301 19320331    28.5
19320401 19320430    12.5
19320501 19320531     7.9
19320601 19320630     1.1
19320701 19320731     2.8
19320801 19320831    10.5
19320901 19320930     0.0
19321001 19321031     3.6
19321101 19321130     0.0
19321201 19321231    67.6
19330101 19330131     2.8
19330201 19330228     0.8
19330301 19330331    19.5
19330401 19330430    30.9
19330501 19330531    17.0
19330601 19330630     2.5
19330701 19330731    16.0
19330801 19330831    14.8
19330901 19330930    11.7
19331001 19331031     0.0
19331101 19331130    10.8
19331201 19331231    14.0
19340101 19340131     0.0
19340201 19340228    17.0
19340301 19340331   210.1
19340401 19340430    81.2
19340501 19340531     1.1
19340601 19340630     8.1
