PRCP       013017 19560901 20180131 missing_value=99999.9 GILES METEOROLOGICAL OFFICE               
19560901 19560930     1.0
19561001 19561031     4.8
19561101 19561130    31.2
19561201 19561231    11.4
19570101 19570131    35.3
19570201 19570228    22.9
19570301 19570331     3.3
19570401 19570430     9.4
19570501 19570531     8.4
19570601 19570630    16.0
19570701 19570731    19.6
19570801 19570831     0.5
19570901 19570930     2.5
19571001 19571031     3.0
19571101 19571130     0.0
19571201 19571231   116.8
19580101 19580131     1.3
19580201 19580228     2.0
19580301 19580331    35.1
19580401 19580430     0.0
19580501 19580531    42.7
19580601 19580630    17.5
19580701 19580731    40.4
19580801 19580831    62.5
19580901 19580930     2.0
19581001 19581031     1.3
19581101 19581130    21.6
19581201 19581231    17.8
19590101 19590131    24.9
19590201 19590228    15.0
19590301 19590331     4.8
19590401 19590430     0.5
19590501 19590531    23.6
19590601 19590630     1.0
19590701 19590731    26.4
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     5.6
19591101 19591130     2.5
19591201 19591231    21.1
19600101 19600131    37.9
19600201 19600229   117.6
19600301 19600331     1.8
19600401 19600430    37.5
19600501 19600531    28.5
19600601 19600630     2.3
19600701 19600731     0.8
19600801 19600831     0.0
19600901 19600930     1.1
19601001 19601031    29.7
19601101 19601130     0.0
19601201 19601231    50.5
19610101 19610131     2.3
19610201 19610228    15.8
19610301 19610331     1.3
19610401 19610430    10.4
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     2.8
19611001 19611031     2.6
19611101 19611130     2.0
19611201 19611231     0.8
19620101 19620131    41.0
19620201 19620228     8.1
19620301 19620331    13.0
19620401 19620430    17.8
19620501 19620531    17.1
19620601 19620630     0.0
19620701 19620731    34.3
19620801 19620831    36.7
19620901 19620930     0.8
19621001 19621031    16.9
19621101 19621130     0.5
19621201 19621231    13.5
19630101 19630131    18.5
19630201 19630228     0.0
19630301 19630331     0.0
19630401 19630430     0.0
19630501 19630531    37.7
19630601 19630630    43.1
19630701 19630731     1.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     1.8
