PRCP       014015 19010401 20180131 missing_value=99999.9 DARWIN AIRPORT                            
19010401 19010430    64.0
19010501 19010531     0.0
19010601 19010630     0.0
19010701 19010731     0.0
19010801 19010831     0.0
19010901 19010930     0.0
19011001 19011031    16.3
19011101 19011130    99.4
19011201 19011231   189.5
19020101 19020131   697.6
19020201 19020228   177.1
19020301 19020331   158.6
19020401 19020430    14.4
19020501 19020531     0.0
19020601 19020630    23.7
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930     1.1
19021001 19021031    16.4
19021101 19021130    26.8
19021201 19021231   171.4
19030101 19030131   213.2
19030201 19030228   305.3
19030301 19030331   254.0
19030401 19030430   118.5
19030501 19030531    35.3
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831     0.0
19030901 19030930     0.0
19031001 19031031    75.5
19031101 19031130   156.5
19031201 19031231   305.8
19040101 19040131   651.3
19040201 19040229   355.8
19040301 19040331   241.1
19040401 19040430   227.3
19040501 19040531     3.4
19040601 19040630    25.5
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930     0.0
19041001 19041031    82.8
19041101 19041130   205.3
19041201 19041231   188.6
19050101 19050131   731.2
19050201 19050228   327.9
19050301 19050331    85.1
19050401 19050430   269.0
19050501 19050531     9.4
19050601 19050630     6.3
19050701 19050731     0.0
19050801 19050831     0.0
19050901 19050930     0.0
19051001 19051031    46.9
19051101 19051130    59.7
19051201 19051231    68.8
19060101 19060131    79.5
19060201 19060228   274.1
19060301 19060331   148.5
19060401 19060430     1.5
19060501 19060531     0.8
19060601 19060630     0.0
19060701 19060731     0.0
19060801 19060831     0.0
19060901 19060930    27.3
19061001 19061031    97.7
19061101 19061130   369.6
19061201 19061231   210.7
19070101 19070131   326.0
19070201 19070228   261.8
19070301 19070331   220.3
19070401 19070430   120.3
19070501 19070531    18.8
19070601 19070630    26.9
19070701 19070731     0.0
19070801 19070831     4.4
19070901 19070930     0.0
19071001 19071031    74.8
19071101 19071130   113.9
19071201 19071231   606.8
19080101 19080131   250.6
19080201 19080229   530.4
19080301 19080331   234.7
19080401 19080430    56.5
19080501 19080531     0.8
19080601 19080630     0.0
19080701 19080731     0.0
19080801 19080831    14.4
19080901 19080930     0.3
19081001 19081031    82.7
19081101 19081130   125.1
19081201 19081231   272.3
19090101 19090131   529.9
19090201 19090228   174.8
19090301 19090331   236.5
19090401 19090430   182.9
19090501 19090531     1.8
19090601 19090630     0.0
19090701 19090731     0.0
19090801 19090831    84.2
19090901 19090930    34.3
19091001 19091031    74.1
19091101 19091130   249.3
19091201 19091231   132.7
19100101 19100131   517.8
