PRCP       014042 19100901 20130430 missing_value=99999.9 OENPELLI                                  
19100901 19100930    35.6
19101001 19101031    49.8
19101101 19101130    60.4
19101201 19101231   371.2
19110101 19110131   348.5
19110201 19110228   287.5
19110301 19110331    73.3
19110401 19110430   341.6
19110501 19110531     0.0
19110601 19110630     0.0
19110701 19110731     0.0
19110801 19110831     0.0
19110901 19110930     0.0
19111001 19111031   167.7
19111101 19111130   123.6
19111201 19111231   262.2
19120101 19120131   396.8
19120201 19120229   252.6
19120301 19120331   402.2
19120401 19120430    24.4
19120501 19120531     0.0
19120601 19120630     0.0
19120701 19120731     0.0
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031    81.7
19121101 19121130    56.7
19121201 19121231   184.6
19130101 19130131   574.7
19130201 19130228   349.1
19130301 19130331   531.7
19130401 19130430    22.1
19130501 19130531    11.2
19130601 19130630     0.0
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     0.0
19131001 19131031     0.0
19131101 19131130    55.0
19131201 19131231   178.0
19140101 19140131   388.4
19140201 19140228   164.4
19140301 19140331   459.1
19140401 19140430    31.5
19140501 19140531    42.3
19140601 19140630     0.0
19140701 19140731     0.0
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031     0.0
19141101 19141130     6.4
19141201 19141231   135.9
19150101 19150131   183.4
19150201 19150228   301.3
19150301 19150331   151.8
19150401 19150430     8.6
19150501 19150531    46.0
19150601 19150630     0.0
19150701 19150731     0.0
19150801 19150831    10.2
19150901 19150930    12.2
19151001 19151031    17.5
19151101 19151130    93.2
19151201 19151231   583.3
19160101 19160131   449.3
19160201 19160229   237.5
19160301 19160331   229.6
19160401 19160430    31.7
19160501 19160531     4.1
19160601 19160630     0.0
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930     0.0
19161001 19161031   106.4
19161101 19161130   221.5
19161201 19161231   201.8
19170101 19170131   526.0
19170201 19170228   272.0
19170301 19170331   324.5
19170401 19170430   130.2
19170501 19170531    17.8
19170601 19170630    10.9
19170701 19170731     0.0
19170801 19170831     0.0
19170901 19170930    11.9
19171001 19171031   114.5
19171101 19171130   127.5
19171201 19171231   248.8
19180101 19180131   336.6
19180201 19180228   505.1
19180301 19180331   115.4
19180401 19180430    33.9
19180501 19180531    19.8
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     0.0
19180901 19180930     0.0
19181001 19181031     6.4
19181101 19181130    61.4
19181201 19181231   144.3
19190101 19190131   776.7
19190201 19190228   215.7
19190301 19190331   358.5
19190401 19190430   111.6
19190501 19190531     0.0
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     0.0
19190901 19190930     3.8
19191001 19191031     0.0
19191101 19191130    56.3
19191201 19191231   165.6
19200101 19200131   223.6
19200201 19200229   488.5
19200301 19200331    75.2
19200401 19200430    94.0
19200501 19200531     0.0
19200601 19200630     2.3
19200701 19200731     0.0
19200801 19200831     0.0
19200901 19200930     0.0
19201001 19201031     3.8
19201101 19201130    88.8
19201201 19201231   262.8
19210101 19210131   389.3
19210201 19210228   239.6
19210301 19210331   384.1
19210401 19210430    37.1
19210501 19210531     0.0
19210601 19210630     0.0
19210701 19210731     2.3
19210801 19210831     0.0
19210901 19210930     0.0
19211001 19211031    63.5
19211101 19211130   157.4
19211201 19211231   314.9
19220101 19220131   406.7
19220201 19220228   336.9
19220301 19220331   314.0
19220401 19220430    28.5
19220501 19220531     0.0
19220601 19220630     0.0
19220701 19220731     3.0
19220801 19220831     0.3
19220901 19220930     0.6
19221001 19221031    66.8
19221101 19221130    21.1
19221201 19221231   205.7
19230101 19230131   287.6
19230201 19230228   193.2
19230301 19230331   373.4
19230401 19230430    44.7
19230501 19230531     3.3
19230601 19230630     3.0
19230701 19230731     0.1
19230801 19230831     0.3
19230901 19230930     1.0
19231001 19231031    13.9
19231101 19231130    60.9
19231201 19231231   528.8
19240101 19240131   175.1
19240201 19240229   176.4
19240301 19240331   230.1
19240401 19240430     2.8
19240501 19240531     2.8
19240601 19240630     0.0
19240701 19240731     1.0
19240801 19240831     0.0
19240901 19240930     0.0
19241001 19241031     5.9
19241101 19241130   157.0
19241201 19241231   244.2
19250101 19250131   269.3
19250201 19250228   280.2
19250301 19250331   303.1
19250401 19250430   208.4
19250501 19250531     1.1
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     1.8
19251101 19251130    10.9
19251201 19251231    55.2
19260101 19260131   372.4
19260201 19260228   210.2
19260301 19260331   156.4
19260401 19260430    10.6
19260501 19260531     0.5
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     0.3
19261001 19261031    45.5
19261101 19261130   110.0
19261201 19261231   258.3
19270101 19270131   234.5
19270201 19270228   271.1
19270301 19270331   223.8
19270401 19270430    56.9
19270501 19270531     4.6
19270601 19270630     1.3
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     2.3
19271001 19271031   101.5
19271101 19271130   222.4
19271201 19271231   323.0
19280101 19280131   134.8
19280201 19280229   196.3
19280301 19280331   351.3
19280401 19280430    26.9
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    98.3
19281201 19281231   142.9
19290101 19290131   245.3
19290201 19290228   295.0
19290301 19290331   287.4
19290401 19290430    98.0
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130   193.8
19291201 19291231   161.9
19300101 19300131   310.3
19300201 19300228   499.7
19300301 19300331   593.6
19300401 19300430    11.7
19300501 19300531     0.0
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031     0.0
19301101 19301130    91.5
19301201 19301231   242.4
19310101 19310131   352.0
19310201 19310228   218.9
19310301 19310331   291.5
19310401 19310430    48.5
19310501 19310531     0.8
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031     0.0
19311101 19311130   190.8
19311201 19311231   193.0
19320101 19320131   460.7
19320201 19320229   176.9
19320301 19320331   514.5
19320401 19320430    30.0
19320501 19320531     5.6
19320601 19320630     0.0
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     9.6
19321101 19321130   128.0
19321201 19321231   179.2
19330101 19330131   290.5
19330201 19330228   234.2
19330301 19330331   298.5
19330401 19330430     4.6
19330501 19330531     0.0
19330601 19330630    34.7
19330701 19330731     0.0
19330801 19330831     0.0
19330901 19330930     2.5
19331001 19331031    30.0
19331101 19331130    91.6
19331201 19331231   299.7
19340101 19340131   281.3
19340201 19340228   264.1
19340301 19340331   473.1
19340401 19340430    49.0
19340501 19340531    24.3
19340601 19340630     0.0
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930    22.1
19341001 19341031    22.6
19341101 19341130    56.3
19341201 19341231   183.6
19350101 19350131   333.0
19350201 19350228   150.9
19350301 19350331   301.8
19350401 19350430     4.3
19350501 19350531     0.3
19350601 19350630    20.0
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031     2.0
