PRCP       014401 19161201 20180131 missing_value=99999.9 WARRUWI                                   
19161201 19161231   241.2
19170101 19170131   332.0
19170201 19170228   142.5
19170301 19170331   168.8
19170401 19170430   171.9
19170501 19170531     9.9
19170601 19170630     4.8
19170701 19170731     0.4
19170801 19170831     0.1
19170901 19170930     1.7
19171001 19171031    62.5
19171101 19171130    82.6
19171201 19171231   327.9
19180101 19180131   161.2
19180201 19180228   210.8
19180301 19180331    32.3
19180401 19180430    58.4
19180501 19180531    13.1
19180601 19180630     0.3
19180701 19180731     0.3
19180801 19180831     0.1
19180901 19180930     0.2
19181001 19181031     5.1
19181101 19181130    15.0
19181201 19181231   243.2
19190101 19190131   446.1
19190201 19190228   144.6
19190301 19190331   245.3
19190401 19190430   202.2
19190501 19190531     0.3
19190601 19190630     0.4
19190701 19190731     0.5
19190801 19190831     0.0
19190901 19190930     0.3
19191001 19191031     0.0
19191101 19191130    14.4
19191201 19191231    93.5
19200101 19200131   213.3
19200201 19200229   313.4
19200301 19200331    98.4
19200401 19200430    75.8
19200501 19200531     0.0
19200601 19200630     0.0
19200701 19200731     0.0
19200801 19200831     0.0
19200901 19200930     0.0
19201001 19201031     5.9
19201101 19201130    53.7
19201201 19201231   122.9
19210101 19210131   312.7
19210201 19210228   245.2
19210301 19210331   355.2
19210401 19210430    20.9
19210501 19210531     0.0
19210601 19210630     0.0
19210701 19210731     0.0
19210801 19210831     0.0
19210901 19210930     0.0
19211001 19211031     0.0
19211101 19211130    45.2
19211201 19211231   201.4
19220101 19220131   189.7
19220201 19220228   194.4
19220301 19220331   342.1
19220401 19220430     2.4
19220501 19220531    54.2
19220601 19220630     0.0
19220701 19220731     0.5
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    41.6
19221101 19221130     0.0
19221201 19221231   117.0
19230101 19230131   238.7
19230201 19230228   131.7
19230301 19230331   416.9
19230401 19230430    31.5
19230501 19230531     1.3
19230601 19230630     4.3
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     0.3
19231101 19231130     0.8
19231201 19231231   194.7
19240101 19240131   193.3
19240201 19240229   195.6
19240301 19240331   154.1
19240401 19240430    14.5
19240501 19240531     8.4
19240601 19240630     0.0
19240701 19240731     4.6
19240801 19240831     0.0
19240901 19240930     0.0
19241001 19241031     2.1
19241101 19241130    33.4
19241201 19241231   668.6
19250101 19250131   152.8
19250201 19250228   231.4
19250301 19250331   179.7
19250401 19250430   336.0
19250501 19250531     1.3
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130    24.2
19251201 19251231    28.0
19260101 19260131   450.0
19260201 19260228   329.2
19260301 19260331   457.1
19260401 19260430    82.1
19260501 19260531     7.9
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     6.4
19261001 19261031     0.0
19261101 19261130    65.5
19261201 19261231   215.6
19270101 19270131   220.9
19270201 19270228   205.0
19270301 19270331   140.4
19270401 19270430    23.6
19270501 19270531     1.6
19270601 19270630     0.0
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031     0.0
19271101 19271130    40.6
19271201 19271231    64.3
19280101 19280131    87.5
19280201 19280229   320.1
19280301 19280331   307.6
19280401 19280430    75.0
19280501 19280531     0.0
19280601 19280630     0.1
19280701 19280731     0.7
19280801 19280831     0.1
19280901 19280930     0.3
19281001 19281031     5.1
19281101 19281130     1.8
19281201 19281231    72.4
19290101 19290131   172.7
19290201 19290228   218.0
19290301 19290331    48.0
19290401 19290430   109.4
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130     8.9
19291201 19291231   105.3
19300101 19300131   132.8
19300201 19300228   301.8
19300301 19300331   502.3
19300401 19300430    21.7
19300501 19300531     2.9
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031     2.5
19301101 19301130   109.7
19301201 19301231   144.0
19310101 19310131   248.9
19310201 19310228    26.7
19310301 19310331   255.7
19310401 19310430    15.7
19310501 19310531     8.9
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.2
19311001 19311031     1.8
19311101 19311130    52.3
19311201 19311231   107.8
19320101 19320131   220.0
19320201 19320229   101.1
19320301 19320331   207.1
19320401 19320430    56.1
19320501 19320531     0.0
19320601 19320630     0.5
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     0.0
19321101 19321130    52.1
19321201 19321231   215.3
19330101 19330131   170.9
19330201 19330228   152.2
19330301 19330331   231.9
19330401 19330430   161.7
19330501 19330531     3.3
19330601 19330630     2.3
19330701 19330731     0.0
19330801 19330831     0.0
19330901 19330930     0.0
19331001 19331031    68.9
19331101 19331130   124.0
19331201 19331231   314.6
19340101 19340131   384.8
19340201 19340228   357.8
19340301 19340331   475.8
19340401 19340430    95.9
19340501 19340531     1.5
19340601 19340630     0.0
19340701 19340731     0.3
19340801 19340831     0.3
19340901 19340930     0.0
19341001 19341031    20.1
19341101 19341130    51.4
19341201 19341231   104.9
19350101 19350131   478.3
19350201 19350228    98.5
19350301 19350331   490.7
19350401 19350430     1.3
19350501 19350531    11.4
19350601 19350630    26.5
19350701 19350731     0.0
19350801 19350831     1.0
19350901 19350930     0.0
19351001 19351031    11.9
19351101 19351130    10.5
19351201 19351231    21.6
19360101 19360131   153.8
19360201 19360229   156.3
19360301 19360331   222.5
19360401 19360430    55.7
19360501 19360531     3.8
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     8.1
19361101 19361130   154.0
19361201 19361231   161.1
19370101 19370131   234.0
19370201 19370228   108.8
19370301 19370331   322.3
19370401 19370430    80.3
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     0.3
19371101 19371130    56.7
19371201 19371231   155.1
19380101 19380131   262.9
19380201 19380228   271.4
19380301 19380331   121.2
19380401 19380430     8.7
19380501 19380531     8.1
19380601 19380630     0.0
19380701 19380731     0.0
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     1.3
19381101 19381130   145.9
19381201 19381231   100.8
19390101 19390131   285.2
19390201 19390228   338.6
19390301 19390331   415.0
19390401 19390430    98.6
19390501 19390531     7.1
19390601 19390630     9.7
19390701 19390731    20.8
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130     9.1
19391201 19391231    75.6
19400101 19400131   525.9
19400201 19400229   303.5
19400301 19400331   262.7
19400401 19400430   100.2
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     2.5
19400801 19400831     0.0
19400901 19400930     0.3
19401001 19401031     1.3
19401101 19401130    23.4
19401201 19401231   172.2
19410101 19410131   402.5
19410201 19410228   350.0
19410301 19410331   238.0
19410401 19410430   127.6
19410501 19410531     0.0
19410601 19410630     0.0
19410701 19410731     0.0
19410801 19410831     0.5
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    61.5
19411201 19411231    91.8
19420101 19420131   291.3
19420201 19420228   104.6
19420301 19420331    99.7
19420401 19420430    56.1
19420501 19420531    29.0
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031    75.4
19421101 19421130    79.8
19421201 19421231   110.8
19430101 19430131   195.0
19430201 19430228   260.3
19430301 19430331   128.7
19430401 19430430   138.2
19430501 19430531     0.0
19430601 19430630     0.4
19430701 19430731     0.2
19430801 19430831     0.1
19430901 19430930     0.1
19431001 19431031     1.4
19431101 19431130    74.1
19431201 19431231    96.3
19440101 19440131   135.7
19440201 19440229   181.5
19440301 19440331   369.6
19440401 19440430   226.8
19440501 19440531     3.8
19440601 19440630     2.4
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     3.8
19441101 19441130    43.1
19441201 19441231   288.8
19450101 19450131   295.0
19450201 19450228   161.6
19450301 19450331   477.3
19450401 19450430    69.0
19450501 19450531    25.5
19450601 19450630     2.3
19450701 19450731     1.0
19450801 19450831     0.0
19450901 19450930     0.5
19451001 19451031     2.8
19451101 19451130    41.3
19451201 19451231   526.8
19460101 19460131   263.5
19460201 19460228   244.3
19460301 19460331    94.6
19460401 19460430    52.1
19460501 19460531     2.8
19460601 19460630     0.0
19460701 19460731     0.3
19460801 19460831     1.3
19460901 19460930     0.0
19461001 19461031     1.5
19461101 19461130     9.1
19461201 19461231    90.6
19470101 19470131   120.6
19470201 19470228   315.5
19470301 19470331   237.1
19470401 19470430    44.3
19470501 19470531     1.2
19470601 19470630     0.0
19470701 19470731     0.6
19470801 19470831     1.1
19470901 19470930     1.0
19471001 19471031     1.4
19471101 19471130    31.9
19471201 19471231   135.0
19480101 19480131   126.0
19480201 19480229   214.3
19480301 19480331    99.8
19480401 19480430   602.1
19480501 19480531     4.3
19480601 19480630     0.4
19480701 19480731     0.0
19480801 19480831     0.8
19480901 19480930     0.0
19481001 19481031     0.8
19481101 19481130   118.3
19481201 19481231   150.3
19490101 19490131   176.3
19490201 19490228   262.3
19490301 19490331   347.0
19490401 19490430    53.5
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     2.0
19490901 19490930     2.5
19491001 19491031     1.3
19491101 19491130    79.9
19491201 19491231   392.6
19500101 19500131   543.8
19500201 19500228   290.4
19500301 19500331   119.0
19500401 19500430    26.0
19500501 19500531    26.2
19500601 19500630     0.0
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031    76.4
19501101 19501130    40.5
19501201 19501231   272.2
19510101 19510131   234.3
19510201 19510228   331.7
19510301 19510331   137.2
19510401 19510430    41.8
19510501 19510531     0.0
19510601 19510630     0.0
19510701 19510731     0.0
19510801 19510831    10.7
19510901 19510930     3.6
19511001 19511031     0.5
19511101 19511130     0.0
19511201 19511231     9.7
19520101 19520131   293.6
19520201 19520229   220.2
19520301 19520331   143.1
19520401 19520430    29.0
19520501 19520531     2.6
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031    72.6
19521101 19521130    95.5
19521201 19521231   112.9
19530101 19530131   249.7
19530201 19530228   182.6
19530301 19530331   158.4
19530401 19530430   459.6
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     0.0
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130     3.8
19531201 19531231    90.5
19540101 19540131   367.5
