PRCP       014902 18900701 20180131 missing_value=99999.9 KATHERINE COUNCIL                         
18900701 18900731     0.0
18900801 18900831     2.0
18900901 18900930    11.4
18901001 18901031    17.0
18901101 18901130    49.8
18901201 18901231   215.4
18910101 18910131   199.0
18910201 18910228   158.9
18910301 18910331    39.8
18910401 18910430   130.1
18910501 18910531     0.3
18910601 18910630     6.9
18910701 18910731     0.0
18910801 18910831     0.0
18910901 18910930     0.0
18911001 18911031     0.0
18911101 18911130   115.3
18911201 18911231    70.7
18920101 18920131    81.9
18920201 18920229    38.6
18920301 18920331   117.4
18920401 18920430     0.0
18920501 18920531     0.0
18920601 18920630     0.3
18920701 18920731     0.0
18920801 18920831     0.0
18920901 18920930     0.0
18921001 18921031    48.5
18921101 18921130    42.6
18921201 18921231   149.2
18930101 18930131   173.1
18930201 18930228   317.7
18930301 18930331    51.7
18930401 18930430    19.0
18930501 18930531     0.8
18930601 18930630     0.0
18930701 18930731     0.0
18930801 18930831     0.0
18930901 18930930     1.5
18931001 18931031    46.5
18931101 18931130   149.1
18931201 18931231   112.2
18940101 18940131   358.7
18940201 18940228   177.0
18940301 18940331   114.4
18940401 18940430    95.2
18940501 18940531     0.0
18940601 18940630     0.0
18940701 18940731     0.0
18940801 18940831     0.0
18940901 18940930    18.0
18941001 18941031   106.7
18941101 18941130    93.5
18941201 18941231   123.2
18950101 18950131   278.4
18950201 18950228   234.9
18950301 18950331   219.8
18950401 18950430     2.0
18950501 18950531     0.0
18950601 18950630     0.0
18950701 18950731     0.0
18950801 18950831     0.0
18950901 18950930    90.9
18951001 18951031    30.5
18951101 18951130    79.3
18951201 18951231   181.4
18960101 18960131   232.1
18960201 18960229   246.9
18960301 18960331   220.7
18960401 18960430    50.0
18960501 18960531     0.0
18960601 18960630     0.0
18960701 18960731     3.8
18960801 18960831     0.0
18960901 18960930     0.0
18961001 18961031     0.0
18961101 18961130   194.8
18961201 18961231   206.2
18970101 18970131   348.6
18970201 18970228   167.2
18970301 18970331    15.8
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630     0.0
18970701 18970731     0.0
18970801 18970831     0.0
18970901 18970930     0.0
18971001 18971031    83.9
18971101 18971130    25.9
18971201 18971231   752.1
18980101 18980131   190.7
18980201 18980228   271.4
18980301 18980331   581.4
18980401 18980430    17.6
18980501 18980531     0.0
18980601 18980630     0.0
18980701 18980731     0.0
18980801 18980831     0.0
18980901 18980930    67.1
18981001 18981031     3.8
18981101 18981130   130.0
18981201 18981231   234.5
18990101 18990131   398.3
18990201 18990228   144.5
18990301 18990331   635.5
18990401 18990430     0.0
18990501 18990531     0.0
18990601 18990630     7.6
18990701 18990731     0.0
18990801 18990831     0.0
18990901 18990930     0.0
18991001 18991031    13.8
18991101 18991130    74.7
18991201 18991231   102.1
19000101 19000131   241.5
19000201 19000228   122.9
19000301 19000331   126.1
19000401 19000430    22.9
19000501 19000531     0.0
19000601 19000630     0.5
19000701 19000731    20.6
19000801 19000831     0.0
19000901 19000930     0.0
19001001 19001031     5.1
19001101 19001130    26.3
19001201 19001231   246.1
19010101 19010131   176.4
19010201 19010228   217.9
19010301 19010331   647.2
19010401 19010430     0.0
19010501 19010531     0.0
19010601 19010630     0.0
19010701 19010731     0.0
19010801 19010831     0.0
19010901 19010930     0.0
19011001 19011031     0.8
19011101 19011130     1.3
19011201 19011231   109.2
19020101 19020131   231.8
19020201 19020228    94.8
19020301 19020331    60.5
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831     0.0
19020901 19020930     0.0
19021001 19021031    59.2
19021101 19021130    59.6
19021201 19021231   112.3
19030101 19030131   101.4
19030201 19030228   334.9
19030301 19030331    94.5
19030401 19030430    35.6
19030501 19030531     9.1
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831     0.0
19030901 19030930     0.0
19031001 19031031    10.4
19031101 19031130   132.9
19031201 19031231   267.7
19040101 19040131   704.6
19040201 19040229   101.5
19040301 19040331   209.6
19040401 19040430    57.7
19040501 19040531     5.8
19040601 19040630    21.6
19040701 19040731     0.0
19040801 19040831     0.0
19040901 19040930    31.2
19041001 19041031    70.4
19041101 19041130    69.6
19041201 19041231   208.2
19050101 19050131   149.1
19050201 19050228   191.6
19050301 19050331    15.0
19050401 19050430    13.2
19050501 19050531     0.0
19050601 19050630     2.8
19050701 19050731     0.0
19050801 19050831     0.0
19050901 19050930     0.0
19051001 19051031     3.4
19051101 19051130    70.6
19051201 19051231   107.1
19060101 19060131   172.2
19060201 19060228   157.3
19060301 19060331   110.4
19060401 19060430     0.0
19060501 19060531     0.0
19060601 19060630     0.0
19060701 19060731     0.0
19060801 19060831     0.0
19060901 19060930    17.3
19061001 19061031    78.0
19061101 19061130   125.4
19061201 19061231   334.9
19070101 19070131   192.8
19070201 19070228   489.7
19070301 19070331    43.0
19070401 19070430    11.2
19070501 19070531     0.5
19070601 19070630     0.0
19070701 19070731     0.0
19070801 19070831     0.0
19070901 19070930     1.3
19071001 19071031     4.6
